60090,Gomphi,n,n-p---mn2-,Gomph,,,['gɔm.pʰɪ],,0
61328,61328,Panaetolium,n,n-s---nn2-,Panaetoli,,,[pa.n̪aj.'t̪ɔ.lɪ̣.jũː],,0
61329,61329,Panathenaicus,a,aps---mn1-,Panathenaic Panathenaic Panathenaic,,,[pa.n̪a.t̪ʰɛ.'n̪a.jɪ.kʊs],,0
61330,61330,Panchaia,n,n-s---fn1-,Panchai,,,[paŋ.'kʰaj.ja],,0
61331,61331,Panchrysos,n,n-s---mn2-,Panchrys,,,['paŋ.kʰry.sɔs],,0
61332,61332,Pandae,n,n-p---fn1-,Pand,,,['pan̪.d̪aj],,0
61333,61333,Pandion,n,n-s---mn3-,Pandi,,,['pan̪.d̪ɪ̣.jɔn̪],,0
61335,61335,Pandrosos,n,n-s---fn2-,Pandros,,,['pan̪.d̪rɔ.sɔs],,0
61336,61336,Pangaeus,n,n-s---mn2-,Pangae,,,['paŋgews],,0
61337,61337,Panionius,a,aps---mn1-,Panioni Panioni Panioni,,,[pa.n̪ɪ̣.'jɔ.n̪ɪ̣.jʊs],,0
61338,61338,Paniscus,n,n-s---mn2-,Panisc,,,[pa.'n̪ɪs.kʊs],,0
61339,61339,Pannonia,n,n-s---fn1-,Pannoni,,,[pan̪.'n̪ɔ.n̪ɪ̣.ja],,0
61340,61340,Panomphaeus,n,n-s---mn2-,Panomphae,,,['pa.n̪ɔmpʰews],,0
61341,61341,Panope,n,n-s---fn1-,Panop,,,['pa.n̪ɔ.pɛ],,0
61342,61342,Panormus,n,n-s---mn2-,Panorm,,,[pa.'n̪ɔr.mʊs],,0
61343,59610,Pansa,n,n-s---mn1-,Pans,,,['paːn̪.sa],,1
61344,61344,Pantaleon,n,n-s---nn3-,Pantale,,,[pan̪.'t̪a.lɛ̣.jɔn̪],,0
61345,61345,Panthius,n,n-s---mn2-,Panthi,,,['pan̪.t̪ʰɪ̣.jʊs],,0
61347,61347,Panticapeum,n,n-s---nn2-,Panticape,,,['pan̪.t̪ɪ.kapewm],,0
61348,61348,Paphlago,n,n-s---mn3-,Paphlago,,,['pa.pʰla.gɔ],,0
61349,61349,Paphos,n,n-s---mn2-,Paph,,,['pa.pʰɔs],,0
61350,61350,Papilus,n,n-s---mn2-,Papil,,,['pa.pɪ.lʊs],,0
61351,61351,Papinus,n,n-s---mn2-,Papin,,,['pa.pɪ.n̪ʊs],,0
61352,61352,Papirius,n,n-s---mn2-,Papiri,,,[pa.'pɪ.rɪ̣.jʊs],,0
61353,61353,Papius,n,n-s---mn2-,Papi,,,['pa.pɪ̣.jʊs],,0
61354,61354,Parachelois,n,n-s---fn3-,Parachelo,,,[pa.ra.'kʰɛ.lɔ.jɪs],,0
61355,61355,Paraetacene,n,n-s---fn1-,Paraetacen,,,[pa.raj.'t̪a.kɛ.n̪ɛ],,0
61357,61357,Paralipomena,n,n-s---fn1-,Paralipomen,,,[pa.ra.lɪ.'pɔ.mɛ.n̪a],,0
61358,61358,Paralus,n,n-s---mn2-,Paral,,,['pa.ra.lʊs],,0
61359,61359,Parapotamia,n,n-s---fn1-,Parapotami,,,[pa.ra.pɔ.'t̪a.mɪ̣.ja],,0
61360,61360,Parhedrus,n,n-s---mn2-,Parhedr,,,['pa.rɛ.d̪rʊs],,0
61361,61361,Paris,n,n-s---mn3-,Par,,,['pa.rɪs],,0
61362,61362,Parium,n,n-s---nn2-,Pari,,,['pa.rɪ̣.jũː],,0
61363,61363,Parma,n,n-s---fn1-,Parm,,,['par.ma],,0
61364,61364,Parmenides,n,n-s---mn3-,Parmenid,,,[par.'mɛ.n̪ɪ.d̪ɛs],,0
61365,61365,Parnassus,n,n-s---mn2-,Parnass,,,[par.'n̪as.sʊs],,0
61366,61366,Paropamisus,n,n-s---mn2-,Paropamis,,,[pa.rɔ.'pa.mɪ.sʊs],,0
61367,61367,Parorea,n,n-s---fn1-,Parore,,,[pa.'rɔ.rɛ̣.ja],,0
61368,61368,Paros,n,n-s---mn2-,Par,,,['pa.rɔs],,0
61370,61370,Parrhasius,n,n-s---mn2-,Parrhasi,,,[par.'ra.sɪ̣.jʊs],,0
61371,61371,Parstrymonia,n,n-s---fn1-,Parstrymoni,,,[pars.t̪ry.'mɔ.n̪ɪ̣.ja],,0
61372,61372,Parthaon,n,n-s---mn3-,Partha,,,['par.t̪ʰa.jɔn̪],,0
61373,61373,Partheni,n,n-p---mn2-,Parthen,,,['par.t̪ʰɛ.n̪ɪ],,0
61374,61374,Parthenia,n,n-s---fn1-,Partheni,,,[par.'t̪ʰɛ.n̪ɪ̣.ja],,0
61375,61375,Parthenias,n,n-s---mn3-,Parthenias,,,[par.'t̪ʰɛ.n̪ɪ̣.jas],,0
61376,61376,Parthenius,n,n-s---mn2-,Partheni,,,[par.'t̪ʰɛ.n̪ɪ̣.jʊs],,0
61377,61377,Parthenon,n,n-s---nn3-,Parthen,,,['par.t̪ʰɛ.n̪ɔn̪],,0
61379,61379,Parthenopolis,n,n-s---fn3-,Parthenopol,,,[par.t̪ʰɛ.'n̪ɔ.pɔ.lɪs],,0
61380,61380,Parthi,n,n-p---mn2-,Parth,,,['par.t̪ʰɪ],,0
61381,61381,Parthus,n,n-s---mn2-,Parth,,,['par.t̪ʰʊs],,0
61382,61382,Pasiphae,n,n-p---fn1-,Pasiph,,,['pa.sɪ.pʰaj],,0
61316,61316,Palmyra,n,n-s---fn1-,Palmyr,,,['paɫ.my.ra],,0
61317,61317,Paltus,n,n-s---mn2-,Palt,,,['paɫ.t̪ʊs],,0
61387,61387,Patara,n,n-s---fn1-,Patar,,,['pa.t̪a.ra],,0
61388,61388,Patauium,n,n-s---nn2-,Pataui,,,[pa.'t̪a.wɪ̣.jũː],,0
61389,61389,Patigran,n,n-s---mn3-,Patigran,,,['pa.t̪ɪ.gran̪],,0
61390,61390,Patina,n,n-s---fn1-,Patin,,,['pa.t̪ɪ.n̪a],,0
61391,61391,Patmos,n,n-s---mn2-,Patm,,,['pa.t̪mɔs],,0
61392,61392,Patrae,n,n-p---fn1-,Patr,,,['pa.t̪raj],,0
61393,61393,Patrobius,n,n-s---mn2-,Patrobi,,,[pa.'t̪rɔ.bɪ̣.jʊs],,0
61394,61394,Patroclus,n,n-s---mn2-,Patrocl,,,['pa.t̪rɔ.klʊs],,0
61396,61396,Paulus,n,n-s---mn2-,Paul,,,['paw.lʊs],,0
61397,61397,Pausanias,n,n-s---mn3-,Pausanias,,,[paw.'sa.n̪ɪ̣.jas],,0
61398,61398,Pausias,n,n-s---mn3-,Pausias,,,['paw.sɪ̣.jas],,0
61399,61399,Pausilypum,n,n-s---nn2-,Pausilyp,,,[paw.'sɪ.ly.pũː],,0
61400,61400,Pausistratus,n,n-s---mn2-,Pausistrat,,,[paw.'sɪs.t̪ra.t̪ʊs],,0
61401,61401,Pax,n,n-s---mn3-,Pax,,,['paːks],,0
61402,61402,Pedasa,n,n-s---fn1-,Pedas,,,['pɛ.d̪a.sa],,0
61403,61403,Pedo,n,n-s---mn3-,Pedo,,,['pɛ.d̪ɔ],,0
61404,61404,Peducaeus,n,n-s---mn2-,Peducae,,,['pɛ.d̪ʊkews],,0
61405,61405,Pedum,n,n-s---nn2-,Ped,,,['pɛ.d̪ũː],,0
61406,61406,Pegasus,n,n-s---mn2-,Pegas,,,['peː.ga.sʊs],,0
61408,61408,Pelagones,n,n-p---mn3-,Pelagon,,,[pɛ.'la.gɔ.n̪ɛs],,0
61409,61409,Pelasgi,n,n-p---mn2-,Pelasg,,,[pɛ.'las.gɪ],,0
61410,61410,Pelethronius,a,aps---mn1-,Pelethroni Pelethroni Pelethroni,,,[pɛ.lɛ.'t̪ʰrɔ.n̪ɪ̣.jʊs],,0
61411,61411,Peleus,n,n-s---mn2-,Pele,,,['pɛɫews],,0
61412,61412,Pelias,n,n-s---mn3-,Pelias,,,['pɛ.lɪ̣.jas],,0
61413,61413,Peligni,n,n-p---mn2-,Pelign,,,[pɛ.'lɪŋ.n̪ɪ],,0
61414,61414,Pelinnaeus,n,n-s---mn2-,Pelinnae,,,['pɛ.lɪn̪n̪ews],,0
61415,61415,Pelion,n,n-s---nn3-,Peli,,,['pɛ.lɪ̣.jɔn̪],,0
61416,61416,Pella,n,n-s---fn1-,Pell,,,['pɛɫ.la],,0
61418,61418,Pellene,n,n-s---fn1-,Pellen,,,['pɛɫ.lɛ.n̪ɛ],,0
61419,61419,Pellinaeum,n,n-s---nn2-,Pellinae,,,['pɛɫ.lɪn̪ewm],,0
61420,61420,Peloponnesus,n,n-s---mn2-,Peloponnes,,,[pɛ.lɔ.'pɔn̪.n̪ɛ.sʊs],,0
61421,61421,Pelops,n,n-s---mn3-,Pelops,,,['pɛ.lɔps],,0
61422,61422,Pelorias,n,n-s---mn3-,Pelorias,,,[pɛ.'lɔ.rɪ̣.jas],,0
61423,61423,Peloris,n,n-s---fn3-,Pelor,,,['pɛ.lɔ.rɪs],,0
61424,61424,Pelorus,n,n-s---mn2-,Pelor,,,['pɛ.lɔ.rʊs],,0
61425,61425,Pelusium,n,n-s---nn2-,Pelusi,,,[pɛ.'lʊ.sɪ̣.jũː],,0
61426,61426,Penelope,n,n-s---fn1-,Penelop,,,[pɛ.'n̪ɛ.lɔ.pɛ],,0
61427,61427,Penestae,n,n-p---fn1-,Penest,,,[pɛ.'n̪ɛs.t̪aj],,0
61428,61428,Peneus,n,n-s---mn2-,Pene,,,[peː.'n̪eː.jʊs],,0
61429,61429,Penius,n,n-s---mn2-,Peni,,,['pɛ.n̪ɪ̣.jʊs],,0
61431,61431,Pennus,n,n-s---mn2-,Penn,,,['pɛn̪.n̪ʊs],,0
61432,61432,Pentapolis,n,n-s---fn3-,Pentapol,,,[pɛn̪.'t̪a.pɔ.lɪs],,0
61433,61433,Pentelicus,a,aps---mn1-,Pentelic Pentelic Pentelic,,,[pɛn̪.'t̪ɛ.lɪ.kʊs],,0
61434,61434,Pentheus,n,n-s---mn2-,Penthe,,,['pɛn̪t̪ʰews],,0
61435,61435,Pentri,n,n-p---mn2-,Pentr,,,['pɛn̪.t̪rɪ],,0
61436,61436,Peparethus,n,n-s---mn2-,Pepareth,,,[pɛ.'pa.rɛ.t̪ʰʊs],,0
61437,61437,Pepuzitae,n,n-p---fn1-,Pepuzit,,,[pɛ.'pʊz.zɪ.t̪aj],,0
61438,61438,Peraea,n,n-s---fn1-,Perae,,,[pɛ.'raj.ja],,0
61439,61439,Percote,n,n-s---fn1-,Percot,,,['pɛr.kɔ.t̪ɛ],,0
61440,61440,Pergama,a,aps---fn1-,Pergam Pergam Pergam,,,['pɛr.ga.ma],,0
61442,61442,Pergus,n,n-s---mn2-,Perg,,,['pɛrgʷs],,0
61443,61443,Perialogos,n,n-s---mn2-,Perialog,,,[pɛ.rɪ̣.'ja.lɔ.gɔs],,0
61444,61444,Periander,n,n-s---mn3-,Periander,,,[pɛ.rɪ̣.'jan̪.d̪ɛr],,0
61445,61445,Peribomius,n,n-s---mn2-,Peribomi,,,[pɛ.rɪ.'bɔ.mɪ̣.jʊs],,0
61446,61446,Pericles,n,n-p---mn3-,Pericl,,,['pɛ.rɪ.klɛs],,0
61447,61447,Periclymenus,n,n-s---mn2-,Periclymen,,,[pɛ.rɪ.'kly.mɛ.n̪ʊs],,0
61448,61448,Perilla,n,n-s---fn1-,Perill,,,[pɛ.'rɪɫ.la],,0
61449,61449,Perillus,n,n-s---mn2-,Perill,,,[pɛ.'rɪɫ.lʊs],,0
61450,61450,Perimele,n,n-s---fn1-,Perimel,,,[pɛ.'rɪ.mɛ.lɛ],,0
61451,61451,Perimula,n,n-s---fn1-,Perimul,,,[pɛ.'rɪ.mʊ.la],,0
61384,61384,Pasithea,n,n-s---fn1-,Pasithe,,,[pa.'sɪ.t̪ʰɛ̣.ja],,0
61386,61386,Patalene,n,n-s---fn1-,Patalen,,,[pa.'t̪a.lɛ.n̪ɛ],,0
61457,61457,Perrhaebi,n,n-p---mn2-,Perrhaeb,,,[pɛr.'raj.bɪ],,0
61458,61458,Persa,n,n-s---fn1-,Pers,,,['pɛr.sa],,0
61459,61459,Persae,n,n-p---fn1-,Pers,,,['pɛr.saj],,0
61460,61460,Persephone,n,n-s---fn1-,Persephon,,,[pɛr.'sɛ.pʰɔ.n̪ɛ],,0
61461,61461,Persepolis,n,n-s---fn3-,Persepol,,,[pɛr.'sɛ.pɔ.lɪs],,0
61462,61462,Perses,n,n-p---mn3-,Pers,,,['pɛr.sɛs],,0
61463,61463,Perseus,n,n-s---mn2-,Perse,,,['pɛrsews],,0
61464,61464,Persius,n,n-s---mn2-,Persi,,,['pɛr.sɪ̣.jʊs],,0
61466,61466,Pescennius,n,n-s---mn2-,Pescenni,,,[pɛs.'kɛn̪.n̪ɪ̣.jʊs],,0
61467,61467,Pessinus,a,aps---mn1-,Pessin Pessin Pessin,,,['pɛs.sɪ.n̪ʊs],,0
61468,61468,Petelia,n,n-s---fn1-,Peteli,,,[pɛ.'t̪ɛ.lɪ̣.ja],,0
61469,61469,Petilius,a,aps---mn1-,Petili Petili Petili,,,[pɛ.'t̪ɪ.lɪ̣.jʊs],,0
61470,61470,Petina,n,n-s---fn1-,Petin,,,['pɛ.t̪ɪ.n̪a],,0
61471,61471,Petisius,n,n-s---mn2-,Petisi,,,[pɛ.'t̪ɪ.sɪ̣.jʊs],,0
61472,61472,Petosiris,n,n-s---fn3-,Petosir,,,[pɛ.'t̪ɔ.sɪ.rɪs],,0
61473,61473,Petra,n,n-s---fn1-,Petr,,,['pɛ.t̪ra],,0
61474,61474,Petreus,a,aps---mn1-,Petre Petre Petre,,,['pɛt̪rews],,0
61475,61475,Petrini,n,n-p---mn2-,Petrin,,,['pɛ.t̪rɪ.n̪ɪ],,0
61477,61477,Pettalus,n,n-s---mn2-,Pettal,,,['pɛt̪.t̪a.lʊs],,0
61478,61478,Peucetia,n,n-s---fn1-,Peuceti,,,['pewkɛ.t̪ɪ̣.ja],,0
61479,61479,Phacus,n,n-s---mn2-,Phac,,,['pʰa.kʊs],,0
61480,61480,Phaeaces,n,n-p---mn3-,Phaeac,,,['pʰaj.ja.kɛs],,0
61481,61481,Phaedo,n,n-s---nn3-,Phaedo,,,['pʰaj.d̪ɔ],,0
61482,61482,Phaedrus,n,n-s---mn3-,Phaedrus,,,['pʰaj.d̪rʊs],,0
61483,61483,Phaenon,n,n-s---nn3-,Phaen,,,['pʰaj.n̪ɔn̪],,0
61484,61484,Phaestum,n,n-s---nn2-,Phaest,,,['pʰajs.t̪ũː],,0
61485,61485,Phaethon,n,n-s---mn3-,Phaeth,,,['pʰaj.t̪ʰoːn̪],,0
61486,61486,Phaethusa,n,n-s---fn1-,Phaethus,,,['pʰaj.t̪ʰʊ.sa],,0
61488,61488,Phalaecus,n,n-s---mn2-,Phalaec,,,[pʰa.'laj.kʊs],,0
61489,61489,Phalannaeus,a,aps---mn1-,Phalannae Phalannae Phalannae,,,['pʰa.lan̪n̪ews],,0
61490,61490,Phalantus,n,n-s---mn2-,Phalant,,,[pʰa.'lan̪.t̪ʊs],,0
61491,61491,Phalara,n,n-s---fn1-,Phalar,,,['pʰa.la.ra],,0
61492,61492,Phalaris,n,n-s---fn3-,Phalar,,,['pʰa.la.rɪs],,0
61493,61493,Phalasarneus,a,aps---mn1-,Phalasarne Phalasarne Phalasarne,,,['pʰa.la.sarn̪ews],,0
61494,61494,Phalerum,n,n-s---nn2-,Phaler,,,['pʰa.lɛ.rũː],,0
61495,61495,Phanae,n,n-p---fn1-,Phan,,,['pʰa.n̪aj],,0
61496,61496,Phanote,n,n-s---fn1-,Phanot,,,['pʰa.n̪ɔ.t̪ɛ],,0
61497,61497,Phantasos,n,n-s---mn2-,Phantas,,,['pʰan̪.t̪a.sɔs],,0
61499,61499,Pharisaeus,n,n-s---mn2-,Pharisae,,,['pʰa.rɪsews],,0
61500,61500,Pharmacusa,n,n-s---fn1-,Pharmacus,,,[pʰar.'ma.kʊ.sa],,0
61501,61501,Pharnaces,n,n-p---mn3-,Pharnac,,,['pʰar.n̪a.kɛs],,0
61502,61502,Pharsalos,n,n-s---mn2-,Pharsal,,,['pʰar.sa.lɔs],,0
61503,61503,Pharus,a,aps---mn1-,Phar Phar Phar,,,['pʰa.rʊs],,0
61504,61504,Phaselis,n,n-s---fn3-,Phasel,,,['pʰa.sɛ.lɪs],,0
61505,61505,Phasis,n,n-s---fn3-,Phas,,,['pʰa.sɪs],,0
61506,61506,Phatnae,n,n-p---fn1-,Phatn,,,['pʰat̪.n̪aj],,0
61507,61507,Phegeus,n,n-s---mn2-,Phege,,,['pʰɛgews],,0
61509,61509,Phemonoe,n,n-s---fn1-,Phemono,,,['pʰɛ.mɔn̪oj],,0
61510,61510,Pheneos,n,n-s---mn2-,Phene,,,['pʰɛ.n̪ɛ̣.jɔs],,0
61511,61511,Pherae,n,n-p---fn1-,Pher,,,['pʰɛ.raj],,0
61512,61512,Pherecleus,a,aps---mn1-,Pherecle Pherecle Pherecle,,,['pʰɛ.rɛkɫews],,0
61513,61513,Pherecydes,n,n-s---mn3-,Pherecyd,,,[pʰɛ.'rɛ.ky.d̪ɛs],,0
61514,61514,Pheretiades,n,n-s---mn3-,Pheretiad,,,[pʰɛ.rɛ.'t̪ɪ̣.ja.d̪ɛs],,0
61515,61515,Pheretus,n,n-s---mn2-,Pheret,,,['pʰɛ.rɛ.t̪ʊs],,0
61516,61516,Pherinum,n,n-s---nn2-,Pherin,,,['pʰɛ.rɪ.n̪ũː],,0
61517,61517,Phiala,n,n-s---fn1-,Phial,,,['pʰɪ̣.ja.la],,0
61519,61519,Phidippides,n,n-s---mn3-,Phidippid,,,[pʰɪ.'d̪ɪp.pɪ.d̪ɛs],,0
61520,61520,Phidippus,n,n-s---mn2-,Phidipp,,,[pʰɪ.'d̪ɪp.pʊs],,0
61521,61521,Phidon,n,n-s---nn3-,Phid,,,['pʰɪ.d̪ɔn̪],,0
61522,61522,Philadelphia,n,n-s---fn1-,Philadelphi,,,[pʰɪ.la.'d̪ɛɫ.pʰɪ̣.ja],,0
61455,61455,Permessus,n,n-s---mn2-,Permess,,,[pɛr.'mɛs.sʊs],,0
61456,61456,Perperna,n,n-s---fn1-,Perpern,,,[pɛr.'pɛr.n̪a],,0
61526,61526,Philemo,n,n-s---nn3-,Philemo,,,['pʰɪ.lɛ.mɔ],,0
61528,61528,Philippopolis,n,n-s---fn3-,Philippopol,,,[pʰɪ.lɪp.'pɔ.pɔ.lɪs],,0
61529,61529,Philippus,n,n-s---mn2-,Philipp,,,[pʰɪ.'lɪp.pʊs],,0
61530,61530,Philistaea,n,n-s---fn1-,Philistae,,,[pʰɪ.lɪs.'t̪aj.ja],,0
61531,61531,Philistaeus,n,n-s---mn2-,Philistae,,,['pʰɪ.lɪst̪ews],,0
61532,61532,Philistini,n,n-p---mn2-,Philistin,,,[pʰɪ.'lɪs.t̪ɪ.n̪ɪ],,0
61533,61533,Philistion,n,n-s---nn3-,Philisti,,,[pʰɪ.'lɪs.t̪ɪ̣.jɔn̪],,0
61534,61534,Philistus,n,n-s---mn2-,Philist,,,[pʰɪ.'lɪs.t̪ʊs],,0
61535,61535,Philo,n,n-s---nn3-,Philo,,,['pʰɪ.lɔ],,0
61537,61537,Philocteta,n,n-s---mn3-,Philocteta,,,[pʰɪ.'lɔk.t̪ɛ.t̪a],,0
61538,61538,Philodemus,n,n-s---mn2-,Philodem,,,[pʰɪ.'lɔ.d̪ɛ.mʊs],,0
61539,61539,Philolaus,n,n-s---mn2-,Philola,,,['pʰɪ.lɔ.laws],,0
61540,61540,Philomela,a,aps---fn1-,Philomel Philomel Philomel,,,[pʰɪ.'lɔ.mɛ.la],,0
61541,61541,Philomelium,n,n-s---nn2-,Philomeli,,,[pʰɪ.lɔ.'mɛ.lɪ̣.jũː],,0
61542,61542,Philopator,n,n-s---mn3-,Philopator,,,[pʰɪ.'lɔ.pa.t̪ɔr],,0
61543,61543,Philopoemen,n,n-s---mn3-,Philopoemen,,,[pʰɪ.'lɔpoj.mɛn̪],,0
61544,61544,Philorhomaeus,n,n-s---mn2-,Philorhomae,,,['pʰɪ.lɔ.rɔmews],,0
61545,61545,Philoxenus,n,n-s---mn2-,Philoxen,,,[pʰɪ.'lɔk.sɛ.n̪ʊs],,0
61546,61546,Philus,n,n-s---mn2-,Phil,,,['pʰɪ.lʊs],,0
61547,61547,Philyra,n,n-s---fn1-,Philyr,,,['pʰɪ.ly.ra],,0
61548,61548,Phineus,n,n-s---mn2-,Phine,,,['pʰɪn̪ews],,0
61549,61549,Phintia,n,n-s---fn1-,Phinti,,,['pʰɪn̪.t̪ɪ̣.ja],,0
61551,61551,Phlegethon,n,n-s---nn3-,Phlegeth,,,['pʰlɛ.gɛ.t̪ʰoːn̪],,0
61552,61552,Phlegon,n,n-s---nn3-,Phleg,,,['pʰlɛ.gɔn̪],,0
61553,61553,Phlegra,n,n-s---fn1-,Phlegr,,,['pʰlɛ.gra],,0
61554,61554,Phlegraeus,n,n-s---mn2-,Phlegrae,,,['pʰlɛgrews],,0
61555,61555,Phlegyae,n,n-p---fn1-,Phlegy,,,['pʰlɛ.gy.jaj],,0
61556,61556,Phlius,n,n-s---mn2-,Phli,,,['pʰlɪ̣.jʊs],,0
61557,61557,Phobetor,n,n-s---mn3-,Phobetor,,,['pʰɔ.bɛ.t̪ɔr],,0
61558,61558,Phocaea,n,n-s---fn1-,Phocae,,,[pʰɔ.'kaj.ja],,0
61559,61559,Phocis,n,n-s---fn3-,Phoc,,,['pʰoː.kɪs],,0
61560,61560,Phocus,n,n-s---mn2-,Phoc,,,['pʰɔ.kʊs],,0
61562,61562,Phoebeum,n,n-s---nn2-,Phoebe,,,,,0
61563,61563,Phoebus,n,n-s---mn2-,Phoeb,,,['pʰojbʊs],,0
61564,61564,Phoenice,a,aps---fn1-,Phoenice Phoenice Phoenice,,,['pʰojn̪ɪ.kɛ],,0
61565,61565,Phoenix,n,n-s---mn3-,Phoenix,,,['pʰojn̪ɪks],,0
61566,61566,Pholoe,n,n-s---fn1-,Pholo,,,['pʰɔɫoj],,0
61567,61567,Phonolenides,n,n-s---mn3-,Phonolenid,,,[pʰɔ.n̪ɔ.'lɛ.n̪ɪ.d̪ɛs],,0
61568,61568,Phorbas,n,n-s---mn3-,Phorbas,,,['pʰɔr.bas],,0
61569,61569,Phorcus,n,n-s---mn2-,Phorc,,,['pʰɔr.kʊs],,0
61571,61571,Phradmon,n,n-s---nn3-,Phradm,,,['pʰra.d̪mɔn̪],,0
61572,61572,Phragandae,n,n-p---fn1-,Phragand,,,[pʰra.'gan̪.d̪aj],,0
61573,61573,Phrixus,n,n-s---mn2-,Phrix,,,['pʰrɪk.sʊs],,0
61574,61574,Phryges,n,n-p---mn3-,Phryg,,,['pʰry.gɛs],,0
61575,61575,Phryx,n,n-s---mn3-,Phryx,,,['pʰryks],,0
61576,61576,Phthas,n,n-s---mn3-,Phthas,,,['pʰt̪ʰas],,0
61577,61577,Phthia,n,n-s---fn1-,Phthi,,,['pʰt̪ʰɪ̣.ja],,0
61578,61578,Phthirophagi,n,n-p---mn2-,Phthirophag,,,[pʰt̪ʰɪ.'rɔ.pʰa.gɪ],,0
61579,61579,Phyaces,n,n-p---mn3-,Phyac,,,['pʰy.ja.kɛs],,0
61580,61580,Phylace,n,n-s---fn1-,Phylac,,,['pʰy.la.kɛ],,0
61582,61582,Phylleius,a,aps---mn1-,Phyllei Phyllei Phyllei,,,['pʰyɫɫ.ejʊs],,0
61583,61583,Phyllis,n,n-s---fn3-,Phyll,,,['pʰyɫ.lɪs],,0
61584,61584,Phyllius,n,n-s---mn2-,Phylli,,,['pʰyɫ.lɪ̣.jʊs],,0
61585,61585,Picentia,n,n-s---fn1-,Picenti,,,[pɪ.'kɛn̪.t̪ɪ̣.ja],,0
61586,61586,Picenum,a,aps---nn3-,Picenum Picenum Picenum,,,[piː.'keː.n̪ũː],,0
61587,61587,Pictaui,n,n-p---mn2-,Pictau,,,['pɪk.t̪a.wɪ],,0
61588,61588,Picus,n,n-s---mn2-,Pic,,,['pɪ.kʊs],,0
61589,61589,Pieria,n,n-s---fn1-,Pieri,,,[pɪ̣.'jɛ.rɪ̣.ja],,0
61590,61590,Pieros,n,n-s---mn2-,Pier,,,['pɪ̣.jɛ.rɔs],,0
61592,61592,Pilatus,n,n-s---mn2-,Pilat,,,['pɪ.la.t̪ʊs],,0
61524,61524,Philae,n,n-p---fn1-,Phil,,,['pʰɪ.laj],,0
61525,61525,Philammon,n,n-s---mn3-,Philamm,,,['pʰɪ.la.mmɔn̪],,0
61597,61597,Pindarus,n,n-s---mn2-,Pindar,,,['pɪn̪.d̪a.rʊs],,0
61598,61598,Pindenissus,n,n-s---mn2-,Pindeniss,,,[pɪn̪.d̪ɛ.'n̪ɪs.sʊs],,0
61599,61599,Pindus,n,n-s---mn2-,Pind,,,['pɪn̪.d̪ʊs],,0
61600,61600,Piraeus,n,n-s---mn2-,Pirae,,,['pɪrews],,0
61601,61601,Pirene,n,n-s---fn1-,Piren,,,['pɪ.rɛ.n̪ɛ],,0
61602,61602,Pirithous,n,n-s---mn2-,Piritho,,,[pɪ.'rɪ.t̪ʰɔ.jʊs],,0
61603,61603,Pisa,n,n-s---fn1-,Pis,,,['pɪ.sa],,0
61604,61604,Pisae,n,n-p---fn1-,Pis,,,['pɪ.saj],,0
61606,61606,Pisaurum,n,n-s---nn2-,Pisaur,,,[pɪ.'saw.rũː],,0
61607,61607,Pisciculus,n,n-s---mn2-,Piscicul,,,[pɪs.'kɪ.kʊ.lʊs],,0
61608,61608,Pisida,n,n-s---fn1-,Pisid,,,['pɪ.sɪ.d̪a],,0
61609,61609,Pisinuus,n,n-s---mn2-,Pisinu,,,[pɪ.'sɪ.n̪ʊ.jʊs],,0
61610,61610,Pisistratus,n,n-s---mn2-,Pisistrat,,,[pɪ.'sɪs.t̪ra.t̪ʊs],,0
61611,61611,Piso,n,n-s---mn3-,Piso,,,['piː.soː],,0
61612,61612,Pistorium,n,n-s---nn2-,Pistori,,,[pɪs.'t̪ɔ.rɪ̣.jũː],,0
61613,61613,Pitane,n,n-s---fn1-,Pitan,,,['pɪ.t̪a.n̪ɛ],,0
61614,61614,Pithecium,n,n-s---nn2-,Pitheci,,,[pɪ.'t̪ʰɛ.kɪ̣.jũː],,0
61616,61616,Pittheus,n,n-s---mn2-,Pitthe,,,['pɪt̪t̪ʰews],,0
61617,61617,Placentia,n,n-s---fn1-,Placenti,,,[pla.'kɛn̪.t̪ɪ̣.ja],,0
61618,61618,Plaetorius,n,n-s---mn2-,Plaetori,,,[plaj.'t̪ɔ.rɪ̣.jʊs],,0
61619,61619,Planaria,n,n-s---fn1-,Planari,,,[pla.'n̪a.rɪ̣.ja],,0
61620,61620,Plataeae,a,app---fn1-,Platae Platae Platae,,,[pla.'t̪aj.jaj],,0
61621,61621,Plato,a,aps---nn3-,Plato Plato Plato,,,['pla.t̪ɔ],,0
61623,61623,Plautinus,a,aps---mn1-,Plautin Plautin Plautin,,,['plaw.t̪ɪ.n̪ʊs],,1
61622,61622,Plautius,n,n-s---mn2-,Plauti,,,['plaw.t̪ɪ̣.jʊs],,0
61624,61624,Pleione,n,n-s---fn1-,Pleion,,,['pɫejɔ.n̪ɛ],,0
61625,61625,Plestina,n,n-s---fn1-,Plestin,,,['plɛs.t̪ɪ.n̪a],,0
61626,61626,Pleuron,n,n-s---nn3-,Pleur,,,['pɫewrɔn̪],,0
61628,61628,Plinius,n,n-s---mn2-,Plini,,,['plɪ.n̪ɪ̣.jʊs],,0
61629,61629,Plisthenes,n,n-p---mn3-,Plisthen,,,['plɪs.t̪ʰɛ.n̪ɛs],,0
61630,61630,Plistia,n,n-s---fn1-,Plisti,,,['plɪs.t̪ɪ̣.ja],,0
