on,,,['t̪ʰrɔ.n̪oːs],,0
130018,130018,thunnarius,a,aps---mn1-,thunnari thunnari thunnari,,,[t̪ʰʊn̪.'n̪a.rɪ̣.jʊs],,0
130019,130019,thuralis,a,aps---cn3i,thural thural thural,,,['t̪ʰʊ.ra.lɪs],,0
130020,130020,thurarius,a,aps---mn1-,thurari thurari thurari,,,[t̪ʰʊ.'ra.rɪ̣.jʊs],,0
130021,130021,thureus,a,aps---mn1-,thure thure thure,,,['t̪ʰʊrews],,0
130022,130022,thuribulum,n,n-s---nn2-,thuribul,,,[t̪ʰʊ.'rɪ.bʊ.ɫũː],,0
30999,i1512,infantaria,n,n-s---fn1-,infantari,,,[iːn̪.fan̪.'t̪a.rɪ̣.ja],infantaria,0
130023,130023,thuricremus,a,aps---mn1-,thuricrem thuricrem thuricrem,,,[t̪ʰʊ.'rɪ.krɛ.mʊs],,0
130024,130024,thurifer,a,aps---mn1r,thurifer thurifer thurifer,,,['t̪ʰʊ.rɪ.fɛr],,0
130025,130025,thurificatio,n,n-s---fn3-,thurification,,,[t̪ʰʊ.rɪ.fɪ.'ka.t̪ɪ̣.jɔ],,0
130026,130026,thurificator,n,n-s---mn3-,thurificator,,,[t̪ʰʊ.rɪ.'fɪ.ka.t̪ɔr],,0
130027,130027,thurificatus,n,n-s---mn2-,thurificat,,,[t̪ʰʊ.rɪ.'fɪ.ka.t̪ʊs],,0
130028,130028,thurifico,v,v1spia--1-,thurific thurificau thurificat,,,[t̪ʰʊ.'rɪ.fɪ.kɔ],,0
130029,130029,thurilegus,a,aps---mn1-,thurileg thurileg thurileg,,,['t̪ʰʊ.rɪ.lɛgʷs],,0
130030,130030,thurinus,a,aps---mn1-,thurin thurin thurin,,,['t̪ʰʊ.rɪ.n̪ʊs],,0
130031,130031,thusculum,n,n-s---nn2-,thuscul,,,['t̪ʰʊs.kʊ.ɫũː],,0
130032,130032,thyasus,n,n-s---mn2-,thyas,,,['t̪ʰy.ja.sʊs],,0
130033,130033,thymallus,n,n-s---mn2-,thymall,,,[t̪ʰy.'maɫ.lʊs],,0
130037,130037,thymele,n,n-s---fn1g,thymel,,,['t̪ʰy.mɛ.lɛ],,0
130039,130039,thymelici,n,n-p---mn2-,thymelic,,,[t̪ʰy.'mɛ.lɪ.kɪ],,0
130040,t0646,thymiamatizo,v,v1spia--1-,thymiamatiz thymiamatizau thymiamatiza,,,[t̪ʰy.mɪ̣.ja.ma.'t̪ɪz.zɔ],thymiamatizo,0
130041,t0647,thymiamatus,a,aps---mn1-,thymiamat thymiamat thymiamat,,,[t̪ʰy.mɪ̣.'ja.ma.t̪ʊs],thymiamatus,0
130042,130042,thymiamus,a,aps---mn1-,thymiam thymiam thymiam,,,[t̪ʰy.'mɪ̣.ja.mʊs],,0
130043,130043,thymiaterium,n,n-s---nn2-,thymiateri,,,[t̪ʰy.mɪ̣.ja.'t̪ɛ.rɪ̣.jũː],,0
130044,t0648,thyminus,a,aps---mn1-,thymin thymin thymin,,,['t̪ʰy.mɪ.n̪ʊs],thyminus,0
