tas,n,n-s---fn3-,inpassibilitat,,,[ɪn̪.pas.sɪ.'bɪ.lɪ.t̪as],,0
55354,55354,inreligiosus,a,aps---mn1-,inreligios inreligios inreligios,,,[ɪn.rɛ.lɪ.ɡɪˈoː.sʊs],,0
55375,l0006,labecula,n,n-s---fn1-,labecul,,,[la.'bɛ.kʊ.la],labecula,0
55358,55358,mage,r,rp--------,uican,,,['ma.geː],,0
55301,m0481,matta,n,n-s---fn1-,matt,,,['mat̪.t̪a],matta,0
55312,55312,mobilito,v,v1spia--3-,mobilit mobilitau mobilitat,,,[mɔ.'bɪ.lɪ.t̪ɔ],,0
55348,55348,nequidem,a,rp--------,  ,,,[ˈneː ˈkᶣɪ.dẽ],,0
55327,55327,obruza,n,n-s---fn1-,obruz,,,['ɔ.brʊ.zza],,0
55334,55334,oprepto,v,v1spia--1-,oprept opreptau opreptat,,,['ɔ.prɛ.pt̪ɔ],,0
55302,55302,oricularius,n,n-s---mn2-,oriculari,,,[ɔ.rɪ.kʊ.'la.rɪ̣.jʊs],,0
55346,55346,quacumque,r,rp--------,,,,[kʷaː.'kʊm.kʷɛ],,0
55374,r1440,reuincio,v,v1spia--4-,reuinc reuinx reuinct,,,[rɛˈwɪŋ.ki.oː],reuincio,0
55309,s1754,sinistrorsum,r,rp--------,,,,[sɪ.'n̪ɪs.t̪rɔ.rsũː],sinistrorsum,0
55367,s2514,stirpitus,r,rp--------,incongruent,,,['st̪ɪr.pɪ.t̪ʊs],stirpitus,0
55303,55303,summitto,v,v1spia--3-,summitt summis summiss,,,[sʊmˈmɪt.toː],,0
55335,s3776,supplosio,n,n-s---fn3-,supplosion,,,[sʊp.'plɔ.sɪ̣.jɔ],supplosio,0
55321,55321,suspensus,a,aps---mn1-,suspens suspens suspens,,,[sʊs.'peːn̪.sʊs],,0
55357,55357,uicanus,n,n-s---mn2-,uican,,,[wiːˈkaː.nʊs],,0
55362,55362,uiridarium,n,n-s---nn2-,uiridari,,,[wɪ.rɪ.'d̪a.rɪ̣.jũː],,0
55329,a3704,adinuicem,r,rp--------,,,,[a.d̪ɪ.'n̪uj.kẽː],adinuicem,0
55436,55436,adfectator,n,n-s---mn3-,adfectator,,,[ad̪.'fɛk.t̪a.t̪ɔr],,0
55453,55453,accersitio,n,n-s---fn3-,accersition,,,[ak.kɛr.'sɪ.t̪ɪ̣.jɔ],,0
55447,55447,adscisco,v,v1spia--3-,adscisc adsciu adscit,,,/atˈskiːs.koː/,,0
55422,55422,affabre,r,rp--------,,,,['af.fa.brɛ],,0
55446,55446,ammirabilitas,n,n-s---fn3-,ammirabilitat,,,[a.mmɪ.ra.'bɪ.lɪ.t̪as],,0
55387,55387,anarchista,n,n-s---fn1-,anarchist,,,[a.n̪ar.'kʰɪs.t̪a],,0
55423,55423,aniticula,n,n-s---fn1-,an,,,[a.n̪ɪ.'t̪ɪ.kʊ.la],,0
55416,55416,aquicelus,n,n-s---mn2-,aquicel,,,[a.'kʷɪ.kɛ.lʊs],,0
55427,55427,barrinus,n,n-s---mn2-,barr,,,['bar.rɪ.n̪ʊs],,0
55395,b0439,bitumineus,a,aps---mn1-,bitumine bitumine bitumine,,,['bɪ.t̪ʊ.mɪn̪ews],bitumineus,0
55443,c0754,cassita,n,n-s---fn1-,cassit,,,/kasˈsiː.ta/,cassita,0
55425,55425,centralizatio,n,n-s---fn3-,centralization,,,[kɛn̪.t̪ra.lɪ.'zza.t̪ɪ̣.jɔ],,0
55391,55391,chiliophylion,n,n-s---nn2-,chiliophyli,,,[kʰɪ.lɪ̣.jɔ.'pʰy.lɪ̣.jɔn̪],,0
55439,c2506,colorius,a,aps---mn1-,colori colori colori,,,[kɔˈɫoː.ri.ʊs],colorius,0
55400,55400,commatus,a,aps---mn1-,commat commat commat,,,['kɔ.mma.t̪ʊs],,0
55440,55440,compartimentum,n,n-s---nn2-,compartiment,,,[kɔm.par.t̪ɪ.'mɛn̪.t̪ũː],,0
