0,n,10,a barrel holding vinegar in which cucumbers are pickled,
123132,03239948,n,10,the butt end of a rifle,"1781,2655"
123135,03240363,n,10,"equipment, including necessary machinery, for a particular enterprise",
123136,03240500,n,10,"arrangement of masts, spars, sails, etc., on a vessel",
123137,03240685,n,10,a long slender pointed sable brush used by artists,2425
123140,03241028,n,10,path or strip of land over which someone has the right to pass,1946
123142,03241267,n,10,the outer part of a wheel to which the tire is attached,"2098,2875"
123144,03241644,n,10,a square platform marked off by ropes in which contestants box or wrestle,2642
123147,03242176,n,10,contains a surface for ice skating or roller skating,"2415,2446,2646"
123148,03242312,n,10,a cord that is pulled to open a parachute from its pack during a descent,
123149,03242457,n,10,a cord that is pulled to open the gasbag of a balloon wide enough to release gas and so causes the balloon to descend,1946
123150,03242647,n,10,a steel lever with one end formed into a ripping chisel and the other a gooseneck with a claw for pulling nails,2415
123152,03243005,n,10,a handsaw for cutting with the grain of the wood,2415
123153,03243117,n,10,the vertical part of a stair or step,"2415,2446"
123154,03243224,n,10,a boat used on rivers or to ply a river,1942
123155,03243338,n,10,having a head at one end and the other end being hammered flat after being passed through holes in the pieces that are fastened together,
123156,03243526,n,10,a machine for driving rivets,"1787,2415"
123158,03243766,n,10,the butt of a marijuana cigarette,
123159,03243851,n,10,metal tweezers used by marijuana smokers to hold a roach,2600
123160,03243979,n,10,an open way (generally public) for travel or transportation,"1707,1946"
123161,03244591,n,10,a foundation of earth or rock supporting a road,1946
123162,03244730,n,10,a barrier set up by police to stop traffic on a street or road in order to catch a fugitive or inspect traffic etc.,1946
123163,03244913,n,10,an inn (usually outside city limits on a main road) providing meals and liquor and dancing and (sometimes) gambling,"1707,2415,2772"
123123,03238619,n,10,a beam laid along the ridge of a roof; provides attachment for upper end of rafters,"2415,2446"
150570,07567791,n,10,"someone who sews: ""a sewer of fine gowns""",2425
150547,07564181,n,10,"a Portuguese title of respect; equivalent to English ""Mr""",2516
123174,03246471,n,10,any vehicle propelled by a rocket engine,1946
123199,03249939,n,10,(usually plural) a one-piece garment for children; the lower part is shaped like bloomers,2875
123200,03250081,n,10,a screen in a church; separates the nave from the choir or chancel,"1565,1707,2415"
123221,03254490,n,10,a bag filled with rosin; used by baseball pitchers to improve their grip on the ball,2871
123194,03249285,n,10,a woman's foundation garment rolled on to the hips,2875
123164,03245084,n,10,an open automobile having a front seat and a rumble seat,1946
123165,03245238,n,10,the surface of a paved roadway,
123166,03245327,n,10,especially that part of a road over which vehicles travel,"1707,1946"
123167,03245456,n,10,any loose flowing garment,2875
123168,03245586,n,10,equipment used in robotics,2098
123169,03245677,n,10,produces plane-polarized ultraviolet light,2102
123170,03245796,n,10,a cutting bit that has rotating hard-toothed rollers,"1787,2415"
123171,03245916,n,10,a curved support that permits the supported object to rotate to and fro,"1960,2410,2633"
123172,03246097,n,10,"a center-pivoted lever, especially to push a valve down in an internal-combustion engine","2098,2415"
123173,03246257,n,10,a device containing its own propellant and driven by reaction propulsion,"1946,2098"
123175,03246619,n,10,a military base for rocket missiles,1781
123176,03246712,n,10,a firing range for rocket missiles,
123178,03246920,n,10,a chair mounted on rockers,2410
123179,03247107,n,10,a long thin implement made of metal or wood,
123180,03247398,n,10,an enclosure for cattle that have been rounded up,2338
123182,03247794,n,10,a roll of photographic film,2527
123183,03247872,n,10,a cylinder that revolves,
123184,03248046,n,10,a window shade that rolls up out of the way,"2410,2446"
123185,03248148,n,10,a railway in an amusement park (usually with sharp curves and steep inclines),"1946,2098,2600"
123186,03248335,n,10,a shoe with rollers fixed to the sole,2646
123187,03248431,n,10,"a towel with the ends sewn together, hung on a roller",1787
123188,03248543,n,10,photographic film wound on a spool,2527
123189,03248633,n,10,a hitch for fastening a line to a spar or another rope,
123190,03248765,n,10,where metal is rolled into sheets and bars,"1787,1794,2446"
123193,03249129,n,10,tobacco leaves that have been made into a cylinder,
123195,03249389,n,10,a dispenser of a liquid cosmetic (such as a deodorant) having a revolving ball as an applicator,
123196,03249538,n,10,a round arch drawn from a single center,2446
123197,03249654,n,10,a building constructed by the ancient Romans,2415
123198,03249795,n,10,a cylindrical firework that projects a series of colored balls of fire,2110
123201,03250224,n,10,a structure that covers or forms the top of a building,2415
123202,03250547,n,10,top of motor vehicle,"1707,1946"
123203,03250693,n,10,a garden on a flat roof of a building,"2314,2876"
123205,03252402,n,10,a small private compartment for one on a sleeping car,"1940,2415,2772"
123206,03252529,n,10,a perch on which domestic fowl rest or sleep,2188
123207,03252625,n,10,a shelter with perches for fowl or other birds,2188
123208,03252760,n,10,a pit where root vegetables are stored,
123209,03252883,n,10,a strong cord,
123210,03253293,n,10,a bridge consisting of ropes,1946
123211,03253379,n,10,a ladder with side pieces of rope,
123212,03253470,n,10,a ski tow offering only a rope to hold onto,"1946,2646"
123213,03253568,n,10,a long narrow path or shed where rope is made,
123214,03253680,n,10,the strands out of which ropes are made,
123215,03253775,n,10,beads used in counting prayers (especially Catholic rosary),1565
123216,03253902,n,10,a flower bed in which roses are growing,"2314,2876"
123217,03254030,n,10,a garden for growing roses,"2314,2876"
123219,03254302,n,10,water scented with oil of roses,2371
123220,03254390,n,10,circular and filled with tracery,"2415,2446"
123222,03254648,n,10,(computer science) the actuator that moves a read/write head to the proper data track,1355
123223,03254808,n,10,an engine in which power is transmitted directly to rotating components,2098
123224,03254975,n,10,a machine for printing from a revolving cylinder,1422
123225,03255082,n,10,a mechanism that rotates,2098
123226,03255317,n,10,a revolving rod that transmits power or motion,2098
123191,03248866,n,10,a cylinder (usually of wood) with a handle at each end; used to roll out dough,1957
150578,07568727,n,10,"a person who is unusually skilled in certain ways: ""a card shark""",2516
150583,07569298,n,10,"a docile and vulnerable person who would rather follow than make an independent decision: ""his students followed him like sheep""",2516
123270,03261457,n,10,"a ruined building: ""they explored several Roman ruins""",2415
123276,03262332,n,10,a fork-like spoon with a cutting edge; coined by Edward Lear,1957
123227,03255541,n,10,a restaurant that specializes in roasted and barbecued meats,"1707,2415,2772"
123275,03262180,n,10,a recreation room for noisy activities (parties or children's play etc),2415
123228,03255658,n,10,an oven or broiler equipped with a rotating spit on which meat cooks as it turns,2353
123230,03256044,n,10,the rotating armature of a motor or generator,"2098,2284"
123231,03256229,n,10,the revolving arm of a distributor,"2284,2415"
123232,03256334,n,10,the long airfoil that rotates to provide the lift that supports a helicopter in the air,"1942,2098"
123233,03256512,n,10,the axis around which the major rotor of a helicopter turns,2098
123234,03256661,n,10,a large circular room,2415
123235,03256736,n,10,a building having a circular plan and a dome,"2415,2446"
123236,03256834,n,10,a pink or red powder applied to the cheeks,2371
123237,03256946,n,10,a rough preliminary model,
123238,03257027,n,10,a toothed wheel for making a row of perforations,2098
123239,03257146,n,10,the ball used to play roulette,2633
123241,03257416,n,10,a charge of ammunition for a single shot,1781
123242,03257540,n,10,an arch formed in a continuous curve,2446
123243,03257705,n,10,a spherical flask with a narrow neck,
123244,03257806,n,10,round piece that protects armpit,"1781,2768"
123246,03258038,n,10,circular building for repairing locomotives,
123247,03258138,n,10,the legendary circular table for King Arthur and his knights,1566
123248,03258256,n,10,a woodworking plane with a narrow cutting head that will make grooves with smooth bottoms,"2415,2425"
123249,03258404,n,10,a small spiked wheel at the end of a spur,2098
123250,03258516,n,10,one of a row of identical houses situated side by side and sharing common walls,2415
123251,03258682,n,10,(British) a rowboat,"1942,2648,2772"
123252,03258759,n,10,an arch that is formed with more than one concentric row of voussoirs,2446
123253,03258887,n,10,a series of bricks place next to each other (usually in a straight line),
123254,03259019,n,10,"a sail set next above the topgallant, on a royal mast","1787,1942"
123255,03259124,n,10,a brace to secure the royal mast,
123256,03259214,n,10,immediately above the topgallant mast,1942
123258,03259463,n,10,a high boot made of rubber,2875
123260,03259790,n,10,a copy (as of an engraving) made by laying paper over something and rubbing it with charcoal,
123261,03259936,n,10,a poisonous solution of isopropyl alcohol or denatured ethanol alcohol for external use,2248
123262,03260085,n,10,a medicine for external application that produces redness of the skin,2248
123263,03260212,n,10,(nautical) a hinged vertical plate mounted at the stern of a vessel and used to steer it,1942
123264,03260429,n,10,a hinged vertical airfoil mounted at the tail of an aircraft and used to make horizontal course changes,1942
123265,03260604,n,10,the vertical blade on a rudder,"1942,2772"
123266,03260712,n,10,a vertical post at the forward edge of a rudder that enables the rudder to pivot,"1942,2415"
123267,03260882,n,10,a piece of thick heavy fabric (usually with nap or pile) used to cover a floor,2410
123268,03261284,n,10,informal term for a toupee,2875
123269,03261360,n,10,inflated oval ball used in playing rugby,"2633,2871"
123271,03261562,n,10,a strip of wood or metal or plastic with a straight edge that is used for drawing straight lines and measuring lengths,1951
123273,03261932,n,10,a folding outside seat in the back of some early cars,1948
123274,03262062,n,10,a large drinking glass (ovoid bowl on a stem) for drinking toasts,
123277,03262453,n,10,one of the crosspieces that form the steps of a ladder,"2415,2446"
123278,03262594,n,10,a crosspiece between the legs of a chair,2410
123279,03262777,n,10,the parts on which something can move along,"1946,2446"
123280,03262928,n,10,a narrow footboard serving as a step beneath the doors of some old cars,1946
123281,03263078,n,10,a light comfortable shoe designed for running,2875
123282,03263182,n,10,small even hand stitches run in and out,2425
123283,03263282,n,10,a strip of level paved ground where planes can take off and land,1946
123284,03263437,n,10,a tallow candle with a rush stem as the wick,
123285,03263551,n,10,a reddish brown homespun fabric,1787
123286,03263635,n,10,a shag rug made in Sweden,2410
123245,03257911,n,10,a file with a circular cross section; used to file the inside of holes,"1787,2415"
150546,07564063,n,10,"someone who transmits a message: ""return to sender""",1935
150574,07568254,n,10,"an inseparable companion: ""the poor child was his mother's shadow""",2516
123298,03265158,n,10,man's hip-length coat with a straight back; the jacket of a suit,2875
123330,03270311,n,10,a boy's outfit; copied from a sailor's uniform,2875
123321,03268238,n,10,a pin in the form of a clasp; has a guard so the point of the pin will not stick the user,
123328,03269660,n,10,a vessel that is powered by the wind; having several masts,1942
170602,00207831,v,10,"make fit or prepared: ""Your education qualifies you for this job""",
123341,03271611,n,10,a type of house built in New England; has two stories in front and one behind,2415
123346,03272153,n,10,a tray (or large plate) for serving food or drinks; usually made of silver,
123293,03264534,n,10,a bag made of paper or plastic for holding customer's purchases,
123287,03263720,n,10,a fencing sword with a v-shaped blade and a slightly curved handle,"1781,2642"
123289,03264097,n,10,a scarf (or trimming) made of sable,2875
123291,03264312,n,10,a coat made of sable furs,2875
123295,03264833,n,10,a medieval musical instrument resembling a trombone,2536
123296,03264938,n,10,a coarse cloth resembling sacking,1787
123299,03265278,n,10,coarse fabric used for bags or sacks,1787
123300,03265433,n,10,a seat for the rider of a horse,"1948,2651"
123301,03265646,n,10,a piece of leather across the instep of a shoe,2875
123302,03265764,n,10,a large bag (or pair of bags) hung over a saddle,
123303,03265868,n,10,a blanket placed under the saddle,2651
123304,03266009,n,10,an oxford with a saddle of contrasting color,2875
123305,03266127,n,10,the place where a saddler works,2446
123306,03266213,n,10,a mild soap for cleansing and conditioning leather,
123307,03266336,n,10,"a decorative overcast or running stitch, especially in a contrasting color",2425
123308,03266470,n,10,where valuables can be kept safe,
123309,03266553,n,10,a ventilated or refrigerated cupboard for securing provisions from pests,2410
123310,03266694,n,10,a fireproof metal box (usually in a bank) for storing valuables,1766
123311,03266897,n,10,a refuge from attack,
123312,03266972,n,10,an undecorated arch that is included in order to strengthen or support a construction,2446
123313,03267133,n,10,a belt attaching you to some object in order to prevent you from getting hurt,"1948,2875"
123315,03267481,n,10,a bolt that cannot be moved from outside the door or gate,2415
123316,03267610,n,10,a locking device that prevents a weapon from being fired,1781
123317,03267758,n,10,a fireproof theater curtain to be dropped in case of fire,
123318,03267876,n,10,a tube or cord filled or saturated with combustible matter,2110
123319,03267992,n,10,an oil lamp that will not ignite flammable gases (methane),
123320,03268120,n,10,strikes only on a specially prepared surface,
123322,03268384,n,10,a railing placed alongside a stairway or road for safety,"1946,2415"
123323,03268510,n,10,a razor with a guard to prevent deep cuts in the skin,2371
123325,03268893,n,10,a large piece of fabric (as canvas) by means of which wind is used to propel a sailing vessel,"1787,1942"
123326,03269353,n,10,a boat that can be propelled by sails,1942
123327,03269533,n,10,a strong fabric (such as cotton canvas) used for making sails and tents,1787
123329,03270233,n,10,a cap worn by sailors,2875
123331,03270415,n,10,a counter where diners can assemble a salad to their own taste,2410
123332,03270533,n,10,a large bowl for mixing and serving a salad,1957
123333,03270633,n,10,a fork intended for eating salads,1957
123334,03270723,n,10,a plate or bowl for individual servings of salad,1957
123335,03270842,n,10,a hydrometer that determines the concentration of salt solutions by measuring their density,1951
123336,03270991,n,10,a vaccine consisting of inactivated poliovirus that is injected subcutaneously to provide immunity to poliomyelitis,2248
123337,03271165,n,10,a light medieval helmet with a slit for vision,"1781,2768"
123338,03271274,n,10,elegant room where guests are received,2415
123339,03271364,n,10,where works of art can be displayed,"1707,2415,2772"
123340,03271451,n,10,a shop where hairdressers and beauticians work,"2446,2872"
123342,03271742,n,10,a small container for holding salt at the dining table,
123343,03271853,n,10,a mine where salt is dug,"1787,2446"
123344,03271933,n,10,a shaker with a perforated top for sprinkling salt,1957
123345,03272054,n,10,a plant where salt is produced commercially,"1787,2446"
123347,03272280,n,10,either of two Soviet space stations launched in the 1970s,2873
123294,03264735,n,10,a woman's full loose hip-length jacket,2875
150585,07569586,n,10,"an offensive term for non-Jewish young man; ""why does she like all those shkotzim?""",1565
150591,07570196,n,10,a derogatory term used by Jews to refer to non-Jewish women,2516
123362,03274233,n,10,a disposable absorbent pad; worn to absorb menstrual flow,2371
123363,03274352,n,10,a trail that extends from Missouri to New Mexico; an important route for settlers moving west in the 19th century,"1946,2772"
123366,03274796,n,10,a garment worn primarily by Hindu women; consists of several yards of light material that is draped around the body,2875
123377,03276429,n,10,a smooth fabric of silk or rayon; has a glossy face and a dull back,1787
123380,03276857,n,10,a small pan; has a handle,1957
123382,03277096,n,10,a Finnish steam bath; steam is produced by pouring water over heated rocks,2415
123402,03279530,n,10,an instrument for weighing; shows amount of mass,1951
123407,03280131,n,10,a long wide piece of woolen cloth worn over the shoulders with an opening for the head; part of a monastic habit,2875
123348,03272390,n,10,leather belt supported by a strap over the right shoulder,2875
123350,03272657,n,10,an Asian skiff usually propelled by two oars,1942
123351,03272754,n,10,a piece of needlework demonstrating skill with various stitches,"2425,2875"
123352,03272871,n,10,an observation station that is set up to make sample observations of something,2076
123353,03273022,n,10,a hospital for recuperation or for the treatment of chronic diseases,"1707,2232,2415,2446"
123354,03273160,n,10,a shoe consisting of a sole fastened by straps to the foot,2875
123357,03273602,n,10,a pile of sand or a box filled with sand for children to play in,2633
123358,03273731,n,10,box with sand shaped to mold metal,
123360,03273981,n,10,a wedge used to get out of sand traps,2871
123361,03274075,n,10,two hinged boards that hang from the shoulders of a walker and are used to display advertisements,
123364,03274545,n,10,(trademark) a thin plastic packaging material made of Saran,1787
123365,03274680,n,10,a stone coffin (usually bearing sculpture or inscriptions),
123368,03275143,n,10,a frame that holds the panes of a window in the window frame,2415
123369,03275287,n,10,a strong cord connecting a sash weight to a sliding sash,
123370,03275411,n,10,a lock attached to the sashes of a double hung window that can fix both in the shut position,2415
123371,03275608,n,10,a counterweight for a sliding sash,1787
123372,03275700,n,10,a small case with a flat bottom and (usually) a shoulder strap,2772
123373,03275816,n,10,a cotton fabric with a satiny finish,1787
123374,03275905,n,10,a man-made object that orbits around the earth,2873
123375,03276175,n,10,a receiver on a communications satellite,"1935,2107,2873"
123376,03276299,n,10,a transmitter on a communications satellite,"1935,2107,2873"
123378,03276548,n,10,flat stitches worked so closely as to resemble satin,2425
123381,03276992,n,10,a small shallow dish for holding a cup at the table,1957
123383,03277235,n,10,a net hung between ship and pier while loading a ship,1787
123384,03277343,n,10,a sail set to catch wind spilled from a larger sail,"1787,1942"
123385,03277449,n,10,a receptacle for catching waste products for further use,
123387,03277765,n,10,having a toothed blade for cutting,2415
123388,03277959,n,10,a doll that is stuffed with sawdust,2633
123389,03278053,n,10,a saloon whose floor is covered with sawdust,2415
123390,03278158,n,10,a shotgun with short barrels,1781
123391,03278250,n,10,a framework for holding wood that is being sawed,
123392,03278396,n,10,a large sawing machine,2415
123393,03278472,n,10,a tool used to bend each alternate sawtooth at a slight angle outward,2415
123394,03278595,n,10,a serration on a saw blade,2415
123395,03278695,n,10,a single-reed woodwind with a conical bore,2536
123396,03278799,n,10,any of a family of brass wind instruments that resemble a bugle with valves,2536
123397,03278928,n,10,a sheath for a sword or dagger or bayonet,
123398,03279024,n,10,a temporary arrangement erected around a building for convenience of workers,
123399,03279174,n,10,a platform from which criminals are executed (hanged or beheaded),1802
123400,03279313,n,10,a system of scaffolds,2415
123401,03279411,n,10,an indicator having a graduated sequence of marks,2053
123403,03279685,n,10,a ladder used to scale the walls in an attack,
123404,03279791,n,10,a thin straight surgical knife used in dissection and surgery,2259
123405,03279906,n,10,a device that scans automatically for some signal or condition,2107
123406,03280022,n,10,an upright in house framing,2415
123408,03280310,n,10,an object in the shape of a man to frighten birds away from seeds,
123356,03273451,n,10,a tool that throws out a blast of steam laden with sand; used to clean or grind hard surfaces,2415
150592,07570317,n,10,a contractor who buys old ships and breaks them up for scrap,2415
150594,07570581,n,10,a person who builds ships as a business,2415
123434,03284213,n,10,"a large ladle: ""he used a scoop to serve the ice cream""",
123449,03286335,n,10,"a covering that serves to conceal or shelter something: ""they crouched behind the screen""; ""under cover of darkness""",
123413,03281179,n,10,"the painted structures of a stage set that are intended to suggest a particular locale: ""they worked all night painting the scenery""",
123453,03287186,n,10,"a door that is a screen to keep insects out of a building: ""he heard the screen slam as she left""",2415
123459,03288471,n,10,a hand tool for driving screws; has a tip that fits into the head of a screw,"1787,2415"
123409,03280442,n,10,a garment worn around the head or neck or shoulders for warmth or decoration,2875
123436,03284466,n,10,child's foot-operated two-wheeled vehicle,1946
123410,03280714,n,10,small pin usually worn in groups of two or more,2474
123414,03281427,n,10,small railway in an amusement park,1946
123415,03281522,n,10,diagram of an electrical or mechanical system,2479
123416,03281643,n,10,(slang) merchandise that is shoddy or inferior,2872
123417,03281752,n,10,has plate that corrects for aberration so that a wide area of sky can be photographed,"2076,2097"
123419,03282172,n,10,a bell rung to announce end of class,2101
123420,03282266,n,10,a bus used to transport children to or from school,"1707,1781,1946"
123421,03282373,n,10,a place where school children cross a street on the way to school,1946
123422,03282500,n,10,a ship used to train students as sailors,1942
123423,03282614,n,10,the plant and equipment for providing education from kindergarten through high school,
123424,03282797,n,10,used in former time,1942
123425,03282889,n,10,a large beer glass,
123426,03282962,n,10,a museum that collects and displays objects having scientific interest,"2446,2772"
123427,03283093,n,10,an instrument used by scientists,2097
123429,03283496,n,10,light flashes when exposed to ionizing radiation,1951
123430,03283612,n,10,a cutting implement having two crossed pivoting blades,
123431,03283831,n,10,an instrument that measures the hardness of materials by penetrating them with a diamond-pointed stylus,1951
123432,03283992,n,10,an arch that supports part of the wall,2446
123433,03284107,n,10,a candlestick with a flat side to be hung on the wall,
123435,03284320,n,10,the shovel or bucket of dredge or backhoe,"1787,2415"
123438,03284884,n,10,a large board for displaying the score of a contest (and some other information),2638
123439,03285039,n,10,transparent or semitransparent tape used for sealing or attaching or mending,2232
123440,03285173,n,10,a whip used to inflict punishment,
123441,03285260,n,10,a small abrasive pad used for scouring pots and pans,2353
123442,03285371,n,10,a barge carrying bulk materials in an open hold,1942
123443,03285469,n,10,any of various flat-bottomed boats with sloping ends,1942
123444,03285572,n,10,makes speech unintelligible during transmission and restoring it at reception,2107
123445,03285705,n,10,a album into which clippings or notes or pictures can be pasted,1422
123446,03285824,n,10,any of various tools for scraping,2415
123447,03285911,n,10,(computer) a high-speed internal memory used for temporary storage of preliminary information,1355
123448,03286061,n,10,a metallic netting mounted in a frame and covering windows or doors for protection (especially against insects),
123450,03286607,n,10,a decorative frame or panel serving to divide a space,
123451,03286767,n,10,the surface of the large end of a cathode-ray tube on which an electronically created image is formed,"1355,2107,2284,2606"
123452,03287008,n,10,a white or silvered surface where pictures can be projected for viewing,2527
123454,03287369,n,10,metal or plastic mesh fabric,1787
123456,03287768,n,10,a fastener with a tapered threaded shank and a slotted head,
123457,03288097,n,10,a device with several angled blades that rotates to push against water or air,"1942,2098"
123458,03288282,n,10,a simple machine of the inclined-plane type consisting of a spirally threaded cylindrical rod that engages with a similarly threaded hole,2098
123460,03288659,n,10,a woodscrew having its shank bent into a ring,
123461,03288760,n,10,a wrench for turning a screw,"1787,2415"
123462,03288844,n,10,the raised helical rib going around a screw,
123463,03288974,n,10,a wrench that has one jaw that can be adjusted by turning a screw,"1787,2415"
123464,03289098,n,10,a sharp-pointed tool for marking wood or metal to be cut,2415
123465,03289222,n,10,a firm open-weave fabric used for a curtain in the theater,1787
123583,03307079,n,10,a needle used in sewing to pull thread through cloth,
123418,03281918,n,10,"a place where young people receive education: ""the school was built in 1932""; ""he walked to school every morning""","1919,2415,2446"
150595,07570678,n,10,a dealer in equipment and supplies for ships,2872
150596,07570782,n,10,an associate on the same ship with you,2516
150597,07570875,n,10,someone who owns a ship or a share in a ship,1946
123483,03291835,n,10,a boat that is seaworthy; that is adapted to the open seas,1942
123488,03292606,n,10,(nautical) to be lowered over a ship's side for coming aboard,1942
123485,03292086,n,10,a device incised to make an impression; used to secure a closing or to authenticate documents,
123497,03294261,n,10,"furniture that is designed for sitting on: ""there were not enough seats for all the guests""",2410
123496,03293673,n,10,"any support where you can sit (especially the part of a chair or bench etc. on which you sit); ""he dusted off the seat before sitting down""","1948,2410"
123498,03294658,n,10,"the cloth that covers the buttocks: ""the seat of his pants was worn through""",2875
123507,03296309,n,10,"the second lowest forward gear ratio in the gear box of a motor vehicle: ""he had to shift down into second to make the hill""","1946,2098"
123484,03291984,n,10,a sailor's storage chest for personal property,
123466,03289332,n,10,"an article carved or engraved from whalebone, whale ivory, walrus tusk, etc., usually by American whalers",2459
123467,03289493,n,10,a device that removes impurities from a gas,2097
123468,03289591,n,10,a brush with short stiff bristles for heavy cleaning,2875
123469,03289719,n,10,a narrow woodworking plane used to cut away excess stock,"2415,2425"
123470,03289833,n,10,a hoe that is used by pushing rather than pulling,2415
123471,03289962,n,10,a racing shell propelled by one or two oarsmen pulling two oars,"1942,2651"
123472,03290077,n,10,one of a pair of short-handled oars,1942
123473,03290164,n,10,a long-handled oar mounted at the stern of a boat and moved left and right to propel the boat forward,1942
123475,03290519,n,10,a three-dimensional work of art,2459
123476,03290822,n,10,a film of impurities or vegetation that can form on the surface of a liquid,2354
123477,03290966,n,10,allows water on the deck of a vessel to flow overboard,2306
123482,03291700,n,10,a cylindrical drawstring bag used by sailors to hold their clothing and other gear,
123486,03292328,n,10,a tight and perfect closure,
123487,03292478,n,10,a finishing coating applied to seal out especially moisture,
123490,03292938,n,10,a garment (as a jacket or coat or robe) made of sealskin,2875
123491,03293049,n,10,line formed by joining two pieces,
123492,03293187,n,10,an airplane that can land on or take off from water,1946
123493,03293342,n,10,a light source with reflectors that projects a beam of light in a particular direction,
123494,03293505,n,10,a hot iron used to destroy tissue,2232
123495,03293597,n,10,a painting of the sea,2511
123499,03294823,n,10,a safety belt used in a car or plane to hold you in your seat in case of an accident,"1942,1948,2875"
123500,03295001,n,10,a cushion that makes a seat more comfortable,2410
123502,03295441,n,10,a regularly used sea route for vessels,1946
123503,03295570,n,10,a white odorless slightly bitter powder (trade name Seconal) used as a sodium salt for sedation and to treat convulsions,2248
123504,03295793,n,10,current is induced in the secondary coil by passing a current through the primary coil,2284
123505,03295991,n,10,inexpensive seating area in the rearmost or uppermost and balcony or section of seats,2610
123506,03296186,n,10,the base that must be touched second by a base runner in baseball,2871
123508,03296519,n,10,hand marking seconds,
123509,03296615,n,10,a piece of furniture used for a writing desk,2410
123511,03297141,n,10,two graduated arms hinged at one end,1951
123512,03297230,n,10,a blanket (or toy) that a child carries around in order to reduce anxiety,
123513,03297366,n,10,(informal) anything that a person uses to reduce their anxiety,1502
123514,03297491,n,10,an electrical device that sets off an alarm when someone tries to break in,2284
123515,03297658,n,10,a car that is closed and that has front and rear seats and two or four doors,1946
123516,03297804,n,10,a closed litter for one passenger,1946
123517,03297921,n,10,a drug that reduces excitability and calms a person,2248
123518,03298155,n,10,a sedative that depresses activity of the central nervous system and reduces anxiety and induces sleep,2248
123519,03298418,n,10,a plot of ground where seedlings are grown before transplanting,"2314,2876"
123520,03298535,n,10,a utensil that removes seeds from fruit,1957
123521,03298627,n,10,a device that sows grass seed or grain evenly over the ground,2098
123522,03298741,n,10,"a light puckered fabric, usually striped",1787
123523,03298838,n,10,a plaything that is ridden up and down by children at either end,"2415,2633"
123524,03299003,n,10,a glass for beer,
123478,03291074,n,10,for holding coal; shaped to permit pouring the coal onto the fire,
150599,07571070,n,10,the agent of a shipowner,2516
150600,07571155,n,10,an employee who ships and receives goods,2516
123553,03303038,n,10,an obsolete bass cornet; resembles a snake,2536
123564,03304491,n,10,converts a small mechanical motion into one requiring much greater power; may include a negative feedback system,2098
123579,03306508,n,10,"an article made by sewing: ""she put her sewing back in the basket""",2425
123525,03299072,n,10,"a large fishnet that hangs vertically, with floats at the top and weights at the bottom",2655
123526,03299229,n,10,an instrument for detecting and measuring the intensity and direction and duration of of movements of the ground (as an earthquake),1951
123527,03299418,n,10,light rope that is used for lashing two or more ropes together,
123528,03299534,n,10,a switch that is used to select among alternatives,2098
123529,03299694,n,10,a photoelectric cell that uses a strip of selenium,2284
123530,03299804,n,10,a machine that automatically provides a supply of some material (especially one that discharges feed into a trough for livestock),2188
123531,03300000,n,10,a thermometer that records the temperature automatically,1951
123532,03300131,n,10,an electric motor that automatically starts an internal-combustion engine,2098
123533,03300301,n,10,the edge of a fabric that is woven so that it will not ravel or fray,1787
123534,03300434,n,10,an ornamental fringe at either end of an oriental carpet,2425
123535,03300555,n,10,an apparatus for visual signaling with lights or mechanically moving arms,
123536,03300684,n,10,a semi-abstract painting,2511
123537,03300771,n,10,a firearm that is self-loading but fires only one shot at each pull of the trigger,1781
123538,03300957,n,10,a pistol that is semiautomatic,1781
123539,03301106,n,10,a device made with semiconducting material,2107
123540,03301325,n,10,a house that is attached to something on only one side,2415
123541,03301445,n,10,a paint that dries with a finish between glossy and flat,2511
123543,03301727,n,10,an instrument for measuring the light sensitivity of film over a range of exposures,"1951,2527"
123544,03301887,n,10,a small shelter with an open front to protect a sentry from the weather,2415
123545,03302015,n,10,a garment that can be purchased separately and worn in combinations with other garments,2875
123546,03302157,n,10,where solid matter or sewage is disintegrated by bacteria,
123547,03302272,n,10,a succession of related shots that develop a given subject in a film,"1935,2527"
123548,03302424,n,10,a small piece of shiny material used as a decoration on clothing,2875
123550,03302670,n,10,a twilled woolen fabric,1787
123551,03302745,n,10,a sewing machine that overcasts the raw edges of a fabric with a V-shaped stitch,"1787,2353"
123554,03303134,n,10,a firework that moves in serpentine manner when ignited,2110
123556,03303391,n,10,something used in serving food or drink,1957
123557,03303483,n,10,(computer science) a computer that provides client stations with access to files and printers as shared resources to a computer network,1355
123558,03303697,n,10,a complete set of articles (silver or dishware) for use at table,1957
123559,03303867,n,10,a recreational center for servicemen,"2415,2446"
123560,03303962,n,10,an entrance intended for the use of servants or for delivery of goods and removal of refuse,2446
123561,03304131,n,10,a station where service is provided,"1946,2446,2772"
123562,03304264,n,10,a handcart for serving food,1946
123563,03304386,n,10,a dish used for serving food,1957
123566,03304905,n,10,where a wall or building narrows abruptly,
123567,03305019,n,10,a decoration used as part of the set of a theatrical or movie production,
123568,03305171,n,10,a gun that is set to fire on any intruder that comes in contact with the wire that sets it off,1781
123569,03305332,n,10,a piece of scenery intended to stand alone as part of the stage setting,
123570,03305459,n,10,a try square with an adjustable sliding head,2415
123571,03305560,n,10,a small sofa,2410
123572,03305625,n,10,a long wooden bench with a back,2410
123573,03305718,n,10,a playing card with seven pips on the face,2637
123574,03305817,n,10,a plant for disposing of sewage,"1787,2446"
