esco,v,v1spia--3-,subolesc - -,,,[sʊ.bɔ.'lɛs.kɔ],subolesco,1
27462,s3022,suborno,v,v1spia--1-,suborn subornau subornat,,,/suˈboːr.noː/,suborno,1
27463,s4036,subreptio,n,n-s---fn3-,subreption,,,[sʊ.'brɛ.pt̪ɪ̣.jɔ],subreptio,1
27466,s3069,subrogo,v,v1spia--1-,subrog subrogau subrogat,,,[ˈsʊ.brɔ.ɡoː],subrogo,1
27467,s3089,subsannator,n,n-s---mn3-,subsannator,,,[sʊp.'san̪.n̪a.t̪ɔr],subsannator,1
27468,s3092,subsanno,v,v1spia--1-,subsann subsannau subsanna,,,[sʊˈpsan.noː],subsanno,1
27469,s3097,subscribo,v,v1spia--3-,subscrib subscrips subscript,,,[sʊpˈskriː.boː],subscribo,1
27470,s3107,subsellium,n,n-s---nn2-,subselli,,,[sʊˈpsɛl.li.ũ],subsellium,1
27471,s3122,subsidium,n,n-s---nn2-,subsidi,,,[sʊp.'sɪ.d̪ɪ̣.jũː],subsidium,1
27472,s3123,subsido,v,v1spia--3-,subsid subsed subsess,,,[sʊˈpsiː.doː],subsido,1
27473,s3133,subsisto,v,v1spia--3-,subsist substit -,,,[sʊˈpsɪs.toː],subsisto,1
27477,s3150,substituo,v,v1spia--3-,substitu substitu substitut,,,[sʊpˈstɪ.tʊ.oː],substituo,1
27479,s3159,substructio,n,n-s---fn3-,substruction,,,[sʊps.'t̪rʊ.kt̪ɪ̣.jɔ],substructio,1
27480,s3172,subtemen,n,n-s---nn3-,subtemin,,,[sʊpˈteː.mẽ],subtemen,1
27482,s3184,subterfugio,v,v1spia--3i,subterfug subterfug -,,,[sʊp.tɛrˈfʊ.ɡi.oː],subterfugio,1
27483,s3208,subtexo,v,v1spia--3-,subtex subtexu subtext,,,[sʊpˈtɛk.soː],subtexo,1
27485,s3213,subtilitas,n,n-s---fn3-,subtilitat,,,[sʊp.'t̪ɪ.lɪ.t̪as],subtilitas,1
27487,s3227,subtus,r,rp--------,,,,[ˈsʊp.tʊs],subtus,1
27490,s3238,subuenio,v,v1spia--4-,subuen subuen subuent,,,[sʊbˈwɛ.ni.oː],subuenio,1
27491,s6235,subuersio,n,n-s---fn3-,subuersion,,,[sʊ.bʊ.'jɛr.sɪ̣.jɔ],subuersio,1
27492,s3237,subuerto,v,v1spia--3-,subuert subuert subuers,,,[sʊbˈwɛr.toː],subuerto,1
27488,s3243,subulcus,n,n-s---mn2-,subulc,,,[sʊ.'bʊɫ.kʊs],subulcus,1
27489,s3255,suburbium,n,n-s---nn2-,suburbi,,,[sʊ.'bʊr.bɪ̣.jũː],suburbium,1
27493,s3260,succedo,v,v1spia--3-,succed success success,,,[sʊkˈkeː.doː],succedo,1
27494,s3271,successio,n,n-s---fn3-,succession,,,[sʊk.'kɛs.sɪ̣.jɔ],successio,1
27496,s3269,successus,n,n-s---mn4-,success,,,[sʊk.'kɛs.sʊs],successus,1
50813,i0662,improuidentia,n,n-s---fn1-,improuidenti,,,[ɪm.prɔ.wɪ.'d̪ɛ.n̪t̪ɪ̣.ja],improuidentia,0
121818,121818,phthisiscens,a,aps---an3i,phthisiscent phthisiscent phthisiscent,,,[pʰt̪ʰɪ.'sɪs.keːn̪s],phthisiscens,0
125098,r0426,repensor,n,n-s---mn3-,repensor,,,[rɛ.'peːn̪.sɔr],repensor,0
121851,121851,piceatus,a,aps---mn1-,piceat piceat piceat,,,[pɪ.'kɛ̣.ja.t̪ʊs],piceatus,0
125100,r0427,repentaliter,r,rp--------,,,,[rɛ.pɛn̪.'t̪a.lɪ.t̪ɛr],repentaliter,0
125101,r0428,repentim,r,rp--------,,,,['rɛ.pɛn̪t̪ĩː],repentim,0
125097,125097,repensio,n,n-s---fn3-,repension,,,[rɛ.'peːn̪.sɪ̣.jɔ],repensio,0
27509,s3345,suffero,v,v1spia--3-,suffer sustul sublat,"27653,27654,27655,27656",,[ˈsʊf.fɛ.roː],suffero,1
125099,125099,repensus,a,aps---mn1-,repens repens repens,,,[rɛ.'peːn̪.sʊs],repensus,0
27507,27507,suetus,a,aps---mn1-,suet suet suet,,,['sʊ.jɛ.t̪ʊs],suetus,1
27510,27510,sufficiens,a,aps---an3i,sufficient sufficient sufficient,,,[sʊf.'fɪ.kɪ̣.jeːn̪s],sufficiens,1
27533,27533,sulphur,n,n-s---nn3-,sulphur,,,[ˈsʊɫ.pʰʊr],sulphur,1
27536,27536,summum,n,n-s---nn2-,summ,,,[ˈsʊm.mũ],summum,1
27541,27541,super,r,rp--------,,,,[ˈsʊ.pɛr],super,1
27548,27548,superlatus,a,aps---mn1-,superlat superlat superlat,,,[sʊ.'pɛr.la.t̪ʊs],superlatus,1
27501,s3311,sucidus,a,aps---mn1-,sucid sucid sucid,,,[ˈsuː.kɪ.dʊs],sucidus,1
27502,s3317,suculentus,a,aps---mn1-,suculent suculent suculent,,,[suː.kʊˈɫɛn.tʊs],suculentus,1
27504,s3323,sudarium,n,n-s---nn2-,sudari,,,[sʊ.'d̪a.rɪ̣.jũː],sudarium,1
27505,s3330,sudo,v,v1spia--1-,sud sudau sudat,,,/ˈsuː.doː/,sudo,1
27506,s3331,sudor,n,n-s---mn3-,sudor,,,[ˈsuː.dɔr],sudor,1
27511,s3351,sufficio,v,v1spia--3i,suffic suffec suffect,,,[sʊfˈfɪ.ki.oː],sufficio,1
27512,s3352,suffigo,v,v1spia--3-,suffig suffix suffix,,,[sʊfˈfiː.ɡoː],suffigo,1
27513,s3353,suffimen,n,n-s---nn3-,suffimin,,,['sʊf.fɪ.mɛn̪],suffimen,1
27514,s3355,suffimentum,n,n-s---nn2-,suffiment,,,[sʊf.fɪ.'mɛn̪.t̪ũː],suffimentum,1
27515,s3361,sufflamen,n,n-s---nn3-,sufflamin,,,[sʊfˈfɫaː.mẽ],sufflamen,1
27516,s3366,sufflo,v,v1spia--1-,suffl sufflau sufflat,,,[ˈsʊf.fɫoː],sufflo,1
27517,s3368,suffocatio,n,n-s---fn3-,suffocation,,,[sʊf.fɔ.'ka.t̪ɪ̣.jɔ],suffocatio,1
27518,s3369,suffoco,v,v1spia--1-,suffoc suffocau suffocat,,,[sʊfˈfoː.koː],suffoco,1
27519,s3370,suffodio,v,v1spia--3i,suffod suffod suffoss,,,[sʊfˈfɔ.di.oː],suffodio,1
27520,s3374,suffragator,n,n-s---mn3-,suffragator,,,[sʊff.'ra.ga.t̪ɔr],suffragator,1
27522,s3380,suffrago,n,n-s---fn3-,suffragin,,,[sʊfˈfraː.ɡoː],suffrago,1
27525,s3402,suggero,v,v1spia--3-,sugger suggess suggest,,,[ˈsʊɡ.ɡɛ.roː],suggero,1
27526,s3403,suggestio,n,n-s---fn3-,suggestion,,,[sʊɡˈɡɛs.ti.oː],suggestio,1
27527,s9979,suggestus,n,n-s---mn4-,suggest,,,[sʊg.'gɛs.t̪ʊs],suggestus,1
27528,s3405,suggillo,v,v1spia--1-,suggill suggillau suggillat,,,[sʊɡˈɡɪl.loː],suggillo,1
27530,s3414,sugo,v,v1spia--3-,sug sux suct,,,/ˈsuː.ɡoː/,sugo,1
27531,s3425,sulco,v,v1spia--1-,sulc sulcau sulcat,,,[ˈsʊɫ.koː],sulco,1
27532,s3426,sulcus,n,n-s---mn2-,sulc,,,[ˈsʊɫ.kʊs],sulcus,1
27534,s3451,summa,n,n-s---fn1-,summ,,,[ˈsʊm.ma],summa,1
27537,s3451,summus,a,aps---mn1-,summ summ summ,,,[ˈsʊm.mʊs],summus,1
27538,s3452,sumo,v,v1spia--3-,sum sumps sumpt,,,/ˈsuː.moː/,sumo,1
27539,s3457,sumptuosus,a,aps---mn1-,sumptuos sumptuos sumptuos,,,[sʊmp.tʊˈoː.sʊs],sumptuosus,1
27540,s9980,sumptus,n,n-s---mn4-,sumpt,,,['suːmp.t̪uːs],sumptus,1
27542,s3493,superbia,n,n-s---fn1-,superbi,,,[sʊˈpɛr.bi.a],superbia,1
27543,s3500,superbus,a,aps---mn1-,superb superb superb,,,[sʊˈpɛr.bʊs],superbus,1
27549,s3649,supernus,a,aps---mn1-,supern supern supern,,,[sʊˈpɛr.nʊs],supernus,1
27550,s3650,supero,v,v1spia--1-,super superau superat,,,[ˈsʊ.pɛ.roː],supero,1
27551,s3697,superstitio,n,n-s---fn3-,superstition,,,[sʊ.pɛrs.'t̪ɪ.t̪ɪ̣.jɔ],superstitio,1
27553,s3715,superuacaneus,a,aps---mn1-,superuacane superuacane superuacane,,,[sʊ.pɛr.waˈkaː.ne.ʊs],superuacaneus,1
27554,s3718,superuacuus,a,aps---mn1-,superuacu superuacu superuacu,,,[sʊ.pɛrˈwa.kʊ.ʊs],superuacuus,1
27555,s3719,superuado,v,v1spia--3-,superuad - -,,,[sʊ.pɛ.'rʊ.ja.d̪ɔ],superuado,1
27556,s3741,supinus,a,aps---mn1-,supin supin supin,,,[sʊˈpiː.nʊs],supinus,1
27557,s3770,supplicatio,n,n-s---fn3-,supplication,,,[sʊp.plɪ.'ka.t̪ɪ̣.jɔ],supplicatio,1
27563,s3794,suppuro,v,v1spia--1-,suppur suppurau suppurat,,,['sʊp.pʊ.rɔ],suppuro,1
113374,i0712,inaccessibilis,a,aps---cn3i,inaccessibil inaccessibil inaccessibil,,,[ɪ.n̪ak.kɛs.'sɪ.bɪ.lɪs],inaccessibilis,0
27500,s3302,succurro,v,v1spia--3-,succurr succurr succurs,,,[sʊkˈkʊr.roː],succurro,1
121915,121915,pinguiter,r,rp--------,,,,['pɪŋ.gʷɪ.t̪ɛr],pinguiter,0
125107,r0432,reperticius,a,aps---mn1-,repertici repertici repertici,,,[rɛ.pɛr.'t̪ɪ.kɪ̣.jʊs],reperticius,0
125108,r0433,repertio,n,n-s---fn3-,repertion,,,[rɛ.'pɛr.t̪ɪ̣.jɔ],repertio,0
125109,r0435,repertorium,n,n-s---nn2-,repertori,,,[rɛ.pɛr.'t̪ɔ.rɪ̣.jũː],repertorium,0
125103,125103,repentine,r,rp--------,,,,[rɛ.'pɛn̪.t̪ɪ.n̪ɛ],repentine,0
125106,125106,repercussus,a,aps---mn1-,repercuss repercuss repercuss,,,[rɛ.pɛr.'kʊs.sʊs],repercussus,0
27601,27601,Syria,n,n-s---fn1-,Syri,,,['sy.rɪ̣.ja],Syria,0
