2,cibicida,n,n-s---mn1-,cibicid,,,[kɪ.bɪˈkiː.da],cibicida,0
42112,t1068,transnato,v,v1spia--1-,transnat transnatau transnatat,,,[ˈtrãː.sna.toː],transnato,0
42152,a0073,abiuro,v,v1spia--1-,delectabilius delectabilissime,,,/abˈjuː.roː/,abiuro,0
41872,a1908,ancala,n,n-s---fn1-,ancal,,27912,['aŋ.ka.la],ancala,0
42234,42234,antenatus,n,n-s---mn2-,antenat,,,[an.tɛˈnaː.tʊs],antenatus,0
41840,c0421,cannabus,n,n-s---mn2-,cannab,,27908,['kan̪.n̪a.bʊs],cannabus,0
42202,42202,bicinium,v,v1spia--3-,bicini,,,[bɪ.'kɪ.n̪ɪ̣.jũː],bicinium,0
42182,42182,blandum,r,rp--------,,,,['blan̪.d̪ũː],blandum,0
42229,42229,circumtentus,a,aps---mn1-,circumtent circumtent circumtent,,,[kɪr.kʊm.'t̪ɛn̪.t̪ʊs],circumtentus,0
42172,42172,coaccedo,v,v1spia--3-,coacced coaccess coaccess,,,[kɔ.'jak.kɛ.d̪ɔ],coaccedo,0
42196,42196,coctonum,n,n-s---nn2-,cocton,,,['kɔk.t̪ɔ.n̪ũː],coctonum,0
42204,a3701,abinuicem,r,rp--------,,,,[a.bɪ.'n̪uj.kẽː],abinuicem,0
42191,42191,conlacero,v,v1spia--1-,conlacer conlacerau conlacerat,,,[kɔ.'n̪la.kɛ.rɔ],conlacero,0
42180,42180,conrecumbens,a,aps---an3-,conrecumbent conrecumbent conrecumbent,,,[kɔ.'n̪rɛ.kʊ.mbeːn̪s],conrecumbens,0
42219,42219,cosigno,v,v1spia--1-,cosign cosignau cosignat,,,[kɔ.'sɪŋ.n̪ɔ],cosigno,0
42209,a2744,arcisellium,n,n-s---nn2-,arciselli,,,[ar.kɪ.'sɛɫ.lɪ̣.jũː],arcisellium,0
42236,42236,dextrouersus,r,rp--------,,,,[d̪ɛks.'t̪rɔ.wɛ.rsʊs],dextrouersus,0
42201,42201,digestiuus,a,aps---mn1-,digestiu digestiu digestiu,,,[diː.ɡɛsˈtiː.wʊs],digestiuus,0
42170,42170,fefello,v,v1spia--3-,fefell fefellau fefellat,,,[fɛ.'fɛɫ.lɔ],fefello,0
42184,42184,grauatus,a,aps---mn1-,grauat grauat grauat,,,['gra.wa.t̪ʊs],grauatus,0
42215,42215,horminum,n,n-s---nn2-,hormin,,,['hɔr.mɪ.n̪ũː],horminum,0
42189,42189,iubilus,n,n-s---mn2-,,,,['jʊ.bɪ.lʊs],iubilus,0
42214,42214,mancusus,a,aps---mn1-,mancus mancus mancus,,,['maŋ.kʊ.sʊs],mancusus,0
42177,42177,mane,r,rp--------,,,,[ˈmaː.nɛ],mane,0
42245,42245,penecostas,n,n-s---fn3-,penecostad,,,[pɛ.n̪ɛ.'kɔs.t̪as],penecostas,0
42176,42176,porosus,a,aps---mn1-,poros poros poros,,,[pɔˈroː.sʊs],porosus,0
42218,b0636,brocchitas,n,n-s---fn3-,brocchitat,,,['brɔk.kʰɪ.t̪as],brocchitas,0
42246,c0760,cassum,n,n-s---nn2-,cass,,,['kas.sũː],cassum,0
42221,42221,praesidentia,n,n-s---fn1-,praesidenti,,,[praj.sɪ.'d̪ɛn̪.t̪ɪ̣.ja],praesidentia,0
42223,42223,pseudapostulus,n,n-s---mn2-,pseudapostul,,,[psewd̪a.'pɔs.t̪ʊ.lʊs],pseudapostulus,0
42195,42195,salariarius,n,n-s---mn2-,salariari,,,[sa.la.rɪ̣.'ja.rɪ̣.jʊs],salariarius,0
42224,42224,tragice,r,rp--------,pseudapostul,,,['t̪ra.gɪ.kɛ],tragice,0
42216,42216,transutus,a,aps---mn1-,hormin hormin hormin,,,['t̪raːn̪.sʊ.t̪ʊs],transutus,0
42186,42186,trepiditas,n,n-s---fn3-,trepiditat,,,[t̪rɛ.'pɪ.d̪ɪ.t̪as],trepiditas,0
42242,42242,abstruse,r,rp--------,,,,['aps.t̪rʊ.sɛ],abstruse,0
42188,c0973,cauliculatus,a,aps---mn1-,cauliculat cauliculat cauliculat,,,[kaw.lɪ.'kʊ.la.t̪ʊs],cauliculatus,0
42240,c8293,cerussatus,a,aps---mn1-,cerussat cerussat cerussat,,,[kɛ.'rʊs.sa.t̪ʊs],cerussatus,0
42239,c1599,cicuro,v,v1spia--1-,cicur cicurau cicurat,,,['kɪ.kʊ.rɔ],cicuro,0
42220,c1871,circumsonus,a,aps---mn1-,circumson circumson circumson,,,[kɪr.'kʊm.sɔ.n̪ʊs],circumsonus,0
42197,c3254,confirmatrix,n,n-s---fn3-,confirmatric,,,['kɔːn̪fɪr.ma.t̪rɪks],confirmatrix,0
42217,c7935,cyprum,n,n-s---nn2-,cypr,,,['ky.prũː],cyprum,0
42192,e1501,exinde,r,rp--------,,,,[ɛk.'sɪn̪.d̪ɛ],exinde,0
42222,a0090,abloco,v,v1spia--1-,abloc ablocau ablocat,,,[ˈa.bɫɔ.koː],abloco,0
42179,e1552,exornator,n,n-s---mn3-,conplu - -,,,[ɛk.'sɔr.n̪a.t̪ɔr],exornator,0
42199,i0002,iaceo,v,v1spia--2-,iac iacu -,,,/ˈja.ke.oː/,iaceo,0
42174,m0214,malua,n,n-s---fn1-,malu,,,[ˈmaɫ.wa],malua,0
42228,m0392,marisca,n,n-s---fn1-,marisc,,,[ma.'rɪs.ka],marisca,0
42225,n0638,nugigerulus,n,n-s---mn2-,nugigerul,,,[n̪ʊ.gɪ.'gɛ.rʊ.lʊs],nugigerulus,0
42206,o0021,obba,n,n-s---fn1-,obb,,,['ɔb.ba],obba,0
42190,o0035,obduresco,v,v1spia--3-,obduresc obduru -,,,[ɔb.d̪ʊ.'rɛs.kɔ],obduresco,0
42166,p1842,phalanga,n,n-s---fn1-,phalang,,,[pʰa.'laŋ.ga],phalanga,0
42198,p2099,pinifer,a,aps---mn1r,pinifer pinifer pinifer,,,[ˈpiː.nɪ.fɛr],pinifer,0
42243,p2996,praefluo,v,v1spia--3-,praeflu praeflux praeflux,,,[ˈprae̯.fɫʊ.oː],praefluo,0
42181,p4430,pugneus,a,aps---mn1-,pugne pugne pugne,,,[ˈpʊŋ.ne.ʊs],pugneus,0
42226,s3074,subrubeo,v,v1spia--2-,subrub - -,,,[sʊˈbrʊ.be.oː],subrubeo,0
42205,s3795,suppus,a,aps---mn1-,supp supp supp,,,['sʊp.pʊs],suppus,0
42231,t0533,thallus,n,n-s---mn2-,thall,,,['t̪ʰaɫ.lʊs],thallus,0
42230,e1476,exhorreo,v,v1spia--2-,exhorr exhorru -,,,[ɛksˈhɔr.re.oː],exhorreo,1
42297,42297,aquimolina,n,n-s---fn1-,aquimolin,,,[a.kʷɪ.'mɔ.lɪ.n̪a],aquimolina,0
42241,s0133,sagum,n,n-s---nn2-,sag,,27917,[ˈsa.ɡũ],sagum,0
42316,42316,scruto,v,v1spia--1-,scrut - scrutat,,27919,/ˈskruː.toː/,scruto,0
42272,m1239,mollities,n,n-s---fn5-,molliti,,27918,[mɔɫ.'lɪ.t̪ɪ̣.jɛs],mollities,0
42269,42269,arabice,r,rp--------,,,,[a.'ra.bɪ.kɛ],arabice,0
42256,42256,asceta,n,n-s---fn1-,ascet,,,['as.kɛ.t̪a],asceta,0
42319,42319,assimulatus,a,aps---mn1-,assimulat assimulat assimulat,,,[as.sɪ.'mʊ.la.t̪ʊs],assimulatus,0
42249,42249,capronea,n,n-s---fn1-,caprone,,,[ka.'prɔ.n̪ɛ̣.ja],capronea,0
42306,42306,conreptor,n,n-s---mn3-,conreptor,,,['kɔ.n̪rɛ.pt̪ɔr],conreptor,0
42258,42258,conuicus,n,n-s---mn2-,conuic,,,[kɔ.'n̪uj.kʊs],conuicus,0
42307,42307,coruscum,n,n-s---nn2-,corusc,,,[kɔ.'rʊs.kũː],coruscum,0
42287,42287,desolatus,a,aps---mn1-,desolat desolat desolat,,,[d̪ɛ.'sɔ.la.t̪ʊs],desolatus,0
42253,42253,eryngium,n,n-s---nn2-,eryngi,,,[ɛ.'ryŋ.gɪ̣.jũː],eryngium,0
42250,42250,granditer,r,rp--------,grand,,,[ˈɡran.dɪ.tɛr],granditer,0
42301,42301,humanum,n,n-s---nn2-,human,,,[huː.'maː.n̪ũː],humanum,0
42305,42305,illac,r,rp--------,,,,['ɪɫ.laːk],illac,0
42294,42294,maeste,r,rp--------,,,,['majs.t̪ɛ],maeste,0
42304,42304,oleaster,n,n-s---mn2r,oleastr,,,[ɔ.ɫɛˈas.tɛr],oleaster,0
42267,42267,palifico,v,v1spia--1-,palific palificau palificat,,,[pa.'lɪ.fɪ.kɔ],palifico,0
42282,a1927,ancora,n,n-s---fn1-,ancor,,,[ˈaŋ.kɔ.ra],ancora,0
42284,42284,patinus,n,n-s---mn2-,patin,,,['pa.t̪ɪ.n̪ʊs],patinus,0
42309,42309,perdiligenter,r,rp--------,optat,,,[pɛr.d̪ɪ.lɪ.'gɛn̪.t̪ɛr],perdiligenter,0
42300,42300,petisso,v,v1spia--3-,petiss - -,,,[pɛˈtɪs.soː],petisso,0
42289,42289,praehistoria,n,n-s---fn1-,praehistori,,,[praj.hɪs.'t̪ɔ.rɪ̣.ja],praehistoria,0
42273,42273,quamlibet,r,rp--------,,,,['kʷa.mlɪ.bɛt̪],quamlibet,0
42286,42286,refocillatrix,n,n-s---fn3-,refocillatric,,,[rɛ.fɔ.'kɪɫ.la.t̪rɪks],refocillatrix,0
42260,42260,romphea,n,n-s---fn1-,romphe,,,['rɔm.pʰɛ̣.ja],romphea,0
42257,42257,tabacarius,a,aps---mn1-,tabacari tabacari tabacari,,,[ta.baːˈkaː.ri.ʊs],tabacarius,0
42268,42268,tertiadecimanus,n,n-s---mn2-,tertiadeciman,,,[t̪ɛr.t̪ɪ̣.ja.d̪ɛ.'kɪ.ma.n̪ʊs],tertiadecimanus,0
42276,b0066,ballator,n,n-s---mn3-,ballator,,,['baɫ.la.t̪ɔr],ballator,0
42275,42275,testamentarius,n,n-s---mn2-,testamentari,,,[t̪ɛs.t̪a.mɛn̪.'t̪a.rɪ̣.jʊs],testamentarius,0
42280,b0654,brya,n,n-s---fn1-,bry,,,['bry.ja],brya,0
42263,c0279,calos,r,rp--------,,,,['ka.lɔs],calos,0
42299,42299,trigonus,n,n-s---mn2-,trigon,,,/triˈɡoː.nus/,trigonus,0
42320,c1005,causidicatio,n,n-s---fn3-,causidication,,,[kaw.sɪ.d̪ɪ.'ka.t̪ɪ̣.jɔ],causidicatio,0
42277,42277,typanum,n,n-s---nn2-,typan,,,['t̪y.pa.n̪ũː],typanum,0
42248,42248,zimmarra,n,n-s---fn1-,zimmarr,,,['zɪ.mma.rra],zimmarra,0
42266,c1682,circito,v,v1spia--1-,circit circitau circitat,,,[ˈkɪr.kɪ.toː],circito,0
42313,c4035,coriolum,n,n-s---nn2-,coriol,,,[kɔ.'rɪ̣.jɔ.ɫũː],coriolum,0
42264,c4718,cursio,n,n-s---fn3-,cursion,,,['kʊr.sɪ̣.jɔ],cursio,0
42259,d0337,defanatus,a,aps---mn1-,defanat defanat defanat,,,[d̪ɛ.'fa.n̪a.t̪ʊs],defanatus,0
42265,d1608,dimetria,n,n-s---fn1-,dimetri,,,[d̪ɪ.'mɛ.t̪rɪ̣.ja],dimetria,0
42321,u1372,uulnificus,a,aps---mn1-,uulnific uulnific uulnific,,,[wʊɫˈnɪ.fɪ.kʊs],uulnificus,0
42255,e0643,enucleo,v,v1spia--1-,enucle enucleau enucleat,,,[ɛ.'n̪ʊ.klɛ̣.jɔ],enucleo,0
42312,f0592,flabellum,n,n-s---nn2-,flabell,,,[fɫaːˈbɛl.lũ],flabellum,0
42317,f1076,frutectum,n,n-s---nn2-,frutect,,,[frʊ.'t̪ɛk.t̪ũː],frutectum,0
42295,f1203,furcillo,v,v1spia--1-,furcill furcillau furcillat,,,[fʊr.'kɪɫ.lɔ],furcillo,0
42288,i0731,inaequo,v,v1spia--1-,inaequ inaequau inaequat,,,[ɪˈnae̯.kʷoː],inaequo,0
42293,i2018,insidiator,n,n-s---mn3-,insidiator,,,[iːn̪.sɪ.'d̪ɪ̣.ja.t̪ɔr],insidiator,0
42291,l0075,lacrimosus,a,aps---mn1-,lacrim - lacrimat,,,[ɫa.krɪˈmoː.sʊs],lacrimosus,0
42308,o9723,optatum,n,n-s---nn2-,optat,,,['ɔp.t̪a.t̪ũː],optatum,0
42271,o1111,ostiatim,r,rp--------,praecipu,,,['ɔs.t̪ɪ̣.jat̪ĩː],ostiatim,0
42270,p2849,praecipuus,a,aps---mn1-,praecipu praecipu praecipu,,,[prae̯ˈkɪ.pʊ.ʊs],praecipuus,0
42283,s1125,semirasus,a,aps---mn1-,semiras semiras semiras,,,[seː.mɪˈraː.sʊs],semirasus,0
42279,a0736,adoptatio,n,n-s---fn3-,adoptation,,,[a.d̪ɔp.'t̪a.t̪ɪ̣.jɔ],adoptatio,0
42281,a1690,amita,n,n-s---fn1-,amit,,,[ˈa.mɪ.ta],amita,0
42370,d0285,decor,a,aps---an3-,decor decor decor,,"27923,27924",[ˈdɛ.kɔr],decor,0
42346,a3713,argentifodina,n,n-s---fn1-,argentifodin,,27922,[ar.ɡɛn.tiː.fɔˈdiː.na],argentifodina,0
42353,f0138,falsiloquus,a,aps---mn1-,falsiloqu falsiloqu falsiloqu,,27925,[faɫˈsɪ.ɫɔ.kʷʊs],falsiloquus,0
42380,a1218,agonotheta,n,n-s---mn1-,agonothet,,27921,[a.gɔ.'n̪ɔ.t̪ʰɛ.t̪a],agonotheta,0
42395,42395,adporto,v,v1spia--1-,adport adportau adportat,,27920,[adˈpɔr.toː],adporto,0
42355,42355,aecoreus,a,aps---mn1-,aecore aecore aecore,,,['aj.kɔrews],aecoreus,0
42329,42329,aliquantillum,v,v1spid----,aliquantill,,,[a.lɪ.kʷan̪.'t̪ɪɫ.ɫũː],aliquantillum,0
42400,42400,amarum,n,n-s---nn2-,amar,,,['a.ma.rũː],amarum,0
42323,a0124,aborigineus,a,aps---mn1-,aborigine aborigine aborigine,,,[a.bɔ.riːˈɡɪ.ne.ʊs],aborigineus,0
42403,42403,asplenon,n,n-s---nn2-,asplen,,,['as.plɛ.n̪ɔn̪],asplenon,0
42394,42394,cluma,n,n-s---fn1-,clum,,,['klʊ.ma],cluma,0
42338,42338,comprehendibilis,a,aps---cn3-,comprehendibil comprehendibil comprehendibil,,,[kɔm.prɛ.hɛ.'n̪d̪ɪ.bɪ.lɪs],comprehendibilis,0
42374,42374,contator,n,n-s---mn3-,contator,,,['kɔn̪.t̪a.t̪ɔr],contator,0
42349,42349,cupedia,n,n-s---fn1-,cupedi,,,[kʊ.'pɛ.d̪ɪ̣.ja],cupedia,0
42345,42345,exercens,n,n-s---cn3-,exercent,,,[ɛk.'sɛr.keːn̪s],exercens,0
42383,42383,fascismus,n,n-s---mn2-,fascism,,,[fas.'kɪs.mʊs],fascismus,0
42375,42375,garba,n,n-s---fn1-,garb,,,/ˈɡar.ba/,garba,0
42331,42331,imprudenter,r,rp--------,imprudentius imprudentissime,,,[ɪm.'prʊ.d̪ɛ.n̪t̪ɛr],imprudenter,0
42391,42391,laudandus,a,aps---mn1-,prouinci prouinci prouinci,,,[law.'d̪an̪.d̪ʊs],laudandus,0
42376,42376,moneaeum,n,n-s---nn2-,moneae,,,['mɔ.n̪ɛewm],moneaeum,0
42339,a0840,adynamos,a,aps---mn1g,adynam adynam adynam,,,[a.'d̪y.n̪a.mɔs],adynamos,0
42358,42358,periniquus,r,rp--------,subirat,,,[pɛ.rɪˈniː.kʷʊs],periniquus,0
42336,42336,phitonissa,n,n-s---fn1-,phitoniss,,,[pʰɪ.t̪ɔ.'n̪ɪs.sa],phitonissa,0
42335,42335,quadantenus,r,rp--------,,,,[kʷa.'d̪an̪.t̪ɛ.n̪ʊs],quadantenus,0
42396,42396,racha,a,aps---an3-,rach rach rach,,,['ra.kʰa],racha,0
42386,42386,sodes,r,rp--------,,,,/ˈsoː.deːs/,sodes,0
42357,42357,subiratus,a,aps---mn1-,subirat subirat subirat,,,[sʊ.'bɪ.ra.t̪ʊs],subiratus,0
42362,42362,typographeum,n,n-s---nn2-,typographe,,,['t̪y.pɔ.grapʰewm],typographeum,0
42322,42322,acroamatarius,a,aps---mn1-,acroamatari acroamatari acroamatari,,,[a.krɔ.ja.ma.'t̪a.rɪ̣.jʊs],acroamatarius,0
42392,a1300,albogalerus,n,n-s---mn2-,albogaler,,,[aɫ.bɔ.'ga.lɛ.rʊs],albogalerus,0
42372,a2642,aratiuncula,n,n-s---fn1-,aratiuncul,,,[a.raː.tɪˈʊŋ.kʊ.ɫa],aratiuncula,0
42363,c0744,casila,n,n-s---fn1-,casil,,,['ka.sɪ.la],casila,0
42343,c1145,centipes,n,n-s---mn3-,centiped,,,[ˈkɛn.tɪ.peːs],centipes,0
42365,c1290,cerula,n,n-s---fn1-,cerul,,,['kɛ.rʊ.la],cerula,0
42398,c6525,consignatio,n,n-s---fn3-,consignation,,,[kɔːn̪sɪŋ.'n̪a.t̪ɪ̣.jɔ],consignatio,0
42379,c4248,crassificatio,n,n-s---fn3-,crassification,,,[kras.sɪ.fɪ.'ka.t̪ɪ̣.jɔ],crassificatio,0
42385,d1426,digestio,n,n-s---fn3-,digestion,,,[diːˈɡɛs.ti.oː],digestio,0
42368,e1742,exsequiae,n,n-p---fn1-,exsequi,,,[ɛkˈsɛ.kᶣi.ae̯],exsequiae,0
42361,h0115,harenula,n,n-s---fn1-,harenul,,,[ha.'rɛ.n̪ʊ.la],harenula,0
42340,i0645,improdictus,a,aps---mn1-,improdict improdict improdict,,,[ɪm.proːˈdɪk.tʊs],improdictus,0
42328,i2863,irreuerentia,n,n-s---fn1-,irreuerenti,,,[ɪrr.ewɛ.'rɛ.n̪t̪ɪ̣.ja],irreuerentia,0
42327,m0470,matricula,n,n-s---fn1-,matricul,,,[maːˈtriː.kʊ.ɫa],matricula,0
42354,o1105,ostentator,n,n-s---mn3-,ostentator,,,[ɔs.'t̪ɛn̪.t̪a.t̪ɔr],ostentator,0
42332,p0844,peraeque,r,rp--------,,,,[pɛ.'raj.kʷɛ],peraeque,0
42378,p4504,pilatus,a,aps---mn1-,pilat pilat pilat,,,[piːˈɫaː.tʊs],pilatus,0
42390,p4218,prouinciatim,r,rp--------,prouinci,,,[prɔ.'wɪŋ.kɪ̣.jat̪ĩː],prouinciatim,0
42364,p4567,purpuratus,a,aps---mn1-,purpurat purpurat purpurat,,,[pʊr.pʊˈraː.tʊs],purpuratus,0
42333,s0682,scitulus,a,aps---mn1-,scitul scitul scitul,,,[ˈskiː.tʊ.ɫʊs],scitulus,0
42367,s2797,subcrudus,a,aps---mn1-,subcrud subcrud subcrud,,,['sʊb.krʊ.d̪ʊs],subcrudus,0
42389,t0853,torpedo,n,n-s---fn3-,torpedin,,,[tɔrˈpeː.doː],torpedo,0
42404,t1151,trepidatio,n,n-s---fn3-,trepidation,,,[trɛ.pɪˈdaː.ti.oː],trepidatio,0
42373,a0628,adiuro,v,v1spia--1-,adiur adiurau adiurat,,,/adˈjuː.roː/,adiuro,0
42441,42441,adfectiosus,a,aps---mn1-,adfectios adfectios adfectios,,,[ad̪.fɛk.'t̪ɪ̣.jɔ.sʊs],adfectiosus,0
42475,42475,adparatus,n,n-s---mn4-,adparat,,,[ad̪.'pa.ra.t̪ʊs],adparatus,0
42434,42434,adtagena,n,n-s---fn1-,adtagen,,,[ad̪.'t̪a.gɛ.n̪a],adtagena,0
42440,42440,adtribuo,v,v1spia--3-,adtribu adtribu adtribut,,,[atˈtrɪ.bʊ.oː],adtribuo,0
42451,42451,ammorsus,a,aps---mn1-,ammors ammors ammors,,,['a.mmɔ.rsʊs],ammorsus,0
42406,42406,amotibilis,a,aps---cn3-,amotibil amotibil amotibil,,,[a.mɔ.'t̪ɪ.bɪ.lɪs],amotibilis,0
42412,42412,apscido,v,v1spia--3-,apscid apscid apscis,,,['aps.kɪ.d̪ɔ],apscido,0
42450,42450,autenta,n,n-s---fn1-,autent,,,[aw.'t̪ɛn̪.t̪a],autenta,0
42432,42432,canterius,n,n-s---mn2-,canteri,,,[kan̪.'t̪ɛ.rɪ̣.jʊs],canterius,0
42419,42419,adfectatus,a,aps---mn1-,adfectat adfectat adfectat,,,[ad̪.'fɛk.t̪a.t̪ʊs],adfectatus,0
42454,42454,cardinalatus,n,n-s---mn4-,cardinalat,,,[kar.d̪ɪ.'n̪a.la.t̪ʊs],cardinalatus,0
42426,42426,chrematista,n,n-s---fn1-,chrematist,,,[kʰrɛ.ma.'t̪ɪs.t̪a],chrematista,0
42415,42415,commodate,r,rp--------,commodatius commodatissime,,,[kɔ.'mmɔ.d̪a.t̪ɛ],commodate,0
42480,42480,conpatriota,n,n-s---fn1-,conpatriot,,,[kɔn̪.pa.'t̪rɪ̣.jɔ.t̪a],conpatriota,0
42459,42459,continuanter,r,rp--------,,,,[kɔn̪.t̪ɪ.n̪ʊ.'jan̪.t̪ɛr],continuanter,0
42464,42464,curatus,r,rp--------,,,,['kʊ.ra.t̪ʊs],curatus,0
42424,42424,currens,a,aps---an3-,current current current,,,['kʊr.reːn̪s],currens,0
42429,42429,denus,a,aps---mn1-,den den den,,,['d̪ɛ.n̪ʊs],denus,0
42421,42421,dirimens,a,aps---an3-,diriment diriment diriment,,,['d̪ɪ.rɪ.meːn̪s],dirimens,0
42420,42420,exsiccatus,a,aps---mn1-,adfectat adfectat adfectat,,,[ɛks.'sɪk.ka.t̪ʊs],exsiccatus,0
42433,42433,fetidus,a,aps---mn1-,fetid fetid fetid,,,[ˈfeː.tɪ.dʊs],fetidus,0
42422,42422,imprisonamentum,n,n-s---nn2-,imprisonament,,,[ɪm.prɪ.sɔ.'n̪a.mɛ.n̪t̪ũː],imprisonamentum,0
42425,42425,incohamentum,n,n-s---nn2-,incohament,,,[ɪŋ.kɔ.ha.'mɛn̪.t̪ũː],incohamentum,0
42461,42461,maturrimus,a,aps----n3-,maturrim maturrim maturrim,,,[ma.'t̪ʊr.rɪ.mʊs],maturrimus,0
42439,42439,metabolicus,a,aps---mn1-,metabolic metabolic metabolic,,,[mɛ.t̪a.'bɔ.lɪ.kʊs],metabolicus,0
42437,i2982,iubilatio,n,n-s---fn3-,,,,[juː.bɪˈɫaː.ti.oː],iubilatio,0
42474,42474,nominetenus,r,rp--------,,,,[n̪ɔ.mɪ.'n̪ɛ.t̪ɛ.n̪ʊs],nominetenus,0
42458,42458,plancus,n,n-s---mn2-,planc,,,[ˈpɫaŋ.kʊs],plancus,0
42472,42472,posterioritas,n,n-s---fn3-,posterioritat,,,[pɔs.t̪ɛ.rɪ̣.'jɔ.rɪ.t̪as],posterioritas,0
42423,42423,statiua,n,n-s---fn1-,statiu,,,['st̪a.t̪ɪ.wa],statiua,0
42469,42469,summoleste,r,rp--------,,,,[sʊ.'mmɔ.lɛ.st̪ɛ],summoleste,0
42477,42477,utercumque,a,aps---an3-,utr utr utr,,,[ʊ.t̪ɛr.'kʊm.kʷɛ],utercumque,0
42416,42416,Figlina,n,n-s---fn1-,Figlin,,,['fɪ.glɪ.n̪a],Figlina,0
42443,42443,adclino,v,v1spia--1-,adclin adclinau adclinat,,,/adˈkliː.noː/,adclino,0
42411,a9209,aliquantisper,r,rp--------,,,,[a.lɪ.kʷan̪.'t̪ɪs.pɛr],aliquantisper,0
42446,a1523,altiusculus,a,aps---mn1-,altiuscul altiuscul altiuscul,,,[aɫ.tɪˈʊs.kʊ.ɫʊs],altiusculus,0
42460,a2602,aquifuga,n,n-s---cn1-,aquifug,,,[a.'kʷɪ.fʊ.ga],aquifuga,0
42430,c1120,censio,n,n-s---fn3-,cension,,,['keːn̪.sɪ̣.jɔ],censio,0
42408,c1201,cerarium,n,n-s---nn2-,cerari,,,[kɛ.'ra.rɪ̣.jũː],cerarium,0
42448,c4176,corymbites,n,n-s---mn1g,corymbit,,,[kɔ.'rym.bɪ.t̪ɛs],corymbites,0
42413,c4599,cumque,r,rp--------,,,,[ˈkʊŋ.kᶣɛ],cumque,0
42418,d2187,dormitio,n,n-s---fn3-,dormition,,,[d̪ɔr.'mɪ.t̪ɪ̣.jɔ],dormitio,0
42465,b0125,barbatus,a,aps---mn1-,barbat barbat barbat,,,[barˈbaː.tʊs],barbatus,1
42462,h0647,humanitus,r,rp--------,human,,,[hʊ.'ma.n̪ɪ.t̪ʊs],humanitus,0
42470,i0875,incero,v,v1spia--1-,incer incerau incerat,,,['ɪŋ.kɛ.rɔ],incero,0
42445,l0061,lacesso,v,v1spia--3-,lacess lacessiu lacessit,,,[ɫaˈkɛs.soː],lacesso,0
42456,l0656,libamen,n,n-s---nn3-,libamin,,,[liːˈbaː.mẽ],libamen,0
42427,m0198,malleatus,a,aps---mn1-,malleat malleat malleat,,,[mal.lɛˈaː.tʊs],malleatus,0
42453,n0625,nudius,r,rp--------,,,,[ˈnʊ.di.ʊs],nudius,0
42457,p2100,pinnirapus,n,n-s---mn2-,pinnirap,,,[pɪn̪.'n̪ɪ.ra.pʊs],pinnirapus,0
42467,t0316,tenuiculus,a,aps---mn1-,tenuicul tenuicul tenuicul,,,[t̪ɛ.'n̪uj.kʊ.lʊs],tenuiculus,0
42417,t1400,triticeus,a,aps---mn1-,tritice tritice tritice,,,[triːˈtɪ.ke.ʊs],triticeus,0
42463,u0339,ueprecula,n,n-s---fn1-,ueprecul,,,[wɛ.'prɛ.kʊ.la],ueprecula,0
42471,u0533,ueterinus,a,aps---mn1-,ueterin ueterin ueterin,,,[wɛ.'t̪ɛ.rɪ.n̪ʊs],ueterinus,0
42491,42491,aheneus,n,n-s---mn2-,ahen,,,[aˈheː.ne.ʊs],aheneus,0
42544,42544,aliturgicus,a,aps---mn1-,aliturgic aliturgic aliturgic,,,[a.lɪ.'t̪ʊr.gɪ.kʊs],aliturgicus,0
42505,42505,animans,a,aps---an3-,animant animant animant,,,['a.n̪ɪ.maːn̪s],animans,0
42512,42512,annotatus,a,aps---an3-,annotat annotat annotat,,,[an̪.'n̪ɔ.t̪a.t̪ʊs],annotatus,0
42517,42517,antilucanus,a,aps---mn1-,antilucan antilucan antilucan,,,[an̪.t̪ɪ.'lʊ.ka.n̪ʊs],antilucanus,0
42535,42535,athenaeum,n,n-s---nn2-,athenae,,,['a.t̪ʰɛn̪ewm],athenaeum,0
42496,42496,ceremonialis,a,aps---cn3-,ceremonial ceremonial ceremonial,,,[kɛ.rɛ.mɔ.'n̪ɪ̣.ja.lɪs],ceremonialis,0
42551,42551,coadiutus,n,n-s---mn4-,co,,,[kɔ.ja.'d̪ɪ̣.jʊ.t̪ʊs],coadiutus,0
42533,42533,collecte,r,rp--------,,,,[kɔɫ.'lɛk.t̪ɛ],collecte,0
42490,42490,complut,v,v1spia--3-,complu - -,,,['kɔm.plʊt̪],complut,0
42499,42499,confirmatiuum,n,n-s---nn2-,confirmatiu,,,[kɔːn̪fɪr.'ma.t̪ɪ.wũː],confirmatiuum,0
42541,42541,congelatus,a,aps---mn1-,congelat congelat congelat,,,[kɔŋ.'gɛ.la.t̪ʊs],congelatus,0
42508,42508,credentia,n,n-s---fn1-,credenti,,,[krɛ.'d̪ɛn̪.t̪ɪ̣.ja],credentia,0
42543,42543,disgratia,n,n-s---fn1-,disgrati,,,[d̪ɪs.'gra.t̪ɪ̣.ja],disgratia,0
42484,42484,exosculo,v,v1spia--1-,exoscul - exosculat,,,[ɛk.'sɔs.kʊ.lɔ],exosculo,0
42530,42530,foruitus,a,aps---mn1-,foruit foruit foruit,,,[fɔ.'ruj.t̪ʊs],foruitus,0
42549,42549,inobauditio,n,n-s---fn3-,inobaudition,,,[ɪ.n̪ɔ.baw.'d̪ɪ.t̪ɪ̣.jɔ],inobauditio,0
