0,176162,,,
65691,30490,180756,,,
65692,30490,175637,,,
65693,30490,175636,,,
65695,30490,180749,,,
65696,30490,181260,,,
65697,30490,175114,,,
65698,30537,127231,,,
65700,30537,103546,,,
65701,30537,104825,,,
65702,30537,108274,,,
65704,30537,121837,,,
65705,30537,104680,,,
65706,30537,121190,,,
65707,30537,121189,,,
65708,30537,104548,,,
65709,30537,144482,,,
65711,30537,105054,,,
65712,30537,105948,,,
65713,30537,163417,,,
65714,30537,126169,,,
65715,30537,138194,,,
65716,30537,127825,,,
65718,30537,106190,,,
65719,30537,118347,,,
65720,30537,130632,,,
65721,30537,149829,,,
65722,30537,137158,,,
65723,30537,149828,,,
65725,30537,107587,,,
65726,30537,116413,,,
65727,30537,116412,,,
65728,30537,162870,,,
65729,30537,137778,,,
65730,30537,137651,,,
65732,30537,137777,,,
65733,30537,104625,,,
65734,30537,163243,,,
65735,30537,103463,,,
65736,30537,147877,,,
65737,30537,147875,,,
65739,30537,138014,,,
65740,30537,143005,,,
65741,30537,149916,,,
65742,30537,163356,,,
65743,30537,132121,,,
65744,30537,103804,,,
65746,30537,106644,,,
65747,30537,147729,,,
65748,30537,133516,,,
65749,30537,133261,,,
65750,30537,126861,,,
65751,30537,118030,,,
65753,30537,107149,,,
65754,30537,132108,,,
65755,30537,163338,,,
65756,30537,163337,,,
65757,30537,133128,,,
65758,30537,103814,,,
65760,30537,125828,,,
65761,30506,186171,,,
65762,30506,186170,,,
65763,30506,186169,,,
65764,30524,191103,,,
65765,30524,191102,,,
65767,30524,191100,,,
65768,30524,191099,,,
65769,30524,191098,,,
65770,30524,191097,,,
65771,30524,191094,,,
65772,30524,191095,,,
65774,30524,191092,,,
65775,30524,191091,,,
65776,30524,191090,,,
65777,30524,185202,,,
65778,30524,191089,,,
65779,30524,191088,,,
65781,30524,191086,,,
65782,30524,191085,,,
65783,30524,191084,,,
65784,30524,191083,,,
65785,30524,191082,,,
65786,30524,191081,,,
65788,30524,195663,,,
65789,30524,195662,,,
65790,30524,194637,,,
65791,30524,189756,,,
65792,30524,191096,,,
65793,30524,190116,,,
65795,30524,183572,,,
65796,30524,181778,,,
65797,30524,183561,,,
65798,30524,191106,,,
65799,30524,191105,,,
65800,30524,191104,,,
65802,30541,151282,,,
65803,30541,151027,,,
65804,30541,149745,,,
65805,30541,149363,,,
65807,30541,130995,,,
65808,30541,149361,,,
65809,30541,149360,,,
65811,30541,121386,,,
65812,30541,203783,,,
65813,30541,148738,,,
65814,30491,175756,,,
65815,30491,175627,,,
65816,30491,174508,,,
65818,30547,136668,,,
65819,30547,120088,,,
65820,30547,150615,,,
65821,30547,120021,,,
65822,30547,116019,,,
65823,30547,116368,,,
65825,30547,121709,,,
65826,30547,148680,,,
65827,30547,141943,,,
65828,30485,124791,,,
65829,30485,159734,,,
