id,uri,lemma,pos,morpho,principal_parts,prosody,validated
23204,f0008,fabella,n,n-s---fn1-,fabell,fabella,1
102709,a2256,antiscius,a,aps---mn1-,antisci antisci antisci,antiscius,0
23278,f0268,fatuitas,n,n-s---fn3-,fatuitat,fatuitas,1
23281,f0288,fautor,n,n-s---mn3-,fautor,fautor,1
23231,f0076,faecula,n,n-s---fn1-,faecul,faecula,1
23232,f0091,faeniculum,n,n-s---nn2-,faenicul,faeniculum,1
23234,f0101,faex,n,n-s---fn3-,faec,faex,1
23235,f0122,fallacia,n,n-s---fn1-,fallaci,fallacia,1
23237,f0127,fallo,v,v1spia--3-,fall fefell fals,fallo,1
23238,f0129,falsarius,n,n-s---mn2-,falsari,falsarius,1
23239,f0144,falso,v,v1spia--1-,fals falsau falsat,falso,1
120090,120090,oxylapathon,n,n-s---nn2-,oxylapath,oxylapathon,0
23241,f0147,fama,n,n-s---fn1-,fam,fama,1
23243,f0152,famen,n,n-s---nn3-,famin,famen,1
23245,f0163,familia,n,n-s---fn1-,famili,familia,1
23248,f0171,famosus,a,aps---mn1-,famos famos famos,famosus,1
23249,f0079,famula,n,n-s---fn1-,famul,famula,1
23250,f0182,famulatus,n,n-s---mn4-,famulat,famulatus,1
23253,f0172,famulus,n,n-s---mn2-,famul,famulus,1
23257,f0188,far,n,n-s---nn3-,farr,far,1
23258,f0189,farcimen,n,n-s---nn3-,farcimin,farcimen,1
23259,f0193,farcio,v,v1spia--4-,farc fars fart,farcio,1
23260,f0196,farina,n,n-s---fn1-,farin,farina,1
23240,23240,falsus,a,aps---mn1-,fals fals fals,falsus,1
23263,f0222,fascia,n,n-s---fn1-,fasci,fascia,1
23264,f0231,fascino,v,v1spia--1-,fascin fascinau fascinat,fascino,1
23266,f0240,fastidio,v,v1spia--4-,fastid fastidiu fastidit,fastidio,1
23267,f0242,fastidium,n,n-s---nn2-,fastidi,fastidium,1
23268,f0245,fastigium,n,n-s---nn2-,fastigi,fastigium,1
23270,f0248,fastus,n,n-s---mn4-,fast,fastus,1
23273,f0255,fatidicus,a,aps---mn1-,fatidic fatidic fatidic,fatidicus,1
23274,f0258,fatigatio,n,n-s---fn3-,fatigation,fatigatio,1
