id,lemma,synset,period,genre,notes
501,22728,183416,,,
502,22728,185054,,,
503,22790,177408,,,
504,22790,178181,,,
505,22790,171573,,,
506,22790,181424,,,
507,22836,144861,,,
508,22836,144862,,,
509,23320,171573,,,
510,23320,178945,,,
511,23446,125620,,,
512,23446,151408,,,
513,23742,176012,,,
515,23742,177430,,,
516,23742,177399,,,
517,23841,177577,,,
518,23841,169363,,,
519,23841,177493,,,
520,23841,177579,,,
521,23924,190688,,,
522,24021,119504,,,
523,24021,130500,,,
524,24021,127582,,,
525,24021,127585,,,
526,24461,137792,,,
527,24481,211313,,,
528,24481,211314,,,
529,24481,156380,,,
530,24481,144924,,,
531,24517,166018,,,
532,24517,123270,,,
533,24517,104105,,,
534,24517,137041,,,
536,24528,175657,,,
537,24736,167666,,,
538,24736,167669,,,
539,24805,110961,,,
540,24805,156509,,,
541,24805,115702,,,
542,25161,174561,,,
543,25161,174483,,,
544,25161,178657,,,
545,25161,178643,,,
546,25342,141930,,,
547,25932,107082,,,
548,25932,125813,,,
549,25932,125805,,,
550,25932,125826,,,
551,25932,146024,,,
552,26017,163782,,,
553,26017,163785,,,
554,26017,168556,,,
555,26017,163793,,,
557,26017,163801,,,
558,26017,106298,,,
559,26031,121881,,,
560,26031,123657,,,
561,26602,182138,,,
562,26602,193242,,,
563,26602,182134,,,
564,26602,181966,,,
565,26642,106273,,,
566,26642,160646,,,
567,26642,117768,,,
568,26642,117769,,,
569,26642,147531,,,
570,26642,137932,,,
571,26642,152012,,,
572,26642,107246,,,
573,26642,133488,,,
574,26642,136435,,,
575,26642,136340,,,
576,26642,161110,,,
578,26642,144445,,,
579,26723,142668,,,
580,26723,140459,,,
581,26723,140460,,,
582,26723,141999,,,
583,26766,178104,,,
930,27521,130933,,,
585,26766,175838,,,
586,26766,178103,,,
587,26796,211296,,,
588,26803,176256,,,
589,26803,175172,,,
591,26803,171687,,,
592,26803,173864,,,
593,26803,178729,,,
594,26803,179914,,,
595,26803,175176,,,
596,26803,179916,,,
597,26803,181336,,,
598,26803,179674,,,
599,26817,142848,,,
600,26817,103392,,,
601,26817,128196,,,
602,26817,121457,,,
603,26817,103383,,,
604,26817,134554,,,
605,26817,134555,,,
606,26817,108253,,,
607,26817,120351,,,
608,26824,174098,,,
609,26824,174106,,,
610,26897,137822,,,
612,26869,174463,,,
613,26869,174471,,,
614,26907,171154,,,
615,26951,140449,,,
616,26951,167986,,,
617,27062,155528,,,
618,27062,156874,,,
619,27214,127217,,,
620,27256,104680,,,
621,27256,128361,,,
622,27280,127454,,,
623,27280,128431,,,
624,27348,171573,,,
625,27347,168125,,,
626,27331,150760,,,
627,27331,128369,,,
628,27331,167194,,,
629,27331,130293,,,
630,27331,136117,,,
631,27676,123648,,,
633,27945,199451,,,
634,27945,199860,,,
635,27945,200875,,,
636,27945,200367,,,
637,27989,127582,,,
638,28111,174651,,,
639,28111,173299,,,
640,28111,175926,,,
641,28111,181399,,,
642,29058,134510,,,
643,29058,134511,,,
644,32118,134510,,,
645,32118,134511,,,
646,32958,126694,,,
647,32958,133394,,,
648,32958,138067,,,
649,32958,138068,,,
650,32958,209323,,,
651,34412,104856,,,
652,34412,134506,,,
654,37050,120716,,,
655,38773,211219,,,
656,41616,137212,,,
657,42230,177123,,,
658,50029,121752,,,
659,51396,175313,,,
660,53755,188496,,,
661,57739,106722,,,
662,58047,161027,,,
663,62105,206832,,,
664,98057,145208,,,
665,98057,162065,,,
666,98800,127584,,,
667,98800,127271,,,
668,98800,164871,,,
669,98800,168393,,,
670,98800,127595,,,
671,98800,119504,,,
672,98800,137397,,,
673,98800,152380,,,
675,99218,136796,,,
676,99228,172680,,,
677,99228,173418,,,
678,99228,173712,,,
679,99228,172783,,,
680,99365,127338,,,
931,27521,211368,,,
682,99461,127987,,,
683,99461,162803,,,
684,100590,161037,,,
685,100605,211248,,,
686,100605,211250,,,
688,101163,128617,,,
689,101163,149671,,,
690,101299,211226,,,
691,120124,171321,,,
692,120565,211236,,,
693,125225,174083,,,
694,125754,166341,,,
695,132258,179137,,,
696,132258,172209,,,
697,132258,173778,,,
698,132258,172700,,,
699,132258,172765,,,
700,132258,179134,,,
701,132549,171369,,,
702,133205,173569,,,
703,133205,173605,,,
