
575335,+c,21558,27168
575336,+c,21558,133226
575337,-c,27168,21558
575338,+c,19806,25178
575339,+c,19806,133208
575340,-c,25178,19806
575341,+c,26750,25095
575342,+c,26750,139131
575343,-c,25095,26750
575344,+c,57857,25358
575345,+c,57857,139132
575346,-c,25358,57857
575347,+c,21455,23369
575348,+c,21455,133226
575349,+c,98881,20832
575350,+c,98881,133236
575351,-c,20832,98881
575352,+c,22634,27270
575353,+c,22634,139132
575354,-c,27270,22634
575355,+c,132702,28079
575356,+c,132702,139131
575357,-c,28079,132702
575358,+c,23014,20264
575359,+c,23014,133233
575360,-c,20264,23014
575361,+c,19771,22893
575362,+c,19771,139137
575363,-c,22893,19771
575364,+c,26776,25977
575365,+c,26776,139131
575366,-c,25977,26776
575367,+c,132425,133227
575368,-c,132742,132425
575369,+c,29936,28079
575370,+c,29936,139132
575371,-c,28079,29936
575372,+c,21627,52097
575373,+c,21627,133226
575374,-c,52097,21627
575375,+c,132730,132718
575376,+c,132730,133259
575377,-c,132718,132730
575378,+c,26822,57689
575379,+c,26822,139131
575380,-c,57689,26822
575381,+c,19529,131805
575382,+c,19529,133212
575383,-c,131805,19529
575384,+c,22782,22730
575385,-c,22730,22782
575386,+c,19432,25401
575387,+c,19432,133212
575388,-c,25401,19432
575389,+c,26400,25401
575390,+c,26400,133253
575391,-c,25401,26400
575392,+c,22214,24726
575393,+c,22214,133227
575394,-c,24726,22214
575395,+c,22966,27969
575396,+c,22966,133233
575397,-c,27969,22966
575398,+c,124815,22731
575399,+c,124815,139131
575400,-c,22731,124815
575401,+c,21572,27225
575402,+c,21572,133226
575403,+c,21561,27180
575404,+c,21561,133226
575405,-c,27180,21561
575407,+c,26202,133250
575408,-c,22497,26202
575409,+c,37720,27772
575410,+c,37720,139131
575411,-c,27772,37720
575412,+c,52176,21881
575413,+c,52176,133226
575414,-c,21881,52176
575415,+c,132188,132248
575416,+c,132188,133212
575417,-c,132248,132188
575418,+c,24457,28095
575419,+c,24457,133236
575420,-c,28095,24457
575465,+c,42207,133236
575466,-c,56481,42207
575467,+c,54634,24725
575468,+c,54634,139133
575469,-c,24725,54634
575470,+c,25933,27276
575471,+c,25933,133247
575472,-c,27276,25933
575473,+c,26353,23310
575474,+c,26353,133253
575475,-c,23310,26353
575476,+c,24366,22893
575477,+c,24366,133241
575478,-c,22893,24366
575479,+c,26422,26115
575480,+c,26422,133253
575481,-c,26115,26422
575482,+c,24273,27070
575483,+c,24273,133236
575484,-c,27070,24273
575485,+c,23085,39571
575486,+c,23085,133233
575487,-c,39571,23085
575488,+c,23039,21063
