9037,59037,Bato,n,n-s---mn3-,Bato,,,['ba.t̪ɔ],Bato,0
59038,59038,Batrachus,n,n-s---mn2-,Batrach,,,['ba.t̪ra.kʰʊs],Batrachus,0
59039,59039,Battara,n,n-s---fn1-,Battar,,,['bat̪.t̪a.ra],Battara,0
59040,59040,Battis,n,n-s---fn3-,Batt,,,['bat̪.t̪ɪs],Battis,0
59041,59041,Batton,n,n-s---nn3-,Batt,,,['bat̪.t̪ɔn̪],Batton,0
59042,59042,Battus,n,n-s---mn2-,Batt,,,['bat̪.t̪ʊs],Battus,0
59044,59044,Baucis,n,n-s---fn3-,Bauc,,,['baw.kɪs],Baucis,0
59045,59045,Bebryces,n,n-p---mn3-,Bebryc,,,['bɛ.bry.kɛs],Bebryces,0
59046,59046,Bechires,n,n-p---mn3-,Bechir,,,['bɛ.kʰɪ.rɛs],Bechires,0
59047,59047,Bedesis,n,n-s---fn3-,Bedes,,,['bɛ.d̪ɛ.sɪs],Bedesis,0
59048,59048,Bedriacum,n,n-s---nn2-,Bedriac,,,[bɛ.'d̪rɪ̣.ja.kũː],Bedriacum,0
59049,59049,Belgae,n,n-p---fn1-,Belg,,,['bɛɫ.gaj],Belgae,0
59050,59050,Bellerophon,n,n-s---nn3-,Belleroph,,,[bɛɫ.'lɛ.rɔ.pʰɔn̪],Bellerophon,0
58979,58979,Bacchiadae,n,n-p---fn1-,Bacchiad,,,[bak.'kʰɪ̣.ja.d̪aj],Bacchiadae,0
58980,58980,Bacchylides,n,n-s---mn3-,Bacchylid,,,[bak.'kʰy.lɪ.d̪ɛs],Bacchylides,0
59056,59056,Benacus,n,n-s---mn2-,Benac,,,['bɛ.n̪a.kʊs],Benacus,0
59057,59057,Bendidius,a,aps---mn1-,Bendidi Bendidi Bendidi,,,[bɛn̪.'d̪ɪ.d̪ɪ̣.jʊs],Bendidius,0
59058,59058,Beneuentum,n,n-s---nn3-,Beneuentum,,,['bɛn̪.ewɛ.n̪t̪ũː],Beneuentum,0
59059,59059,Beni,n,n-p---mn2-,Ben,,,['bɛ.n̪ɪ],Beni,0
59060,59060,Benjamin,a,aps---mn3-,Benjamin Benjamin Benjamin,,,['bɛ.n̪ja.mɪn̪],Benjamin,0
59061,59061,Bercorcates,n,n-p---mn3-,Bercorcat,,,[bɛr.'kɔr.ka.t̪ɛs],Bercorcates,0
59062,59062,Berecyntus,n,n-s---mn2-,Berecynt,,,[bɛ.rɛ.'kyn̪.t̪ʊs],Berecyntus,0
59063,59063,Beregrani,n,n-p---mn2-,Beregran,,,[bɛ.'rɛ.gra.n̪ɪ],Beregrani,0
59064,59064,Berelides,n,n-s---mn3-,Berelid,,,[bɛ.'rɛ.lɪ.d̪ɛs],Berelides,0
59065,59065,Berenice,n,n-s---fn1-,Berenic,,,[bɛ.'rɛ.n̪ɪ.kɛ],Berenice,0
59066,59066,Bergi,n,n-p---mn2-,Berg,,,['bɛr.gɪ],Bergi,0
59067,59067,Bergistani,n,n-p---mn2-,Bergistan,,,[bɛr.'gɪs.t̪a.n̪ɪ],Bergistani,0
59069,59069,Beroe,n,n-s---fn1-,Bero,,,['bɛroj],Beroe,0
59070,59070,Beroea,n,n-s---fn1-,Beroe,,,['bɛr.oja],Beroea,0
59071,59071,Berones,n,n-p---mn3-,Beron,,,['bɛ.rɔ.n̪ɛs],Berones,0
59072,59072,Berresa,n,n-s---fn1-,Berres,,,['bɛr.rɛ.sa],Berresa,0
59073,59073,Berrice,n,n-s---fn1-,Berric,,,['bɛr.rɪ.kɛ],Berrice,0
59074,59074,Berytus,n,n-s---mn2-,Beryt,,,['bɛ.ry.t̪ʊs],Berytus,0
59075,59075,Besa,n,n-s---fn1-,Bes,,,['bɛ.sa],Besa,0
