,184167,,,
359453,45768,119279,,,
359460,45768,118347,,,
359467,45768,125716,,,
359474,45824,194236,,,
359481,45779,133565,,,
359488,45779,146891,,,
359495,45799,105596,,,
359502,45799,104680,,,
359509,45799,167382,,,
359516,45799,167363,,,
359521,45799,162748,,,
359525,45799,167552,,,
359532,45798,200021,,,
359539,45798,199750,,,
359546,45896,120019,,,
359553,45879,190844,,,
359560,45879,190296,,,
359567,45879,195018,,,
359574,45879,194865,,,
359581,45879,181642,,,
359588,45888,124351,,,
359595,45888,166404,,,
359602,45877,119662,,,
359609,45877,120154,,,
359616,45877,140612,,,
359623,45877,138154,,,
359628,45877,162820,,,
359632,45872,137713,,,
359639,45872,130497,,,
359646,45838,133102,,,
359653,45838,132433,,,
359660,45838,130996,,,
359667,45838,131478,,,
359674,45884,182809,,,
359681,45893,192171,,,
359688,45848,147422,,,
359695,45902,147519,,,
359702,45902,129666,,,
359709,45883,116055,,,
359716,45883,163846,,,
359723,45867,169301,,,
359730,45862,105398,,,
359735,45862,106380,,,
359739,45862,133734,,,
359746,45899,176627,,,
359753,45899,176610,,,
359760,45899,175058,,,
359767,45899,175048,,,
359774,45899,169920,,,
359781,45899,171958,,,
359788,45899,178595,,,
359795,45899,173973,,,
359802,45899,173964,,,
359809,45899,175495,,,
359816,45899,177532,,,
359823,45899,169834,,,
359830,45899,171360,,,
359837,45899,180563,,,
359842,45899,178001,,,
359846,45899,169807,,,
359853,45899,175939,,,
359860,45899,177973,,,
359867,45899,177442,,,
359874,45899,170780,,,
359881,45899,174861,,,
359888,45899,176899,,,
359895,45899,173816,,,
359902,45899,169704,,,
359909,45899,171730,,,
359916,45899,178884,,,
359923,45899,171190,,,
359930,45899,171173,,,
359937,45899,175760,,,
359944,45899,179318,,,
359949,45899,179823,,,
359953,45899,179811,,,
359960,45899,178249,,,
359967,45899,176693,,,
359974,45899,169516,,,
359981,45899,169499,,,
359988,45899,176143,,,
359995,45899,172545,,,
360002,45837,103889,,,
360009,45837,106420,,,
360016,45837,106269,,,
360023,45839,199390,,,
360030,45839,199621,,,
360037,45900,200001,,,
360044,45898,180197,,,
360051,45898,177622,,,
360056,45898,178127,,,
360060,45898,171463,,,
360067,45898,179127,,,
360074,45898,179097,,,
360081,45898,179603,,,
360088,45898,178561,,,
360095,45898,178543,,,
360102,45898,181084,,,
360109,45898,179030,,,
360116,45898,170823,,,
360123,45898,180023,,,
360130,45898,181024,,,
360137,45898,176927,,,
360144,45898,172301,,,
360151,45898,173797,,,
360158,45898,178891,,,
360163,45898,179903,,,
360167,45898,179901,,,
360174,45898,176287,,,
360181,45898,172166,,,
360188,45898,175093,,,
360195,45898,181340,,,
360202,45898,172613,,,
360209,45898,180261,,,
360216,45898,179741,,,
360223,45898,179210,,,
360230,45898,175617,,,
360237,45846,182741,,,
360244,45846,186785,,,
360251,45846,193164,,,
360258,45881,184458,,,
360265,45844,104316,,,
360270,45844,104551,,,
360274,45844,130392,,,
360281,45844,137913,,,
360288,45844,106024,,,
360295,45844,127895,,,
360302,45886,161931,,,
360309,45853,183666,,,
