56794,180872,,,
563588,56794,170599,,,
563595,56794,172605,,,
563602,56794,172576,,,
563609,56794,178706,,,
563616,56794,180742,,,
563623,56794,174579,,,
563630,56794,180704,,,
563637,56794,180682,,,
563644,56794,172461,,,
563651,56794,178596,,,
563658,56794,176537,,,
563665,56794,176512,,,
563672,56794,180572,,,
563677,56794,174414,,,
563681,56794,176446,,,
563688,56794,176425,,,
563695,56794,176405,,,
563702,56794,178437,,,
563709,56794,178378,,,
563716,56794,174252,,,
563723,56794,178333,,,
563730,56794,179599,,,
563737,56794,175452,,,
563744,56794,171311,,,
563751,56794,177408,,,
563758,56794,177391,,,
563765,56794,179416,,,
563772,56794,175297,,,
563779,56794,177335,,,
563784,56794,171163,,,
563788,56794,179303,,,
563795,56794,177201,,,
563802,56794,181253,,,
563809,56794,181230,,,
563816,56794,172991,,,
563823,56794,179110,,,
563830,56794,177038,,,
563837,56794,181124,,,
563844,56794,172166,,,
563851,56794,180350,,,
563858,56794,178295,,,
563865,56794,176213,,,
563872,56794,178229,,,
563879,56794,174091,,,
563886,56773,132703,,,
563891,56773,132684,,,
563895,56773,168388,,,
563902,56773,129812,,,
563909,56788,188084,,,
563916,56745,173716,,,
563923,56745,174763,,,
563930,56761,162046,,,
563937,56761,162644,,,
563944,56761,119622,,,
563951,56761,142778,,,
563958,56761,162049,,,
563965,56755,181578,,,
563972,56795,132709,,,
563979,56772,199415,,,
563986,56772,199407,,,
563993,56758,145136,,,
563998,56758,113253,,,
564002,56790,147574,,,
564009,56779,103314,,,
564016,56779,136587,,,
564023,56779,132470,,,
564030,56779,141147,,,
564037,56779,108370,,,
564044,56779,108352,,,
564051,56779,120120,,,
564058,56779,151334,,,
564065,56779,136987,,,
564072,56779,163595,,,
564079,56779,142591,,,
564086,56779,123638,,,
564093,56779,152303,,,
564100,56779,134887,,,
564105,56779,130256,,,
564109,56779,127175,,,
564116,56779,130745,,,
564123,56779,144553,,,
564130,56779,143002,,,
564137,56779,107142,,,
564144,56779,126077,,,
564151,56779,160369,,,
564158,56779,130665,,,
564165,56779,136273,,,
564172,56779,142322,,,
564179,56779,108016,,,
564186,56779,160734,,,
564193,56779,129999,,,
564200,56779,162745,,,
564207,56779,165808,,,
564212,56779,130978,,,
564216,56779,144459,,,
564223,56779,135743,,,
564230,56779,128566,,,
564237,56779,142369,,,
564244,56779,168979,,,
564251,56779,142859,,,
564258,56805,201740,,,
564265,56765,193843,,,
564272,56765,193836,,,
564279,56812,151541,,,
564286,56812,206474,,,
564293,56782,118830,,,
564300,56796,187006,,,
564307,56796,186999,,,
564314,56796,187008,,,
564319,56776,169324,,,
564323,56776,169415,,,
564330,56776,169615,,,
564337,56776,169735,,,
564344,56776,169864,,,
564351,56776,170060,,,
564358,56776,170617,,,
564365,56776,170790,,,
564372,56776,170854,,,
564379,56776,171132,,,
564386,56776,171374,,,
564393,56776,171592,,,
564400,56776,171774,,,
564407,56776,171823,,,
564414,56776,171860,,,
564421,56776,171939,,,
564426,56776,171978,,,
564430,56776,172008,,,
564437,56776,172122,,,
564444,56776,172232,,,
564451,56776,172380,,,
564452,56776,172384,,,
564465,56776,172496,,,
564472,56776,172525,,,
564479,56776,172599,,,
564486,56776,172772,,,
564493,56776,173027,,,
564500,56776,173249,,,
564507,56776,173533,,,
564514,56776,173784,,,
564521,56776,173870,,,
564528,56776,174023,,,
564533,56776,174100,,,
564537,56776,174158,,,
564544,56776,174242,,,
564551,56776,174303,,,
564558,56776,174392,,,
564565,56776,174479,,,
564572,56776,174506,,,
564579,56776,174521,,,
564586,56776,174555,,,
564593,56776,174911,,,
564600,56776,175078,,,
564607,56776,175388,,,
564614,56776,175570,,,
564621,56776,175630,,,
564628,56776,175717,,,
564635,56776,175920,,,
564640,56776,176111,,,
564644,56776,176204,,,
564651,56776,176366,,,
564658,56776,176497,,,
564665,56776,176545,,,
