e,n,n-s---nn3-,sequestr,[sɛ.'kʷɛs.t̪rɛ],sequestre,0
31949,c1291,ceruula,n,n-s---fn1-,ceruul,[kɛ.'rʊ.jʊ.la],ceruula,0
31919,31919,silentiose,r,rp--------,,[sɪ.lɛn̪.'t̪ɪ̣.jɔ.sɛ],silentiose,0
31952,31952,acoros,n,n-s---fn2g,acor,[ˈa.kɔ.rɔs],acoros,0
31946,31946,absidiola,n,n-s---fn1-,absidiol,[ap.sɪ.'d̪ɪ̣.jɔ.la],absidiola,0
31945,c3347,congener,a,aps---an3-,congener congener congener,['kɔŋ.gɛ.n̪ɛr],congener,0
31947,c3398,congrex,a,aps---an3-,congreg congreg congreg,['kɔŋ.grɛks],congrex,0
31937,d0012,daemoniacus,a,aps---mn1-,daemoniac daemoniac daemoniac,[dae̯.mɔˈni.a.kʊs],daemoniacus,0
31935,d1009,despoliator,n,n-s---mn3-,despoliator,[d̪ɛs.pɔ.'lɪ̣.ja.t̪ɔr],despoliator,0
31939,d1046,desubito,r,rp--------,,[d̪ɛ.'sʊ.bɪ.t̪ɔ],desubito,0
31932,d1812,dispareo,v,v1spia--2-,dispar disparu disparit,[dɪsˈpa.re.oː],dispareo,0
31912,e0531,emulgeo,v,v1spia--2-,emulg emuls emuls,[eːˈmʊɫ.ɡe.oː],emulgeo,0
31951,f0213,farreus,a,aps---mn1-,farre farre farre,[ˈfar.re.ʊs],farreus,0
31921,f1169,fundibalus,n,n-s---mn2-,fundibal,[fʊn̪.'d̪ɪ.ba.lʊs],fundibalus,0
31913,h0390,hilum,n,n-s---nn2-,hil,[ˈhiː.ɫũ],hilum,0
31976,i1729,inhalo,v,v1spia--1-,inhal inhalau inhalat,[ɪnˈhaː.ɫoː],inhalo,0
31931,m0098,magisterius,a,aps---mn1-,magisteri magisteri magisteri,[ma.gɪs.'t̪ɛ.rɪ̣.jʊs],magisterius,0
31924,o0086,olfactorius,a,aps---mn1-,olfactori olfactori olfactori,[ɔɫ.fakˈtoː.ri.ʊs],olfactorius,0
31983,p2434,poena,n,n-s---fn1-,poen,/ˈpoe̯.na/,poena,0
31936,p3821,proinde,r,rp--------,,[prɔˈɪn.deː],proinde,0
31938,p3997,propitiator,n,n-s---mn3-,propitiator,[prɔ.pɪ.tɪˈaː.tɔr],propitiator,0
31929,s0121,sagittifer,a,aps---mn1r,sagittifer sagittifer sagittifer,[saˈɡɪt.tɪ.fɛr],sagittifer,0
31941,s1132,semirutus,a,aps---mn1-,semirut semirut semirut,[seːˈmɪ.rʊ.tʊs],semirutus,0
31960,s3186,subterhabeo,v,v1spia--2-,subter subtriu subtrit,[sʊp.t̪ɛ.'ra.bɛ̣.jɔ],subterhabeo,0
126935,126935,septuageniquini,a,app---mn1-,septuageniquin septuageniquin septuageniquin,[sɛp.t̪ʊ.ja.gɛ.'n̪ɪ.kʷɪ.n̪ɪ],septuageniquini,0
32026,32026,asseueranter,r,rp--------,asseuerant,[ass.'ewɛ.ra.n̪t̪ɛr],asseueranter,0
32038,32038,adstupeo,v,v1spia--2-,adstup - -,[ad̪s.'t̪ʊ.pɛ̣.jɔ],adstupeo,0
32009,32009,ananasa,n,n-s---fn1-,ananas,[a.'n̪a.n̪a.sa],ananasa,0
32023,32023,antequam,r,rp--------,,[ˈan.tɛ.kʷã],antequam,0
32019,32019,aurantius,a,aps---mn1-,auranti auranti auranti,[au̯ˈran.ti.ʊs],aurantius,0
32036,32036,caussa,n,n-s---fn1-,PREP GE,/ˈkau̯s.sa/,caussa,0
32003,32003,chloroformium,n,n-s---nn2-,chloroformi,[kʰlɔ.rɔ.'fɔr.mɪ̣.jũː],chloroformium,0
32004,a0100,abnegator,n,n-s---mn3-,abnegator,[ab.nɛˈɡaː.tɔr],abnegator,0
