083,transportatio,n,n-s---fn3-,transportation,,,[t̪raːn̪s.pɔr.'t̪a.t̪ɪ̣.jɔ],transportatio,0
29611,a1783,ampullaceus,a,aps---mn1-,ampullace ampullace ampullace,,,[am.'pʊɫ.lakews],ampullaceus,0
102407,a1789,amputator,n,n-s---mn3-,amputator,,,[am.'pʊ.t̪a.t̪ɔr],amputator,0
19829,a1796,amuletum,n,n-s---nn2-,amulet,,,[a.mʊˈɫeː.tũ],amuletum,1
102419,a1814,amynticus,a,aps---mn1-,amyntic amyntic amyntic,,,[a.'myn̪.t̪ɪ.kʊs],amynticus,0
102427,a1825,anabolicus,a,aps---mn1-,anabolic anabolic anabolic,,,[a.n̪a.'bɔ.lɪ.kʊs],anabolicus,0
19835,a1831,anachoreta,n,n-s---mn1-,anachoret,,,[a.n̪a.'kʰɔ.rɛ.t̪a],anachoreta,1
102439,a1839,anacoluthon,n,n-s---nn2g,anacoluth,,,[a.n̪a.'kɔ.lʊ.t̪ʰɔn̪],anacoluthon,0
29782,a1844,anadiplosis,n,n-s---fn3-,anadiplose,,,[a.n̪a.'d̪ɪ.plɔ.sɪs],anadiplosis,0
102446,a1855,anagnosticum,n,n-s---nn2-,anagnostic,,,[a.n̪aŋ.'n̪ɔs.t̪ɪ.kũː],anagnosticum,0
102450,a1858,anagyros,n,n-s---fn2g,anagyr,,,[a.'n̪a.gy.rɔs],anagyros,0
97605,a1859,analecta,n,n-s---mn1-,analect,,,[a.n̪a.'lɛk.t̪a],analecta,0
102454,a1862,analempsiacus,a,aps---mn1-,analempsiac analempsiac analempsiac,,,[a.n̪a.lɛmp.'sɪ̣.ja.kʊs],analempsiacus,0
31606,a1866,analogium,n,n-s---nn2-,analogi,,,[a.n̪a.'lɔ.gɪ̣.jũː],analogium,0
39275,a2635,anapaesticus,a,aps---mn1-,anapaestic anapaestic anapaestic,,,[a.n̪a.'pajs.t̪ɪ.kʊs],anapaesticus,0
35907,a2787,anapaestum,n,n-s---nn2-,anapaest,,,[a.n̪a.'pajs.t̪ũː],anapaestum,0
102468,a1885,anasceuasticus,a,aps---mn1-,anasceuastic anasceuastic anasceuastic,,,[a.n̪ask.'ewa.st̪ɪ.kʊs],anasceuasticus,0
36477,a1888,anastomoticus,a,aps---mn1-,anastomotic anastomotic anastomotic,,,[a.nas.tɔˈmɔ.tɪ.kʊs],anastomoticus,0
19840,a1895,anathematizo,v,v1spia--1-,anathematiz anathematizau anathematizat,,,[a.na.tʰɛ.maˈtiː.zoː],anathematizo,1
102484,a1910,ancarius,n,n-s---mn2-,ancari,,,[aŋ.'ka.rɪ̣.jʊs],ancarius,0
102497,a1930,ancoratus,a,aps---mn1-,ancorat ancorat ancorat,,,[aŋ.'kɔ.ra.t̪ʊs],ancoratus,0
102513,a1943,androdamas,n,n-s---mn3i,androdamant,,,[an̪.'d̪rɔ.d̪a.mas],androdamas,0
47968,a1947,andronitis,n,n-s---fn3-,andronitid,,,[an̪.'d̪rɔ.n̪ɪ.t̪ɪs],andronitis,0
102524,a1960,anethinus,a,aps---mn1-,anethin anethin anethin,,,[a.'n̪ɛ.t̪ʰɪ.n̪ʊs],anethinus,0
97613,a1993,anguineus,a,aps---mn1-,anguine anguine anguine,,,['aŋ.gʷɪn̪ews],anguineus,0
53895,a2007,angusticlauius,a,aps---mn1-,angusticlaui angusticlaui angusticlaui,,,[aŋgʷs.t̪ɪ.'kla.wɪ̣.jʊs],angusticlauius,0
102548,a2005,angustiportum,n,n-s---nn2-,angustiport,,,[aŋgʷs.t̪ɪ.'pɔr.t̪ũː],angustiportum,0
19868,a2009,angusto,v,v1spia--1-,angust angustau angustat,,,[aŋˈɡʊs.toː],angusto,1
28924,a2020,anicetus,a,aps---mn1-,anicet anicet anicet,,,[a.'n̪ɪ.kɛ.t̪ʊs],anicetus,0
102560,a2029,animabilis,a,aps---cn3i,animabil animabil animabil,,,[a.n̪ɪ.'ma.bɪ.lɪs],animabilis,0
19874,a2030,animaduersio,n,n-s---fn3-,animaduersion,,,[a.nɪ.madˈwɛr.si.oː],animaduersio,1
19884,a2041,animo,v,v1spia--1-,anim animau animat,,,['a.n̪ɪ.moː],animo,1
19788,a2373,amicitia,n,n-s---fn1-,amiciti,,,[a.miːˈkɪ.ti.a],amicitia,1
42679,a2277,antoecumene,n,n-s---fn1g,antoecumen,,,[an̪t̪oj.'kʊ.mɛ.n̪ɛ],antoecumene,0
45680,a2262,antispodon,n,n-s---nn2g,antispod,,29390,[an̪.'t̪ɪs.pɔ.d̪ɔn̪],antispodon,0
19937,a2282,antrum,n,n-s---nn2-,antr,,29391,[ˈan.trũ],antrum,1
23574,g0043,galerus,n,n-s---mn2-,galer,,29392,[ɡaˈɫeː.rʊs],galerus,1
41439,a2209,anthyllium,n,n-s---nn2-,anthylli,,29388,[an̪.'t̪ʰyɫ.lɪ̣.jũː],anthyllium,0
102712,a2258,antisophistes,n,n-s---mn1g,antisophist,,29389,[an̪.t̪ɪ.sɔ.'pʰɪs.t̪ɛs],antisophistes,0
19893,a2080,annuus,a,aps---mn1-,annu annu annu,,,[ˈan.nʊ.ʊs],annuus,1
102598,a2081,anodynon,n,n-s---nn2g,anodyn,,,[a.'n̪ɔ.d̪y.n̪ɔn̪],anodynon,0
102611,a2098,anseratim,r,rp--------,,,,['aːn̪.sɛ.rat̪ĩː],anseratim,0
54317,a2107,antarcticus,a,aps---mn1-,antarctic antarctic antarctic,,,[anˈtark.tɪ.kʊs],antarcticus,1
19900,a7110,anteactus,a,aps---mn1-,anteact anteact anteact,,,[an.tɛˈak.tʊs],anteactus,1
41223,a2120,antecessio,n,n-s---fn3-,antecession,,,[an̪.t̪ɛ.'kɛs.sɪ̣.jɔ],antecessio,0
19911,a2135,antehabeo,v,v1spia--2-,antehab antehabu antehabit,,,[an.tɛˈha.be.oː],antehabeo,1
52934,a0952,antelucanus,a,aps---mn1-,antelucan antelucan antelucan,,,[an.tɛ.ɫuːˈkaː.nʊs],antelucanus,0
28282,a2147,antemeridialis,a,aps---cn3i,antemeridial antemeridial antemeridial,,,[an̪.t̪ɛ.mɛ.rɪ.'d̪ɪ̣.ja.lɪs],antemeridialis,0
97625,a2148,antemeridianus,a,aps---mn1-,antemeridian antemeridian antemeridian,,,[an̪.t̪ɛ.mɛ.rɪ.'d̪ɪ̣.ja.n̪ʊs],antemeridianus,0
102644,a2152,antemurale,n,n-s---nn3i,antemural,,,[an̪.t̪ɛ.'mʊ.ra.lɛ],antemurale,0
33452,a2153,antemuranus,a,aps---mn1-,antemuran antemuran antemuran,,,[an̪.t̪ɛ.'mʊ.ra.n̪ʊs],antemuranus,0
48313,a2851,antepaenultimus,a,aps---mn1-,antepaenultim antepaenultim antepaenultim,,,[an.tɛ.pae̯ˈnʊɫ.tɪ.mʊs],antepaenultimus,0
47033,a2158,antepagmentum,n,n-s---nn2-,antepagment,,,[an.tɛ.paɡˈmɛn.tũ],antepagmentum,0
36715,a2174,antescholarius,n,n-s---mn2-,antescholari,,,[an̪.t̪ɛs.kʰɔ.'la.rɪ̣.jʊs],antescholarius,0
102659,a2178,antetemporaneus,a,aps---mn1-,antetemporane antetemporane antetemporane,,,[an̪.t̪ɛ.'t̪ɛm.pɔ.ran̪ews],antetemporaneus,0
19920,a2180,anteuenio,v,v1spia--4-,anteuen anteuen anteuent,,,[an.tɛˈwɛ.ni.oː],anteuenio,1
39052,a2181,anteuentulus,a,aps---mn1-,anteuentul anteuentul anteuentul,,,[an̪t̪.'ewɛ.n̪t̪ʊ.lʊs],anteuentulus,0
32531,a2185,anteuolo,v,v1spia--1-,anteuol anteuolau anteuolat,,,/an.ˈte.wo.loː/,anteuolo,0
102674,a2205,anthropomorphitae,n,n-p---mn1-,anthropomorphit,,,[an̪.t̪ʰrɔ.pɔ.'mɔ.rpʰɪ.t̪aj],anthropomorphitae,0
45695,a2218,anticategoria,n,n-s---fn1-,anticategori,,,[an̪.t̪ɪ.ka.t̪ɛ.'gɔ.rɪ̣.ja],anticategoria,0
102690,a2226,anticyprius,n,n-s---mn2-,anticypri,,,[an̪.t̪ɪ.'ky.prɪ̣.jʊs],anticyprius,0
31191,a2242,antiphonatim,r,rp--------,,,,[an̪.'t̪ɪ.pʰɔ.n̪at̪ĩː],antiphonatim,0
102702,a2243,antiphrasis,n,n-s---fn3i,antiphras,,,[an̪.'t̪ɪ.pʰra.sɪs],antiphrasis,0
102703,a2244,antipodae,n,n-p---mn1-,antipod,,,[an̪.'t̪ɪ.pɔ.d̪aj],antipodae,0
19929,a2252,antiquo,v,v1spia--1-,antiqu antiquau antiquat,,,/anˈtiː.kʷoː/,antiquo,1
49710,a2267,antistitor,n,n-s---mn3-,antistitor,,,[an̪.'t̪ɪs.t̪ɪ.t̪ɔr],antistitor,0
102732,a2281,antralis,a,aps---cn3i,antral antral antral,,,['an̪.t̪ra.lɪs],antralis,0
45943,a2300,anxiosus,a,aps---mn1-,anxios anxios anxios,,,[aŋk.'sɪ̣.jɔ.sʊs],anxiosus,0
102745,a2306,aoristos,n,n-s---mn2g,aorist,,,[a.jɔ.'rɪs.t̪ɔs],aoristos,0
34490,a2321,aperantologia,n,n-s---fn1-,aperantologi,,,[a.pɛ.ran̪.t̪ɔ.'lɔ.gɪ̣.ja],aperantologia,0
102758,a2323,apertibilis,a,aps---cn3i,apertibil apertibil apertibil,,,[a.pɛr.'t̪ɪ.bɪ.lɪs],apertibilis,0
19949,a2327,aperto,v,v1spia--1-,apert apertau aperta,,,[a.'pɛr.t̪oː],aperto,1
102767,a2336,aphanticus,a,aps---mn1-,aphantic aphantic aphantic,,,[a.'pʰan̪.t̪ɪ.kʊs],aphanticus,0
38982,a2343,aphrodisiaca,n,n-s---fn1-,aphrodisiac,,,[a.pʰrɔ.d̪ɪ.'sɪ̣.ja.ka],aphrodisiaca,0
102781,a2350,apiacon,n,n-s---nn2g,apiac,,,[a.'pɪ̣.ja.kɔn̪],apiacon,0
29098,a2353,apiastellum,n,n-s---nn2-,apiastell,,,[a.pɪ̣.jas.'t̪ɛɫ.ɫũː],apiastellum,0
102792,a2362,apiculum,n,n-s---nn2-,apicul,,,[a.'pɪ.kʊ.ɫũː],apiculum,0
19957,a2365,apio,v,v1spia--3i,ap - apt,,,['a.pɪ̣.jɔ],apio,1
102806,a2387,apoclisis,n,n-s---fn3i,apoclis,,,[a.'pɔ.klɪ.sɪs],apoclisis,0
38367,a2391,apocrisiarius,n,n-s---mn2-,apocrisiari,,,[a.pɔ.krɪ.sɪ̣.'ja.rɪ̣.jʊs],apocrisiarius,0
102815,a2393,apocryphicus,a,aps---mn1-,apocryphic apocryphic apocryphic,,,[a.pɔ.'kry.pʰɪ.kʊs],apocryphicus,0
102583,a2069,annualis,a,aps---cn3i,annual annual annual,,,[an̪.'n̪ʊ.ja.lɪs],annualis,0
102835,a2419,apophysis,n,n-s---fn3i,apophys,,,[a.'pɔ.pʰy.sɪs],apophysis,0
97665,a8930,arctos,n,n-s---fn2g,arct,,29395,['ark.t̪oːs],arctos,0
19975,a2435,apostata,n,n-s---mn1-,apostat,,,[a.'pɔs.t̪a.t̪a],apostata,1
20054,a2724,architecto,v,v1spia--1-,architect - architectat,,29394,[ar.kʰɪ.'t̪ɛk.t̪ɔ],architecto,1
20010,a2523,apprehendo,v,v1spia--3-,apprehend apprehend apprehens,,29393,[ap.prɛˈhɛn.doː],apprehendo,1
102849,a2441,apostema,n,n-s---nn3-,apostemat,,,[a.'pɔs.t̪ɛ.ma],apostema,0
19981,a2453,apotheco,v,v1spia--1-,apothec apothecau apothecat,,,[a.pɔˈtʰeː.koː],apotheco,1
102863,a2466,apparatrix,n,n-s---fn3-,apparatric,,,[ap.'pa.ra.t̪rɪks],apparatrix,0
97647,a2481,appello,v,v1spia--1-,appell appellau appellat,,,[ap.'pɛɫ.loː],appello,0
102828,a2415,apophasis,n,n-s---fn3i,apophas,,,[a.'pɔ.pʰa.sɪs],apophasis,0
132250,a2500,appiciscor,v,v1spid--3-,appicisc - -,,,[ap.pɪ.'kɪs.kɔr],appiciscor,0
20001,a2504,applaudo,v,v1spia--3-,applaud applaus applaus,,,[apˈpɫau̯.doː],applaudo,1
102883,a2505,applausor,n,n-s---mn3-,applausor,,,['ap.pla.wsɔr],applausor,0
52545,a2511,applumbator,n,n-s---mn3-,applumbator,,,[ap.'plʊ.mba.t̪ɔr],applumbator,0
20004,a2516,apporto,v,v1spia--1-,apport apportau apportat,,,[apˈpɔr.toː],apporto,1
102895,a2533,approbatiuus,a,aps---mn1-,approbatiu approbatiu approbatiu,,,[ap.prɔ.'ba.t̪ɪ.wʊs],approbatiuus,0
53561,a2534,approbator,n,n-s---mn3-,approbator,,,[ap.'prɔ.ba.t̪ɔr],approbator,0
44663,a2539,approno,v,v1spia--1-,appron appronau appronat,,,/apˈproː.noː/,approno,0
102908,a2571,aptabilitas,n,n-s---fn3-,aptabilitat,,,[ap.t̪a.'bɪ.lɪ.t̪as],aptabilitas,0
20022,a2585,aqua,n,n-s---fn1-,aqu,,,/ˈa.kʷa/,aqua,1
102925,a2595,aquatilia,n,n-p---nn3i,aquatil,,,[a.kʷa.'t̪ɪ.lɪ̣.ja],aquatilia,0
50537,a2614,aquilonius,a,aps---mn1-,aquiloni aquiloni aquiloni,,,[a.kʷɪ.'lɔ.n̪ɪ̣.jʊs],aquilonius,0
102939,a2628,arabilis,a,aps---cn3i,arabil arabil arabil,,,[a.'ra.bɪ.lɪs],arabilis,0
31967,a2631,arachnoides,a,aps---an3-,arachnoid arachnoid arachnoid,,,[a.rakʰ.'n̪ɔ.jɪ.d̪ɛs],arachnoides,0
20028,a2639,araneum,n,n-s---nn2-,arane,,,['a.ran̪ewm],araneum,1
20034,a2649,arbitra,n,n-s---fn1-,arbitr,,,['ar.bɪ.t̪ra],arbitra,1
102953,a2655,arbitratrix,n,n-s---fn3-,arbitratric,,,[ar.'bɪ.t̪ra.t̪rɪks],arbitratrix,0
20042,a2669,arbusto,v,v1spia--1-,arbust arbustau arbusta,,,/arˈbus.toː/,arbusto,1
102964,a2682,arcellula,n,n-s---fn1-,arcellul,,,[ar.'kɛɫ.lʊ.la],arcellula,0
20048,a2688,arcesso,v,v1spia--3-,arcess arcessiu arcessit,,,[arˈkɛs.soː],arcesso,1
55267,a2702,archidendrophorus,n,n-s---mn2-,archidendrophor,,,[ar.kʰɪ.d̪ɛn̪.'d̪rɔ.pʰɔ.rʊs],archidendrophorus,0
42086,a2704,archidiaconatus,n,n-s---mn4-,archidiaconat,,,[ar.kʰɪ.d̪ɪ̣.ja.'kɔ.n̪a.t̪ʊs],archidiaconatus,0
37035,a2705,archidiaconus,n,n-s---mn2-,archidiacon,,,[ar.kʰɪ.d̪ɪ̣.'ja.kɔ.n̪ʊs],archidiaconus,0
102981,a2710,archigerontes,n,n-s---mn3-,archigeront,,,[ar.kʰɪ.gɛ.'rɔn̪.t̪ɛs],archigerontes,0
49482,a2712,archimagirus,n,n-s---mn2-,archimagir,,,[ar.kʰɪ.'ma.gɪ.rʊs],archimagirus,0
49186,a2717,archipirata,n,n-s---mn1-,archipirat,,,[ar.kʰɪ.'pɪ.ra.t̪a],archipirata,0
102997,a2728,architector,n,n-s---mn3-,architector,,,[ar.kʰɪ.'t̪ɛk.t̪ɔr],architector,0
38636,a2905,arcitenens,a,aps---an3i,arcitenent arcitenent arcitenent,,,[ar.'kɪ.t̪ɛ.n̪eːn̪s],arcitenens,0
103013,a2751,arcuatilis,a,aps---cn3i,arcuatil arcuatil arcuatil,,,[ar.kʊ.'ja.t̪ɪ.lɪs],arcuatilis,0
50028,a2753,arcuatio,n,n-s---fn3-,arcuation,,,[ar.kʊ.'ja.t̪ɪ̣.jɔ],arcuatio,0
20071,a2270,ardesco,v,v1spia--3-,ardesc - -,,,/aːrˈdeːs.koː/,ardesco,1
20077,a2778,aresco,v,v1spia--3-,aresc aru -,,,/aːˈreːs.koː/,aresco,1
103027,a7783,argemone,n,n-s---fn1g,argemon,,,[ar.'gɛ.mɔ.n̪ɛ],argemone,0
36642,a2578,argenteus,a,aps---mn1-,argente argente argente,,,[arˈɡɛn.te.ʊs],argenteus,0
20084,a2798,argillaceus,a,aps---mn1-,argillace argillace argillace,,,[ar.ɡɪlˈlaː.ke.ʊs],argillaceus,1
103036,a2801,argumentalis,a,aps---cn3i,argumental argumental argumental,,,[ar.'gʷmɛ.n̪t̪a.lɪs],argumentalis,0
47391,a2812,argutatrix,n,n-s---fn3-,argutatric argutatric argutatric,,,['argʷ.t̪a.t̪rɪks],argutatrix,0
44415,a2822,argyrocorinthus,a,aps---mn1-,argyrocorinth argyrocorinth argyrocorinth,,,[ar.gy.rɔ.kɔ.'rɪn̪.t̪ʰʊs],argyrocorinthus,0
20378,b0157,basilica,n,n-s---fn1-,basilic,,,[baˈsɪ.lɪ.ka],basilica,1
19993,a2488,appendo,v,v1spia--3-,append append appens,,,[apˈpɛn.doː],appendo,1
45357,a1595,armamentarius,a,aps---mn1-,armamentari armamentari armamentari,,,[ar.ma.mɛn̪.'t̪a.rɪ̣.jʊs],armamentarius,0
103095,a2916,arrhythmia,n,n-s---fn1-,arrhythmi,,,[ar.'ry.t̪ʰmɪ̣.ja],arrhythmia,0
103203,a3099,asplenos,n,n-s---mn2g,asplen,,29398,['as.plɛ.n̪ɔs],asplenos,0
28870,a3139,asserculus,n,n-s---mn2-,assercul,,29400,[as.'sɛr.kʊ.lʊs],asserculus,0
52280,a2918,arrideo,v,v1spia--2-,arrid arris arris,,,/arˈriː.de.oː/,arrideo,0
43392,a2941,artemisia,n,n-s---fn1-,artemisi,,,[ar.tɛˈmɪ.si.a],artemisia,0
20160,a3084,aspero,v,v1spia--1-,asper asperau asperat,,,/ˈas.pe.roː/,aspero,1
103108,a2944,arteriace,n,n-s---fn1g,arteriac,,,[ar.t̪ɛ.'rɪ̣.ja.kɛ],arteriace,0
41636,a3078,aspritudo,n,n-s---fn3-,aspritudin,,29399,[as.'prɪ.t̪ʊ.d̪ɔ],aspritudo,0
20190,a3298,atauus,n,n-s---mn2-,atau,,29402,[ˈa.ta.wʊs],atauus,1
32753,a3205,assumptio,n,n-s---fn3-,assumption,,29401,/asˈsuːmp.ti.oː/,assumptio,0
34984,a2954,articulatio,n,n-s---fn3-,articulation,,,[ar.t̪ɪ.kʊ.'la.t̪ɪ̣.jɔ],articulatio,0
103284,a6291,atheos,n,n-s---mn2g,athe,,29403,['a.t̪ʰɛ̣.jɔs],atheos,0
28588,a3064,aspalathus,n,n-s---mn2-,aspalath,,29397,[as.'pa.la.t̪ʰʊs],aspalathus,0
55631,a3038,ascriptor,n,n-s---mn3-,ascriptor,,29396,['as.krɪ.pt̪ɔr],ascriptor,0
103120,a2965,artigraphia,n,n-s---fn1-,artigraphi,,,[ar.t̪ɪ.'gra.pʰɪ̣.ja],artigraphia,0
20123,a2971,arto,v,v1spia--1-,art artau artat,,,/ˈar.toː/,arto,1
103136,a2991,aruipendium,n,n-s---nn2-,aruipendi,,,[a.ruj.'pɛn̪.d̪ɪ̣.jũː],aruipendium,0
30499,a3011,asarotos,a,aps---mn1g,asarot asarot asarot,,,[a.'sa.rɔ.t̪ɔs],asarotos,0
103159,a3001,ascalonia,n,n-s---fn1-,ascaloni,,,[as.ka.'lɔ.n̪ɪ̣.ja],ascalonia,0
103162,a3018,ascaules,n,n-s---mn3-,ascaul,,,[as.'kaw.lɛs],ascaules,0
20132,a3021,ascendo,v,v1spia--3-,ascend ascend ascens,,,[asˈkɛn.doː],ascendo,1
103178,a3054,asinaricius,a,aps---mn1-,asinarici asinarici asinarici,,,[a.sɪ.n̪a.'rɪ.kɪ̣.jʊs],asinaricius,0
20143,a3057,asininus,a,aps---mn1-,asinin asinin asinin,,,[a.sɪˈniː.nʊs],asininus,1
20145,a3062,asotia,n,n-s---fn1-,asoti,,,[a.'sɔ.t̪ɪ̣.ja],asotia,1
20148,a3068,aspecto,v,v1spia--1-,aspect aspectau aspectat,,,[asˈpɛk.toː],aspecto,1
103195,a3087,asphaltion,n,n-s---nn2g,asphalti,,,[as.'pʰaɫ.t̪ɪ̣.jɔn̪],asphaltion,0
52147,a3092,aspiramen,n,n-s---nn3-,aspiramin,,,[as.piːˈraː.mẽ],aspiramen,0
20166,a3100,asportatio,n,n-s---fn3-,asportation,,,[as.pɔr.'t̪a.t̪ɪ̣.jɔ],asportatio,1
42227,a3128,assentatio,n,n-s---fn3-,assentation,,,[as.sɛn̪.'t̪a.t̪ɪ̣.jɔ],assentatio,0
132262,a3135,assentor,v,v1spid--1-,assent - assentat,,,[asˈsɛn.tɔr],assentor,0
103221,a3156,assiccesco,v,v1spia--3-,,,,[as.sɪk.'kɛs.kɔ],assiccesco,0
103225,a3176,assimulator,n,n-s---mn3-,assimulator,,,[as.sɪ.'mʊ.la.t̪ɔr],assimulator,0
97702,a3193,assuefacio,v,v1spia--3i,assuefac assuefec assuefact,,,[as.sʊ.jɛ.'fa.kɪ̣.jɔ],assuefacio,0
28476,a3195,assuetudo,n,n-s---fn3-,assuetudin,,,[as.sʊ.'jɛ.t̪ʊ.d̪ɔ],assuetudo,0
57979,a3206,assumptiuus,a,aps---mn1-,assumptiu assumptiu assumptiu,,,[as.suːmpˈtiː.wʊs],assumptiuus,1
103234,a3208,assumptrix,n,n-s---fn3-,assumptric,,,[as.'sʊmp.t̪rɪks],assumptrix,0
30940,a3210,assurgo,v,v1spia--3-,assurg assurrex assurrect,,,[asˈsʊr.ɡoː],assurgo,0
29692,a3212,assuscipio,v,v1spia--3i,assuscip - -,,,[as.sʊs.'kɪ.pɪ̣.jɔ],assuscipio,0
103242,a3230,asteroplectos,a,aps---mn1g,asteroplect asteroplect asteroplect,,,[as.t̪ɛ.'rɔ.plɛ.kt̪ɔs],asteroplectos,0
20175,a3234,asticus,a,aps---mn1-,astic astic astic,,,/ˈas.ti.kus/,asticus,1
37789,a3251,astrictorius,a,aps---mn1-,astrictori astrictori astrictori,,,[as.t̪rɪ.'kt̪ɔ.rɪ̣.jʊs],astrictorius,0
103260,a3264,astrolapsum,n,n-s---nn2-,astrolaps,,,[as.'t̪rɔ.la.psũː],astrolapsum,0
20180,a3265,astrologia,n,n-s---fn1-,astrologi,,,[as.trɔˈɫɔ.ɡi.a],astrologia,1
48565,a3280,astupeo,v,v1spia--2-,astup - -,,,[asˈtʊ.pe.oː],astupeo,0
51953,a3284,astutulus,a,aps---mn1-,astutul astutul astutul,,,[as.'t̪ʊ.t̪ʊ.lʊs],astutulus,0
103271,a3292,asymmeter,a,aps---mn1r,asymmetr asymmetr asymmetr,,,[a.'sy.mmɛ.t̪ɛr],asymmeter,0
20118,a2943,arteria,n,n-s---fn1-,arteri,,,/arˈteː.ri.a/,arteria,1
103057,a2844,aristifer,a,aps---mn1r,aristifer aristifer aristifer,,,[a.'rɪs.t̪ɪ.fɛr],aristifer,0
20208,a3322,atrotus,a,aps---mn1-,atrot atrot atrot,,,['a.t̪rɔ.t̪ʊs],atrotus,1
132270,a3432,aucupor,v,v1spid--1-,aucup aucupat -,,29405,[ˈau̯.kʊ.pɔr],aucupor,0
97733,a3623,autumnalis,a,aps---cn3i,autumnal autumnal autumnal,,29407,[aw.'t̪ʊm.n̪a.lɪs],autumnalis,0
42302,b0121,barbarus,a,aps---mn1-,barbar barbar barbar,,29408,[ˈbar.ba.rʊs],barbarus,0
20345,b0034,baculum,n,n-s---nn2-,bacul,,29404,[ˈba.kʊ.ɫũ],baculum,1
48785,a3566,aurigo,v,v1spia--1-,aurig - aurigat,,29406,['aw.rɪ.gɔ],aurigo,0
103298,a3334,attegro,v,v1spia--1-,attegr attegrau attegra,,,['at̪.t̪ɛ.grɔ],attegro,0
20214,a3337,attempero,v,v1spia--1-,attemper attemperau attemperat,,,[atˈtɛm.pɛ.roː],attempero,1
20224,a3349,attestatio,n,n-s---fn3-,attestation,,,[at.tɛsˈtaː.ti.oː],attestatio,1
103309,a3367,attollentia,n,n-s---fn1-,attollenti,,,[at̪.t̪ɔɫ.'lɛn̪.t̪ɪ̣.ja],attollentia,0
20233,a3369,attondeo,v,v1spia--2-,attond attond attons,,,[atˈtɔn.de.oː],attondeo,1
32879,a3379,attremo,v,v1spia--3-,attrem - -,,,['at̪.t̪rɛ.mɔ],attremo,0
103322,a3332,aucellus,n,n-s---mn2-,aucell,,,[aw.'kɛɫ.lʊs],aucellus,0
30776,a3410,auctionarius,a,aps---mn1-,auctionari auctionari auctionari,,,[au̯k.ti.oːˈnaː.ri.ʊs],auctionarius,0
103327,a3414,auctiuncula,n,n-s---fn1-,auctiuncul,,,[awk.t̪ɪ̣.'jʊŋ.kʊ.la],auctiuncula,0
20251,a3419,auctoramentum,n,n-s---nn2-,auctorament,,,[awk.t̪ɔ.ra.'mɛn̪.t̪ũː],auctoramentum,1
45856,a3428,aucupatorius,a,aps---mn1-,aucupatori aucupatori aucupatori,,,[aw.kʊ.pa.'t̪ɔ.rɪ̣.jʊs],aucupatorius,0
103344,a3438,audibilis,a,aps---cn3i,audibil audibil audibil,,,[aw.'d̪ɪ.bɪ.lɪs],audibilis,0
20263,a3439,audientia,n,n-s---fn1-,audienti,,,[au̯.dɪˈɛn.ti.a],audientia,1
51220,a3446,auditorius,a,aps---mn1-,auditori auditori auditori,,,[au̯.diːˈtoː.ri.ʊs],auditorius,0
20324,a3450,aueho,v,v1spia--3-,aueh auex auect,,,[ˈaː.wɛ.hoː],aueho,1
20271,a6471,augesco,v,v1spia--3-,augesc - -,,,[aw.'gɛs.kɔ],augesco,1
103357,a3477,augmentator,n,n-s---mn3-,augmentator,,,[aw.'gmɛ.n̪t̪a.t̪ɔr],augmentator,0
20278,a3489,augurium,n,n-s---nn2-,auguri,,,[au̯ˈɡʊ.ri.ũ],augurium,1
54587,a1366,augurius,a,aps---mn1-,auguri auguri auguri,,,['aw.gʷrɪ̣.jʊs],augurius,0
20332,a3498,auiditas,n,n-s---fn3-,auiditat,,,[aˈwɪ.dɪ.taːs],auiditas,1
103371,a3508,aularius,n,n-s---mn2-,aulari,,,[aw.'la.rɪ̣.jʊs],aularius,0
103388,a3530,auramentum,n,n-s---nn2-,aurament,,,[aw.ra.'mɛn̪.t̪ũː],auramentum,0
20285,a3535,auratura,n,n-s---fn1-,auratur,,,/au̯.raːˈtuː.ra/,auratura,1
20291,a3572,auritus,a,aps---mn1-,aurit aurit aurit,,,[au̯ˈriː.tʊs],auritus,1
37586,a3580,aurugino,v,v1spia--1-,aurugin auruginau auruginat,,,[au̯ˈruː.ɡɪ.noː],aurugino,0
20298,a3588,ausculto,v,v1spia--1-,auscult auscultau auscultat,,,[au̯sˈkʊɫ.toː],ausculto,1
103418,a3601,austrifer,a,aps---mn1r,austrifer austrifer austrifer,,,['aws.t̪rɪ.fɛr],austrifer,0
53479,a3610,authenticum,n,n-s---nn2-,authentic,,,[aw.'t̪ʰɛn̪.t̪ɪ.kũː],authenticum,0
20309,a3610,authenticus,a,aps---mn1-,authentic authentic authentic,,,[au̯ˈtʰɛn.tɪ.kʊs],authenticus,1
103427,a3613,autocrator,n,n-s---mn3-,autocrator,,,[aw.'t̪ɔ.kra.t̪ɔr],autocrator,0
103433,a3622,autumator,n,n-s---mn3-,autumator,,,[aw.'t̪ʊ.ma.t̪ɔr],autumator,0
38074,a1733,auxiliarius,a,aps---mn1-,auxiliar auxiliar auxiliar,,,[awk.sɪ.lɪ̣.'ja.rɪ̣.jʊs],auxiliarius,0
20316,a3640,auxiliator,n,n-s---mn3-,auxiliator,,,[awk.sɪ.'lɪ̣.ja.t̪ɔr],auxiliator,1
103445,a6655,axitiones,n,n-p---fn3-,axition,,,[ak.sɪ.'t̪ɪ̣.jɔ.n̪ɛs],axitiones,0
