id,type,source,target
287021,/,19236,52184
287022,/,19236,19239
287023,\,43481,19238
287024,/,19238,101534
287025,/,19238,19236
287026,/,19238,19237
287027,/,19238,41463
287028,/,19238,52184
287029,/,19238,19239
287030,\,19248,19240
287031,\,19262,19240
287032,\,101583,19240
287033,\,19264,19240
287034,\,19248,19241
287035,\,19262,19241
287036,\,101583,19241
287037,\,19264,19241
287038,/,19246,19247
287039,\,31468,19249
287040,\,101546,19249
287041,\,32114,19253
287042,/,19262,101583
287043,/,19262,30866
287044,/,19262,19264
287045,/,101583,19262
287046,/,101583,30866
287047,/,101583,19264
287048,/,19264,19262
287049,/,19264,101583
287050,/,19264,30866
287051,/,101596,45670
287052,/,19271,19269
287053,/,19271,35386
287054,/,19271,19275
287055,/,19271,19654
287056,/,19278,36125
287057,/,19278,48215
287058,/,19278,19282
287059,/,19278,29992
287060,/,19278,34406
287061,/,19278,101619
287062,/,19278,19283
287063,/,19278,101620
287064,/,19278,20516
287065,\,19252,19281
287066,\,28350,19281
287067,\,101607,19281
287068,\,37856,19281
287069,\,19277,19281
287070,\,20024,19281
287071,\,57482,19284
287072,\,40335,19285
287073,\,19292,19291
287074,\,19304,19305
287075,\,19308,19307
287076,\,40158,19307
287077,\,50079,19353
287078,\,50022,132187
287079,\,19354,132187
287080,\,52303,132187
287081,\,19355,132187
287082,\,30874,19359
287083,\,33852,19359
287084,\,46202,19360
287085,\,19362,19361
287086,\,43916,19361
287087,\,19365,19364
287088,\,19366,19364
287089,\,36592,19364
287090,\,19392,19393
287091,/,19397,19395
287092,/,19397,19396
287093,/,19397,19398
287094,/,19398,19395
287095,/,19398,19397
287096,/,19398,49270
287097,/,19398,19399
287098,/,19400,97517
287099,/,19400,19401
287100,/,19400,19402
287101,/,19400,19403
287102,/,19403,97517
287103,/,19403,19400
287104,/,19403,19401
287105,/,19403,19402
287106,/,19403,19404
287107,\,40871,19410
287108,\,19415,19414
287109,\,35748,19414
287110,\,19416,19414
287111,\,101806,19414
287112,\,19417,19414
287113,\,19418,19414
287114,\,48282,19420
287115,\,102581,19426
287116,\,42279,19440
287117,\,30837,19440
287118,\,39105,19446
287119,\,19442,19446
287120,\,19521,19524
287121,\,52220,19524
287122,\,19525,19527
287123,/,19528,124604
287124,/,19544,28054
287125,/,19553,49822
287126,/,19553,19552
287127,/,19553,19554
287128,\,49822,19554
287129,\,19552,19554
287130,\,37009,19554
287131,\,19558,19561
287132,\,19559,19561
287133,\,19560,19561
287134,\,19567,19563
287135,\,19568,19563
287136,\,19569,19563
287137,/,19564,19563
287138,/,19564,58326
287139,/,19564,19566
287141,/,19564,19568
287142,/,19564,19569
287143,/,19564,19570
287144,/,19564,54772
287145,/,19564,19571
287146,/,19570,19568
287147,/,19576,53745
287148,/,19576,33340
287149,/,19576,51224
287150,/,19576,101960
287151,/,19576,19577
287152,/,19576,41138
287153,\,19577,132219
287154,\,33340,132219
287155,\,51224,132219
287156,/,19581,19582
287157,/,19581,97551
287158,/,19581,19584
287159,/,19581,19585
287160,/,19581,52819
287161,/,19581,19588
287162,/,19581,44000
287163,/,19581,19589
287164,/,19581,19599
287165,/,19581,19600
287166,/,19581,19602
287167,/,19581,19604
287168,\,19584,97551
287169,/,19584,97550
287170,/,19584,19581
287171,/,19584,19582
287172,/,19584,19585
287173,/,19584,52819
287174,/,19584,44000
287175,/,19584,19599
287176,/,19584,19600
287177,/,19584,19602
287178,/,19584,19604
287179,/,19586,19604
287180,/,19586,19888
287181,/,19588,97550
287182,/,19588,19581
287183,/,19588,97551
287184,/,19588,19599
287185,/,19588,19602
287186,/,19588,47183
287187,/,19588,19604
287188,/,19592,39808
287189,/,19592,101978
287190,/,19592,19591
287191,\,19592,19604
287192,\,19594,19604
287193,\,19599,19604
287194,\,19603,19604
287195,\,47183,19604
287196,\,98998,19604
287197,/,19606,28972
287198,/,19606,51202
287199,/,19606,97554
287200,/,19606,19607
287201,/,19606,33183
287202,/,19606,40532
287203,/,19606,28774
287204,/,19606,19609
287205,/,19606,47762
287206,/,19606,19610
287207,/,19606,19614
287208,\,19612,19613
287209,\,28972,19614
287210,\,19607,19614
287211,\,19608,19614
287212,\,19610,19614
287213,/,19614,97553
287214,/,19614,51202
287215,/,19614,19609
287216,/,19614,47762
287217,/,19616,19622
287218,/,19617,102015
287219,/,19617,19618
287220,/,19617,102016
287221,/,19617,19619
287222,/,19617,55877
287223,/,19617,29113
287224,\,19618,19620
287225,\,19619,19620
287226,\,55877,19620
287227,\,29113,19620
287228,\,102021,19621
287229,\,37987,19622
287230,/,19623,19624
287231,/,19623,48429
287232,/,19625,19623
287233,/,19625,19627
287234,/,19625,19626
287235,/,19629,19630
287236,/,19629,19634
287237,/,19634,19629
287238,\,102087,19643
287239,\,47680,19643
287240,\,32675,19643
287241,\,97566,19643
287242,\,19667,19643
287243,\,36288,19643
287244,\,48825,19643
287245,\,28937,19643
287246,\,38592,19643
287247,\,47738,19643
287248,\,19644,19645
287249,\,33174,19645
287250,\,97563,19645
287251,\,19647,19646
287252,/,19647,19648
287253,/,19647,19664
287254,\,19650,19654
287255,\,19651,19654
287256,\,102063,19657
