s1125,semirasus,a,0,aps---mn1-,semiras semiras semiras,semirasus
43947,43947,manifeste,r,0,rp--------,nominat,manifeste
43896,43896,perbreuiter,r,0,rp--------,adced adcess adcess,perbreuiter
43958,43958,quotuscunque,a,0,aps---an3-,quot quot quot,quotuscunque
43884,43884,ribesium,n,0,n-s---nn2-,ribesi,ribesium
43917,43917,scenophegia,n,0,n-s---fn1-,scenophegi,scenophegia
43925,43925,seuere,r,0,rp--------,calorific,seuere
43881,43881,subdole,r,0,rp--------,su,subdole
43877,43877,teter,a,0,aps---mn1r,tetr tetr tetr,teter
43955,43955,uigens,a,0,aps---an3-,uigent uigent uigent,uigens
43903,43903,actuositas,n,0,n-s---fn3-,actuositat,actuositas
133299,s0168,scirpea,n,0,n-p---nn2-,scirpe,scirpea
43916,a0591,adimpletor,n,0,n-s---mn3-,adimpletor,adimpletor
43956,a0863,aedituus,n,0,n-s---mn2-,aeditu,aedituus
43921,a0936,aequilauium,n,0,n-s---nn2-,aequilaui,aequilauium
43880,a2944,arteriacus,a,0,aps---mn1-,arteriac arteriac arteriac,arteriacus
43960,a3145,asseruio,v,0,v1spia--4-,asseru asseruiu asseruit,asseruio
43920,a3467,auertarius,n,0,n-s---mn2-,auertari,auertarius
43928,b0056,balbus,a,0,aps---mn1-,balb balb balb,balbus
43943,c0134,caesim,r,0,rp--------,caes,caesim
43924,c0278,calorificus,a,0,aps---mn1-,calorific calorific calorific,calorificus
43942,c1240,ceriolarium,n,0,n-s---nn2-,ceriolari,ceriolarium
43883,c3450,conquassatio,n,0,n-s---fn3-,conquassation,conquassatio
43945,c3928,conuocatio,n,0,n-s---fn3-,conuocation,conuocatio
43904,c4448,cruentatio,n,0,n-s---fn3-,cruentation,cruentatio
43910,d0948,desenesco,v,0,v1spia--3-,desenesc desenu -,desenesco
43906,d1676,diribeo,v,0,v1spia--2-,dirib - diribit,diribeo
43952,f0885,forticulus,a,0,aps---mn1-,forticul forticul forticul,forticulus
43935,g0113,gausapum,n,0,n-s---nn2-,gausap,gausapum
43929,l1027,longiusculus,a,0,aps---mn1-,long long long,longiusculus
43907,n0052,nasturcium,n,0,n-s---nn2-,nasturci,nasturcium
43946,n9771,nominatus,n,0,n-s---mn4-,nominat,nominatus
43948,o0804,ophiomachus,n,0,n-s---mn2-,ophiomach,ophiomachus
43923,p0060,paean,n,0,n-s---mn3-,paean,paean
43912,p0575,patricida,n,0,n-s---mn1-,patricid,patricida
43886,q0310,quondam,r,0,rp--------,,quondam
43939,s3964,sericum,n,0,n-s---nn2-,seric,sericum
43893,t0287,tenellulus,a,0,aps---mn1-,tenellul tenellul tenellul,tenellulus
43909,t1109,transuerto,v,0,v1spia--3-,transuert transuert transuerst,transuerto
43938,d1840,dispertitio,n,0,n-s---fn3-,dispertition,dispertitio
43986,43986,limosus,a,0,aps---mn2-,limos limos limos,limosus
43998,43998,amulum,n,0,n-s---nn2-,amul,amulum
43966,43966,antenna,n,0,n-s---fn1-,antenn,antenna
43992,43992,arte,r,0,rp--------,artius artissime,arte
43970,43970,buccina,n,0,n-s---fn1-,buccin,buccina
44028,44028,chortalinus,a,0,aps---mn1-,chortalin chortalin chortalin,chortalinus
44019,44019,conmunicabiliter,r,0,rp--------,,conmunicabiliter
44017,44017,dedicatus,a,0,aps---mn1-,dedicat dedicat dedicat,dedicatus
43977,43977,defaecatus,a,0,aps---mn1-,defaecat defaecat defaecat,defaecatus
44012,44012,dein,r,0,rp--------,,dein
44015,44015,dercea,n,0,n-s---fn1-,derce,dercea
44009,44009,drachuma,n,0,n-s---fn1-,drachum,drachuma
43985,43985,expedius,a,0,aps---mn1-,expedi expedi expedi,expedius
43982,43982,galbanen,n,0,n-s---nn3-,galbanin,galbanen
44030,44030,grillus,n,0,n-s---mn2-,grill,grillus
43975,43975,hesitatio,n,0,n-s---fn3-,hesitation,hesitatio
44024,44024,ideologia,n,0,n-s---fn1-,ideologi,ideologia
44021,44021,inbecillus,a,0,aps---mn1-,inbecill inbecill inbecill,inbecillus
43995,43995,innecessitas,n,0,n-s---fn3-,innecessitat,innecessitas
43988,43988,inuidiose,r,0,rp--------,inuidiosius inuidiosissime,inuidiose
43969,a0865,aedonius,a,0,aps---mn1-,aedoni aedoni aedoni,aedonius
44018,44018,maizium,n,0,n-s---nn2-,maizi,maizium
44039,44039,mansuete,r,0,rp--------,oc oci ocissi,mansuete
43962,43962,nationalismus,n,0,n-s---mn2-,nationalism,nationalismus
44032,44032,precario,r,0,rp--------,,precario
43974,43974,psychopathicus,n,0,n-s---mn2-,psychopathic,psychopathicus
44013,44013,quanto,r,0,rp--------,,quanto
43971,43971,apsumo,v,0,v1spia--3-,apsum apsumps apsumpt,apsumo
27062,s0702,scopa,n,1,n-s---fn1-,scop,scŏpa
44007,a2247,antiquarius,n,0,n-s---mn2-,antiquari,antiquarius
44022,a2626,arabarches,n,0,n-s---mn1g,arabarch,arabarches
44002,44002,quintus,n,0,n-s---mn4-,,quintus
44036,44036,radiophonia,n,0,n-s---fn1-,radiophoni,radiophonia
44016,44016,resonus,n,0,n-s---mn2-,reson,resonus
44042,44042,spurcalium,n,0,n-s---nn2-,spurcali,spurcalium
43983,43983,uasus,n,0,n-s---mn2-,uas,uasus
43997,43997,abaestuo,v,0,v1spia--1-,abaestu abaestuau abaestuat,abaestuo
44011,44011,adpositus,n,0,n-s---mn4-,adposit,adpositus
44008,a3104,aspredo,n,0,n-s---fn3-,aspredin,aspredo
44005,a3429,aucupatus,n,0,n-s---mn4-,aucupat,aucupatus
44025,c0252,calliblepharum,n,0,n-s---nn2-,calliblephar,calliblepharum
43979,c1046,celebrator,n,0,n-s---mn3-,celebrator,celebrator
43973,c2257,cochleola,n,0,n-s---fn1-,cochleol,cochleola
43964,c2368,collabello,v,0,v1spia--1-,collabell collabellau collabellat,collabello
43978,c4532,cuiusmodi,r,0,rp--------,defaecat defaecati defaecatissi,cuiusmodi
44003,d0730,dentitio,n,0,n-s---fn3-,dentition,dentitio
44033,d2060,diuturnus,a,0,aps---mn1-,diuturn diuturn diuturn,diuturnus
44035,g0628,grumus,n,0,n-s---mn2-,grum,grumus
33055,i1137,inculco,v,0,v1spia--1-,inculc inculcau inculcat,inculco
44010,l0138,lagona,n,0,n-s---fn1-,lagon,lagona
44038,o9731,octauusdecimus,a,0,aps---mn1-,oc oc oc,octauusdecimus
43968,p0184,pampinarius,a,0,aps---mn1-,pampinari pampinari pampinari,pampinarius
44027,p2930,praedictio,n,0,n-s---fn3-,praedict,praedictio
44037,t0084,tamen,r,0,rp--------,,tamen
43984,t1181,tribunatus,n,0,n-s---mn4-,tribunat,tribunatus
44090,44090,adoptaticia,n,0,n-s---fn1-,adoptatici,adoptaticia
44053,44053,adpalis,a,0,aps---cn3-,adpal adpal adpal,adpalis
44097,44097,altarista,n,0,n-s---fn1-,altarist,altarista
44088,44088,approbe,r,0,rp--------,,approbe
44098,44098,archisodalitium,n,0,n-s---nn2-,archisodaliti,archisodalitium
137963,s9937,scopa,n,0,n-s---fn1-,scop,scōpa
44060,44060,caecatus,a,0,aps---mn1-,caecat caecat caecat,caecatus
44096,44096,caesus,n,0,n-s---mn2-,caes,caesus
44100,44100,cheregra,n,0,n-s---fn1-,cheregr,cheregra
44106,44106,conlator,n,0,n-s---mn3-,conlator,conlator
44059,44059,diffletus,a,0,aps---mn1-,difflet difflet difflet,diffletus
44056,44056,emerita,n,0,n-s---fn1-,emerit,emerita
44047,44047,emphaticus,a,0,aps---mn1-,emphatic emphatic emphatic,emphaticus
44115,44115,enixe,r,0,rp--------,enixius enixissime,enixe
44083,44083,exoluo,v,0,v1spia--3-,exolu exolu exolut,exoluo
44070,44070,inclinatus,a,0,aps---mn1-,inclin inclin inclin,inclinatus
44066,44066,indignatus,a,0,aps---mn1-,indign indign indign,indignatus
44109,44109,inflexus,n,0,n-s---mn2-,inflex,inflexus
44068,44068,iniustus,n,0,n-s---mn4-,iniust,iniustus
44046,44046,liturarium,n,0,n-s---nn2-,liturari,liturarium
44087,44087,magnetizabilis,a,0,aps---cn3-,magnetizabil magnetizabil magnetizabil,magnetizabilis
44064,a1841,anadema,n,0,n-s---nn3-,anademat,anadema
44075,a2310,apalus,a,0,aps---mn1-,apal apal apal,apalus
44095,44095,monogerminalis,a,0,aps---cn3-,monogerminal monogerminal monogerminal,monogerminalis
44044,44044,senior,a,0,aps---cn3-,sen sen sen,senior
44117,44117,sesquimellesimus,a,0,aps---mn1-,sesquimellesim sesquimellesim sesquimellesim,sesquimellesimus
44111,44111,sifonarius,n,0,n-s---mn2-,sifonari,sifonarius
44099,44099,tosillae,n,0,n-p---fn1-,archisodaliti,tosillae
44089,44089,turmalinus,n,0,n-s---mn2-,turmalin,turmalinus
44094,44094,adaptertus,a,0,aps---mn1-,adaptert adaptert adaptert,adaptertus
44069,44069,acernia,n,0,n-s---fn1-,acerni,acernia
44073,c0135,caesio,n,0,n-s---fn3-,caesion,caesio
44055,c0559,capsarius,n,0,n-s---mn2-,capsari,capsarius
44105,c0825,cauponarius,n,0,n-s---mn2-,cauponari,cauponarius
44108,c2444,collocutor,n,0,n-s---mn3-,collocutor,collocutor
44104,d0966,desideratiuus,a,0,aps---mn1-,desideratiu desideratiu desideratiu,desideratiuus
44092,d1184,deuortium,n,0,n-s---nn2-,deuorti,deuortium
44114,d1375,diductio,n,0,n-s---fn3-,diduction,diductio
44065,i0886,incestuosus,a,0,aps---mn1-,incestuos incestuos incestuos,incestuosus
98911,i1150,incupidus,a,0,aps---mn1-,incupid incupid incupid,incupidus
113764,i1158,incursax,a,0,aps---an3i,incursac incursac incursac,incursax
44077,l9919,lenunculus,n,0,n-s---mn2-,lenuncul,lenunculus
44110,m0063,mena,n,0,n-s---fn1-,men,mĕna
44071,m1801,myrteus,a,0,aps---mn1-,myrte myrte myrte,myrteus
44052,p1751,perula,n,0,n-s---fn1-,perul,perula
44102,p3340,praesulatus,n,0,n-s---mn4-,praesulat,praesulatus
44051,p3368,praeterbito,v,0,v1spia--3-,praeterbit - -,praeterbito
44076,p4053,proreta,n,0,n-s---mn1-,proret,proreta
44043,r0751,riualitas,n,0,n-s---fn3-,riualitat,riualitas
44067,s2129,speculatorius,a,0,aps---mn1-,speculatori speculatori speculatori,speculatorius
44048,s3214,subtimeo,v,0,v1spia--2-,subtim subtimu -,subtimeo
44063,t0654,thynnus,n,0,n-s---mn2-,thynn,thynnus
44082,t0703,tina,n,0,n-s---fn1-,tin,tina
44086,t1191,tricae,n,0,n-p---fn1-,tric,tricae
44184,44184,amfractus,n,0,n-s---mn4-,amfract,amfractus
44126,44126,sycophantia,n,0,n-s---mn3-,sycophanti,sycophantia
44119,m1930,mystagogus,n,0,n-s---mn2-,mystagog,mystagogus
44133,44133,adsessus,n,0,n-s---mn2-,adsess,adsessus
44134,d0069,daucos,n,0,n-s---fn2g,dauc,daucos
44132,a1053,aetoma,n,1,n-s---nn3-,aetomat,aetoma
44192,44192,animismus,n,0,n-s---mn2-,animism,animismus
44158,44158,balineator,n,0,n-s---mn3-,balineator,balineator
44160,44160,benesonans,a,0,aps---an3-,benesonant benesonant benesonant,benesonans
44161,44161,comiua,n,0,n-s---fn1-,comiu,comiua
44137,44137,commuro,v,0,v1spia--1-,commur commuss commust,commuro
44168,44168,coperimentum,n,0,n-s---nn2-,coperiment,coperimentum
44159,44159,dextra,r,0,rp--------,,dextra
44131,44131,decerminum,n,0,n-s---nn2-,decermin,decerminum
44165,44165,exquisite,r,0,rp--------,innasc - innat,exquisite
44183,44183,ferruginus,a,0,aps---mn1-,ferrugin ferrugin ferrugin,ferruginus
44157,44157,geochemista,n,0,n-s---fn1-,geochemist,geochemista
44189,44189,glottologia,n,0,n-s---fn4-,glottologi,glottologia
44178,44178,hypermetricus,a,0,aps---mn1-,hypermetric hypermetric hypermetric,hypermetricus
44135,44135,inbecillis,a,0,aps---cn3-,inbecill inbecill inbecill,inbecillis
44195,44195,inconditus,r,0,rp--------,comperegrin,inconditus
44171,44171,infarctus,n,0,n-s---mn4-,infarct,infarctus
44154,44154,inlatio,n,0,n-s---fn3-,inlation,inlatio
44124,44124,masochista,n,0,n-s---fn1-,masochist,masochista
44179,44179,moruta,n,0,n-s---fn1-,morut,moruta
44172,44172,peccadillum,n,0,n-s---nn2-,peccadill,peccadillum
44174,a1327,aleator,n,0,n-s---mn3-,aleator,aleator
44187,44187,pedisecus,a,0,aps---mn1-,pedisec pedisec pedisec,pedisecus
44162,a0049,abhinc,r,0,rp--------,,abhinc
44146,44146,pultiphagus,n,0,n-s---mn2-,pultiphag,pultiphagus
44175,44175,radiatrum,n,0,n-s---nn2-,radiatr,radiatrum
44176,a0005,abactor,n,0,n-s---mn3-,abactor,abactor
44197,44197,adser,n,0,n-s---mn2r,adser,adser
44149,a3496,auicula,n,0,n-s---fn1-,aui aui aui,auicula
44147,b0134,barca,n,0,n-s---fn1-,barc,barca
44141,b0672,bubulo,v,0,v1spia--1-,bubul bubulau bubulat,bubulo
44190,c1168,centuriatio,n,0,n-s---fn3-,centuriation,centuriatio
44185,c1589,cichoreum,n,0,n-s---nn2-,cichore,cichoreum
44118,c2459,collurchinatio,n,0,n-s---fn3-,collurchination,collurchinatio
44194,c2821,comperegrinus,n,0,n-s---mn2-,comperegrin,comperegrinus
44142,c9873,comperendinatus,n,0,n-s---mn4-,comperendinat,comperendinatus
44170,c3330,confusaneus,a,0,aps---mn1-,confusane confusane confusane,confusaneus
44182,c4188,cosmographia,n,0,n-s---fn1-,cosmographi,cosmographia
44163,h0012,habitatrix,n,0,n-s---fn3-,habitatric,habitatrix
44193,h0028,haedillus,n,0,n-s---mn2-,haedill,haedillus
44188,i2672,inuestio,v,0,v1spia--4-,inuest inuestiu inuestit,inuestio
44155,l0158,lamella,n,0,n-s---fn1-,lamell,lamella
44144,n0644,nullatenus,r,0,rp--------,,nullatenus
44136,o0905,optimus,a,0,aps---mn1-,inbecill inbecill inbecill,optimus
44177,p3701,procursatio,n,0,n-s---fn3-,procursation,procursatio
44145,q0211,quianam,r,0,rp--------,,quianam
44166,s0561,scapha,n,0,n-s---fn1-,scaph,scapha
44167,s2759,subasso,v,0,v1spia--1-,subass subassau subassat,subasso
44153,s2829,subdoceo,v,0,v1spia--2-,subd subdid subdit,subdoceo
44257,i9912,iudicatum,n,0,n-s---nn2-,iudicat,iudicatum
44254,44254,focillo,v,0,v1spia--1-,focill focillau focillat,focillo
24090,i1162,incurso,v,1,v1spia--1-,incurs incursau incursat,incurso
44258,44258,adger,n,0,n-s---mn2r,adger,adger
44219,44219,adspiro,v,0,v1spia--1-,adspir adspirau adspirat,adspiro
44274,44274,agonistarchicus,a,0,aps---mn1-,agonistarchic agonistarchic agonistarchic,agonistarchicus
44264,44264,antigerio,r,0,rp--------,,antigerio
44235,44235,aquamanile,n,0,n-s---nn3-,aquamanil,aquamanile
44250,44250,authorita,n,0,n-s---fn1-,authorit,authorita
44276,44276,codicarius,n,0,n-s---mn2-,codicari,codicarius
44255,44255,colatus,a,0,aps---mn1-,colat colat colat,colatus
44278,44278,comoedice,r,0,rp--------,,comoedice
44205,44205,correspondeo,v,0,v1spia--2-,correspond correspond correspons,correspondeo
44221,44221,corsum,r,0,rp--------,,corsum
44261,44261,cupitum,n,0,n-s---nn2-,cupit,cupitum
44198,44198,diadata,n,0,n-s---fn1-,diadat,diadata
44226,44226,diagonium,n,0,n-s---nn2-,diagoni,diagonium
44215,44215,foliothecula,n,0,n-s---fn1-,foliothecul,foliothecula
44270,44270,harpagatus,a,0,aps---mn1-,harpagat harpagat harpagat,harpagatus
44200,44200,incunabulum,n,0,n-s---nn2-,incunabul,incunabulum
44245,44245,manifestatiuus,a,0,aps---mn1-,manifestatiu manifestatiu manifestatiu,manifestatiuus
27168,s1385,sero,v,1,v1spia--3-,ser seru sert,sero
44260,44260,petoritum,n,0,n-s---nn2-,petorit,petoritum
44244,44244,pyrobolus,n,0,n-s---mn2-,pyrobol,pyrobolus
44202,44202,quotenus,a,0,aps---mn1-,quoten quoten quoten,quotenus
44239,44239,traba,n,0,n-s---fn1-,trab,traba
44265,44265,adfricatio,n,0,n-s---fn3-,adfrication,adfricatio
44214,44214,uison,n,0,n-s---nn2-,uisont,uison
44259,44259,tophus,n,0,n-s---mn2-,toph,tophus
44236,44236,adfigo,v,0,v1spia--3-,adfig adfix adfix,adfigo
44210,a1573,amaracinum,n,0,n-s---nn2-,amaracin,amaracinum
44247,a3560,aurigarius,n,0,n-s---mn2-,aurigari,aurigarius
44267,44267,marathrus,n,0,n-s---mn2-,marathr,marathrus
44212,b0443,biuertex,a,0,aps---an3-,biuertic biuertic biuertic,biuertex
44256,c0941,caudiceus,a,0,aps---mn1-,colat colat colat,caudiceus
44213,c1311,ceteroqui,r,0,rp--------,,ceteroqui
44249,c2030,clareo,v,0,v1spia--2-,clar - -,clareo
44243,c2525,columbinaceus,a,0,aps---mn1-,columbinace columbinace columbinace,columbinaceus
44225,c2908,comprobator,n,0,n-s---mn3-,comprobator,comprobator
44220,c4062,cornum,n,0,n-s---nn2-,corn,cornum
44252,d0326,deductiuus,a,0,aps---mn1-,deductiu deductiu deductiu,deductiuus
44223,d1315,diatonum,n,0,n-s---nn2-,diaton,diatonum
44218,f0497,fidicina,n,0,n-s---fn1-,fidicin,fidicina
44229,b0047,baiulus,n,0,n-s---mn2-,baiul,baiulus
44224,m0134,maga,n,0,n-s---fn1-,mag,maga
44222,m9982,materiatura,n,0,n-s---fn1-,materiatur,materiatura
44251,n0287,nidulus,n,0,n-s---mn2-,nidul,nidulus
44232,n0555,notula,n,0,n-s---fn1-,notul,notula
44277,p1782,pestilentiosus,a,0,aps---mn1-,pestilentios pestilentios pestilentios,pestilentiosus
44211,p3663,procliuus,a,0,aps---mn1-,procliu procliu procliu,procliuus
44268,p4179,prothyrum,n,0,n-s---nn2-,prothyr,prothyrum
44275,s3043,subrancidus,a,0,aps---mn1-,subrancid subrancid subrancid,subrancidus
44230,t0269,tenacitas,n,0,n-s---fn3-,tenacitat,tenacitas
44233,u0165,ubi,r,0,rp--------,,ubi
44295,c1650,cingillum,n,0,n-s---nn2-,cingill,cingillum
44329,44329,aduorsum,n,0,n-s---nn2-,aduors,aduorsum
44302,44302,annuntiatio,n,0,n-s---fn3-,annuntiation,annuntiatio
44354,44354,afflagrans,n,0,n-s---cn3-,afflagrant,afflagrans
44309,44309,auorsus,a,0,aps---mn1-,auors auors auors,auorsus
44326,44326,caeremonialis,a,0,aps---cn3-,caeremonial caeremonial caeremonial,caeremonialis
44365,44365,cariota,n,0,n-s---fn1-,cariot,cariota
44320,44320,cimiterium,n,0,n-s---nn2-,cimiteri,cimiterium
44299,44299,circumaedifico,v,0,v1spia--1-,circumaedific circumaedificau circumaedificat,circumaedifico
44339,44339,compertum,n,0,n-s---nn2-,compert,compertum
44296,44296,complecto,v,0,v1spia--3-,complect - complex,complecto
44343,44343,conparatus,n,0,n-s---mn4-,conparat,conparatus
44345,44345,decusatim,r,0,rp--------,,decusatim
44362,44362,dramaticus,a,0,aps---mn1-,dramatic dramatic dramatic,dramaticus
44310,44310,humectus,a,0,aps---mn1-,humect humect humect,humectus
44287,a1691,amitina,n,0,n-s---fn1-,amitin,amitina
44301,44301,immistrum,n,0,n-s---nn2-,immistr,immistrum
44323,44323,inoboedientiarius,n,0,n-s---mn2-,inoboedientiari,inoboedientiarius
44348,44348,literula,n,0,n-s---fn1-,literul,literula
44293,a2478,appellator,n,0,n-s---mn3-,appellator,appellator
44319,a2588,aquagium,n,0,n-s---nn2-,aquagi,aquagium
44307,b0467,blapsigonia,n,0,n-s---fn1-,blapsigoni,blapsigonia
44292,c1013,causticum,n,0,n-s---nn2-,caustic,causticum
44300,c1061,celes,n,0,n-s---mn3-,celet,celes
44330,44330,neclego,v,0,v1spia--3-,necleg neclex neclect,neclego
44333,44333,obuallatus,a,0,aps---mn1-,obuallat obuallat obuallat,obuallatus
44294,44294,ostendeo,v,0,v1spia--2-,ostend ostend -,ostendeo
44360,44360,pacifier,a,0,aps---mn1r,pacifier pacifier pacifier,pacifier
44355,44355,ptisana,r,0,rp--------,ptisan,ptisana
44347,44347,quadragiens,a,0,aps---an3-,quadr quadr quadr,quadragiens
44327,44327,seiugatus,a,0,aps---mn1-,seiugat seiugat seiugat,seiugatus
44308,44308,spontaliter,r,0,rp--------,,spontaliter
44358,44358,uirdiarium,n,0,n-s---nn2-,uirdiari,uirdiarium
44363,44363,adlubesco,v,0,v1spia--3-,adlubesc - -,adlubesco
44359,44359,adpetenter,r,0,rp--------,,adpetenter
44304,c3519,consertio,n,0,n-s---fn3-,consertion,consertio
44283,c3747,contignum,n,0,n-s---nn2-,contign,contignum
44442,c4180,coryza,n,0,n-s---fn1-,coryz,coryza
44357,d1901,dissignator,n,0,n-s---mn3-,dissignator,dissignator
44312,e1288,excello,v,0,v1spia--3-,excell - excels,excello
44289,f0898,fortuno,v,0,v1spia--1-,fortun fortunau fortunat,fortuno
44314,f0958,fraxinus,n,0,n-s---fn2-,fraxin,fraxinus
44318,f1046,frugiparus,a,0,aps---mn1-,frugipar frugipar frugipar,frugiparus
44281,g0069,ganeum,n,0,n-s---nn2-,gane,ganeum
44316,i1573,infimus,a,0,aps---mn1-,infim infim infim,infimus
44325,i3196,interpunctum,n,0,n-s---nn2-,interpunct,interpunctum
44313,l0569,leporarium,n,0,n-s---nn2-,leporari,leporarium
44342,l0944,liuidulus,a,0,aps---mn1-,liuidul liuidul liuidul,liuidulus
44315,p2188,pithecium,n,0,n-s---nn2-,pitheci,pithecium
44331,s3459,suo,v,0,v1spia--3-,su sueu -,suo
44279,t1410,triuenefica,n,0,n-s---fn1-,triuenefic,triuenefica
44334,u0618,uictoriola,n,0,n-s---fn1-,uictoriol,uictoriola
44420,i3014,iuglans,n,1,n-s---fn3i,iugland,iuglans
44441,e0955,escensus,n,0,n-s---mn4-,escens,escensus
44392,44392,bassilica,n,0,n-s---fn1-,bassilic,bassilica
44377,44377,care,r,0,rp--------,carius carissime,care
44371,44371,celse,r,0,rp--------,celsius celsissime,celse
44407,44407,cephus,n,0,n-s---mn2-,ceph,cephus
44418,44418,chalcites,n,0,n-s---mn1-,chalcit,chalcites
44439,a2527,appretio,v,0,v1spia--1-,appreti appretiau appretiat,appretio
44425,44425,circumuecto,v,0,v1spia--1-,circumuect - circumuectat,circumuecto
44413,44413,conclauista,n,0,n-s---mn1-,conclauist,conclauista
44374,44374,conlaudo,v,0,v1spia--1-,conlaud conlaudau conlaudat,conlaudo
44380,44380,conlino,v,0,v1spia--1-,conlin conleu conlit,conlino
44383,44383,conmemoratio,n,0,n-s---fn3-,conmemoration,conmemoratio
44412,44412,conuenticius,n,0,n-s---mn2-,conuentici,conuenticius
44435,44435,credens,n,0,n-s---cn3-,credent,credens
44402,44402,dialion,a,0,aps---mn1-,diali diali diali,dialion
44416,44416,essendio,v,0,v1spia--4-,essend - -,essendio
44387,44387,gutturalis,a,0,aps---cn3-,guttural guttural guttural,gutturalis
44376,a3108,assum,n,0,n-s---nn2-,ass,assum
44384,o0213,obseruantia,n,0,n-s---fn1-,obseruanti,obseruantia
44405,a3494,auiarius,n,0,n-s---mn2-,auiari,auiarius
44399,44399,inquit,v,0,v1spia--3-,inqu - -,inquit
137977,s1431,serum,n,0,n-s---nn2-,ser,sērum
44393,44393,intemptatus,r,0,rp--------,bassilic,intemptatus
44368,44368,inuolneratus,a,0,aps---mn1-,inuolnerat inuolnerat inuolnerat,inuolneratus
44389,44389,magnetoscopium,n,0,n-s---nn2-,magnetoscopi,magnetoscopium
44409,44409,mancupium,n,0,n-s---nn2-,mancupi,mancupium
44396,44396,pessimismus,n,0,n-s---mn2-,pessimism,pessimismus
44395,44395,piisimus,a,0,aps---mn1-,piisim piisim piisim,piisimus
44401,44401,praelium,n,0,n-s---nn2-,praeli,praelium
44379,44379,praetextus,a,0,aps---mn1-,praetext praetext praetext,praetextus
44373,44373,principio,v,0,v1spia--1-,principi principiau principiat,principio
44406,44406,iasminum,n,0,n-s---nn2-,iasmin,iasminum
44410,44410,simulac,r,0,rp--------,,simulac
44369,44369,stygius,a,0,aps---mn1-,stygi stygi stygi,stygius
44378,44378,suffuro,v,0,v1spia--1-,suffur - suffurat,suffuro
44424,44424,suptilis,a,0,aps---cn3-,suptil suptil suptil,suptilis
44408,44408,tecte,r,0,rp--------,ceph,tecte
44429,44429,adscio,v,0,v1spia--4-,adsc - -,adscio
44419,c1081,celox,n,1,n-s---fn3-,celoc,celox
44437,c9923,ceratura,n,0,n-s---fn1-,ceratur,ceratura
44428,c1466,chlorion,n,0,n-s---mn3-,chlorion,chlorion
44404,c1674,circensis,a,0,aps---cn3i,circens circens circens,circensis
44394,c1819,circumnauigo,v,0,v1spia--1-,circumnauig circumnauigau circumnauigat,circumnauigo
44438,c2236,coassamentum,n,0,n-s---nn2-,coassament,coassamentum
44385,c2348,coinquinatio,n,0,n-s---fn3-,coinquination,coinquinatio
44382,c3487,consecrator,n,0,n-s---mn3-,consecrator,consecrator
44433,i0289,imaginarius,a,0,aps---mn1-,imaginari imaginari imaginari,imaginarius
44414,i9862,incisum,n,0,n-s---nn2-,incis,incisum
44436,o0589,offlecto,v,0,v1spia--3-,offlect - -,offlecto
44388,p9893,praecinctus,n,0,n-s---mn4-,praecinct,praecinctus
44411,p3631,probus,a,0,aps---mn1-,prob prob prob,probus
44390,r1057,recubo,v,0,v1spia--1-,recub recubu recubit,recubo
44375,s0224,salubritas,n,0,n-s---fn3-,salubritat,salubritas
44503,b0508,boloe,n,1,n-p---mn2g,-,boloe
44473,s3923,symbolum,n,0,n-s---nn2-,symbol,symbolum
44455,a1505,aliquouorsum,r,0,rp--------,,aliquouorsum
44461,44461,alumno,v,0,v1spia--1-,alumn alumnau alumnat,alumno
44511,44511,anguimanus,a,0,aps---mn1-,anguiman anguiman anguiman,anguimanus
44448,44448,anomalus,a,0,aps---mn1-,anomal anomal anomal,anomalus
44559,44559,zmaragdus,n,0,n-s---mn2-,zmaragd,zmaragdus
44477,44477,apsconse,r,0,rp--------,,apsconse
44450,44450,aromatizans,a,0,aps---an3-,aromatizant aromatizant aromatizant,aromatizans
44471,44471,auorro,v,0,v1spia--1-,auorr auorr auors,auorro
44512,44512,cacabatus,a,0,aps---mn1-,cacabat cacabat cacabat,cacabatus
44444,44444,colliphium,n,0,n-s---nn2-,colliphi,colliphium
44490,44490,conpeto,v,0,v1spia--3-,conpet conpetiu conpetit,conpeto
44464,44464,cornupetus,a,0,aps---mn1-,cornupet cornupet cornupet,cornupetus
44447,44447,coum,n,0,n-s---nn2-,co,coum
44487,a1632,amblygonius,a,0,aps---mn1-,amblygoni amblygoni amblygoni,amblygonius
44507,44507,cytisum,n,0,n-s---nn2-,cytis,cytisum
44446,44446,deprecio,v,0,v1spia--1-,depreci depreciau depreciat,deprecio
44495,44495,desperate,r,0,rp--------,,desperate
44456,44456,discographia,n,0,n-s---fn1-,discographi,discographia
44453,44453,eucharistialus,a,0,aps---mn1-,eucharistial eucharistial eucharistial,eucharistialus
44481,44481,formidilose,r,0,rp--------,formidilosius formidilosissime,formidilose
44469,44469,indiscrete,r,0,rp--------,,indiscrete
44479,44479,interretialis,a,0,aps---cn3-,interretial interretial interretial,interretialis
44498,44498,lacrimalis,a,0,aps---cn3-,lacrimal lacrimal lacrimal,lacrimalis
44508,44508,mordaciter,r,0,rp--------,,mordaciter
44510,a2742,arcipotens,a,0,aps---an3i,arcipotent arcipotent arcipotent,arcipotens
44489,44489,nunciatio,n,0,n-s---fn3-,nunciation,nunciatio
44513,44513,oboedens,a,0,aps---an3-,oboedent oboedent oboedent,oboedens
44506,44506,rationalabiliter,r,0,rp--------,,rationalabiliter
