---fn3-,Hestiaeot,Hestiaeotis,0
60300,60300,Hyperion,n,n-s---mn3-,Hyperi,Hyperion,0
60301,60301,Hypermnestra,n,n-s---fn1-,Hypermnestr,Hypermnestra,0
60302,60302,Hypobolimaeus,n,n-s---mn2-,Hypobolimae,Hypobolimaeus,0
60303,60303,Hypsa,n,n-s---fn1-,Hyps,Hypsa,0
60304,60304,Hypsaeus,n,n-s---mn2-,Hypsae,Hypsaeus,0
60305,60305,Hypseus,n,n-s---mn2-,Hypse,Hypseus,0
60307,60307,Hypsipyle,n,n-s---fn1-,Hypsipyl,Hypsipyle,0
60308,60308,Hyrcani,n,n-p---mn2-,Hyrcan,Hyrcani,0
60309,60309,Hyrie,n,n-s---fn1-,Hyri,Hyrie,0
60310,60310,Hyrieus,n,n-s---mn2-,Hyrie,Hyrieus,0
60311,60311,Hystaspes,n,n-p---mn3-,Hystasp,Hystaspes,0
60312,60312,Ialysus,n,n-s---mn2-,Ialys,Ialysus,0
60313,60313,Iamblichus,n,n-s---mn2-,Iamblich,Iamblichus,0
60314,60314,Iamidae,n,n-p---fn1-,Iamid,Iamidae,0
60315,60315,Iamphoryna,n,n-s---fn1-,Iamphoryn,Iamphoryna,0
60316,60316,Ianthe,n,n-s---fn1-,Ianth,Ianthe,0
60247,60247,Hirpi,n,n-p---mn2-,Hirp,Hirpi,0
60248,60248,Hirpini,n,n-p---mn2-,Hirpin,Hirpini,0
26047,p2206,pius,a,aps---mn1-,pi pi pi,pius,1
26087,26087,pneuma,n,n-s---nn3-,pneumat,pneuma,1
26049,26049,placide,r,rp--------,placid,placide,1
60323,60323,Iasius,n,n-s---mn2-,Iasi,Iasius,0
60324,60324,Iason,n,n-s---nn3-,Ias,Iason,0
60325,60325,Iassus,n,n-s---mn2-,Iass,Iassus,0
60326,60326,Iazyges,n,n-p---mn3-,Iazyg,Iazyges,0
60327,60327,Ibycus,n,n-s---mn2-,Ibyc,Ibycus,0
60329,60329,Icarus,n,n-s---mn2-,Icar,Icarus,0
60330,60330,Iccius,n,n-s---mn2-,Icci,Iccius,0
60331,60331,Icelos,n,n-s---mn2-,Icel,Icelos,0
60333,60333,Ichnusa,n,n-s---fn1-,Ichnus,Ichnusa,0
60334,60334,Iconium,n,n-s---nn2-,Iconi,Iconium,0
60335,60335,Ida,n,n-s---fn1-,Id,Ida,0
60336,60336,Idalium,n,n-s---nn2-,Idali,Idalium,0
60337,60337,Idas,n,n-s---mn3-,Idas,Idas,0
60338,60338,Idmon,n,n-s---nn3-,Idm,Idmon,0
60339,60339,Idumaea,n,n-s---fn1-,Idumae,Idumaea,0
60340,60340,Idyia,n,n-s---fn1-,Idyi,Idyia,0
60342,60342,Iguuium,n,n-s---nn2-,Iguui,Iguuium,0
60343,60343,Ilerda,n,n-s---fn1-,Ilerd,Ilerda,0
60344,60344,Ilergauonenses,n,n-p---mn3-,Ilergauonens,Ilergauonenses,0
60345,60345,Ilergetes,n,n-p---mn3-,Ilerget,Ilergetes,0
60346,60346,Ilia,n,n-s---fn1-,Ili,Ilia,0
60347,60347,Ilienses,n,n-p---mn3-,Iliens,Ilienses,0
60348,60348,Ilioneus,n,n-s---mn2-,Ilione,Ilioneus,0
60349,60349,Ilipa,n,n-s---fn1-,Ilip,Ilipa,0
60350,60350,Ilium,n,n-s---nn3-,Ilium,Ilium,0
60351,60351,Illyrii,n,n-p---mn3-,Illyri,Illyrii,0
60353,60353,Iluates,n,n-p---mn3-,Iluat,Iluates,0
60352,60352,Iluro,n,n-s---mn3-,Iluro,Iluro,0
60355,60355,Imaus,n,n-s---mn2-,Ima,Imaus,0
60356,60356,Imbros,n,n-s---mn2-,Imbr,Imbros,0
60357,60357,Inachus,n,n-s---mn2-,Inach,Inachus,0
60359,60359,Inarime,a,aps---fn1-,Inarime Inarime Inarime,Inarime,0
60360,60360,Indicus,n,n-s---mn2-,Indic,Indicus,0
60361,60361,Indus,n,n-s---mn2-,Ind,Indus,0
60362,60362,Industria,n,n-s---fn1-,Industri,Industria,0
60363,60363,Ingauni,n,n-p---mn2-,Ingaun,Ingauni,0
60364,60364,Ingyaeones,n,n-p---mn3-,Ingyaeon,Ingyaeones,0
60366,60366,Intercatia,n,n-s---fn1-,Intercati,Intercatia,0
60367,60367,Io,n,n-s---fn3-,Io,Io,0
60368,60368,Iocasta,n,n-s---fn1-,Iocast,Iocasta,0
60369,60369,Iol,n,n-s---mn3-,Iol,Iol,0
60370,60370,Iolaus,n,n-s---mn2-,Iola,Iolaus,0
60371,60371,Iolcos,n,n-s---mn2-,Iolc,Iolcos,0
60372,60372,Iole,n,n-s---fn1-,Iol,Iole,0
60373,i2774,Ion,n,n-s---mn3-,Ion,Ion,1
60375,60375,Ionius,a,aps---mn1-,Ioni Ioni Ioni,Ionius,0
60376,60376,Iphias,n,n-s---fn3-,Iphias,Iphias,0
60377,60377,Iphiclus,n,n-s---mn2-,Iphicl,Iphiclus,0
60379,60379,Iphinous,n,n-s---mn2-,Iphino,Iphinous,0
60380,60380,Iphis,n,n-s---fn3-,Iph,Iphis,0
60381,60381,Iphitus,n,n-s---mn2-,Iphit,Iphitus,0
60382,60382,Iresiae,n,n-p---fn1-,Iresi,Iresiae,0
60383,60383,Iriates,n,n-p---mn3-,Iriat,Iriates,0
60384,60384,Irine,n,n-s---fn1-,Irin,Irine,0
60385,60385,Iritis,n,n-s---fn3-,Irit,Iritis,0
60386,60386,Irus,n,n-s---mn2-,Ir,Irus,0
60387,60387,Isacia,n,n-s---fn1-,Isaci,Isacia,0
60388,60388,Isaeus,n,n-s---mn2-,Isae,Isaeus,0
60389,60389,Isara,n,n-s---fn1-,Isar,Isara,0
60319,60319,Iapydes,n,n-s---mn3-,Iapyd,Iapydes,0
60320,60320,Iapyx,n,n-s---mn3-,Iapyx,Iapyx,0
24114,i1299,indiscretus,a,aps---mn1-,indiscret indiscret indiscret,indiscretus,1
26086,p2409,pluuia,n,n-s---fn1-,pluui,pluuia,1
26089,p2415,pocillator,n,n-s---mn3-,pocillator,pocillator,1
26090,p2419,poculum,n,n-s---nn2-,pocul,poculum,1
60424,60424,Ioppe,a,aps---fn1-,Ioppe Ioppe Ioppe,Ioppe,0
60425,60425,Iosephus,n,n-s---mn2-,Ioseph,Iosephus,0
60426,60426,Iouius,n,n-s---mn2-,Ioui,Iouius,0
60390,60390,Isauri,n,n-p---mn2-,Isaur,Isauri,0
60391,60391,Isaurus,n,n-s---mn2-,Isaur,Isaurus,0
60392,60392,Iseum,n,n-s---nn2-,Ise,Iseum,0
60393,60393,Isidorus,n,n-s---mn2-,Isidor,Isidorus,0
60394,60394,Isidotus,n,n-s---mn2-,Isidot,Isidotus,0
60395,60395,Isigonus,n,n-s---mn2-,Isigon,Isigonus,0
60397,60397,Isis,n,n-s---fn3-,Isid,Isis,0
60398,60398,Ismael,n,n-s---mn3-,Ismael,Ismael,0
60399,60399,Ismarus,n,n-s---mn2-,Ismar,Ismarus,0
60400,60400,Ismenus,n,n-s---mn2-,Ismen,Ismenus,0
60401,60401,Isocrates,n,n-s---mn3i,Isocrat,Isocrates,0
60402,60402,Israël,a,aps---mn3-,Israël Israël Israël,Israël,0
60403,60403,Issa,n,n-s---fn1-,Iss,Issa,0
60404,60404,Isse,n,n-s---fn1g,Iss,Isse,0
60405,60405,Isthmus,n,n-s---mn2-,Isthm,Isthmus,0
60406,60406,Istri,n,n-p---mn2-,Istr,Istri,0
60407,60407,Istyaeones,n,n-p---mn3-,Istyaeon,Istyaeones,0
60409,60409,Ithaca,n,n-s---fn1-,Ithac,Ithaca,0
60410,60410,Itone,n,n-s---fn1-,Iton,Itone,0
60411,60411,Ituraea,a,aps---fn1-,Iturae Iturae Iturae,Ituraea,0
60412,60412,Itylus,n,n-s---mn2-,Ityl,Itylus,0
60413,60413,Itys,n,n-s---mn3-,Itys,Itys,0
60428,60428,Iudaea,n,n-s---fn3-,Iudaea,Iudaea,0
60429,60429,Iudaizo,n,n-s---mn3-,Iudaizo,Iudaizo,0
60430,60430,Iudas,n,n-s---mn3-,Iudas,Iudas,0
60431,60431,Iugurtha,n,n-s---fn1-,Iugurth,Iugurtha,0
60432,60432,Iuliacum,n,n-s---nn2-,Iuliac,Iuliacum,0
60433,60433,Iulianus,n,n-s---mn2-,Iulian,Iulianus,0
60434,60434,Iulias,n,n-s---mn3-,Iulias,Iulias,0
60436,60436,Iuliobriga,n,n-s---fn1-,Iuliobrig,Iuliobriga,0
60414,60414,Iulis,n,n-s---fn3-,Iulid,Iulis,0
60437,60437,Iulius,n,n-s---mn2-,Iuli,Iulius,0
60415,60415,Iulus,n,n-s---mn2-,Iul,Iulus,0
60439,60439,Iunius,n,n-s---mn2-,Iuni,Iunius,0
60440,60440,Iuno,n,n-s---mn3-,Iuno,Iuno,0
60441,60441,Iustina,n,n-s---fn1-,Iustin,Iustina,0
60443,60443,Iuuenalis,a,aps---fn3i,Iuuenalis Iuuenalis Iuuenalis,Iuuenalis,0
60444,60444,Iuuencus,n,n-s---mn2-,Iuuenc,Iuuencus,0
60416,60416,Ixion,n,n-s---mn3-,Ixion,Ixion,0
60417,60417,Ixor,n,n-s---mn3-,Ixor,Ixor,0
60418,60418,Izi,n,n-p---mn2-,Iz,Izi,0
60445,60445,Kalendarius,n,n-s---mn2-,Kalendari,Kalendarius,0
60446,60446,Labeates,n,n-p---mn3-,Labeat,Labeates,0
60447,60447,Labeo,n,n-s---mn3-,Labeo,Labeo,0
60448,60448,Labienus,n,n-s---mn2-,Labien,Labienus,0
60450,60450,Labrandius,n,n-s---mn2-,Labrandi,Labrandius,0
60451,60451,Lacaena,n,n-s---fn1-,Lacaen,Lacaena,0
60453,60453,Lacerna,n,n-s---fn1-,Lacern,Lacerna,0
60454,60454,Lacetani,n,n-p---mn2-,Lacetan,Lacetani,0
60455,60455,Lachesis,n,n-s---fn3-,Laches,Lachesis,0
60456,60456,Laciades,n,n-s---mn3-,Laciad,Laciades,0
60457,60457,Lacinium,n,n-s---nn2-,Lacini,Lacinium,0
60458,60458,Laco,n,n-s---nn3-,Laco,Laco,0
60459,60459,Lacobriga,n,n-s---fn1-,Lacobrig,Lacobriga,0
60460,60460,Lactantius,n,n-s---mn2-,Lactanti,Lactantius,0
60420,60420,Ianalis,n,n-s---fn3-,Ianal,Ianalis,0
60422,60422,Ieremias,n,n-s---mn3-,Ieremias,Ieremias,0
118887,n0565,nouelletum,n,n-s---nn2-,nouellet,nouelletum,0
26091,p2420,podagra,n,n-s---fn1-,podagr,podagra,1
60465,60465,Laeca,n,n-s---fn1-,Laec,Laeca,0
60466,60466,Laërtes,n,n-p---mn3-,Laërt,Laërtes,0
60468,60468,Laeui,n,n-p---mn2-,Laeu,Laeui,0
60469,60469,Laeuius,n,n-s---mn2-,Laeui,Laeuius,0
60470,60470,Lagon,n,n-s---nn3-,Lag,Lagon,0
60471,60471,Lagos,n,n-s---mn2-,Lag,Lagos,0
60472,60472,Lagus,n,n-s---mn2-,Lag,Lagus,0
60474,60474,Laius,n,n-s---mn2-,Lai,Laius,0
60475,60475,Laletania,n,n-s---fn1-,Laletani,Laletania,0
60476,60476,Lambrus,n,n-s---mn2-,Lambr,Lambrus,0
60477,60477,Lamia,n,n-s---fn1-,Lami,Lamia,0
60478,60478,Lampadio,n,n-s---mn3-,Lampadio,Lampadio,0
60480,60480,Lampetie,n,n-s---fn1-,Lampeti,Lampetie,0
60481,60481,Lampsacum,n,n-s---nn2-,Lampsac,Lampsacum,0
60482,60482,Lamus,n,n-s---mn2-,Lam,Lamus,0
60483,60483,Lanarius,n,n-s---mn2-,Lanari,Lanarius,0
60484,60484,Lanatus,n,n-s---mn2-,Lanat,Lanatus,0
60485,60485,Lancia,n,n-s---fn1-,Lanci,Lancia,0
60486,60486,Lanuuium,n,n-s---nn2-,Lanuui,Lanuuium,0
60487,60487,Laocoon,n,n-s---mn3-,Laoco,Laocoon,0
60488,60488,Laodamia,n,n-s---fn1-,Laodami,Laodamia,0
60489,60489,Laodice,n,n-s---fn1-,Laodic,Laodice,0
60491,60491,Laomedon,n,n-s---nn3-,Laomed,Laomedon,0
60492,60492,Lapathus,n,n-s---mn2-,Lapath,Lapathus,0
60493,60493,Lapicini,n,n-p---mn2-,Lapicin,Lapicini,0
60494,60494,Lapitha,n,n-s---fn1-,Lapith,Lapitha,0
60496,60496,Lara,n,n-s---fn1-,Lar,Lara,0
60497,60497,Larentia,n,n-s---fn1-,Larenti,Larentia,0
60498,60498,Larga,n,n-s---fn1-,Larg,Larga,0
60499,60499,Largus,n,n-s---mn2-,Larg,Largus,0
60500,60500,Larinum,n,n-s---nn2-,Larin,Larinum,0
60501,60501,Larissa,n,n-s---fn1-,Lariss,Larissa,0
60503,60503,Larius,n,n-s---mn2-,Lari,Larius,0
60504,60504,Laronia,n,n-s---fn1-,Laroni,Laronia,0
60495,60495,Lars,n,n-s---mn3-,Lars,Lars,0
60473,60473,Las,n,n-s---mn3-,Las,Las,0
60505,60505,Lasia,n,n-s---fn1-,Lasi,Lasia,0
60506,60506,Laterensis,n,n-s---fn3-,Laterens,Laterensis,0
60507,60507,Laterium,n,n-s---nn2-,Lateri,Laterium,0
60508,60508,Latinus,n,n-s---mn2-,Latin,Latinus,0
60510,60510,Latmus,n,n-s---mn2-,Latm,Latmus,0
