id,uri,lemma,pos,morpho,principal_parts,irregular_forms,alternative_forms,pronunciation,prosody,validated
21612,c3616,constituo,v,v1spia--3-,constitu constitu constitut,,,[kõːˈstɪ.tʊ.oː],constituo,1
21613,c3617,constitutio,n,n-s---fn3-,constitution,,,[kõː.stɪˈtuː.ti.oː],constitutio,1
21614,c3618,constitutor,n,n-s---mn3-,constitutor,,,['kɔːn̪st̪ɪ.t̪ʊ.t̪ɔr],constitutor,1
21616,c3620,consto,v,v1spia--1-,const constit constat,,,[ˈkõː.stoː],consto,1
21618,c3624,constrictiuus,a,aps---mn1-,constrictiu constrictiu constrictiu,,,['kɔːn̪st̪rɪk.t̪ɪ.wʊs],constrictiuus,1
21631,c3648,consul,n,n-s---mn3-,consul,,,[ˈkõː.sʊɫ],consul,1
21645,c3677,contagium,n,n-s---nn2-,contagi,,,[kɔn̪.'t̪a.gɪ̣.jũː],contagium,1
21648,c3687,contego,v,v1spia--3-,conteg contex contect,,,[ˈkɔn.tɛ.ɡoː],contego,1
21649,c3688,contemero,v,v1spia--1-,contemer contemerau contemerat,,,[kɔnˈtɛ.mɛ.roː],contemero,1
21650,c3690,contemno,v,v1spia--3-,contemn contemps contempt,,,[kɔnˈtɛm.noː],contemno,1
21651,c3692,contempero,v,v1spia--1-,contemper contemperau contemperat,,,[kɔnˈtɛm.pɛ.roː],contempero,1
21666,c9824,contextus,n,n-s---mn4-,context,,,[kɔnˈtɛk.stʊs],contextus,1
21668,c3749,contiguus,a,aps---mn1-,contigu contigu contigu,,,/konˈti.ɡu.us/,contiguus,1
46137,s2412,stela,n,n-s---fn1-,stel,,27399,['st̪ɛ.la],stela,0
113052,i0308,imbonitas,n,n-s---fn3-,imbonitat,,,[ɪm.'bɔ.n̪ɪ.t̪as],imbonitas,0
46112,46112,inquisti,n,n-p---mn2-,inquisti,,,[ɪŋ.'kʷɪs.t̪ɪ],inquisti,0
21659,21659,contemptus,a,aps---mn1-,contempt contempt contempt,,,[kɔnˈtɛmp.tʊs],contemptus,1
21661,21661,contente,r,rp--------,content,,,[kɔn̪.'t̪ɛn̪.t̪ɛ],contente,1
46097,46097,mazzerius,n,n-s---mn2-,mazzeri,,,[maz.'zɛ.rɪ̣.jʊs],mazzerius,0
21663,21663,contentus,a,aps---mn1-,content content content,,,[kɔn̪.'t̪ɛn̪.t̪ʊs],contentus,1
21667,21667,contextus,a,aps---mn1-,context context context,,,[kɔnˈtɛk.stʊs],contextus,1
46105,46105,notum,n,n-s---nn2-,not,,,['n̪ɔ.t̪ũː],notum,0
46120,46120,omnimodo,r,rp--------,,,,[ɔm.'n̪ɪ.mɔ.d̪ɔ],omnimodo,0
46136,46136,pedissequus,n,n-s---mn2-,pedissequ,,,[pɛ.'d̪ɪs.sɛ.kʷʊs],pedissequus,0
46126,46126,perexigue,r,rp--------,debition,,,[pɛ.'rɛk.sɪ.gʷɛ],perexigue,0
46091,46091,pressus,n,n-s---mn2-,press,,,[ˈprɛs.sʊs],pressus,0
46079,46079,properato,r,rp--------,propius proxime,,,[prɔ.'pɛ.ra.t̪ɔ],properato,0
46081,46081,quantumuis,r,rp--------,,,,[kʷanˈtʊm.wiːs],quantumuis,0
46130,46130,sanitarius,a,aps---mn1-,sanitari sanitari sanitari,,,[sa.n̪ɪ.'t̪a.rɪ̣.jʊs],sanitarius,0
46132,46132,stannum,n,n-s---nn2-,stann,,,[ˈstan.nũ],stannum,0
46069,46069,therapeuta,n,n-s---fn1-,therapeut,,,[t̪ʰɛ.'rapew.t̪a],therapeuta,0
46065,46065,uiscatus,a,aps---mn1-,uiscat uiscat uiscat,,,['wɪs.ka.t̪ʊs],uiscatus,0
21608,21608,constanter,r,rp--------,constant,,,[koːn̪s.'t̪an̪.t̪ɛr],constanter,1
46114,46114,umbraclum,n,n-s---nn2-,umbracl,,,['ʊm.bra.kɫũː],umbraclum,0
