id,uri,lemma,pos,morpho,principal_parts,irregular_forms,alternative_forms,pronunciation,prosody,validated
19117,a0031,abdicatio,n,n-s---fn3-,abdication,,,[ab.dɪˈkaː.ti.oː],abdicatio,1
46056,a1807,amygdaleus,a,aps---mn1-,amygdale amygdale amygdale,,,[a.'myg.d̪aɫews],amygdaleus,0
19118,a0035,abdico,v,v1spia--3-,abdic abdix abdict,,,/abˈdiː.koː/,abdico,1
19119,a0038,abdo,v,v1spia--3-,abd abdid abdit,,,/ˈab.doː/,abdo,1
19141,a0116,aboleo,v,v1spia--2-,abol aboleu abolit,,,[aˈbɔ.ɫe.oː],aboleo,1
19155,19155,abrupte,r,rp--------,abrupt,,,['a.brʊ.pt̪ɛ],abrupte,1
19124,a0053,abicio,v,v1spia--3i,abic abiec abiect,,,[aˈbɪ.ki.oː],abicio,1
19161,19161,abscise,r,rp--------,abscis,,,['aps.kɪ.sɛ],abscise,1
19125,a0057,abies,n,n-s---fn3-,abiet,,,/ˈa.bi.eːs/,abies,1
19163,19163,abscondite,r,rp--------,abscondit,,,[aps.'kɔn̪.d̪ɪ.t̪ɛ],abscondite,1
19127,a0063,abigo,v,v1spia--3-,abig abeg abact,,,[ˈa.bɪ.ɡoː],abigo,1
19128,a0065,abitio,n,n-s---fn3-,abition,,,[aˈbɪ.ti.oː],abitio,1
19129,a9984,abitus,n,n-s---mn4-,abit,,,[ˈa.bɪ.tʊs],abitus,1
19130,a0075,ablacto,v,v1spia--1-,ablact ablactau ablactat,,,[aˈbɫak.toː],ablacto,1
19131,a0079,ablatiuus,a,aps---mn1-,ablatiu ablatiu ablatiu,,,[a.bɫaːˈtiː.wʊs],ablatiuus,1
19133,a0086,abligurrio,v,v1spia--4-,abligurr abligurri abligurrit,,,[a.blɪˈɡuːr.ri.oː],abligurrio,1
19134,a9091,abluo,v,v1spia--3-,ablu ablu ablut,,,[ˈa.bɫʊ.oː],abluo,1
19114,a0026,abauus,n,n-s---mn2-,abau,,,[ˈa.ba.wʊs],abauus,1
19135,a0092,ablutio,n,n-s---fn3-,ablution,,,[aˈbɫuː.ti.oː],ablutio,1
19136,a0094,abluuio,n,n-s---fn3-,abluuion,,,[aˈbɫʊ.wi.oː],abluuio,1
19137,a0095,abluuium,n,n-s---nn2-,abluui,,,[aˈbɫʊ.wi.ũ],abluuium,1
19138,a0098,abnegatio,n,n-s---fn3-,abnegation,,,[ab.nɛˈɡaː.ti.oː],abnegatio,1
19139,a0101,abnego,v,v1spia--1-,abneg abnegau abnegat,,,/ˈab.ne.ɡoː/,abnego,1
19140,a0111,abnuo,v,v1spia--3-,abnu abnu -,,,[ˈab.nʊ.oː],abnuo,1
19142,a1752,abolesco,v,v1spia--3-,abolesc aboleu -,,,[a.bɔˈɫeːs.koː],abolesco,1
19167,19167,absinthium,n,n-s---nn2-,absinthi,,,[aˈpsɪn.tʰi.ũ],absinthium,1
19143,a0117,abolitio,n,n-s---fn3-,abolition,,,[a.bɔˈlɪ.ti.oː],abolitio,1
19144,a0119,abolla,n,n-s---fn1-,aboll,,,[aˈbɔl.la],abolla,1
19147,a0126,abortio,n,n-s---fn3-,abortion,,,[aˈbɔr.ti.oː],abortio,1
19148,a0127,abortio,v,v1spia--4-,abort - -,,,[aˈbɔr.ti.oː],abortio,1
19149,a0128,abortium,n,n-s---nn2-,aborti,,,[a.'bɔr.t̪ɪ̣.jũː],abortium,1
19151,a0133,abrado,v,v1spia--3-,abrad abras abras,,,/aˈbraː.doː/,abrado,1
19152,a0140,abripio,v,v1spia--3i,abrip abripu abrept,,,/abˈri.pi.oː/,abripio,1
19153,a0143,abrogo,v,v1spia--1-,abrog abrogau abrogat,,,[ˈa.brɔ.ɡoː],abrogo,1
19154,a0145,abrumpo,v,v1spia--3-,abrump abrup abrupt,,,[aˈbrʊm.poː],abrumpo,1
19156,a0146,abruptio,n,n-s---fn3-,abruption,,,[aˈbrʊp.ti.oː],abruptio,1
19158,a0160,abscessus,n,n-s---mn4-,abscess,,,[aps.'kɛs.sʊs],abscessus,1
19159,a0149,abscido,v,v1spia--3-,abscid abscid abscis,,,/apˈskiː.doː/,abscido,1
19160,a0150,abscindo,v,v1spia--3-,abscind abscid absciss,,,[apˈskɪn.doː],abscindo,1
19168,19168,absis,n,n-s---fn3-,absid,,,['ap.sɪs],absis,1
19162,a0151,abscisio,n,n-s---fn3-,abscision,,,[aps.'kɪ.sɪ̣.jɔ],abscisio,1
19165,a0184,absentia,n,n-s---fn1-,absenti,,,[aˈpsɛn.ti.a],absentia,1
19170,19170,absolute,r,rp--------,absolut,,,[ap.'sɔ.lʊ.t̪ɛ],absolute,1
19169,a0169,absisto,v,v1spia--3-,absist absistit -,,,[aˈpsɪs.toː],absisto,1
19172,19172,absolutus,a,aps---mn1-,absolut absolut absolut,,,[a.psɔˈɫuː.tʊs],absolutus,1
19173,a0178,absoluo,v,v1spia--3-,absolu absolu absolut,,,[aˈpsɔɫ.woː],absoluo,1
19171,a0174,absolutio,n,n-s---fn3-,absolution,,,[a.psɔˈɫuː.ti.oː],absolutio,1
19113,19113,abante,r,rp--------,,,,[aˈban.tɛ],abante,1
19174,a0180,absonus,a,aps---mn1-,abson abson abson,,,[ˈa.psɔ.nʊs],absonus,1
19175,a0181,absorbeo,v,v1spia--2-,absorb absorps absorpt,,,[aˈpsɔr.be.oː],absorbeo,1
113023,i0269,illuminus,a,aps---mn1-,illumin illumin illumin,,,[ɪɫ.'lʊ.mɪ.n̪ʊs],illuminus,0
19123,a0050,abhorreo,v,v1spia--2-,abhorr abhorru -,,,[abˈhɔr.re.oː],abhorreo,1
19120,a0039,abdomen,n,n-s---nn3-,abdomin,,,[abˈdoː.mẽ],abdomen,1
19115,a0012,abbatissa,n,n-s---fn1-,abbatiss,,,[ab.baːˈtɪs.sa],abbatissa,1
19122,a0045,aberratio,n,n-s---fn3-,aberration,,,[a.bɛrˈraː.ti.oː],aberratio,1
19126,a9983,abigeatus,n,n-s---mn4-,abigeat,,,[a.bɪ.ɡɛˈaː.tʊs],abigeatus,1
46019,a1904,anatomica,n,n-s---fn1-,anatomic,,,[a.n̪a.'t̪ɔ.mɪ.ka],anatomica,0
19183,a0196,abstrudo,v,v1spia--3-,abstrud abstrus abstrus,,,/apˈstruː.doː/,abstrudo,1
119811,119811,oppallio,v,v1spia--1-,oppalli oppalliau oppallia,,,[ɔp.'paɫ.lɪ̣.jɔ],oppallio,0
19186,a0203,absumptio,n,n-s---fn3-,absumption,,,[ap.'sʊmp.t̪ɪ̣.jɔ],absumptio,1
19188,a0204,absurditas,n,n-s---fn3-,absurditat,,,[ap.'sʊr.d̪ɪ.t̪as],absurditas,1
19191,a0210,abundantia,n,n-s---fn1-,abundanti,,,[a.bʊnˈdan.ti.a],abundantia,1
19192,a0211,abundatio,n,n-s---fn3-,abundation,,,[a.bʊnˈdaː.ti.oː],abundatio,1
19184,19184,abstrusus,a,aps---mn1-,abstrus abstrus abstrus,,,[apˈstruː.sʊs],abstrusus,1
19194,a0212,abundo,v,v1spia--1-,abund abundau abundat,,,[aˈbʊn.doː],abundo,1
19195,a0214,abusio,n,n-s---fn3-,abusion,,,[a.'bʊ.sɪ̣.jɔ],abusio,1
19187,19187,absurde,r,rp--------,absurd,,,[ap.'sʊr.d̪ɛ],absurde,1
19197,a9217,abyssus,n,n-s---fn2-,abyss,,,[aˈbʏs.sʊs],abyssus,1
19201,a0219,acalanthis,n,n-s---fn3-,acalanthid,,,[a.ka.'lan̪.t̪ʰɪs],acalanthis,1
19190,19190,abundanter,r,rp--------,abundant,,,[a.bʊnˈdan.tɛr],abundanter,1
45994,45994,annulatus,a,aps---mn1-,annulat annulat annulat,,,[an.nʊˈɫaː.tʊs],annulatus,0
19193,19193,abunde,r,rp--------,abund,,,[a.'bʊn̪.d̪eː],abunde,1
19202,a0268,accedo,v,v1spia--3-,acced access access,,,/akˈkeː.doː/,accedo,1
19203,a0242,acceleratio,n,n-s---fn3-,acceleration,,,[ak.kɛ.ɫɛˈraː.ti.oː],acceleratio,1
19205,a0245,accendo,v,v1spia--3-,accend accend accens,,,[akˈkɛn.doː],accendo,1
19206,a0277,accensus,n,n-s---mn4-,accens,,,[akˈkɛn.sʊs],accensus,1
19207,a0253,accentiuncula,n,n-s---fn1-,accentiuncul,,,[ak.kɛn̪.t̪ɪ̣.'jʊŋ.kʊ.la],accentiuncula,1
19208,a9987,accentus,n,n-s---mn4-,accent,,,[akˈkɛn.tʊs],accentus,1
19210,a0256,acceptio,n,n-s---fn3-,acception,,,[akˈkɛp.ti.oː],acceptio,1
19211,a0258,accepto,v,v1spia--1-,accept acceptau acceptat,,,[akˈkɛp.toː],accepto,1
19212,a8917,acceptum,n,n-s---nn2-,accept,,,[ak.'kɛp.t̪ũː],acceptum,1
19200,19200,Academicus,a,aps---mn1-,Academic Academic Academic,,,/a.kaˈdeː.mi.kus/,Academicus,1
19213,19213,acceptus,a,aps---mn1-,accept accept accept,,,[ak.'kɛp.t̪ʊs],acceptus,1
19217,a0239,accessus,n,n-s---mn4-,access,,,[ak.'kɛs.sʊs],accessus,1
19214,19214,accersitor,n,n-s---mn3-,accersitor,,,[ak.'kɛr.sɪ.t̪ɔr],accersitor,1
19220,a0272,accingo,v,v1spia--3-,accing accinx accinct,,,[akˈkɪŋ.ɡoː],accingo,1
19221,a0280,accitio,n,n-s---fn3-,accition,,,[ak.'kɪ.t̪ɪ̣.jɔ],accitio,1
19222,a9989,accitus,n,n-s---mn4-,accit,,,['ak.kɪ.t̪ʊs],accitus,1
19223,a0282,acclamatio,n,n-s---fn3-,acclamation,,,[ak.kla.'ma.t̪ɪ̣.jɔ],acclamatio,1
19224,a0283,acclamo,v,v1spia--1-,acclam acclamau acclamat,,,[akˈkɫaː.moː],acclamo,1
19227,a0295,accommodatio,n,n-s---fn3-,accommodation,,,[ak.kɔ.mmɔ.'d̪a.t̪ɪ̣.jɔ],accommodatio,1
19228,a0298,accommodo,v,v1spia--1-,accommod accommodau accommodat,,,[akˈkɔm.mɔ.doː],accommodo,1
19229,a0301,accredo,v,v1spia--3-,accred accredid accredit,,,['ak.krɛ.d̪ɔ],accredo,1
19230,a0303,accresco,v,v1spia--3-,accresc accreu accret,,,/akˈkreːs.koː/,accresco,1
19231,a0304,accretio,n,n-s---fn3-,accretion,,,[ak.'krɛ.t̪ɪ̣.jɔ],accretio,1
19233,a0317,accumulo,v,v1spia--1-,accumul accumulau accumulat,,,[akˈkʊ.mʊ.ɫoː],accumulo,1
19235,a0364,accursus,n,n-s---mn4-,accurs,,,[ak.'kʊr.sʊs],accursus,1
19236,a0323,accusatio,n,n-s---fn3-,accusation,,,/ak.kuːˈsaː.ti.oː/,accusatio,1
19218,19218,accidens,n,n-s---nn3-,accident,,,[ˈak.kɪ.dẽːs],accidens,1
19237,a0324,accusatiuus,a,aps---mn1-,accusatiu accusatiu accusatiu,,,[ak.kuː.saːˈtiː.wʊs],accusatiuus,1
19238,a0325,accusator,n,n-s---mn3-,accusator,,,/ak.kuːˈsaː.tor/,accusator,1
19239,a0329,accuso,v,v1spia--1-,accus accusau accusat,,,/akˈkuː.soː/,accuso,1
19240,a0335,acer,n,n-s---nn3-,acer,,,[ˈaː.kɛr],acer,1
19234,19234,accuratus,a,aps---mn1-,accurat accurat accurat,,,/ak.kuːˈraː.tus/,accuratus,1
19242,19242,acerbe,r,rp--------,acerb,,,[aˈkɛr.bɛ],acerbe,1
19199,19199,Academia,n,n-s---fn1-,Academi,,,/a.ka.deːˈmiː.a/,Academia,1
19179,a0188,absterreo,v,v1spia--2-,absterr absterru absterrit,,,[apˈstɛr.re.oː],absterreo,1
19245,a0343,acerbus,a,aps---mn1-,acerb acerb acerb,,,[aˈkɛr.bʊs],acerbus,1
19181,a0191,abstineo,v,v1spia--2-,abstin abstinu abstent,,,[apˈstɪ.ne.oː],abstineo,1
19244,a0342,acerbo,v,v1spia--1-,acerb acerbau acerbat,,,/aˈker.boː/,acerbo,1
19241,a0336,acer,a,aps---mn3i,acr acr acr,,,[ˈaː.kɛr],acer,1
46005,a3211,astrificus,a,aps---mn1-,astrific astrific astrific,,,[as.'t̪rɪ.fɪ.kʊs],astrificus,0
119854,119854,oquinisco,v,v1spia--3-,,,,[ɔ.kʷɪ.'n̪ɪs.kɔ],oquinisco,0
46025,46025,baltea,n,n-s---fn1-,balte,,,['baɫ.t̪ɛ̣.ja],baltea,0
19252,19252,Acia,n,n-s---fn1-,Aci,,,['a.kɪ̣.jaː],Acia,1
19255,19255,Acinaces,n,n-s---mn3i,Acinac,,,[a.'kɪ.n̪a.kɛs],Acinaces,1
19263,19263,Acritas,n,n-s---mn1g,Acrit,,,[ˈaː.krɪ.taːs],Acritas,1
19253,a0377,acidus,a,aps---mn1-,acid acid acid,,,[ˈa.kɪ.dʊs],acidus,1
19250,19250,Achates,n,n-s---mn3-,Achat,,,[aˈkʰaː.teːs],Achates,0
19254,a0379,acies,n,n-s---fn5-,aci,,,/ˈa.ki.eːs/,acies,1
19279,19279,acuminatus,a,aps---mn1-,acuminat acuminat acuminat,,,[a.kʊ.'mɪ.n̪a.t̪ʊs],acuminatus,1
19256,a0385,acinum,n,n-s---nn2-,acin,,,['a.kɪ.n̪ũː],acinum,1
19258,a0394,acoetis,n,n-s---fn3i,acoet,,,[aˈkoe̯.tɪs],acoetis,1
19260,a0402,acor,n,n-s---mn3-,acor,,,['a.kɔr],acor,1
19281,a0468,acus,n,n-s---fn4-,ac,,,/ˈa.kʊs/,acus,1
19262,a0417,acrimonia,n,n-s---fn1-,acrimoni,,,[aː.krɪˈmoː.ni.a],acrimonia,1
19277,a0460,aculeus,n,n-s---mn2-,acule,,,[aˈkʊ.ɫe.ʊs],aculeus,1
19264,a0418,acritudo,n,n-s---fn3-,acritudin,,,[aː.krɪˈtuː.doː],acritudo,1
19265,a0422,acroama,n,n-s---nn3-,acroamat,,,[a.krɔˈaː.ma],acroama,1
19266,a0423,acroasis,n,n-s---fn3i,acroas,,,[a.'krɔ.ja.sɪs],acroasis,1
19268,a0436,acta,n,n-s---fn1-,act,,,['aːk.t̪a],acta,1
19269,a0441,actio,n,n-s---fn3-,action,,,/ˈaːk.ti.oː/,actio,1
19270,a0447,actiuus,a,aps---mn1-,actiu actiu actiu,,,[aːkˈtiː.wʊs],actiuus,1
19271,a0448,actor,n,n-s---mn3-,actor,,,[ˈaːk.tɔr],actor,1
19273,a0453,actuarius,n,n-s---mn2-,actuari,,,[aːk.tʊˈaː.ri.ʊs],actuarius,1
19274,a0454,actuosus,a,aps---mn1-,actuos actuos actuos,,,[aːk.tʊˈoː.sʊs],actuosus,1
19275,a9991,actus,n,n-s---mn4-,act,,,['aːk.t̪ʊs],actus,1
19276,a0455,actutum,r,rp--------,,,,['ak.t̪ʊ.t̪ũː],actutum,1
19282,19282,acute,r,rp--------,acut,,,['a.kʊ.t̪ɛ],acute,1
19283,19283,acutus,a,aps---mn1-,acut acut acut,,,[aˈkuː.tʊs],acutus,1
19257,a0386,acipenser,n,n-s---mn3-,acipenser,,,[a.kɪˈpẽː.sɛr],acipenser,1
19289,19289,adamas,n,n-s---mn3i,adamant,,,/ˈa.da.maːs/,adamas,1
19280,a0464,acuo,v,v1spia--3-,acu acu acut,,,[ˈa.kʊ.oː],acuo,1
19247,a0352,aceruo,v,v1spia--1-,aceru aceruau aceruat,,,[aˈkɛr.woː],aceruo,1
19249,a0360,acetum,n,n-s---nn2-,acet,,,[aˈkeː.tũ],acetum,1
19314,19314,adfabilis,a,aps---cn3i,adfabil adfabil adfabil,,,[ad̪.'fa.bɪ.lɪs],adfabilis,1
19251,19251,Achilles,n,n-s---mn3-,Achille,,,[a.'kʰɪɫ.leːs],Achilles,0
19286,a0488,adagio,n,n-s---fn3-,adagion,,,[a.'d̪a.gɪ̣.jɔ],adagio,1
19288,a0492,adalligo,v,v1spia--1-,adallig adalligau adalligat,,,[aˈdal.lɪ.ɡoː],adalligo,1
19290,a0501,adamplio,v,v1spia--1-,adampli adampliau adampliat,,,/aˈdam.pli.oː/,adamplio,1
19291,a0502,adaperio,v,v1spia--4-,adaper adaperu adapert,,,[a.daˈpɛ.ri.oː],adaperio,1
19292,a0504,adapertio,n,n-s---fn3-,adapertion,,,[a.d̪a.'pɛr.t̪ɪ̣.jɔ],adapertio,1
19293,a0505,adapto,v,v1spia--1-,adapt adaptau adaptat,,,/aˈdap.toː/,adapto,1
19295,a0477,adauctus,n,n-s---mn4-,adauct,,,[a.'d̪awk.t̪ʊs],adauctus,1
19297,a0513,adaugesco,v,v1spia--3-,adaugesc - -,,,[a.d̪aw.'gɛs.kɔ],adaugesco,1
19298,a0514,adaugmen,n,n-s---nn3-,adaugmin,,,[a.'d̪aw.gmɛn̪],adaugmen,1
19299,a0516,adbibo,v,v1spia--3-,adbib adbib -,,,[ˈad.bɪ.boː],adbibo,1
19300,a0517,adbito,v,v1spia--3-,adbit - -,,,['ad̪.bɪ.t̪ɔ],adbito,1
19301,a0526,addenso,v,v1spia--1-,addens addensau addensa,,,[adˈdẽː.soː],addenso,1
19302,a0530,addisco,v,v1spia--3-,addisc addidic -,,,[adˈdɪs.koː],addisco,1
19304,a0533,additio,n,n-s---fn3-,addition,,,[adˈdɪ.ti.oː],additio,1
19305,a0535,addo,v,v1spia--3-,add addid addit,,,/ˈad.doː/,addo,1
19306,a0541,addubito,v,v1spia--1-,addubit addubitau addubitat,,,[adˈdʊ.bɪ.toː],addubito,1
19307,a0542,adduco,v,v1spia--3-,adduc addux adduct,,,/adˈduː.koː/,adduco,1
19308,a0544,adductor,n,n-s---mn3-,adductor,,,[ad̪.'d̪ʊk.t̪ɔr],adductor,1
19311,a0552,adeo,r,rp--------,,,,['a.d̪ɛ̣.joː],adeo,1
19310,a0553,adeo,v,v1spia--2-,adi adiu adit,,,['a.d̪ɛ̣.joː],adeo,1
136495,d0056,dartos,n,n-s---mn2g,dart,,,['d̪ar.t̪ɔs],dartos,0
113026,i0276,illustratio,n,n-s---fn3-,illustration,,,[ɪɫ.lʊs.'t̪ra.t̪ɪ̣.jɔ],illustratio,0
19285,a0485,adaero,v,v1spia--1-,adaer adaerau adaerat,,,/aˈdae̯.roː/,adaero,1
119857,119857,orans,n,n-s---mn3i,orant,,,['oː.raːn̪s],orans,0
46053,b0582,braca,n,n-s---fn1-,brac,,,/ˈbraː.ka/,braca,0
119859,119859,oratim,r,rp--------,,,,['ɔ.rat̪ĩː],oratim,0
46003,46003,bybliotheca,n,n-s---fn1-,bybliothec,,,[by.blɪ̣.'jɔ.t̪ʰɛ.ka],bybliotheca,0
19334,19334,adfligo,v,v1spia--3-,adflig adflix adflict,,"27271,27272,27273,27274,27275,27276",/adˈfliː.ɡoː/,adfligo,1
19339,19339,adformido,v,v1spia--1-,adformid adformidau adformidat,,"27277,27278,27279,27280,27281,27282",[ad.fɔrˈmiː.doː],adformido,1
19344,19344,adgrauo,v,v1spia--1-,adgrau adgrauau adgrauat,,"27286,27287,27288,27289",/ˈad.ɡra.woː/,adgrauo,1
19342,19342,adfulgeo,v,v1spia--2-,adfulg adfuls -,,"27283,27284,27285",[adˈfʊɫ.ɡe.oː],adfulgeo,1
19325,19325,adfero,v,v1spia--3-,adfer adtul adlat,"27255,27256,27257,27258",,[ˈad.fɛ.roː],adfero,1
19317,19317,adfamen,n,n-s---nn3-,adfamin,,,['ad̪.fa.mɛn̪],adfamen,1
19318,19318,adfatus,n,n-s---mn4-,adfat,,,['ad̪.fa.t̪ʊs],adfatus,1
46046,46046,barditus,n,n-s---mn2-,bardit,,,['bar.d̪ɪ.t̪ʊs],barditus,0
19329,19329,adfirmo,v,v1spia--1-,adfirm adfirmau adfirmat,,"27265,27266,27267,27268,27269,27270",/adˈfir.moː/,adfirmo,1
19320,19320,adfecte,r,rp--------,,,,[ad̪.'fɛk.t̪ɛ],adfecte,1
19321,19321,adfectio,n,n-s---fn3-,adfection,,,[ad̪.'fɛk.t̪ɪ̣.jɔ],adfectio,1
19323,19323,adfectuose,r,rp--------,adfectuos,,,[ad̪.fɛk.'t̪ʊ.jɔ.sɛ],adfectuose,1
19324,19324,adfectus,n,n-s---mn4-,adfect,,,[adˈfɛk.tʊs],adfectus,1
19328,19328,adfirmatiuus,a,aps---mn1-,adfirmatiu adfirmatiu adfirmatiu,,,[ad̪.fɪr.'ma.t̪ɪ.wʊs],adfirmatiuus,1
19330,19330,adflatus,n,n-s---mn4-,adflat,,,['ad̪f.la.t̪ʊs],adflatus,1
19331,19331,adflictio,n,n-s---fn3-,adfliction,,,[ad̪f.'lɪk.t̪ɪ̣.jɔ],adflictio,1
19332,19332,adflicto,v,v1spia--1-,adflict adflictau adflictat,,,/adˈfliːk.toː/,adflicto,1
19333,19333,adflictus,n,n-s---mn4-,adflict,,,[adˈfliːk.tʊs],adflictus,1
19335,19335,adflo,v,v1spia--1-,adfl adfleu adflet,,,/ˈad.floː/,adflo,1
19336,19336,adfluens,a,aps---an3i,adfluent adfluent adfluent,,,['ad̪f.lʊ.jeːn̪s],adfluens,1
19337,19337,adfluenter,r,rp--------,adfluent,,,[ad̪f.lʊ.'jɛn̪.t̪ɛr],adfluenter,1
19338,19338,adfluentia,n,n-s---fn1-,adfluenti,,,[ad̪f.lʊ.'jɛn̪.t̪ɪ̣.ja],adfluentia,1
19340,19340,adfremo,v,v1spia--3-,adfrem - -,,,['ad̪f.rɛ.mɔ],adfremo,1
19341,19341,adfrictus,n,n-s---mn4-,adfrict,,,[ad̪f.'rɪk.t̪ʊs],adfrictus,1
19343,19343,adgero,v,v1spia--3-,adger adgess adgest,,,['ad̪.gɛ.rɔ],adgero,1
19346,19346,adgressio,n,n-s---fn3-,adgression,,,[ad̪.'grɛ.ssɪ̣.jɔ],adgressio,1
19347,19347,adgressor,n,n-s---mn3-,adgressor,,,['ad̪.grɛ.ssɔr],adgressor,1
19348,19348,adgressura,n,n-s---fn1-,adgressur,,,[ad̪.'grɛ.ssʊ.ra],adgressura,1
19349,19349,adgressus,n,n-s---mn4-,adgress,,,['ad̪.grɛ.ssʊs],adgressus,1
19372,19372,adlambo,v,v1spia--3-,adlamb - -,,,['a.d̪la.mbɔ],adlambo,1
19374,19374,adlegatio,n,n-s---fn3-,adlegation,,,[a.d̪lɛ.'ga.t̪ɪ̣.jɔ],adlegatio,1
119863,119863,oratus,a,aps---mn1-,orat orat orat,,,['ɔ.ra.t̪ʊs],oratus,0
119867,119867,orbefacio,v,v1spia--3i,,,,[ɔr.bɛ.'fa.kɪ̣.jɔ],orbefacio,0
119871,119871,orbicus,a,aps---mn1-,orbic orbic orbic,,,['ɔr.bɪ.kʊs],orbicus,0
119858,119858,Orata,n,n-s---fn1-,Orat,,,['ɔ.ra.t̪a],Orata,0
119880,119880,orchilus,n,n-s---mn2-,orchil,,,['ɔr.kʰɪ.lʊs],orchilus,0
19376,19376,adleuamentum,n,n-s---nn2-,adleuament,,,[ad̪ɫ.'ewa.mɛ.n̪t̪ũː],adleuamentum,1
19315,19315,adfabilitas,n,n-s---fn3-,adfabilitat,,,[ad̪.fa.'bɪ.lɪ.t̪as],adfabilitas,1
19316,19316,adfabre,r,rp--------,,,,['ad̪.fa.brɛ],adfabre,1
19351,a0563,adhaesio,n,n-s---fn3-,adhaesion,,,[ad̪.'haj.sɪ̣.jɔ],adhaesio,1
19352,a9994,adhaesus,n,n-s---mn4-,adhaes,,,[ad̪.'haj.sʊs],adhaesus,1
19353,a0565,adhibeo,v,v1spia--2-,adhib adhibu adhibit,,,[adˈhɪ.be.oː],adhibeo,1
19354,a0569,adhortatio,n,n-s---fn3-,adhortation,,,[ad̪.hɔr.'t̪a.t̪ɪ̣.jɔ],adhortatio,1
19355,a9995,adhortatus,n,n-s---mn4-,adhortat,,,[ad̪.'hɔr.t̪a.t̪ʊs],adhortatus,1
19357,a0575,adhuc,r,rp--------,,,,['ad̪.huːk],adhuc,1
19359,a0586,adicio,v,v1spia--3i,adic adiec adiect,,,[adˈjɪ.ki.oː],adicio,1
19360,a0588,adimo,v,v1spia--3-,adim adem adempt,,,[ˈa.dɪ.moː],adimo,1
19362,a0590,adimpletio,n,n-s---fn3-,adimpletion,,,[a.d̪ɪm.'plɛ.t̪ɪ̣.jɔ],adimpletio,1
19363,a0592,adincresco,v,v1spia--3-,adincresc - -,,,[a.'d̪ɪŋ.krɛ.skɔ],adincresco,1
19365,a0601,adinuentio,n,n-s---fn3-,adinuention,,,[a.dɪnˈwɛn.ti.oː],adinuentio,1
19366,a0602,adinuentor,n,n-s---mn3-,adinuentor,,,[a.d̪ɪ.n̪ʊ.'jɛn̪.t̪ɔr],adinuentor,1
19367,a0605,adipatus,a,aps---mn1-,adipat adipat adipat,,,[a.dɪˈpaː.tʊs],adipatus,1
19370,a9997,aditus,n,n-s---mn4-,adit,,,['a.d̪ɪ.t̪ʊs],aditus,1
19371,a0619,adiumentum,n,n-s---nn2-,adiument,,,[a.d̪ɪ̣.jʊ.'mɛn̪.t̪ũː],adiumentum,1
119881,119881,orchion,n,n-s---nn2g,orchi,,,['ɔr.kʰɪ̣.jɔn̪],orchion,0
46038,c0579,captiuncula,n,n-s---fn1-,captiuncul,,,[kap.t̪ɪ̣.'jʊŋ.kʊ.la],captiuncula,0
19381,19381,adligamentum,n,n-s---nn2-,adligament,,,[a.d̪lɪ.'ga.mɛ.n̪t̪ũː],adligamentum,1
19382,19382,adligatura,n,n-s---fn1-,adligatur,,,[a.d̪lɪ.'ga.t̪ʊ.ra],adligatura,1
19384,19384,adlocutio,n,n-s---fn3-,adlocution,,,[a.d̪lɔ.'kʊ.t̪ɪ̣.jɔ],adlocutio,1
19385,19385,adloquium,n,n-s---nn2-,adloqui,,,[a.'d̪lɔ.kʷɪ̣.jũː],adloquium,1
19388,19388,adluo,v,v1spia--3-,adlu adlu -,,,[ˈad.ɫʊ.oː],adluo,1
19389,19389,adluuio,n,n-s---fn3-,adluuion,,,[a.'d̪lʊ.jʊ.jjɔ],adluuio,1
19390,19390,adluuius,a,aps---mn1-,adluui adluui adluui,,,[a.'d̪lʊ.jʊ.jjʊs],adluuius,1
19401,19401,admirabiliter,r,rp--------,admirabil,,,[ad.miː.raːˈbɪ.lɪ.tɛr],admirabiliter,1
19402,19402,admirandus,a,aps---mn1-,admirand admirand admirand,,,[ad.miːˈran.dʊs],admirandus,1
19427,19427,adnullo,v,v1spia--1-,adnull adnullau adnullat,,,[adˈnʊl.loː],adnullo,1
19441,19441,Ador,n,n-s---nn3-,Ador,,,[ˈa.dɔr],Ador,1
19379,19379,adleuo,v,v1spia--1-,adleu adleuau adleuat,,,[ˈad.ɫɛ.woː],adleuo,1
19394,a0857,adminiculum,n,n-s---nn2-,adminicul,,,[ad.mɪˈnɪ.kʊ.ɫũ],adminiculum,1
19395,a0655,administer,n,n-s---mn2r,administr,,,[ad.mɪˈnɪs.tɛr],administer,1
19396,a0655,administra,n,n-s---fn1-,administr,,,[ad.mɪˈnɪs.tra],administra,1
19397,a0657,administratio,n,n-s---fn3-,administration,,,[ad.mɪ.nɪsˈtraː.ti.oː],administratio,1
19398,a0660,administrator,n,n-s---mn3-,administrator,,,[ad.mɪ.nɪsˈtraː.tɔr],administrator,1
19399,a0662,administro,v,v1spia--1-,administr administrau administrat,,,[ad.mɪˈnɪs.troː],administro,1
19400,a0664,admirabilitas,n,n-s---fn3-,admirabilitat,,,/ad.miː.raːˈbi.li.taːs/,admirabilitas,1
19403,a0665,admiratio,n,n-s---fn3-,admiration,,,/ad.miːˈraː.ti.oː/,admiratio,1
19406,a0669,admisceo,v,v1spia--2-,admisc admiscu admixt,,,[adˈmɪs.ke.oː],admisceo,1
19407,a0670,admissarius,n,n-s---mn2-,admissari,,,[ad.mɪsˈsaː.ri.ʊs],admissarius,1
