,2188"
109650,01054575,n,10,small siskin-like finch with a red crown,"2158,2188"
109652,01054929,n,10,American finch whose male has yellow body plumage in summer,"2158,2188"
109653,01055115,n,10,small finch of North American coniferous forests,"2158,2188"
109654,01055268,n,10,house finches and purple finches,"2158,2188"
109655,01055433,n,10,small finch originally of the western United States and Mexico,"2158,2188"
109656,01055604,n,10,North American finch having a raspberry-red head and breast and rump,"2158,2188"
109658,01055943,n,10,any of several small Old World finches,"2158,2188"
109660,01056255,n,10,any of various brown and yellow finches of pats of Europe,"2158,2188"
109599,01043815,n,10,a ratite bird order: birds intermediate in characteristics between ostriches and emus: recent and extinct rheas,"2158,2188"
137993,05605549,n,10,"a feeling of dissatisfaction that results when your expectations are not realized: ""his hopes were so high he was doomed to disappointment""",1502
109728,01066806,n,10,usually brightly-colored Australian weaverbirds; often kept as cage birds,"2158,2188"
109662,01056496,n,10,finch with a bill whose tips cross when closed,"2158,2188"
109663,01056637,n,10,bullfinches,"2158,2188"
109664,01056758,n,10,common European finch mostly black and white with red throat and breast,"2158,2188"
109665,01056924,n,10,American finches,"2158,2188"
109666,01057036,n,10,small North American finch seen chiefly in winter,"2158,2188"
109667,01057185,n,10,common North American junco having gray plumage and eyes with dark brown irises,"2158,2188"
109668,01057365,n,10,sparrow-like North American finches,"2158,2188"
109669,01057608,n,10,a genus of Fringillidae,"2158,2188"
109670,01057743,n,10,common North American finch noted for its evening song,"2158,2188"
109671,01057913,n,10,large New World sparrows,"2158,2188"
109673,01058293,n,10,finch with black-and-white striped crown,"2158,2188"
109675,01058638,n,10,small North American finch common in urban areas,"2158,2188"
109676,01058789,n,10,common North American finch of brushy pasturelands,"2158,2188"
109677,01058937,n,10,finch common in winter in the northern U.S.,"2158,2188"
109678,01059077,n,10,American song sparrow and swamp sparrow,"2158,2188"
109679,01059247,n,10,small songbird common in North America,"2158,2188"
109680,01059383,n,10,North American finch of marshy area,"2158,2188"
109681,01059519,n,10,buntings and some New World sparrows,"2158,2188"
109682,01059737,n,10,any of numerous seed-eating songbirds of Europe or North America,"2158,2188"
109684,01060135,n,10,small deep blue North American bunting,"2158,2188"
109685,01060301,n,10,Old World buntings,"2158,2188"
109686,01060486,n,10,brownish Old World bunting often eaten as a delicacy,"2158,2188"
109687,01060650,n,10,European bunting inhabiting marshy areas,"2158,2188"
109688,01060791,n,10,European bunting the male being bright yellow,"2158,2188"
109689,01060953,n,10,common in Russia and Siberia,"2158,2188"
109690,01061089,n,10,snow bunting,"2158,2188"
109691,01061221,n,10,white arctic bunting,"2158,2188"
109692,01061366,n,10,the honeycreepers,"2158,2188"
109693,01061546,n,10,small bright-colored tropical American songbird with a curved bill for sucking nectar,"2158,2188"
109694,01061727,n,10,type genus of the Coerebidae,"2158,2188"
109695,01061863,n,10,any of several honeycreepers,"2158,2188"
109697,01062164,n,10,any of several small dull-colored singing birds feeding on seeds or insects,"2158,2188"
109698,01062363,n,10,type genus of the Passeridae,"2158,2188"
109699,01062516,n,10,small hardy brown-and-gray bird native to Europe,"2158,2188"
109700,01062681,n,10,Eurasian sparrow smaller than the house sparrow,"2158,2188"
109701,01062824,n,10,any of various finches of Europe or America having a massive and powerful bill,"2158,2188"
109702,01063023,n,10,evening grosbeak,"2158,2188"
109703,01063157,n,10,North American grosbeak,"2158,2188"
109704,01063288,n,10,large finches,"2158,2188"
109705,01063423,n,10,a common large finch of Eurasia,"2158,2188"
109706,01063560,n,10,a genus of Fringillidae,"2158,2188"
109707,01063693,n,10,large grosbeak of coniferous forests of Old and New Worlds,"2158,2188"
109708,01063852,n,10,cardinals,"2158,2188"
109709,01063977,n,10,crested thick-billed North American finch having bright red plumage in the male,"2158,2188"
109710,01064209,n,10,large showy finches related to cardinals,"2158,2188"
109711,01064351,n,10,crested gray-and-red bird of southwest United States and Mexico,"2158,2188"
109712,01064514,n,10,any of numerous long-tailed American finches,"2158,2188"
109713,01064647,n,10,towhees,"2158,2188"
109714,01064760,n,10,common towhee of eastern North America,"2158,2188"
109715,01064908,n,10,towhees,"2158,2188"
109716,01065025,n,10,towhee of the Rocky mountain region,"2158,2188"
109717,01065165,n,10,weaverbirds,"2158,2188"
109718,01065384,n,10,finch-like African and Asian colonial birds noted for their elaborately woven nests,"2158,2188"
109719,01065657,n,10,type genus of the Ploceidae,"2158,2188"
109720,01065773,n,10,common Indian weaverbird,"2158,2188"
109721,01065870,n,10,whydahs,"2158,2188"
109722,01065981,n,10,mostly black African weaverbird,"2158,2188"
109723,01066106,n,10,a genus of Ploceidae,"2158,2188"
109724,01066230,n,10,small finch-like Indonesian weaverbird that frequents rice fields,"2158,2188"
109725,01066415,n,10,avadavats,"2158,2188"
109726,01066534,n,10,red Asian weaverbirds often kept as cage birds,"2158,2188"
109727,01066665,n,10,grassfinches,"2158,2188"
138086,05618609,n,10,a diet that contains adequate amounts of all the necessary nutrients required for healthy growth and activity,2354
138152,05628754,n,10,(British) substantial early evening meal including tea,1957
109744,01069245,n,10,New World flycatchers; antbirds; oven birds; woodhewers,"2158,2188"
109749,01070702,n,10,type genus of the Tyrannidae: tyrant flycatchers,"2158,2188"
109751,01071051,n,10,a kingbird seen in western United States; head and back are pale gray and the breast is yellowish and the tail is black,"2158,2188"
109752,01071253,n,10,a kingbird seen in the southwestern United States; largely gray with a yellow abdomen,"2158,2188"
109754,01071613,n,10,a kingbird that breeds in the southeastern United States and winters in tropical America; similar to but larger than the eastern kingbird,"2158,2188"
109761,01072716,n,10,tropical American flycatcher found as far north as southern Texas and Arizona; adult male has bright scarlet and black plumage,"2158,2188"
109762,01072973,n,10,cotingas; umbrella birds,"2158,2188"
109763,01073169,n,10,type genus of the Cotingidae: cotingas,"2158,2188"
109776,01075190,n,10,type genus of the family Furnariidae: ovenbirds,"2158,2188"
109791,01077516,n,10,any bird of the genus Pitta; brilliantly colored chiefly terrestrial birds with short wings and tail and stout bills,"2158,2188"
109730,01067142,n,10,Hawaiian honeycreepers,"2158,2188"
109731,01067302,n,10,small to medium-sized finches of the Hawaiian islands,"2158,2188"
109732,01067475,n,10,a genus of Drepanididae,"2158,2188"
109734,01067747,n,10,lyrebirds and scrubbirds,"2158,2188"
109735,01067901,n,10,lyrebirds,"2158,2188"
109736,01068023,n,10,type and sole genus of the family Menuridae,"2158,2188"
109738,01068350,n,10,scrubbirds,"2158,2188"
109739,01068487,n,10,type genus of the Atrichornithidae,"2158,2188"
109741,01068808,n,10,broadbills,"2158,2188"
109742,01068933,n,10,coextensive with the suborder Eurylaimi,"2158,2188"
109743,01069091,n,10,small birds of the Old World tropics having bright plumage and short wide bills,"2158,2188"
109745,01069506,n,10,a passerine bird of the suborder Tyranni,"2158,2188"
109747,01070026,n,10,New World tyrant flycatchers most numerous in Central and South America but also in the United States and Canada,"2158,2188"
109748,01070391,n,10,large American birds that characteristically catch insects on the wing,"2158,2188"
109750,01070860,n,10,large American flycatcher,"2158,2188"
109755,01071858,n,10,pewees,"2158,2188"
109756,01071974,n,10,small olive-colored woodland flycatchers of eastern North America,"2158,2188"
109757,01072185,n,10,small flycatcher of western North America,"2158,2188"
109758,01072313,n,10,phoebes,"2158,2188"
109759,01072430,n,10,small dun-colored North American flycatcher,"2158,2188"
109760,01072577,n,10,a genus of Tyrannidae,"2158,2188"
109764,01073305,n,10,passerine bird of New World tropics,"2158,2188"
109765,01073497,n,10,cock of the rocks,"2158,2188"
109766,01073624,n,10,tropical bird of northern South America the male having brilliant red or orange plumage and an erectile disklike crest,"2158,2188"
109767,01073844,n,10,bird of the Andes similar to Rupicola rupicola,"2158,2188"
109768,01073974,n,10,manakins,"2158,2188"
109769,01074093,n,10,type genus of the Pipridae containing the typical manakins,"2158,2188"
109770,01074255,n,10,any of numerous small bright-colored birds of Central and South America having short bills and elaborate courtship behavior,"2158,2188"
109771,01074451,n,10,bellbirds,"2158,2188"
109772,01074570,n,10,any of several tropical American birds of the genus Procnias having a bell-like call,"2158,2188"
109773,01074728,n,10,a genus of Cotingidae,"2158,2188"
109774,01074869,n,10,black tropical American bird having a large overhanging crest and long feathered wattle,"2158,2188"
109775,01075059,n,10,e.g. ovenbirds,"2158,2188"
109777,01075349,n,10,small brownish South American birds that build oven-shaped clay nests,"2158,2188"
109778,01075492,n,10,antbirds,"2158,2188"
109779,01075678,n,10,any of various dull-colored South American birds that feeding on ants some following army ant swarms,"2158,2188"
109780,01075916,n,10,type genus of the Formicariidae,"2158,2188"
109781,01076063,n,10,a kind of antbird,"2158,2188"
109782,01076156,n,10,a genus of Formicariidae,"2158,2188"
109783,01076298,n,10,antbirds superficially resembling shrikes,"2158,2188"
109784,01076415,n,10,a genus of Formicariidae,"2158,2188"
109785,01076553,n,10,a kind of antbird,"2158,2188"
109786,01076675,n,10,woodhewers or woodcreepers,"2158,2188"
