id,type,source,target
202971,@,103585,103583
202972,@,103586,103332
202973,@,103587,103586
202974,@,103588,103586
202975,@,103589,108265
202976,@,103590,103589
202977,@,103591,105560
202978,@,103592,105560
202979,@,103593,105560
202980,@,103594,105560
202981,@,103596,105560
202982,%p,103596,107601
202983,@,103597,105560
202984,@,103598,103597
202985,@,103599,103596
202986,@,103600,103599
202987,@,103601,103596
202988,@,103602,103583
202989,@,103603,103583
202990,@,103604,103328
202991,@,103605,103604
202992,@,103606,103604
202993,@,103607,103605
202994,@,103608,103607
202995,@,103609,103607
202996,@,103610,103604
202997,@,103611,103610
202998,@,103612,103610
202999,@,103613,103604
203000,@,103614,103604
203001,@,103616,103614
203002,@,103617,103614
203003,@,103618,103614
203004,@,103619,103614
203005,@,103620,103614
203006,@,103621,103614
203007,@,103622,103614
203008,@,103623,103614
203009,@,103624,103623
203010,@,103625,103623
203011,@,103626,103623
203012,@,103627,103623
203013,@,103628,103623
203014,@,103629,103623
203015,@,103630,103623
203016,@,103631,103623
203017,@,103632,103623
203018,@,103633,103623
203019,@,103634,103630
203020,@,103635,103623
203021,@,103637,103623
203022,@,103638,103446
203023,@,103639,103638
203024,@,103640,103638
203025,@,103641,103640
203026,@,103642,103638
203027,@,103643,103638
203028,@,103644,103643
203029,@,103645,103638
203030,@,103646,103638
203031,@,103647,103638
203032,@,103648,103638
203033,@,103649,103638
203034,@,103650,103638
203035,@,103651,103638
203036,@,103652,103604
203037,@,103653,103652
203038,@,103654,103653
203039,@,103655,103652
203040,@,103656,103652
203041,@,103658,103657
203042,@,103659,103657
203043,@,103660,103659
203044,@,103661,103604
203045,@,103662,103661
203046,@,103663,103661
203047,@,103665,103661
203048,@,103666,103661
203049,@,103667,103661
203050,@,103668,103604
203051,@,103669,103604
203052,@,103671,106799
203053,@,103672,106799
203054,@,103672,103669
203055,@,103673,103669
203056,@,103674,106799
203057,@,103675,103669
203058,@,103676,103669
203059,@,103677,103669
203060,@,103678,106675
203061,@,103679,103604
203062,@,103680,103679
203063,@,103681,103679
203064,@,103682,103679
203065,@,103683,103679
203066,@,103684,105040
203067,@,103685,103604
203068,@,103686,103617
203069,@,103687,103854
203070,@,103688,103687
203071,@,103689,103688
203072,@,103691,103604
203073,@,103692,103604
203074,%p,103692,103697
203075,@,103693,103692
203076,@,103694,103692
203077,@,103695,103692
203078,@,103696,103695
203079,@,103697,107987
203080,@,103698,103692
203081,@,103699,103692
203082,@,103700,103693
203083,@,103701,103692
203084,@,103702,108109
203085,@,103703,103692
203086,@,103704,103328
203087,@,103705,103704
203088,@,103706,103705
203089,@,103707,103706
203090,@,103708,103704
203091,@,103709,103704
203092,@,103711,103710
203093,@,103712,106481
203094,@,103713,103789
203095,@,103714,103343
203096,@,103715,103343
203097,@,103716,103343
203098,@,103717,103327
203099,@,103718,106481
203100,@,103719,106481
203101,@,103720,103705
203102,@,103721,103705
203103,@,103722,103705
203104,@,103723,103709
203105,@,103724,103709
203106,@,103725,103724
203107,@,103726,103724
203108,@,103727,103709
203109,@,103728,103727
203110,@,103729,103727
203111,@,103730,103440
203112,@,103732,103730
203113,@,103733,103731
203114,@,103734,103733
203115,@,103735,103328
203116,@,103736,103735
203117,@,103737,103709
203118,@,103738,103709
203119,@,103739,103745
203120,@,103740,103746
203121,@,103741,103747
203122,@,103742,103709
203123,@,103743,103736
203124,@,103744,103743
203125,@,103745,103736
203126,@,103746,103736
203127,@,103747,103736
203128,@,103748,108117
203129,@,103749,108117
203130,@,103750,108117
203131,@,103751,108117
203132,@,103753,108117
203133,@,103754,103753
203134,@,103755,108117
203135,@,103756,103751
203136,@,103757,108117
203137,@,103758,108117
203138,@,103760,103704
203139,@,103761,103758
203140,@,103762,103758
203141,@,103763,103758
203142,@,103764,103758
203143,@,103766,103763
203144,@,103767,108117
203145,@,103768,103772
203146,@,103768,104187
203147,@,103769,103767
203148,@,103770,103767
203149,@,103771,103767
203150,@,103772,103767
203151,@,103773,103772
203152,@,103774,103773
203153,@,103775,103767
203154,@,103776,103704
203155,@,103777,103704
203156,@,103778,103705
203157,@,103779,103777
203158,@,103780,103779
203159,@,103781,103777
203160,@,103782,103704
203161,@,103783,103782
203162,@,103784,103782
203163,@,103786,103782
203164,@,103787,103782
203165,@,103788,103782
203166,@,103789,103704
203167,@,103790,103704
203168,@,103791,103790
203169,@,103792,105970
203170,@,103793,105970
203171,@,103794,105970
203172,%p,103794,135651
203173,@,103795,105970
203174,@,103796,105970
203175,@,103797,105970
203176,@,103798,105970
203177,@,103799,105970
203178,@,103799,103790
203179,@,103800,103704
203180,@,103801,103790
203181,@,103802,103801
203182,@,103803,103704
203183,@,103805,103804
203184,@,103806,103804
203185,@,103807,103804
203186,@,103808,103804
203187,@,103809,103808
203188,@,103810,103809
203189,@,103811,103804
203190,@,103812,103804
203191,@,103813,103804
203192,@,103814,103804
203193,@,103815,104035
203194,@,103816,104035
203195,@,103817,103823
203196,@,103818,103817
203197,@,103818,106746
203198,@,103819,103814
203199,@,103820,103814
203200,@,103821,103814
203201,@,103822,103814
203202,@,103823,103814
203203,@,103825,103814
203204,@,103826,103825
203205,@,103827,103826
203206,@,103828,103704
203207,@,103829,103704
203208,@,103830,103328
203209,@,103831,103830
203210,@,103832,103830
203211,@,103833,103830
203212,@,103834,103830
203213,@,103835,103830
203214,@,103836,103834
203215,@,103837,107456
203216,@,103838,107456
203217,@,103839,103836
203218,@,103840,103839
203219,@,103841,103839
203220,%p,103841,103941
203221,@,103842,103841
203222,@,103843,103834
203223,@,103845,103844
203224,@,103846,103844
203225,@,103847,103844
203226,@,103848,103844
203227,@,103849,104077
203228,@,103850,103834
203229,@,103852,103851
203230,@,103853,103834
203231,@,103854,103328
203232,@,103855,103854
203233,@,103856,103855
203234,@,103858,103854
203235,@,103859,103858
203236,@,103860,103858
203237,@,103861,103858
203238,@,103862,103858
203239,@,103863,103858
203240,@,103864,103854
203241,@,103865,103858
203242,@,103866,103858
203243,@,103867,103866
203244,@,103868,103866
203245,@,103869,103866
203246,@,103870,103866
203247,@,103871,103428
203248,@,103872,103871
203249,@,103873,103866
203250,@,103874,107705
203251,@,103875,103332
203252,@,103876,103875
203253,@,103877,103875
203254,@,103879,103877
203255,@,103880,103875
203256,@,103881,103875
203257,@,103882,104005
203258,@,103883,103880
203259,@,103884,103883
203260,@,103885,107732
203261,@,103886,103885
203262,@,103887,103880
203263,@,103888,103883
203264,@,103889,103883
203265,@,103890,103883
203266,@,103891,103890
203267,@,103892,103880
203268,@,103893,105133
203269,@,103894,103893
203270,@,103895,103894
203271,@,103896,103894
203272,@,103897,103894
203273,@,103898,103897
203274,@,103900,103894
203275,@,103901,103892
203276,@,103902,103892
203277,@,103903,103902
203278,@,103904,104005
203279,@,103905,103904
203280,@,103906,103913
203281,@,103907,103906
203282,@,103908,103913
203283,@,103909,103913
203284,@,103910,103909
203285,@,103911,103909
203286,@,103912,103913
203287,@,103913,103406
203288,@,103914,103406
203289,@,103915,103902
203290,@,103916,103915
203291,@,103917,103902
203292,@,103918,103902
203293,@,103919,103902
203294,@,103921,103920
203295,@,103922,103920
203296,@,103923,103920
203297,@,103924,103920
203298,@,103925,103924
203299,@,103926,103920
203300,@,103927,103902
203301,@,103928,103927
203302,@,103929,106500
203303,@,103930,106500
203304,@,103931,106496
203305,@,103932,103931
203306,@,103933,103927
203307,@,103934,103933
203308,@,103935,103933
203309,@,103936,103933
203310,@,103937,103933
203311,@,103938,103937
203312,@,103939,103933
203313,@,103940,103933
203314,@,103942,103920
203315,@,103943,107456
203316,@,103944,103942
203317,@,103945,103942
203318,@,103946,103942
203319,@,103947,103942
203320,@,103949,103920
203321,@,103950,103920
203322,@,103951,103920
203323,@,103952,103920
203324,@,103953,103920
203325,@,103955,108283
203326,@,103956,103955
203327,@,103957,103875
203328,@,103958,103957
203329,@,103959,103962
203330,@,103960,103963
203331,@,103961,103963
203332,@,103962,103963
203333,@,103963,107718
203334,@,103964,103962
203335,@,103965,103962
203336,@,103966,103965
203337,@,103967,103966
203338,@,103968,103966
203339,@,103969,103962
203340,@,103970,103962
203341,@,103971,103875
203342,@,103972,103971
203343,@,103973,103971
203344,@,103974,103971
203345,@,103976,103971
203346,@,103977,103328
203347,@,103978,103977
203348,@,103979,103977
203349,@,103980,103328
203350,@,103981,103328
203351,@,103982,103981
203352,@,103983,103981
203353,@,103984,103428
203354,@,103985,161788
203355,@,103986,103984
203356,@,103987,103984
203357,@,103988,103984
203358,@,103989,103984
203359,@,103990,103984
203360,@,103991,161788
203361,@,103992,105597
203362,@,103993,103984
203363,@,103994,103984
203364,@,103995,103984
203365,@,103997,161788
203366,@,103998,103984
203367,@,103999,103998
203368,@,104000,103998
203369,@,104001,103998
203370,@,104002,161788
203371,@,104003,103984
203372,@,104004,103328
203373,@,104005,103332
203374,@,104006,104005
203375,@,104007,103332
203376,@,104008,104007
203377,@,104009,104007
203378,@,104010,104035
203379,@,104011,104035
203380,@,104012,103816
203381,@,104013,104010
203382,@,104014,104010
203383,@,104015,104005
203384,@,104016,104005
203385,@,104018,104942
203386,@,104019,104005
203387,@,104020,104005
203388,@,104021,104005
203389,@,104022,104005
203390,@,104023,104022
203391,@,104024,104005
203392,@,104025,104024
203393,@,104026,104025
203394,@,104027,104025
203395,@,104028,104025
203396,@,104029,104024
203397,@,104030,104024
203398,@,104031,104005
203399,@,104032,104031
203400,@,104033,104005
203401,@,104034,104005
203402,@,104035,104005
203403,@,104036,104901
203404,@,104037,104034
203405,@,104039,104034
203406,@,104040,104039
203407,@,104041,104034
203408,@,104042,104034
203409,@,104043,103332
203410,@,104044,104043
203411,@,104046,104045
203412,@,104047,104046
203413,@,104048,103316
203414,@,104049,104048
203415,@,104050,104048
203416,@,104052,104050
203417,@,104053,104048
203418,@,104054,104053
203419,@,104055,104053
203420,@,104056,104053
203421,@,104057,104048
203422,@,104058,104048
203423,@,104059,104057
203424,@,104060,104057
203425,@,104061,103316
203426,@,104062,108135
203427,@,104063,104048
203428,@,104064,104063
203429,@,104065,104063
203430,@,104066,104065
203431,@,104067,104065
203432,@,104068,104063
203433,@,104069,104063
203434,@,104070,104063
203435,@,104071,104065
203436,@,104073,107709
203437,@,104074,104048
203438,@,104075,103971
203439,@,104076,104075
203440,@,104077,104034
203441,@,104078,104080
203442,@,104079,104077
203443,@,104080,104077
203444,@,104081,104080
203445,@,104082,104080
203446,@,104083,104080
203447,@,104084,104077
203448,@,104085,104084
203449,@,104086,104084
203450,@,104087,104077
203451,@,104088,104087
203452,@,104089,104087
203453,@,104090,107841
203454,@,104091,104090
203455,@,104092,104087
203456,@,104094,104093
203457,@,104095,104077
203458,@,104096,104077
203459,@,104097,104096
203460,@,104098,104077
203461,@,104099,104077
203462,@,104100,104099
203463,@,104101,104099
203464,@,104102,104077
203465,@,104103,104102
203466,@,104104,104102
203467,@,104105,104102
203468,@,104106,104102
203469,@,104107,104102
203470,@,104108,104102
203471,@,104109,104107
203472,@,104110,104107
203473,@,104111,104107
203474,@,104112,104077
203475,@,104113,104112
203476,@,104115,104112
203477,@,104116,104112
203478,@,104117,104112
203479,@,104118,104117
203480,@,104119,104116
203481,@,104120,104117
203482,@,104121,104120
203483,@,104122,104120
203484,@,104123,104112
203485,@,104124,104112
203486,@,104125,104112
203487,@,104126,104112
203488,@,104127,104126
203489,@,104128,104126
203490,@,104129,104126
203491,@,104130,104126
203492,@,104131,104117
203493,@,104132,104112
203494,@,104133,104117
203495,@,104134,104133
203496,@,104136,104112
203497,@,104137,104136
203498,@,104138,104112
203499,@,104139,104112
203500,@,104140,104139
203501,@,104141,104139
203502,@,104143,104142
203503,@,104144,108020
203504,@,104145,104144
203505,@,104146,104144
203506,@,104147,108020
203507,@,104149,104148
203508,@,104150,104148
203509,@,104151,104112
203510,@,104152,104112
203511,@,104153,104077
203512,@,104154,104077
203513,@,104155,104154
203514,@,104156,104077
203515,@,104157,104077
203516,@,104158,104157
203517,@,104159,104157
203518,@,104160,104157
203519,@,104161,104077
203520,@,104162,104077
203521,@,104163,104077
203522,@,104164,104163
203523,@,104165,104164
203524,@,104166,104164
203525,@,104167,104164
203526,@,104168,104163
203527,@,104170,104168
203528,@,104171,104034
203529,@,104172,104171
203530,@,104173,104171
203531,@,104174,104173
203532,@,104175,104173
203533,@,104176,104173
203534,@,104177,104171
203535,@,104178,104171
203536,@,104179,104077
203537,@,104180,104099
203538,@,104181,104099
203539,@,104182,104099
203540,@,104183,104171
203541,@,104184,104034
203542,@,104185,103882
203543,@,104186,104184
203544,@,104187,104034
203545,@,104188,104187
203546,@,104189,104187
203547,@,104191,105133
203548,@,104192,104187
203549,@,104193,104187
203550,@,104194,104187
203551,@,104195,104194
203552,@,104196,104034
203553,@,104197,108496
203554,@,104198,104187
203555,@,104199,104198
203556,@,104200,137556
203557,%p,104200,136647
203558,@,104201,104187
203559,@,104202,104201
203560,@,104203,104201
203561,@,104204,104187
203562,@,104205,104187
203563,@,104206,104187
203564,@,104207,104187
203565,@,104208,104187
203566,@,104209,104034
203567,%p,104209,104222
203568,@,104210,104209
203569,@,104211,104210
203570,@,104212,104209
203571,@,104213,104209
203572,@,104214,104209
203573,@,104215,104209
203574,@,104216,104209
203575,@,104217,104209
203576,%p,104217,104220
203577,@,104218,104217
203578,@,104219,104209
203579,@,104220,104361
203580,@,104221,104225
203581,@,104222,104034
203582,@,104223,104222
203583,@,104224,104222
203584,@,104225,104034
203585,@,104226,104229
203586,@,104227,104226
203587,@,104229,104225
203588,@,104230,104229
203589,@,104231,104229
203590,@,104232,104225
203591,@,104233,104232
203592,@,104234,104232
203593,@,104236,104235
203594,@,104237,104232
203595,@,104238,104232
203596,@,104239,104232
203597,@,104240,108432
203598,@,104242,104232
203599,@,104243,104239
203600,@,104244,104239
203601,@,104245,104239
203602,@,104246,104232
203603,@,104247,104246
203604,@,104248,104232
203605,@,104249,104232
203606,@,104250,104249
203607,@,104251,104253
203608,@,104252,104253
203609,@,104253,105678
203610,%p,104253,104258
203611,@,104254,104253
203612,@,104255,104253
203613,@,104256,104253
203614,@,104257,104348
203615,@,104258,104875
203616,@,104259,104253
203617,@,104260,104264
203618,@,104262,104261
203619,@,104263,104264
203620,@,104264,106024
203621,@,104265,104251
203622,@,104266,104251
203623,@,104267,104266
203624,@,104268,104266
203625,@,104269,104251
203626,@,104270,104251
203627,@,104271,103706
203628,@,104272,104225
203629,@,104273,104272
203630,@,104274,104273
203631,@,104275,104272
203632,@,104276,104272
203633,@,104277,104225
203634,@,104278,104225
203635,@,104279,104278
203636,@,104280,104225
203637,@,104281,104225
203638,@,104283,104034
203639,@,104284,104283
203640,@,104285,104034
203641,@,104286,104285
203642,@,104287,104285
203643,@,104288,104285
203644,@,104289,104285
203645,@,104290,104285
203646,@,104291,104285
203647,@,104292,104285
203648,@,104293,104285
203649,@,104294,104293
203650,@,104295,104293
203651,@,104296,104293
203652,@,104297,104225
203653,@,104298,104225
203654,@,104299,104225
203655,@,104300,104225
203656,@,104301,104225
203657,@,104302,104301
203658,@,104304,104225
203659,@,104305,104034
203660,@,104306,104305
203661,@,104307,104306
203662,@,104308,104225
203663,@,104309,104225
203664,@,104310,104309
203665,@,104311,104309
203666,@,104312,104309
203667,@,104313,104312
203668,@,104314,104312
203669,@,104315,104314
203670,@,104316,104312
203671,@,104317,104316
203672,@,104318,104309
203673,@,104319,104309
203674,@,104320,104319
203675,@,104321,104309
203676,@,104322,104321
203677,@,104323,104321
203678,@,104325,104312
203679,@,104326,104312
203680,@,104327,105715
203681,@,104328,105715
203682,@,104329,104328
203683,@,104330,104034
203684,@,104332,104330
203685,@,104333,104330
203686,@,104334,104330
203687,@,104335,104330
203688,@,104336,104330
203689,@,104338,104330
203690,@,104339,104330
203691,@,104340,104339
203692,@,104341,104034
203693,@,104342,104341
203694,@,104343,104342
203695,@,104344,104341
203696,@,104345,104341
203697,@,104346,104341
203698,@,104347,104346
203699,@,104348,104346
203700,@,104349,104346
