44390,180831,,,
333040,44390,180828,,,
333041,44390,170076,,,
333042,44390,176120,,,
333043,44390,180439,,,
333044,44390,178001,,,
333045,44390,175949,,,
333046,44390,175310,,,
333047,44390,175309,,,
333048,44390,175181,,,
333049,44390,174154,,,
333050,44390,180937,,,
333051,44390,180040,,,
333052,44390,180933,,,
333053,44390,174461,,,
333054,44390,181053,,,
333055,44390,173121,,,
333056,44390,174528,,,
333057,44390,180156,,,
333058,44390,179134,,,
333059,44390,179005,,,
333060,44390,176316,,,
333061,44390,169659,,,
333062,44390,176313,,,
333063,44390,179383,,,
333064,44390,179382,,,
333065,44390,173493,,,
333066,44390,173109,,,
333067,44390,174260,,,
333068,44390,181041,,,
333069,44390,180013,,,
333070,44390,175787,,,
333071,44390,173101,,,
333072,44390,174636,,,
333073,44390,172715,,,
333074,44390,172330,,,
333075,44390,180520,,,
333076,44390,178082,,,
333077,44390,178081,,,
333078,44390,178079,,,
333079,44390,180893,,,
333080,44390,181277,,,
333081,44390,177430,,,
333082,44390,174998,,,
333083,44390,169364,,,
333084,44390,181262,,,
333085,44390,173964,,,
333086,44390,171790,,,
333087,44390,173581,,,
333088,44390,172812,,,
333089,44390,180488,,,
333090,44390,179209,,,
333091,44390,175877,,,
333093,44390,175621,,,
333094,44390,170245,,,
333095,44390,173061,,,
333097,44375,144491,,,
333098,44375,140510,,,
333099,44375,128221,,,
333100,44375,141147,,,
333101,44375,146129,,,
333102,44375,141126,,,
333104,44375,126522,,,
333105,44375,126521,,,
333106,44375,164025,,,
333107,44375,127672,,,
333108,44375,126519,,,
333109,44375,128438,,,
333111,44375,128434,,,
333112,44375,163503,,,
333113,44375,141614,,,
333114,44375,133294,,,
333115,44375,140585,,,
333116,44375,165540,,,
333118,44375,161181,,,
333119,44375,103314,,,
333120,44375,128136,,,
333121,44375,163590,,,
333122,44375,142465,,,
333123,44410,199459,,,
333125,44378,177567,,,
333126,44378,174007,,,
333127,44378,178450,,,
333128,44378,179505,,,
333129,44378,177674,,,
333130,44378,178437,,,
333132,44424,193526,,,
333133,44424,182768,,,
333134,44424,192493,,,
333135,44424,192491,,,
333136,44424,194025,,,
333137,44424,194024,,,
333139,44424,192484,,,
333140,44424,183267,,,
333141,44424,194017,,,
333142,44424,191968,,,
333143,44424,192477,,,
333144,44424,182741,,,
333146,44424,192461,,,
333147,44424,182734,,,
333148,44424,187853,,,
333149,44424,192460,,,
333150,44424,182730,,,
333151,44424,187846,,,
333153,44424,181697,,,
333154,44424,195007,,,
333155,44424,195006,,,
333156,44424,189882,,,
333157,44424,187319,,,
333158,44424,185783,,,
333160,44424,192948,,,
333161,44424,185779,,,
333162,44424,185776,,,
333163,44424,194989,,,
333164,44424,190369,,,
333165,44424,187807,,,
333167,44424,191390,,,
333168,44424,193437,,,
333169,44424,193436,,,
333170,44424,187802,,,
333171,44424,195988,,,
333172,44424,191893,,,
333174,44424,191890,,,
333175,44424,195985,,,
333176,44424,187790,,,
333177,44424,194953,,,
333178,44424,187785,,,
333179,44424,185736,,,
333181,44424,187774,,,
333182,44424,189302,,,
333183,44424,189296,,,
333184,44424,188771,,,
333185,44424,198492,,,
333186,44424,188765,,,
333188,44424,188764,,,
333189,44424,186192,,,
333190,44424,186190,,,
333191,44424,187725,,,
333192,44424,187723,,,
333193,44424,186186,,,
333195,44424,187720,,,
333196,44424,185159,,,
333197,44424,192326,,,
333198,44424,190273,,,
333200,44424,182081,,,
333201,44424,193853,,,
333202,44424,185661,,,
333204,44424,195381,,,
333205,44424,185645,,,
333206,44424,187180,,,
333207,44424,192296,,,
333208,44424,185639,,,
333209,44424,192294,,,
333211,44424,195873,,,
333212,44424,192290,,,
333213,44424,195872,,,
333214,44424,187168,,,
333215,44424,194326,,,
333216,44424,187155,,,
333218,44424,192776,,,
333219,44424,187145,,,
333220,44424,181512,,,
333221,44424,188164,,,
333222,44424,187652,,,
333223,44424,193274,,,
333225,44424,181496,,,
333226,44424,189686,,,
333227,44424,189684,,,
333228,44424,186096,,,
333229,44424,185070,,,
333230,44424,195304,,,
333232,44424,194279,,,
333233,44424,189666,,,
333234,44424,191712,,,
