rius,0
133009,133009,manticinor,v,v1spid--1-,manticin manticinat -,,,[man̪.'t̪ɪ.kɪ.n̪ɔr],manticinor,0
50718,50718,manufesto,v,v1spia--1-,manufest manufestau manufestat,,,[ma.n̪ʊ.'fɛs.t̪ɔ],manufesto,0
60747,60747,Maricas,n,n-s---mn3-,Maricas,,,['ma.rɪ.kas],Maricas,0
60753,60753,Maronea,n,n-s---fn1-,Marone,,,[ma.'rɔ.n̪ɛ̣.ja],Maronea,0
60764,60764,Masati,n,n-p---mn2-,Masat,,,['ma.sa.t̪ɪ],Masati,0
60773,60773,Massilia,n,n-s---fn1-,Massili,,,[mas.'sɪ.lɪ̣.ja],Massilia,0
117105,117105,masculatus,a,aps---mn1-,masculat masculat masculat,,,[mas.'kʊ.la.t̪ʊs],masculatus,0
116689,l1237,lutensis,a,aps---cn3i,lutens lutens lutens,,,[lʊ.'t̪eːn̪.sɪs],lutensis,0
60781,60781,Mattiacus,a,aps---mn1-,Mattiac Mattiac Mattiac,,,[mat̪.'t̪ɪ̣.ja.kʊs],Mattiacus,0
117146,117146,matricularius,n,n-s---mn2-,matriculari,,,[ma.t̪rɪ.kʊ.'la.rɪ̣.jʊs],matricularius,0
117156,117156,mattiobarbulus,a,aps---mn1-,mattiobarbul mattiobarbul mattiobarbul,,,[mat̪.t̪ɪ̣.jɔ.'bar.bʊ.lʊs],mattiobarbulus,0
60632,60632,Lycaones,n,n-p---mn3-,Lycaon,,,[ly.'ka.jɔ.n̪ɛs],Lycaones,0
24814,l1248,lutulentus,a,aps---mn1-,lutulent lutulent lutulent,,,[ɫʊ.tʊˈɫɛn.tʊs],lutulentus,1
116717,l1271,lycophthalmos,n,n-s---mn2g,lycophthalm,,,[ly.kɔpʰ.'t̪ʰaɫ.mɔs],lycophthalmos,0
116743,l1289,lysimachia,n,n-s---fn1-,lysimachi,,,[ly.sɪ.'ma.kʰɪ̣.ja],lysimachia,0
116756,m0006,macellarius,a,aps---mn1-,macellari macellari macellari,,,[ma.kɛɫ.'la.rɪ̣.jʊs],macellarius,0
99327,m0045,macritudo,n,n-s---fn3-,macritudin,,,[ma.'krɪ.t̪ʊ.d̪ɔ],macritudo,0
116798,m0062,madefacto,v,v1spia--1-,madefact madefactau madefacta,,,[ma.d̪ɛ.'fak.t̪ɔ],madefacto,0
116816,m0088,magdalides,n,n-p---fn3-,magdalid,,,[mag.'d̪a.lɪ.d̪ɛs],magdalides,1
99338,m0161,maledicax,a,aps---an3i,maledicac maledicac maledicac,,,[ma.'lɛ.d̪ɪ.kaks],maledicax,0
116882,m0166,malefaber,a,aps---mn1r,malefabr malefabr malefabr,,,[ma.'lɛ.fa.bɛr],malefaber,0
24878,m0171,malefactor,n,n-s---mn3-,malefactor,,,[ma.ɫɛˈfak.tɔr],malefactor,1
116897,m0177,maletractatio,n,n-s---fn3-,maletractation,,,[ma.lɛ.t̪ra.'kt̪a.t̪ɪ̣.jɔ],maletractatio,0
116950,m0239,manalis,a,aps---cn3i,manal manal manal,,,['ma.n̪a.lɪs],manalis,0
116962,m0255,mandatiuus,a,aps---mn1-,mandatiu mandatiu mandatiu,,,[man̪.'d̪a.t̪ɪ.wʊs],mandatiuus,0
116990,m0287,manifestarius,a,aps---mn1-,manifestari manifestari manifestari,,,[ma.n̪ɪ.fɛs.'t̪a.rɪ̣.jʊs],manifestarius,0
117017,m0326,manticula,n,n-s---fn1-,manticul,,,[man̪.'t̪ɪ.kʊ.la],manticula,0
117037,m0342,manuballistarius,n,n-s---mn2-,manuballistari,,,[ma.n̪ʊ.baɫ.lɪs.'t̪a.rɪ̣.jʊs],manuballistarius,0
117071,m0382,margaritarius,a,aps---mn1-,margaritari margaritari margaritari,,,[mar.ga.rɪ.'t̪a.rɪ̣.jʊs],margaritarius,0
58170,m0393,maritalis,a,aps---cn3i,marital marital marital,,,[ma.riːˈtaː.lɪs],maritalis,1
117123,m0431,mastichatus,a,aps---mn1-,mastichat mastichat mastichat,,,[mas.'t̪ɪ.kʰa.t̪ʊs],mastichatus,0
99377,m0476,matronalis,a,aps---cn3i,matronal matronal matronal,,,[ma.'t̪rɔ.n̪a.lɪs],matronalis,0
