̪ɪ.ma.n̪ʊs],centimanus,0
97857,c1169,centurio,v,v1spia--1-,centuri centuriau centuriat,,,[kɛn̪.'t̪ʊ.rɪ̣.joː],centurio,0
97864,97864,cestus,n,n-s---mn4-,cest,,,['kɛs.t̪ʊs],cestus,0
97865,97865,ceteri,a,app---mn1-,ceter ceter ceter,,,['keː.t̪ɛ.riː],ceteri,0
97858,c1175,centussis,n,n-s---mn3i,centuss,,,[kɛn̪.'t̪ʊs.sɪs],centussis,0
97860,c1233,cereus,n,n-s---mn2-,cere,,,['kɛrews],cereus,0
97866,97866,ceterum,n,n-s---nn2-,ceter,,,['keː.t̪ɛ.rũː],ceterum,0
97872,97872,chlamyda,n,n-s---fn1-,chlamyd,,,['kʰla.my.d̪a],chlamyda,0
97873,97873,chors,n,n-s---fn3i,chort,,,['kʰɔrs],chors,0
97877,97877,cibaria,n,n-p---nn2-,cibari,,,[kɪ.'baː.rɪ̣.ja],cibaria,0
97829,c0507,capital,n,n-s---nn3i,capital,,,['ka.pɪ.t̪aɫ],capital,0
97867,c1381,channe,n,n-s---fn1g,chann,,,['kʰan̪.n̪ɛ],channe,0
97868,c1382,chaos,n,n-s---nn2g,cha,,,['kʰa.jɔs],chaos,0
97870,c1394,chariton,n,n-s---nn2g,charit,,,['kʰa.rɪ.t̪ɔn̪],chariton,0
97871,c1413,chelidon,n,n-s---fn3-,chelidon,,,['kʰɛ.lɪ.d̪ɔn̪],chelidon,0
97874,c1519,chromis,n,n-s---mn3i,chrom,,,['kʰrɔ.mɪs],chromis,0
97823,c0421,cannabis,n,n-s---fn3i,cannab,,,['kan̪.n̪a.bɪs],cannabis,0
97811,c0263,callis,n,n-s---mn3i,call,,,['kaɫ.lɪs],callis,0
97937,c2576,cometes,n,n-s---mn1g,comet,,28509,['kɔ.mɛ.t̪ɛs],cometes,0
97885,c1834,circumplumbo,v,v1spia--1-,circumplumb circumplumbau circumplumbat,,,[kɪr.'kʊm.plʊ.mbɔ],circumplumbo,0
97930,,colo,v,v1spia--3-,col colu cult,,,['kɔ.lɔ],colo,1
97883,97883,circumlucens,a,aps---an3i,circumlucent circumlucent circumlucent,,,[kɪr.'kʊ.mlʊ.keːn̪s],circumlucens,0
97888,97888,citatus,a,aps---mn1-,citat citat citat,,,['kɪ.t̪a.t̪ʊs],citatus,0
