6,\,121537,25948
410957,\,97781,25965
410958,\,31352,25965
410959,\,45120,25965
410960,\,120758,25965
410961,\,124283,25965
410962,\,44277,25969
410963,\,25969,99991
410964,\,61469,25974
410965,\,99994,25977
410967,\,100111,25977
410968,\,30535,25984
410969,\,121702,25984
410970,\,121860,26006
410971,\,32169,26010
410972,\,121865,26010
410973,\,42378,26018
410974,\,121858,26022
410975,\,121860,26022
410976,\,54050,26022
410977,\,32169,26022
410978,\,121865,26022
410979,\,121913,100013
410980,\,121918,100013
410981,\,41459,26031
410983,\,43805,26031
410984,\,23969,26047
410985,\,122024,26050
410986,/,26050,122016
410987,/,26050,122018
410988,/,26050,57787
410989,/,26050,122020
410990,/,26050,26049
410991,/,26050,100020
410992,/,26050,100021
410993,/,26050,54523
410994,/,26050,122029
410995,\,100024,26066
410996,\,122094,26066
410997,\,26069,26070
410998,\,30587,26071
410999,\,44590,26071
411000,\,122139,26077
411001,\,50979,26077
411002,\,37023,26077
411003,\,98262,26077
411004,\,99499,26077
411005,\,58126,26077
411006,\,33331,26077
411007,\,100614,26077
411008,\,29228,26077
411009,/,26082,26081
411010,/,26082,122160
411011,/,26082,36238
411012,/,26082,56796
411013,/,26082,122173
411014,/,26082,39263
411015,/,26082,122174
411016,/,26082,100034
411017,/,26082,39369
411018,/,122176,45207
411019,/,122176,29462
411020,/,122176,26084
411021,/,122176,29183
411022,\,100037,26086
411023,\,122191,26086
411024,\,122192,26086
411025,\,37290,26086
411026,\,48695,26090
411027,\,43441,26097
411028,\,122238,26099
411029,\,100045,26104
411030,\,35779,26105
411031,\,30805,26117
411032,\,47964,26117
411033,/,100049,100053
411034,\,41413,132647
411035,\,100049,26125
411036,\,26504,26125
411037,\,122372,26128
411038,\,122375,26128
411039,\,122379,26128
411040,\,57968,26128
411041,\,122409,26132
411042,\,122416,26136
411043,\,23977,26137
411044,\,122398,26137
411045,\,25591,26137
411046,\,122430,26146
411047,\,122431,26146
411048,\,100063,26148
411049,\,57265,26149
411050,\,36595,26152
411051,\,122472,26161
411052,\,42058,26161
411053,\,122476,26161
411054,\,97682,100063
411055,\,97752,100063
411056,\,99718,100063
411057,\,122500,26166
411058,\,122509,26171
411059,\,122482,26171
411060,\,122523,26176
411061,\,100076,26184
411062,\,52644,26184
411063,\,122552,26187
411064,\,42270,26187
411065,\,57488,26190
411066,\,29760,26197
411068,\,122644,100086
411069,\,43175,26204
411070,\,122640,26204
411071,\,54306,132649
411072,\,122629,132649
411073,\,122632,132649
411074,\,100090,26208
411075,\,122657,26208
411076,\,122774,26213
411077,\,100128,100127
411078,\,26240,100127
411079,\,123076,26263
411080,\,123080,26263
411081,/,26270,26269
411082,\,123127,26271
411083,\,53316,26271
411084,\,123142,26274
411085,\,100152,26279
411086,\,26281,132666
411087,\,45478,132666
411088,\,123197,132666
411089,\,123200,132666
411090,\,113320,26291
411091,\,26290,26291
411092,\,45478,26292
411093,/,26306,43627
411094,\,49973,26312
411095,\,38501,26313
411096,\,47369,26315
411097,\,123302,26315
411098,\,123318,26317
411099,\,32223,26321
411100,\,123316,26321
411101,\,123322,26323
411102,\,100166,26326
411103,/,100171,28541
411104,/,100171,51295
411105,/,100171,58321
411106,/,100171,29186
411107,/,100171,26329
411108,\,123349,26341
411110,\,123367,26343
411111,\,123373,26344
411112,\,123374,26344
411113,\,42030,26344
411114,\,100177,26347
411115,\,123398,132670
411116,\,53499,132671
411117,\,40688,123411
411118,\,100185,132673
411119,\,123442,26374
411120,\,26380,26379
411121,/,26382,26381
411122,\,100189,26389
411123,\,100190,26389
411124,\,49337,26407
411125,\,100216,26407
411126,\,26418,26407
411127,\,26419,26407
411128,\,123629,26408
411129,\,123586,26413
411130,/,26418,58175
411131,/,26418,123599
411132,/,26418,49337
411133,/,26418,26419
411134,\,123638,26435
411135,\,123678,132678
411136,\,34342,26464
411137,\,123791,26468
411138,\,100211,26480
411139,\,26481,26480
411140,\,100212,26482
411141,\,123819,26484
411142,\,123820,26484
411143,\,123839,26495
411144,/,100227,31253
411145,\,29607,26507
411146,/,26507,123960
411147,/,26507,51213
411148,/,26507,100227
411149,/,26507,38514
411150,/,26507,123962
411151,/,26507,50147
411152,/,26507,26508
411153,/,26507,123965
411154,/,26507,123966
411155,/,26507,123967
411156,\,98858,26508
411157,\,51213,26508
411158,\,50147,26508
411159,\,123965,26508
411160,\,123966,26508
411161,\,123967,26508
411162,\,123975,26512
411163,\,100231,26512
411164,\,123976,26512
411165,\,30108,26512
411166,\,43275,26512
411167,\,42181,26520
411169,\,124037,26526
411170,\,35049,26532
411171,\,100245,26536
411172,\,30611,26549
411173,\,50974,26552
411174,\,124216,26571
411175,\,58105,26571
411176,\,26578,26576
411177,\,34986,26584
411178,\,29237,26589
411179,\,42159,132684
411180,\,51107,132684
411181,\,124370,132684
411182,\,26598,26596
411183,/,26602,40009
411184,/,26602,26603
411185,/,26602,57645
411186,/,26602,43279
411187,/,26602,55278
411188,/,26602,57930
411189,/,26602,124487
411190,/,26602,124490
411191,\,100315,26604
411192,\,124500,26604
411193,\,48581,26604
411194,\,124502,26606
411195,\,39636,26606
411196,\,100325,26607
411197,\,124566,26607
411198,\,124521,26608
411199,\,58254,26609
411200,\,49165,26612
411201,\,26615,26618
411202,\,100317,26627
411203,\,124552,26627
411204,\,124576,26632
411205,\,100328,26632
411206,\,24495,26640
411207,\,100331,26645
411208,\,124643,26651
411209,\,124644,26651
411210,\,38331,26655
411211,\,124691,26662
411212,\,115309,26664
411213,\,124720,132687
411214,\,124723,132687
411215,\,124732,26669
411216,\,124780,26685
411217,\,56595,26694
411218,\,45161,26694
411219,\,45905,26700
411220,\,26733,26702
411221,\,124946,26702
411222,\,124829,26703
411223,\,124906,26720
411224,\,26675,26724
411225,\,124902,26724
411226,\,124921,132689
411227,\,32213,26728
411228,\,30182,26730
411229,\,124930,26730
411230,/,26733,26731
411231,/,26733,41484
411232,/,26733,26734
411233,\,49738,26757
411234,\,26640,132698
411235,\,125086,26764
411237,\,100395,26766
411238,\,125168,26778
411239,\,125149,26784
411240,\,125151,26784
411241,\,26799,26797
411242,\,58261,26799
411243,\,53967,26801
411244,\,125205,26803
411245,\,125206,26803
411246,\,100398,26808
411247,\,100399,26808
411248,\,29978,26812
411249,\,100400,26812
411250,\,125252,125255
411251,\,46816,125255
411252,\,125260,26819
411253,\,125272,26821
411254,\,125274,26821
411255,\,125328,26841
411256,\,125342,26841
411257,\,100405,26841
411258,\,29401,132701
411259,\,100410,132701
411260,\,36023,26868
411261,\,46200,26868
411262,\,125558,26868
411263,\,125564,26868
