,\,40842,58055
612662,/,45798,33431
612663,/,19202,33431
612664,/,101500,33431
612665,/,53083,33431
612666,/,19216,33431
612667,/,101502,33431
612668,/,19217,33431
612669,/,19218,48662
612670,/,48662,19219
612671,/,20520,19219
612672,\,101511,19219
612673,/,19219,19159
612675,/,19219,20913
612677,\,58407,19205
612678,/,19219,35764
612679,/,19219,34889
612680,/,19219,26184
612681,/,19219,53936
612682,\,19218,138778
612685,/,138778,138797
612686,/,138797,138778
612687,/,138778,138804
612688,/,138804,138778
612689,/,138778,138815
612690,/,138815,138778
612691,/,138778,138830
612692,/,138830,138778
612693,/,138778,138833
612694,/,138833,138778
612695,/,138778,138861
612696,/,138861,138778
612697,/,138778,26323
612698,/,26323,138778
612699,/,138778,138876
612700,/,138876,138778
612701,/,138778,138897
612702,/,138897,138778
612703,\,101511,138778
612704,/,138778,20527
612705,/,20527,138778
612706,/,138778,20913
612707,/,20913,138778
612708,/,138778,35764
612709,/,35764,138778
612710,/,138778,34889
612711,/,34889,138778
612712,/,138778,26184
612713,/,26184,138778
612714,/,138778,53936
612715,/,53936,138778
612716,\,19208,38685
612717,/,20891,44785
612718,/,44785,21335
612719,/,21335,44785
612720,/,44785,97968
612721,/,97968,44785
612722,/,44785,23032
612723,/,23032,44785
612724,/,44785,58075
612725,/,44785,25848
612726,/,25848,44785
612727,/,44785,43567
612728,/,43567,44785
612729,/,55789,47971
612730,/,57292,47971
612735,/,47971,97495
612736,/,47971,55739
612737,/,19224,19223
612738,\,19223,19224
612739,/,28459,19224
612740,/,20980,19224
612741,/,21361,19224
612742,/,22079,19224
612743,/,23036,19224
612744,/,24041,19224
612745,/,114818,19224
612746,/,122580,19224
612747,/,40626,19224
612748,/,22081,50321
612749,/,109670,50321
612750,/,29813,31863
612751,/,35533,31863
612752,/,105121,31863
612753,/,22083,31863
612754,/,48260,31863
612755,/,53057,31863
612756,/,19227,37040
612757,/,32391,37040
612758,/,37040,19228
612759,/,47662,37040
612760,/,47662,19228
612761,/,105757,51382
612762,/,55316,51382
612763,/,19231,19230
612764,\,38671,101527
612765,/,38671,40283
612766,/,106930,40283
612767,/,52370,40283
612768,/,47953,40283
612769,/,54383,40283
612770,/,50896,40283
612771,/,44390,40283
612772,/,58241,40283
612773,/,40283,138146
612774,/,138146,40283
612775,/,128861,40283
612776,/,38671,35296
612777,/,106930,35296
612778,/,52370,35296
612779,/,47953,35296
612780,/,54383,35296
612781,/,50896,35296
612782,/,44390,35296
612783,/,58241,35296
612784,/,35296,138146
612785,/,138146,35296
612786,/,128861,35296
612787,/,38158,29673
612788,/,29673,19233
612789,/,49919,19233
612790,/,21969,19233
612791,/,33040,49145
612792,/,19234,49145
612793,/,57809,49145
612794,\,49145,57809
612795,/,29171,52880
612796,/,43129,52880
612797,/,21386,52880
612798,/,52880,21995
612799,/,32892,52880
612800,/,98188,52880
612801,/,54339,52880
612802,/,24088,52880
612803,/,30980,52880
612804,/,31319,52880
612805,/,26195,52880
612806,/,56165,52880
612807,/,26680,52880
612808,/,27500,52880
612809,/,100922,52880
612810,/,101534,19239
612811,/,19239,19236
612812,/,19239,19237
612813,/,133396,101534
612814,/,101534,133396
612815,/,133396,19236
612816,/,19236,133396
612817,/,133396,19238
612818,/,19238,133396
612819,/,133396,41463
612820,/,41463,133396
612821,/,133396,33327
612822,/,33327,133396
612823,/,133396,43481
612824,/,43481,133396
612825,/,133396,52184
612826,/,52184,133396
612827,/,133396,19239
612828,/,19239,133396
612829,/,19239,19238
612830,/,41463,33327
612831,/,33327,19238
612832,/,43481,19238
612833,/,52184,19239
612834,\,19236,19239
612835,\,133396,19239
612836,\,19237,19239
612837,\,19238,19239
612838,/,35191,34419
612839,/,32114,34419
612840,/,52154,34419
612841,\,97497,19241
612842,\,97497,19240
612843,/,19241,19244
612844,/,19242,19244
612845,/,19243,19244
612846,/,36022,19244
612847,\,19242,19245
612848,\,19243,19245
612849,\,36022,19245
612850,\,19244,19245
612851,\,33203,19245
612852,\,126660,19245
612853,/,20886,50586
612854,/,129892,50586
612855,/,45700,136027
612856,/,136027,45700
612857,/,45700,97504
612858,/,97504,45700
612859,\,58449,101563
612860,/,101569,35665
612861,/,21523,44454
612862,/,31599,44454
612863,/,121423,44454
612864,/,44454,26596
612865,/,26797,44454
612866,/,19262,19241
612867,/,101583,19241
612868,/,30866,19241
612869,/,19264,19241
612870,/,19268,45670
612871,/,45670,19268
612872,/,19269,19664
612873,/,19269,19271
612874,/,19275,19271
612875,/,19654,19271
612876,/,19270,35386
612877,\,34784,101603
612878,/,19269,55320
612879,/,19270,55320
612880,/,19271,55320
612881,/,101206,55320
612882,/,30699,55320
612883,/,35386,55320
612884,/,101603,55320
612885,/,97503,55320
612886,/,19273,55320
612887,/,45670,55320
612888,/,101605,55320
612889,/,19274,55320
612890,/,19275,55320
612891,/,19664,55320
612892,\,30762,19277
612893,\,30591,19277
612894,/,19278,19280
612895,/,101613,19278
612896,/,36125,19278
612897,/,48215,19278
612898,/,19282,19278
612899,/,29992,19278
612900,/,34406,19278
612901,/,101619,19278
612902,/,19283,19278
612903,/,20516,19278
612904,/,49244,19278
612905,/,101609,49244
612906,/,19280,49244
612907,/,101613,49244
612908,/,36125,49244
612909,/,48215,49244
612910,/,19282,49244
612911,/,29992,49244
612912,/,34406,49244
612913,/,101619,49244
612914,/,19283,49244
612915,\,29992,19280
612916,\,101619,19280
612917,\,19283,19280
612918,\,100069,19280
612919,\,136027,19281
612920,\,54063,19281
612921,\,51728,19281
612922,\,136027,97504
612923,\,28350,97504
612924,\,101607,97504
612925,\,37856,97504
612926,\,19277,97504
612927,\,19280,97504
612928,\,20024,97504
612929,\,54063,97504
612930,\,51728,97504
612931,\,136027,97505
612932,\,28350,97505
612933,\,101607,97505
612934,\,37856,97505
612935,\,19277,97505
612936,\,19280,97505
612937,\,20024,97505
612938,\,54063,97505
612939,\,51728,97505
612940,\,133212,133212
612941,\,53999,133212
612942,/,35079,19621
612943,/,22998,35079
612944,/,38973,35079
612945,/,99071,35079
612946,/,19645,42008
612947,/,49076,42008
612948,/,53397,42008
612949,/,22999,42008
612950,/,26340,29035
612951,/,46805,19780
612952,/,28882,46805
612953,/,28958,46805
612954,/,22043,46805
612955,/,56912,46805
612956,/,40988,46805
612957,/,57899,46805
612958,/,50089,46805
612959,/,55750,46805
612960,/,128820,46805
612961,/,19946,19291
612962,/,44480,19291
612963,/,31506,19293
612964,/,132180,19294
612965,/,49854,20112
612966,/,19296,41164
612967,/,19297,19296
612968,/,20270,19296
612969,/,20397,53258
612970,/,22051,53258
612971,/,26645,53258
612972,/,20430,19299
612973,/,21143,19299
612974,/,106824,19299
612975,/,23907,19299
612976,/,57986,19299
612977,/,55533,19299
612978,/,35935,43652
612979,/,37677,35000
612980,/,41454,52603
612981,/,108458,52603
612982,/,37584,22275
612983,/,38173,19301
612984,/,22277,19301
612985,/,20407,39600
612986,/,39600,22497
612987,/,24104,39600
612988,/,24362,39600
612989,/,24875,39600
612990,/,26202,39600
612991,/,50496,39600
612992,/,41101,39600
612993,/,57208,39600
612994,/,57208,44604
612995,/,57208,31631
612996,/,49721,19302
612997,/,22112,19302
612998,/,19302,22580
612999,/,58348,19302
613000,/,113886,19302
613001,/,31575,19302
613002,/,52988,19302
613003,/,37839,22678
613004,/,100087,37839
613005,/,22714,31485
613006,/,108174,31485
613007,/,22726,19306
613008,/,51733,19306
613009,/,47848,19309
613010,/,19765,19309
613011,/,21148,19309
613012,/,23055,19309
613013,/,119087,19309
613015,/,25862,19309
613016,/,47763,19309
301674,\,23211,132487
613019,/,98501,98500
613020,\,57615,133249
613021,\,19160,133208
613022,\,56991,133253
613023,\,19325,133212
613024,\,26339,133253
613025,\,19112,133208
613026,\,19121,133208
613027,\,57175,133208
613028,\,44162,133208
613029,\,97487,133208
613030,\,19123,133208
613031,\,19124,133208
613032,\,19127,133208
613033,\,19129,133208
613034,\,19141,133208
613035,\,19143,133208
613036,\,132177,133208
613037,\,19189,133208
613038,\,19190,133208
613039,\,19191,133208
613040,\,19193,133208
613041,\,50850,133208
613042,\,19194,133208
613043,\,132178,133208
613044,\,19284,133212
613045,\,55874,133212
613046,\,19293,133212
613047,\,53462,133212
613048,\,19310,133212
613049,\,32234,133212
613050,\,30490,133212
613051,\,19350,133212
613052,\,19353,133212
613053,\,132187,133212
613054,\,19357,133212
613055,\,19359,133212
613056,\,58062,133212
613057,\,19360,133212
613058,\,132188,133212
613059,\,19370,133212
613060,\,19433,133212
613061,\,97520,133212
613062,\,19434,133212
613063,\,19438,133212
613064,\,19440,133212
613065,\,39105,133212
613066,\,132201,133212
613067,\,19445,133212
613068,\,19446,133212
613069,\,19515,133212
613070,\,97534,133212
613071,\,97535,133212
613072,\,19517,133212
613073,\,133314,133212
613074,\,132213,133212
613075,\,56702,133212
613076,\,19522,133212
613077,\,19523,133212
613078,\,97536,133212
613079,\,37013,133212
613080,\,19527,133212
613081,\,36386,133212
613082,\,37500,133212
613083,\,19530,133212
613084,\,133213,133212
613085,\,22993,133233
613086,\,55870,133233
613087,\,44603,133233
613088,\,23000,133233
613089,\,23002,133233
613090,\,23003,133233
613091,\,23005,133233
613092,\,28608,133233
613093,\,98388,133233
613094,\,23007,133233
613095,\,55290,133233
613096,\,45189,133233
613097,\,23008,133233
613098,\,23009,133233
613099,\,23010,133233
613100,\,23011,133233
613101,\,23013,133233
613102,\,49060,133233
613103,\,23014,133233
613104,\,23055,133233
613105,\,98402,133233
613106,\,23057,133233
613107,\,23060,133233
613108,\,23061,133233
613109,\,23062,133233
613110,\,98405,133233
613111,\,23065,133233
613112,\,23066,133233
613113,\,56047,133233
613114,\,53025,133233
613115,\,98408,133233
613116,\,23067,133233
613117,\,23068,133233
613118,\,23070,133233
613119,\,56285,133233
613120,\,23074,133233
613121,\,23076,133233
613122,\,23077,133233
613123,\,23078,133233
613124,\,35643,133233
613125,\,23079,133233
613126,\,23081,133233
613127,\,39161,133233
613128,\,23083,133233
613129,\,23084,133233
613130,\,33249,133233
613131,\,23085,133233
613132,\,42192,133233
613133,\,35683,133233
613134,\,23086,133233
613135,\,44740,133233
613136,\,52557,133233
613137,\,98410,133233
613138,\,29547,133233
613139,\,36829,133233
613140,\,40237,133233
613141,\,37638,133233
613142,\,23087,133233
613143,\,40586,133233
613144,\,98413,133233
613145,\,33439,133233
613146,\,54785,133233
613147,\,98414,133233
613148,\,23088,133233
613149,\,23089,133233
613150,\,37619,133233
613151,\,132469,133233
613152,\,23091,133233
613153,\,132470,133233
613154,\,23094,133233
613155,\,23095,133233
613156,\,42641,133233
613157,\,132776,133233
613158,\,33306,133233
613159,\,52963,133233
613160,\,23202,133233
613161,\,23203,133233
613162,\,32933,133233
613163,\,49335,133221
613164,\,43140,133221
613165,\,20924,133221
613166,\,31810,133208
613167,\,132176,133208
613168,\,32798,133208
613169,\,24007,133236
613170,\,51123,133236
613171,\,98863,133236
613172,\,41668,133236
613173,\,32228,133236
613174,\,57493,133236
613175,\,24015,133236
613176,\,24016,133236
613177,\,51968,133236
613178,\,34564,133236
613179,\,24018,133236
613180,\,32085,133236
613181,\,34927,133236
613182,\,20268,133208
613183,\,35003,133208
613184,\,19311,133212
613185,\,38568,133212
613186,\,136042,133212
613187,\,132157,133212
613188,\,29296,133212
613189,\,19520,133212
613190,\,55319,133212
613191,\,19508,133212
613192,\,46963,133233
613193,\,98406,133233
613194,\,109829,133233
613195,\,109841,133233
613196,\,109884,133233
613197,\,98462,133233
613198,\,20926,133221
613199,\,27578,133259
613200,\,46027,133236
613201,\,55373,133236
613202,\,24135,133236
613203,\,24136,133236
613204,\,98948,133236
613205,\,98949,133236
613206,\,98950,133236
613207,\,24138,133236
613208,\,57006,133236
613209,\,29792,133236
613210,\,98953,133236
613211,\,29220,133236
613212,\,98954,133236
613213,\,98955,133236
613214,\,98956,133236
613215,\,98957,133236
613216,\,98958,133236
613217,\,41628,133236
613218,\,24140,133236
613219,\,24141,133236
613220,\,98959,133236
613221,\,24144,133236
613222,\,98963,133236
613223,\,24147,133236
613224,\,98964,133236
613225,\,98966,133236
613226,\,98994,133236
613227,\,24214,133236
613228,\,58330,133236
613229,\,24215,133236
613230,\,48655,133236
613231,\,46183,133236
613232,\,98996,133236
613233,\,24220,133236
613234,\,24221,133236
613235,\,24222,133236
613236,\,24223,133236
613237,\,24224,133236
613238,\,24225,133236
613239,\,24226,133236
613240,\,98999,133236
613241,\,24228,133236
613242,\,24242,133236
613243,\,24244,133236
613244,\,99018,133236
613245,\,24245,133236
613246,\,24246,133236
613247,\,24247,133236
613248,\,24437,133236
613249,\,50546,133236
613250,\,24438,133236
613251,\,24443,133236
613252,\,99114,133236
613253,\,53149,133236
613254,\,24165,133236
613255,\,24365,133241
613256,\,24366,133241
613257,\,24371,133241
613258,\,24373,133241
613259,\,24372,133241
613260,\,58358,133241
613261,\,24374,133241
613262,\,55810,133241
613263,\,40988,139133
613264,\,25419,139133
613265,\,28964,139133
613266,\,58004,139133
613267,\,25422,139133
613268,\,25424,139133
613269,\,99647,139133
613270,\,46271,139133
613271,\,51366,139133
613272,\,52434,139133
613273,\,132602,139133
613274,\,25482,139133
613275,\,25540,139133
613276,\,25843,133247
613277,\,52814,133247
613278,\,29784,133247
613279,\,57899,133247
613280,\,52256,133247
613281,\,32282,133247
613282,\,54778,133247
613283,\,53469,133247
613284,\,53331,133247
613285,\,49285,133247
613286,\,99913,133247
613287,\,25864,133247
613288,\,35156,133247
613289,\,54580,133247
613290,\,25882,133247
613291,\,25887,133247
613292,\,25888,133247
613293,\,37943,133247
613294,\,99930,133247
613295,\,52306,133247
613296,\,58303,133247
613297,\,47095,133247
613298,\,25954,133247
613299,\,25867,133247
613300,\,26150,133249
613301,\,26153,133249
613302,\,26156,133249
613303,\,39239,133250
613304,\,26264,133250
613305,\,26265,133250
613306,\,26266,133250
613307,\,133351,133250
613308,\,47918,133250
613309,\,26341,133253
613310,\,38372,133259
613311,\,27442,133259
613312,\,39728,133259
613313,\,31291,133259
613314,\,27443,133259
613315,\,33348,133259
613316,\,47747,133259
613317,\,27445,133259
613318,\,50679,133259
613319,\,57345,133259
613320,\,31508,133259
613321,\,27462,133259
613322,\,38366,133259
613323,\,27488,133259
613324,\,43729,133259
613325,\,58372,133259
613326,\,132728,133259
613327,\,53020,133259
613328,\,40349,133259
613329,\,27447,133259
613330,\,27448,133259
613331,\,27450,133259
613332,\,27452,133259
613333,\,43508,133259
613334,\,27464,133259
613335,\,43609,133259
613336,\,27466,133259
613337,\,37268,133259
613338,\,27509,133259
613339,\,100782,133261
613340,\,33016,133261
613341,\,31229,133261
613342,\,42731,133261
613343,\,27550,133261
613344,\,27552,133261
613345,\,100791,133261
613346,\,41344,133261
613347,\,133362,133261
613348,\,22387,133227
613349,\,22388,133227
613350,\,35136,133227
613351,\,22390,133227
613352,\,57520,133227
613353,\,22395,133227
613354,\,22397,133227
613355,\,22398,133227
613356,\,50498,133227
613357,\,22359,133227
613358,\,22361,133227
613359,\,22408,133227
613360,\,22409,133227
613361,\,22410,133227
613362,\,22411,133227
613363,\,57574,133227
613364,\,22419,133227
613365,\,21064,133226
613366,\,34945,133226
613367,\,21065,133226
613368,\,21069,133226
613369,\,21068,133226
613370,\,21071,133226
613371,\,21073,133226
613372,\,101471,133208
613373,\,101355,133208
613374,\,44176,133208
613375,\,37211,133208
613376,\,101358,133208
613377,\,43997,133208
613378,\,38253,133208
613379,\,101361,133208
613380,\,19111,133208
613381,\,53399,133208
613382,\,101362,133208
613383,\,52928,133208
613384,\,50487,133208
613385,\,133209,133208
613386,\,47705,133208
613387,\,101364,133208
613388,\,30904,133208
613389,\,28516,133208
613390,\,19114,133208
613391,\,43296,133208
613392,\,101378,133208
613393,\,101379,133208
613394,\,40524,133208
613395,\,47255,133208
613396,\,19122,133208
613397,\,47405,133208
613398,\,46866,133208
613399,\,43768,133208
613400,\,101383,133208
613401,\,28805,133208
613402,\,35398,133208
613403,\,19126,133208
613404,\,101384,133208
613405,\,41905,133208
613406,\,34014,133208
613407,\,101385,133208
613408,\,19128,133208
613409,\,39907,133208
613410,\,19142,133208
613411,\,47795,133208
613412,\,101410,133208
613413,\,19144,133208
613414,\,101411,133208
613415,\,54017,133208
613416,\,33290,133208
613417,\,57469,133208
613418,\,39381,133208
613419,\,49100,133208
613420,\,42323,133208
613421,\,132766,133208
613422,\,101412,133208
613423,\,19147,133208
613424,\,19149,133208
613425,\,46023,133208
613426,\,56367,133208
613427,\,40184,133208
613428,\,101413,133208
613429,\,19150,133208
613430,\,101470,133208
613431,\,19192,133208
613432,\,19195,133208
613433,\,40627,133208
613434,\,40566,133208
613435,\,49580,133208
613436,\,40258,133208
613437,\,46182,133208
613438,\,101473,133208
613439,\,101474,133208
613440,\,44996,133212
613441,\,46378,133212
613442,\,57482,133212
613443,\,48645,133212
613444,\,58265,133212
613445,\,40335,133212
613446,\,19285,133212
613447,\,35079,133212
613448,\,42008,133212
613449,\,19286,133212
613450,\,29035,133212
613451,\,19287,133212
613452,\,101626,133212
613453,\,19288,133212
613454,\,101629,133212
613455,\,101630,133212
613456,\,32671,133212
613457,\,101632,133212
613458,\,46805,133212
613459,\,101634,133212
613460,\,101635,133212
613461,\,19290,133212
613462,\,37410,133212
613463,\,19291,133212
613464,\,101636,133212
613465,\,19292,133212
613466,\,47006,133212
613467,\,101637,133212
613468,\,19294,133212
613469,\,132180,133212
613470,\,55776,133212
613471,\,101639,133212
613472,\,101640,133212
613473,\,48560,133212
613474,\,101642,133212
613475,\,49854,133212
613476,\,41164,133212
613477,\,101645,133212
613478,\,19295,133212
613479,\,101647,133212
613480,\,19296,133212
613481,\,19297,133212
613482,\,19298,133212
613483,\,101649,133212
613484,\,19309,133212
613485,\,46202,133212
613486,\,101664,133212
613487,\,101665,133212
613488,\,19313,133212
613489,\,32299,133212
613490,\,29778,133212
613491,\,101668,133212
613492,\,52325,133212
613493,\,29371,133212
613494,\,101718,133212
613495,\,101719,133212
613496,\,28676,133212
613497,\,19351,133212
613498,\,19352,133212
613499,\,29064,133212
613500,\,39380,133212
613501,\,50079,133212
613502,\,101722,133212
613503,\,32784,133212
613504,\,38183,133212
613505,\,50022,133212
613506,\,19354,133212
613507,\,49666,133212
613508,\,52303,133212
613509,\,101723,133212
613510,\,19355,133212
613511,\,54384,133212
613512,\,46858,133212
613513,\,29019,133212
613514,\,101731,133212
613515,\,19361,133212
613516,\,19362,133212
613517,\,43916,133212
613518,\,101733,133212
613519,\,19363,133212
613520,\,97510,133212
613521,\,101734,133212
613522,\,28530,133212
613523,\,132806,133212
613524,\,42790,133212
613525,\,101736,133212
613526,\,101737,133212
613527,\,19364,133212
613528,\,19365,133212
613529,\,19366,133212
613530,\,36592,133212
613531,\,101738,133212
613532,\,101739,133212
613533,\,55329,133212
613534,\,101744,133212
613535,\,97511,133212
613536,\,101746,133212
613537,\,101747,133212
613538,\,51619,133212
613539,\,42073,133212
613540,\,33982,133212
613541,\,101835,133212
613542,\,43843,133212
613543,\,53552,133212
613544,\,19435,133212
613545,\,132810,133212
613546,\,41595,133212
613547,\,101843,133212
613548,\,55089,133212
613549,\,132200,133212
613550,\,132811,133212
613551,\,101845,133212
613552,\,19437,133212
613553,\,42279,133212
613554,\,30837,133212
613555,\,38382,133212
613556,\,101849,133212
613557,\,101850,133212
613558,\,28960,133212
613559,\,101851,133212
613560,\,19442,133212
613561,\,101853,133212
613562,\,101854,133212
613563,\,47668,133212
613564,\,40148,133212
613565,\,43191,133212
613566,\,101855,133212
613567,\,101856,133212
613568,\,101857,133212
613569,\,132202,133212
613570,\,132212,133212
613571,\,19518,133212
613572,\,29421,133212
613573,\,101910,133212
613574,\,101911,133212
613575,\,101912,133212
613576,\,31715,133212
613577,\,19516,133212
613578,\,56220,133212
613579,\,101913,133212
613580,\,29946,133212
613581,\,19521,133212
613582,\,52220,133212
613583,\,29127,133212
613584,\,101915,133212
613585,\,46650,133212
613586,\,19524,133212
613587,\,48987,133212
613588,\,19525,133212
613589,\,19526,133212
613590,\,19528,133212
613591,\,101916,133212
613592,\,101917,133212
613593,\,53752,133212
613594,\,101918,133212
613595,\,101921,133212
613596,\,19529,133212
613597,\,101929,133212
613598,\,101930,133212
613599,\,19531,133212
613600,\,19532,133212
613601,\,109501,133233
613602,\,109502,133233
613603,\,56478,133233
613604,\,109503,133233
613605,\,109504,133233
613606,\,109505,133233
613607,\,109507,133233
613608,\,109508,133233
613609,\,109509,133233
613610,\,109511,133233
613611,\,109513,133233
613612,\,22994,133233
613613,\,109514,133233
613614,\,109515,133233
613615,\,22996,133233
613616,\,109518,133233
613617,\,46753,133233
613618,\,109519,133233
613619,\,22997,133233
613620,\,54760,133233
613621,\,109520,133233
613622,\,45940,133233
613623,\,109523,133233
613624,\,36654,133233
613625,\,53311,133233
613626,\,109524,133233
613627,\,109525,133233
613628,\,109527,133233
613629,\,22998,133233
613630,\,109530,133233
613631,\,42677,133233
613632,\,109531,133233
613633,\,98386,133233
613634,\,22999,133233
613635,\,109532,133233
613636,\,109533,133233
613637,\,109534,133233
613638,\,109535,133233
613639,\,109536,133233
613640,\,109537,133233
613641,\,46281,133233
613642,\,109538,133233
613643,\,109539,133233
613644,\,109540,133233
613645,\,23001,133233
613646,\,109541,133233
613647,\,109542,133233
613648,\,109543,133233
613649,\,109544,133233
613650,\,109545,133233
613651,\,109546,133233
613652,\,109547,133233
613653,\,98387,133233
613654,\,109550,133233
613655,\,109551,133233
613656,\,23004,133233
613657,\,109552,133233
613658,\,109553,133233
613659,\,109554,133233
613660,\,132929,133233
613661,\,109557,133233
613662,\,23006,133233
613663,\,109558,133233
613664,\,109563,133233
613665,\,29354,133233
613666,\,29260,133233
613667,\,109564,133233
613668,\,109566,133233
613669,\,109569,133233
613670,\,44480,133233
613671,\,132931,133233
613672,\,109571,133233
613673,\,109572,133233
613674,\,109573,133233
613675,\,109574,133233
613676,\,109575,133233
613677,\,43068,133233
613678,\,133325,133233
613679,\,109576,133233
613680,\,109577,133233
613681,\,109578,133233
613682,\,109579,133233
613683,\,109580,133233
613684,\,109581,133233
613685,\,109582,133233
613686,\,109583,133233
613687,\,109585,133233
613688,\,109586,133233
613689,\,109587,133233
613690,\,109588,133233
613691,\,23012,133233
613692,\,40537,133233
613693,\,109589,133233
613694,\,109591,133233
613695,\,109592,133233
613696,\,109593,133233
613697,\,109594,133233
613698,\,55483,133233
613699,\,57663,133233
613700,\,109595,133233
613701,\,50911,133233
613702,\,57658,133233
613703,\,109596,133233
613704,\,49162,133233
613705,\,109598,133233
613706,\,98390,133233
613707,\,43717,133233
613708,\,109756,133233
613709,\,37134,133233
613710,\,109758,133233
613711,\,109759,133233
613712,\,109760,133233
613713,\,98400,133233
613714,\,98401,133233
613715,\,109761,133233
613716,\,109762,133233
613717,\,109763,133233
613718,\,47200,133233
613719,\,109764,133233
613720,\,23058,133233
613721,\,109765,133233
613722,\,23059,133233
613723,\,98403,133233
613724,\,109768,133233
613725,\,109769,133233
613726,\,109770,133233
613727,\,98404,133233
613728,\,109771,133233
613729,\,109772,133233
613730,\,109773,133233
613731,\,109774,133233
613732,\,23063,133233
613733,\,109775,133233
613734,\,23064,133233
613735,\,55064,133233
613736,\,47318,133233
613737,\,109776,133233
613738,\,55907,133233
613739,\,98407,133233
613740,\,109795,133233
613741,\,51091,133233
613742,\,109797,133233
613743,\,109799,133233
613744,\,109801,133233
613745,\,109802,133233
613746,\,39031,133233
613747,\,109804,133233
613748,\,109805,133233
613749,\,109806,133233
613750,\,48186,133233
613751,\,109807,133233
613752,\,109808,133233
613753,\,109809,133233
613754,\,23069,133233
613755,\,109810,133233
613756,\,43848,133233
613757,\,109811,133233
613758,\,109812,133233
613759,\,109813,133233
613760,\,23071,133233
613761,\,109814,133233
613762,\,23072,133233
613763,\,47468,133233
613764,\,42230,133233
613765,\,23073,133233
613766,\,109815,133233
613767,\,109816,133233
613768,\,109817,133233
613769,\,44675,133233
613770,\,109818,133233
613771,\,109819,133233
613772,\,109820,133233
613773,\,132468,133233
613774,\,109822,133233
613775,\,109823,133233
613776,\,109825,133233
613777,\,109826,133233
613778,\,39611,133233
613779,\,109827,133233
613780,\,28632,133233
613781,\,109828,133233
613782,\,98409,133233
613783,\,23082,133233
613784,\,109830,133233
613785,\,36465,133233
613786,\,109831,133233
613787,\,109832,133233
613788,\,109833,133233
613789,\,109834,133233
613790,\,57155,133233
613791,\,109835,133233
613792,\,45464,133233
613793,\,46522,133233
613794,\,109836,133233
613795,\,109837,133233
613796,\,109838,133233
613797,\,109839,133233
613798,\,46239,133233
613799,\,109847,133233
613800,\,109848,133233
613801,\,109849,133233
613802,\,109850,133233
613803,\,109851,133233
613804,\,109853,133233
613805,\,53097,133233
613806,\,109854,133233
613807,\,109855,133233
613808,\,109856,133233
613809,\,109857,133233
613810,\,139053,133233
613811,\,109859,133233
613812,\,109860,133233
613813,\,109861,133233
613814,\,109862,133233
613815,\,98412,133233
613816,\,109865,133233
613817,\,109866,133233
613818,\,109867,133233
613819,\,37343,133233
613820,\,109868,133233
613821,\,109869,133233
613822,\,45673,133233
613823,\,109870,133233
613824,\,109871,133233
613825,\,109872,133233
613826,\,109873,133233
613827,\,109874,133233
613828,\,109875,133233
613829,\,54685,133233
613830,\,109876,133233
613831,\,109879,133233
613832,\,109880,133233
613833,\,23093,133233
613834,\,42179,133233
613835,\,40932,133233
613836,\,98415,133233
613837,\,98416,133233
613838,\,109883,133233
613839,\,136740,133233
613840,\,109885,133233
613841,\,109886,133233
613842,\,109888,133233
613843,\,23096,133233
613844,\,45632,133233
613845,\,110200,133233
613846,\,110201,133233
613847,\,110202,133233
613848,\,110203,133233
613849,\,57165,133233
613850,\,23201,133233
613851,\,110210,133233
613852,\,110211,133233
613853,\,44269,133233
613854,\,58266,133233
613855,\,110212,133233
613856,\,110214,133233
613857,\,110215,133233
613858,\,110216,133233
613859,\,110218,133233
613860,\,110219,133233
613861,\,110220,133233
613862,\,50943,133233
613863,\,110222,133233
613864,\,110223,133233
613865,\,110224,133233
613866,\,98463,133233
613867,\,98463,133247
613868,\,30760,133247
613869,\,43046,133247
613870,\,120897,133247
613871,\,33203,133247
613872,\,99884,133247
613873,\,31477,133247
613874,\,120898,133247
613875,\,40126,133247
613876,\,38428,133247
613877,\,120899,133247
613878,\,37762,133247
613879,\,37762,133212
613880,\,42992,133247
613881,\,42992,133212
613882,\,120900,133247
613883,\,120902,133247
613884,\,120903,133247
613885,\,120904,133247
613886,\,42332,133247
613887,\,57284,133247
613888,\,120906,133247
613889,\,120907,133247
613890,\,99886,133247
613891,\,120908,133247
613892,\,43293,133247
613893,\,120909,133247
613894,\,120910,133247
613895,\,120912,133247
613896,\,48144,133247
613897,\,120913,133247
613898,\,120914,133247
613899,\,120915,133247
613900,\,120916,133247
613901,\,51743,133247
613902,\,40339,133247
613903,\,120917,133247
613904,\,54584,133247
613905,\,39022,133247
613906,\,120918,133247
613907,\,35706,133247
613908,\,120919,133247
613909,\,120920,133247
613910,\,54296,133247
613911,\,120921,133247
613912,\,37510,133247
613913,\,49937,133247
613914,\,50291,133247
613915,\,99887,133247
613916,\,45399,133247
613917,\,120922,133247
613918,\,120923,133247
613919,\,30512,133247
613920,\,31084,133247
613921,\,120926,133247
613922,\,25862,133247
613923,\,121031,133247
613924,\,121032,133247
613925,\,121033,133247
613926,\,121034,133247
613927,\,121036,133247
613928,\,31066,133247
613929,\,33374,133247
613930,\,34286,133247
613931,\,121039,133247
613932,\,132627,133247
613933,\,121041,133247
613934,\,121042,133247
613935,\,99910,133247
613936,\,121043,133247
613937,\,121044,133247
613938,\,121045,133247
613939,\,121047,133247
613940,\,121048,133247
613941,\,121049,133247
613942,\,121050,133247
