"TYPE","SOURCE","TARGET","W_SOURCE","W_TARGET"
">","v#01280594","v#01280508","",""
">","v#01269636","v#01270990","",""
">","v#01268695","v#01273498","",""
">","v#01263706","v#01249365","",""
">","v#01261786","v#01298374","",""
">","v#00013442","v#00009805","",""
">","v#01258783","v#01253107","",""
">","v#01252772","v#01252601","",""
">","v#01240452","v#01236040","",""
">","v#01239708","v#01212998","",""
">","v#01238865","v#01213205","",""
">","v#01238865","v#01213391","",""
">","v#01237834","v#00583538","",""
">","v#00014590","v#00009805","",""
">","v#01237403","v#01237013","",""
">","v#01237116","v#01237297","",""
">","v#01236227","v#01237680","",""
">","v#01233464","v#00293860","",""
">","v#01226612","v#01226464","",""
">","v#01225491","v#01225618","",""
">","v#01224803","v#01224697","",""
">","v#01224008","v#01224912","",""
">","v#01222491","v#01223486","",""
">","v#01221816","v#01210505","",""
">","v#01221710","v#01206123","",""
">","v#01219920","v#01220411","",""
">","v#01217082","v#01217265","",""
">","v#01214618","v#01215448","",""
">","v#01210676","v#01210505","",""
">","v#01206630","v#01209074","",""
">","v#01205112","v#01205957","",""
">","v#01176015","v#01175887","",""
">","v#00017738","v#00018458","",""
">","v#01135260","v#01135163","",""
">","v#01129019","v#00235191","",""
">","v#00018031","v#00018644","",""
">","v#01128460","v#00235191","",""
">","v#01103545","v#01103444","",""
">","v#01076442","v#01076294","",""
">","v#01073112","v#01073802","",""
">","v#01064709","v#01064160","",""
">","v#01063016","v#01064888","",""
">","v#01062571","v#01061911","",""
">","v#01015949","v#01016520","",""
">","v#01000605","v#01000439","",""
">","v#00938424","v#01395145","",""
">","v#00938146","v#00937788","",""
">","v#00928943","v#00929232","",""
">","v#00920424","v#00921157","",""
">","v#00919962","v#00921313","",""
">","v#00919360","v#00919225","",""
">","v#00915832","v#00919067","",""
">","v#00903723","v#00250254","",""
">","v#00885494","v#00881672","",""
">","v#00884615","v#00881999","",""
">","v#00883915","v#00883766","",""
">","v#00857882","v#01341375","",""
">","v#00816880","v#00817136","",""
">","v#00807505","v#00807650","",""
">","v#00801099","v#00794578","",""
">","v#00795500","v#00795711","",""
">","v#00788109","v#01826205","",""
">","v#00784705","v#01261992","",""
">","v#00769883","v#00770206","",""
">","v#00755028","v#00753559","",""
">","v#00658752","v#00659045","",""
">","v#00655894","v#00656764","",""
">","v#00634658","v#00633716","",""
">","v#00632077","v#00633716","",""
">","v#00583375","v#00022398","",""
">","v#00582994","v#00582840","",""
">","v#00577163","v#01612822","",""
">","v#00563274","v#00404146","",""
">","v#00562446","v#00403772","",""
">","v#00472835","v#00471542","",""
">","v#00412961","v#00410666","",""
">","v#00411656","v#00411760","",""
">","v#00407541","v#00407401","",""
">","v#00406271","v#00406072","",""
">","v#00399709","v#00397666","",""
">","v#00399493","v#00397666","",""
">","v#00395938","v#00395807","",""
">","v#00377600","v#00377769","",""
">","v#00376671","v#00376518","",""
">","v#00349285","v#00349174","",""
">","v#00349043","v#00348938","",""
">","v#00330720","v#00330961","",""
">","v#00327278","v#00327120","",""
">","v#00322518","v#00322396","",""
">","v#00320830","v#00320978","",""
">","v#00320487","v#00320369","",""
">","v#00317807","v#01414286","",""
">","v#00315864","v#00315280","",""
">","v#00313984","v#00313029","",""
">","v#00312214","v#00311485","",""
">","v#00311784","v#00311612","",""
">","v#00311317","v#00309849","",""
">","v#00310972","v#00310783","",""
">","v#00309646","v#00309461","",""
">","v#00300448","v#00300319","",""
">","v#00299862","v#00300201","",""
">","v#00293010","v#00293275","",""
">","v#00291365","v#00291205","",""
">","v#00290032","v#00290685","",""
">","v#00289432","v#00289607","",""
">","v#00272277","v#00272165","",""
">","v#00269963","v#00269813","",""
">","v#00268049","v#00267598","",""
">","v#00262285","v#00260887","",""
">","v#00261276","v#00261606","",""
">","v#00259713","v#00258521","",""
">","v#00259088","v#00259859","",""
">","v#00258652","v#00258213","",""
">","v#00255269","v#00255423","",""
">","v#00252877","v#00252740","",""
">","v#00246253","v#01779664","",""
">","v#00242403","v#01778989","",""
">","v#00221402","v#00164533","",""
">","v#00220504","v#00219507","",""
">","v#00220373","v#00220272","",""
">","v#00219644","v#00219370","",""
">","v#00218668","v#00219109","",""
">","v#00218465","v#00218299","",""
">","v#00217890","v#00218146","",""
">","v#00216677","v#00215001","",""
">","v#00216484","v#00216222","",""
">","v#00215332","v#00216063","",""
">","v#00211930","v#00211486","",""
">","v#00209671","v#00209493","",""
">","v#00207661","v#01815328","",""
">","v#00193498","v#00192676","",""
">","v#00185374","v#00185374","",""
">","v#00184403","v#01249365","",""
">","v#00181884","v#00181629","",""
">","v#00176545","v#00176104","",""
">","v#00175935","v#00175388","",""
">","v#00175268","v#00179555","",""
">","v#00174378","v#00173956","",""
">","v#00173827","v#00173705","",""
">","v#00173224","v#00158081","",""
">","v#00173224","v#00172114","",""
">","v#00170582","v#00170483","",""
">","v#00170328","v#00169382","",""
">","v#00167804","v#00158819","",""
">","v#00164725","v#00164388","",""
">","v#00155596","v#00155084","",""
">","v#00153724","v#00152756","",""
">","v#00150780","v#00150444","",""
">","v#00149082","v#00149731","",""
">","v#00140937","v#00140363","",""
">","v#00138658","v#00138909","",""
">","v#00097065","v#00094964","",""
">","v#00083947","v#00074063","",""
">","v#00068375","v#00067743","",""
">","v#00066451","v#00016821","",""
">","v#00053789","v#00002143","",""
">","v#00052062","v#00052840","",""
">","v#00051406","v#00051279","",""
">","v#00045186","v#01452083","",""
">","v#00039309","v#00039057","",""
"!","v#00027257","v#01199575","m9604","b9257"
"!","v#00331414","v#01720230","b9257","m9604"
"!","v#01720230","v#00331414","m9604","b9257"
"!","v#01760469","v#00007023","b9257","m9604"
"!","v#00007023","v#01760469","m9604","b9257"
"!","v#01760469","v#01785226","b9257","m9604"
"!","v#01785226","v#01760469","m9604","b9257"
"!","v#01760469","v#00027257","b9257","m9604"
"!","v#00027257","v#01760469","m9604","b9257"
"!","v#01760469","v#01721982","b9257","m9604"
"!","v#01721982","v#01760469","m9604","b9257"
"!","v#01760469","v#00008958","b9257","m9604"
"!","v#00008958","v#01760469","m9604","b9257"
"!","v#01760469","v#01850598","b9257","m9604"
"!","v#01850598","v#01760469","m9604","b9257"
"!","v#01760469","v#01746118","b9257","m9604"
"!","v#01746118","v#01760469","m9604","b9257"
"!","v#01760469","v#01130277","b9257","m9604"
"!","v#01130277","v#01760469","m9604","b9257"
"!","v#01760469","v#01747342","b9257","m9604"
"!","v#01747342","v#01760469","m9604","b9257"
"!","v#01760469","v#00069684","b9257","m9604"
"!","v#00069684","v#01760469","m9604","b9257"
"!","v#01760469","v#01113245","b9257","m9604"
"!","v#01113245","v#01760469","m9604","b9257"
"!","v#01760469","v#01751275","b9257","m9604"
"!","v#01751275","v#01760469","m9604","b9257"
"!","v#01760469","v#01173875","b9257","m9604"
"!","v#01173875","v#01760469","m9604","b9257"
"!","v#01760469","v#01713759","b9257","m9604"
"!","v#01713759","v#01760469","m9604","b9257"
"!","v#01760469","v#01257604","b9257","m9604"
"!","v#01257604","v#01760469","m9604","b9257"
"!","v#01760469","v#01879916","b9257","m9604"
"!","v#01879916","v#01760469","m9604","b9257"
"!","v#01760469","v#01821274","b9257","m9604"
"!","v#01821274","v#01760469","m9604","b9257"
"!","v#01760469","v#01177316","b9257","m9604"
"!","v#01177316","v#01760469","m9604","b9257"
"!","v#01760469","v#01177668","b9257","m9604"
"!","v#01177668","v#01760469","m9604","b9257"
"!","v#01760469","v#01612822","b9257","m9604"
"!","v#01612822","v#01760469","m9604","b9257"
"!","v#01760469","v#01178748","b9257","m9604"
"!","v#01178748","v#01760469","m9604","b9257"
"!","v#01760469","v#00741672","b9257","m9604"
"!","v#00741672","v#01760469","m9604","b9257"
"!","v#01760469","v#01720230","b9257","m9604"
"!","v#01720230","v#01760469","m9604","b9257"
"!","v#01679448","v#00007023","b9257","m9604"
"!","v#00007023","v#01679448","m9604","b9257"
"!","v#01679448","v#01785226","b9257","m9604"
"!","v#01785226","v#01679448","m9604","b9257"
"!","v#01679448","v#00027257","b9257","m9604"
"!","v#00027257","v#01679448","m9604","b9257"
"!","v#01679448","v#01721982","b9257","m9604"
"!","v#01721982","v#01679448","m9604","b9257"
"!","v#01679448","v#00008958","b9257","m9604"
"!","v#00008958","v#01679448","m9604","b9257"
"!","v#01679448","v#01850598","b9257","m9604"
"!","v#01850598","v#01679448","m9604","b9257"
"!","v#01679448","v#01746118","b9257","m9604"
"!","v#01746118","v#01679448","m9604","b9257"
"!","v#01679448","v#01130277","b9257","m9604"
"!","v#01130277","v#01679448","m9604","b9257"
"!","v#01679448","v#01747342","b9257","m9604"
"!","v#01747342","v#01679448","m9604","b9257"
"!","v#01679448","v#00069684","b9257","m9604"
"!","v#00069684","v#01679448","m9604","b9257"
"!","v#01679448","v#01113245","b9257","m9604"
"!","v#01113245","v#01679448","m9604","b9257"
"!","v#01679448","v#01751275","b9257","m9604"
"!","v#01751275","v#01679448","m9604","b9257"
"!","v#01679448","v#01173875","b9257","m9604"
"!","v#01173875","v#01679448","m9604","b9257"
"!","v#01679448","v#01713759","b9257","m9604"
"!","v#01713759","v#01679448","m9604","b9257"
"!","v#01679448","v#01257604","b9257","m9604"
"!","v#01257604","v#01679448","m9604","b9257"
"!","v#01679448","v#01879916","b9257","m9604"
"!","v#01879916","v#01679448","m9604","b9257"
"!","v#01679448","v#01821274","b9257","m9604"
"!","v#01821274","v#01679448","m9604","b9257"
"!","v#01679448","v#01177316","b9257","m9604"
"!","v#01177316","v#01679448","m9604","b9257"
"!","v#01679448","v#01177668","b9257","m9604"
"!","v#01177668","v#01679448","m9604","b9257"
"!","v#01679448","v#01612822","b9257","m9604"
"!","v#01612822","v#01679448","m9604","b9257"
"!","v#01679448","v#01178748","b9257","m9604"
"!","v#01178748","v#01679448","m9604","b9257"
"!","v#01679448","v#00741672","b9257","m9604"
"!","v#00741672","v#01679448","m9604","b9257"
"!","v#01679448","v#01720230","b9257","m9604"
"!","v#01720230","v#01679448","m9604","b9257"
"!","v#00495544","v#00007023","b9257","m9604"
"!","v#00007023","v#00495544","m9604","b9257"
"!","v#00495544","v#01785226","b9257","m9604"
"!","v#01785226","v#00495544","m9604","b9257"
"!","v#00495544","v#00027257","b9257","m9604"
"!","v#00027257","v#00495544","m9604","b9257"
"!","v#00495544","v#01721982","b9257","m9604"
"!","v#01721982","v#00495544","m9604","b9257"
"!","v#00495544","v#00008958","b9257","m9604"
"!","v#00008958","v#00495544","m9604","b9257"
"!","v#00495544","v#01850598","b9257","m9604"
"!","v#01850598","v#00495544","m9604","b9257"
"!","v#00495544","v#01746118","b9257","m9604"
"!","v#01746118","v#00495544","m9604","b9257"
"!","v#00495544","v#01130277","b9257","m9604"
"!","v#01130277","v#00495544","m9604","b9257"
"!","v#00495544","v#01747342","b9257","m9604"
"!","v#01747342","v#00495544","m9604","b9257"
"!","v#00495544","v#00069684","b9257","m9604"
"!","v#00069684","v#00495544","m9604","b9257"
"!","v#00495544","v#01113245","b9257","m9604"
"!","v#01113245","v#00495544","m9604","b9257"
"!","v#00495544","v#01751275","b9257","m9604"
"!","v#01751275","v#00495544","m9604","b9257"
"!","v#00495544","v#01173875","b9257","m9604"
"!","v#01173875","v#00495544","m9604","b9257"
"!","v#00495544","v#01713759","b9257","m9604"
"!","v#01713759","v#00495544","m9604","b9257"
"!","v#00495544","v#01257604","b9257","m9604"
"!","v#01257604","v#00495544","m9604","b9257"
"!","v#00495544","v#01879916","b9257","m9604"
"!","v#01879916","v#00495544","m9604","b9257"
"!","v#00495544","v#01821274","b9257","m9604"
"!","v#01821274","v#00495544","m9604","b9257"
"!","v#00495544","v#01177316","b9257","m9604"
"!","v#01177316","v#00495544","m9604","b9257"
"!","v#00495544","v#01177668","b9257","m9604"
"!","v#01177668","v#00495544","m9604","b9257"
"!","v#00495544","v#01612822","b9257","m9604"
"!","v#01612822","v#00495544","m9604","b9257"
"!","v#00495544","v#01178748","b9257","m9604"
"!","v#01178748","v#00495544","m9604","b9257"
"!","v#00495544","v#00741672","b9257","m9604"
"!","v#00741672","v#00495544","m9604","b9257"
"!","v#00495544","v#01720230","b9257","m9604"
"!","v#01720230","v#00495544","m9604","b9257"
"!","v#01126333","v#00007023","b9257","m9604"
"!","v#00007023","v#01126333","m9604","b9257"
"!","v#01126333","v#01785226","b9257","m9604"
"!","v#01785226","v#01126333","m9604","b9257"
"!","v#01126333","v#00027257","b9257","m9604"
"!","v#00027257","v#01126333","m9604","b9257"
"!","v#01126333","v#01721982","b9257","m9604"
"!","v#01721982","v#01126333","m9604","b9257"
"!","v#01126333","v#00008958","b9257","m9604"
"!","v#00008958","v#01126333","m9604","b9257"
"!","v#01126333","v#01850598","b9257","m9604"
"!","v#01850598","v#01126333","m9604","b9257"
"!","v#01126333","v#01746118","b9257","m9604"
"!","v#01746118","v#01126333","m9604","b9257"
"!","v#01126333","v#01130277","b9257","m9604"
"!","v#01130277","v#01126333","m9604","b9257"
"!","v#01126333","v#01747342","b9257","m9604"
"!","v#01747342","v#01126333","m9604","b9257"
"!","v#01126333","v#00069684","b9257","m9604"
"!","v#00069684","v#01126333","m9604","b9257"
"!","v#01126333","v#01113245","b9257","m9604"
"!","v#01113245","v#01126333","m9604","b9257"
"!","v#01126333","v#01751275","b9257","m9604"
"!","v#01751275","v#01126333","m9604","b9257"
"!","v#01126333","v#01173875","b9257","m9604"
"!","v#01173875","v#01126333","m9604","b9257"
"!","v#01126333","v#01713759","b9257","m9604"
"!","v#01713759","v#01126333","m9604","b9257"
"!","v#01126333","v#01257604","b9257","m9604"
"!","v#01257604","v#01126333","m9604","b9257"
"!","v#01126333","v#01879916","b9257","m9604"
"!","v#01879916","v#01126333","m9604","b9257"
"!","v#01126333","v#01821274","b9257","m9604"
"!","v#01821274","v#01126333","m9604","b9257"
"!","v#01126333","v#01177316","b9257","m9604"
"!","v#01177316","v#01126333","m9604","b9257"
"!","v#01126333","v#01177668","b9257","m9604"
"!","v#01177668","v#01126333","m9604","b9257"
"!","v#01126333","v#01612822","b9257","m9604"
"!","v#01612822","v#01126333","m9604","b9257"
"!","v#01126333","v#01178748","b9257","m9604"
"!","v#01178748","v#01126333","m9604","b9257"
"!","v#01126333","v#00741672","b9257","m9604"
"!","v#00741672","v#01126333","m9604","b9257"
"!","v#01126333","v#01720230","b9257","m9604"
"!","v#01720230","v#01126333","m9604","b9257"
"!","v#01357411","v#00007023","b9257","m9604"
"!","v#00007023","v#01357411","m9604","b9257"
"!","v#01357411","v#01785226","b9257","m9604"
"!","v#01785226","v#01357411","m9604","b9257"
"!","v#01357411","v#00027257","b9257","m9604"
"!","v#00027257","v#01357411","m9604","b9257"
"!","v#01357411","v#01721982","b9257","m9604"
"!","v#01721982","v#01357411","m9604","b9257"
"!","v#01357411","v#00008958","b9257","m9604"
"!","v#00008958","v#01357411","m9604","b9257"
"!","v#01357411","v#01850598","b9257","m9604"
"!","v#01850598","v#01357411","m9604","b9257"
"!","v#01357411","v#01746118","b9257","m9604"
"!","v#01746118","v#01357411","m9604","b9257"
"!","v#01357411","v#01130277","b9257","m9604"
"!","v#01130277","v#01357411","m9604","b9257"
"!","v#01357411","v#01747342","b9257","m9604"
"!","v#01747342","v#01357411","m9604","b9257"
"!","v#01357411","v#00069684","b9257","m9604"
"!","v#00069684","v#01357411","m9604","b9257"
"!","v#01357411","v#01113245","b9257","m9604"
"!","v#01113245","v#01357411","m9604","b9257"
"!","v#01357411","v#01751275","b9257","m9604"
"!","v#01751275","v#01357411","m9604","b9257"
"!","v#01357411","v#01173875","b9257","m9604"
"!","v#01173875","v#01357411","m9604","b9257"
"!","v#01357411","v#01713759","b9257","m9604"
"!","v#01713759","v#01357411","m9604","b9257"
"!","v#01357411","v#01257604","b9257","m9604"
"!","v#01257604","v#01357411","m9604","b9257"
"!","v#01357411","v#01879916","b9257","m9604"
"!","v#01879916","v#01357411","m9604","b9257"
"!","v#01357411","v#01821274","b9257","m9604"
"!","v#01821274","v#01357411","m9604","b9257"
"!","v#01357411","v#01177316","b9257","m9604"
"!","v#01177316","v#01357411","m9604","b9257"
"!","v#01357411","v#01177668","b9257","m9604"
"!","v#01177668","v#01357411","m9604","b9257"
"!","v#01357411","v#01612822","b9257","m9604"
"!","v#01612822","v#01357411","m9604","b9257"
"!","v#01357411","v#01178748","b9257","m9604"
"!","v#01178748","v#01357411","m9604","b9257"
"!","v#01357411","v#00741672","b9257","m9604"
"!","v#00741672","v#01357411","m9604","b9257"
"!","v#01357411","v#01720230","b9257","m9604"
"!","v#01720230","v#01357411","m9604","b9257"
"!","v#00007023","v#00007023","b9257","m9604"
"!","v#00007023","v#01721982","b9257","m9604"
"!","v#01721982","v#00007023","m9604","b9257"
"!","v#00007023","v#00008958","b9257","m9604"
"!","v#00008958","v#00007023","m9604","b9257"
"!","v#00007023","v#01850598","b9257","m9604"
"!","v#01850598","v#00007023","m9604","b9257"
"!","v#00007023","v#01130277","b9257","m9604"
"!","v#01130277","v#00007023","m9604","b9257"
"!","v#00007023","v#00069684","b9257","m9604"
"!","v#00069684","v#00007023","m9604","b9257"
"!","v#00007023","v#01713759","b9257","m9604"
"!","v#01713759","v#00007023","m9604","b9257"
"!","v#00007023","v#01879916","b9257","m9604"
"!","v#01879916","v#00007023","m9604","b9257"
"!","v#00007023","v#01177316","b9257","m9604"
"!","v#01177316","v#00007023","m9604","b9257"
"!","v#00007023","v#01177668","b9257","m9604"
"!","v#01177668","v#00007023","m9604","b9257"
"!","v#00007023","v#01612822","b9257","m9604"
"!","v#01612822","v#00007023","m9604","b9257"
"!","v#00007023","v#01178748","b9257","m9604"
"!","v#01178748","v#00007023","m9604","b9257"
"!","v#00007023","v#00741672","b9257","m9604"
"!","v#00741672","v#00007023","m9604","b9257"
"!","v#01199575","v#00007023","b9257","m9604"
"!","v#00007023","v#01199575","m9604","b9257"
"!","v#01199575","v#01785226","b9257","m9604"
"!","v#01785226","v#01199575","m9604","b9257"
"!","v#01199575","v#00027257","b9257","m9604"
"!","v#01199575","v#01721982","b9257","m9604"
"!","v#01721982","v#01199575","m9604","b9257"
"!","v#01199575","v#00008958","b9257","m9604"
"!","v#00008958","v#01199575","m9604","b9257"
"!","v#01199575","v#01850598","b9257","m9604"
"!","v#01850598","v#01199575","m9604","b9257"
"!","v#01199575","v#01746118","b9257","m9604"
"!","v#01746118","v#01199575","m9604","b9257"
"!","v#01199575","v#01130277","b9257","m9604"
"!","v#01130277","v#01199575","m9604","b9257"
"!","v#01199575","v#01747342","b9257","m9604"
"!","v#01747342","v#01199575","m9604","b9257"
"!","v#01199575","v#00069684","b9257","m9604"
"!","v#00069684","v#01199575","m9604","b9257"
"!","v#01199575","v#01113245","b9257","m9604"
"!","v#01113245","v#01199575","m9604","b9257"
"!","v#01199575","v#01751275","b9257","m9604"
"!","v#01751275","v#01199575","m9604","b9257"
"!","v#01199575","v#01173875","b9257","m9604"
"!","v#01173875","v#01199575","m9604","b9257"
"!","v#01199575","v#01713759","b9257","m9604"
"!","v#01713759","v#01199575","m9604","b9257"
"!","v#01199575","v#01257604","b9257","m9604"
"!","v#01257604","v#01199575","m9604","b9257"
"!","v#01199575","v#01879916","b9257","m9604"
"!","v#01879916","v#01199575","m9604","b9257"
"!","v#01199575","v#01821274","b9257","m9604"
"!","v#01821274","v#01199575","m9604","b9257"
"!","v#01199575","v#01177316","b9257","m9604"
"!","v#01177316","v#01199575","m9604","b9257"
"!","v#01199575","v#01177668","b9257","m9604"
"!","v#01177668","v#01199575","m9604","b9257"
"!","v#01199575","v#01612822","b9257","m9604"
"!","v#01612822","v#01199575","m9604","b9257"
"!","v#01199575","v#01178748","b9257","m9604"
"!","v#01178748","v#01199575","m9604","b9257"
"!","v#01199575","v#00741672","b9257","m9604"
"!","v#00741672","v#01199575","m9604","b9257"
"!","v#01199575","v#01720230","b9257","m9604"
"!","v#01720230","v#01199575","m9604","b9257"
"!","v#01199881","v#00007023","b9257","m9604"
"!","v#00007023","v#01199881","m9604","b9257"
"!","v#01199881","v#01785226","b9257","m9604"
"!","v#01785226","v#01199881","m9604","b9257"
"!","v#01199881","v#00027257","b9257","m9604"
"!","v#00027257","v#01199881","m9604","b9257"
"!","v#01199881","v#01721982","b9257","m9604"
"!","v#01721982","v#01199881","m9604","b9257"
"!","v#01199881","v#00008958","b9257","m9604"
"!","v#00008958","v#01199881","m9604","b9257"
"!","v#01199881","v#01850598","b9257","m9604"
"!","v#01850598","v#01199881","m9604","b9257"
"!","v#01199881","v#01746118","b9257","m9604"
"!","v#01746118","v#01199881","m9604","b9257"
"!","v#01199881","v#01130277","b9257","m9604"
"!","v#01130277","v#01199881","m9604","b9257"
"!","v#01199881","v#01747342","b9257","m9604"
"!","v#01747342","v#01199881","m9604","b9257"
"!","v#01199881","v#00069684","b9257","m9604"
"!","v#00069684","v#01199881","m9604","b9257"
"!","v#01199881","v#01113245","b9257","m9604"
"!","v#01113245","v#01199881","m9604","b9257"
"!","v#01199881","v#01751275","b9257","m9604"
"!","v#01751275","v#01199881","m9604","b9257"
"!","v#01199881","v#01173875","b9257","m9604"
"!","v#01173875","v#01199881","m9604","b9257"
"!","v#01199881","v#01713759","b9257","m9604"
"!","v#01713759","v#01199881","m9604","b9257"
"!","v#01199881","v#01257604","b9257","m9604"
"!","v#01257604","v#01199881","m9604","b9257"
"!","v#01199881","v#01879916","b9257","m9604"
"!","v#01879916","v#01199881","m9604","b9257"
"!","v#01199881","v#01821274","b9257","m9604"
"!","v#01821274","v#01199881","m9604","b9257"
"!","v#01199881","v#01177316","b9257","m9604"
"!","v#01177316","v#01199881","m9604","b9257"
"!","v#01199881","v#01177668","b9257","m9604"
"!","v#01177668","v#01199881","m9604","b9257"
"!","v#01199881","v#01612822","b9257","m9604"
"!","v#01612822","v#01199881","m9604","b9257"
"!","v#01199881","v#01178748","b9257","m9604"
"!","v#01178748","v#01199881","m9604","b9257"
"!","v#01199881","v#00741672","b9257","m9604"
"!","v#00741672","v#01199881","m9604","b9257"
"!","v#01199881","v#01720230","b9257","m9604"
"!","v#01720230","v#01199881","m9604","b9257"
"!","v#00007992","v#00007023","b9257","m9604"
"!","v#00007023","v#00007992","m9604","b9257"
"!","v#00007992","v#01785226","b9257","m9604"
"!","v#01785226","v#00007992","m9604","b9257"
"!","v#00007992","v#00027257","b9257","m9604"
"!","v#00027257","v#00007992","m9604","b9257"
"!","v#00007992","v#01721982","b9257","m9604"
"!","v#01721982","v#00007992","m9604","b9257"
"!","v#00007992","v#00008958","b9257","m9604"
"!","v#00008958","v#00007992","m9604","b9257"
"!","v#00007992","v#01850598","b9257","m9604"
"!","v#01850598","v#00007992","m9604","b9257"
"!","v#00007992","v#01746118","b9257","m9604"
"!","v#01746118","v#00007992","m9604","b9257"
"!","v#00007992","v#01130277","b9257","m9604"
"!","v#01130277","v#00007992","m9604","b9257"
"!","v#00007992","v#01747342","b9257","m9604"
"!","v#01747342","v#00007992","m9604","b9257"
"!","v#00007992","v#00069684","b9257","m9604"
"!","v#00069684","v#00007992","m9604","b9257"
"!","v#00007992","v#01113245","b9257","m9604"
"!","v#01113245","v#00007992","m9604","b9257"
"!","v#00007992","v#01751275","b9257","m9604"
"!","v#01751275","v#00007992","m9604","b9257"
"!","v#00007992","v#01173875","b9257","m9604"
"!","v#01173875","v#00007992","m9604","b9257"
"!","v#00007992","v#01713759","b9257","m9604"
"!","v#01713759","v#00007992","m9604","b9257"
"!","v#00007992","v#01257604","b9257","m9604"
"!","v#01257604","v#00007992","m9604","b9257"
"!","v#00007992","v#01879916","b9257","m9604"
"!","v#01879916","v#00007992","m9604","b9257"
"!","v#00007992","v#01821274","b9257","m9604"
"!","v#01821274","v#00007992","m9604","b9257"
"!","v#00007992","v#01177316","b9257","m9604"
"!","v#01177316","v#00007992","m9604","b9257"
"!","v#00007992","v#01177668","b9257","m9604"
"!","v#01177668","v#00007992","m9604","b9257"
"!","v#00007992","v#01612822","b9257","m9604"
"!","v#01612822","v#00007992","m9604","b9257"
"!","v#00007992","v#01178748","b9257","m9604"
"!","v#01178748","v#00007992","m9604","b9257"
"!","v#00007992","v#00741672","b9257","m9604"
"!","v#00741672","v#00007992","m9604","b9257"
"!","v#00007992","v#01720230","b9257","m9604"
"!","v#01720230","v#00007992","m9604","b9257"
"!","v#00587155","v#00007023","b9257","m9604"
"!","v#00007023","v#00587155","m9604","b9257"
"!","v#00587155","v#01785226","b9257","m9604"
"!","v#01785226","v#00587155","m9604","b9257"
"!","v#00587155","v#00027257","b9257","m9604"
"!","v#00027257","v#00587155","m9604","b9257"
"!","v#00587155","v#01721982","b9257","m9604"
"!","v#01721982","v#00587155","m9604","b9257"
"!","v#00587155","v#00008958","b9257","m9604"
"!","v#00008958","v#00587155","m9604","b9257"
"!","v#00587155","v#01850598","b9257","m9604"
"!","v#01850598","v#00587155","m9604","b9257"
"!","v#00587155","v#01746118","b9257","m9604"
"!","v#01746118","v#00587155","m9604","b9257"
"!","v#00587155","v#01130277","b9257","m9604"
"!","v#01130277","v#00587155","m9604","b9257"
"!","v#00587155","v#01747342","b9257","m9604"
"!","v#01747342","v#00587155","m9604","b9257"
"!","v#00587155","v#00069684","b9257","m9604"
"!","v#00069684","v#00587155","m9604","b9257"
"!","v#00587155","v#01113245","b9257","m9604"
"!","v#01113245","v#00587155","m9604","b9257"
"!","v#00587155","v#01751275","b9257","m9604"
"!","v#01751275","v#00587155","m9604","b9257"
"!","v#00587155","v#01173875","b9257","m9604"
"!","v#01173875","v#00587155","m9604","b9257"
"!","v#00587155","v#01713759","b9257","m9604"
"!","v#01713759","v#00587155","m9604","b9257"
"!","v#00587155","v#01257604","b9257","m9604"
"!","v#01257604","v#00587155","m9604","b9257"
"!","v#00587155","v#01879916","b9257","m9604"
"!","v#01879916","v#00587155","m9604","b9257"
"!","v#00587155","v#01821274","b9257","m9604"
"!","v#01821274","v#00587155","m9604","b9257"
"!","v#00587155","v#01177316","b9257","m9604"
"!","v#01177316","v#00587155","m9604","b9257"
"!","v#00587155","v#01177668","b9257","m9604"
"!","v#01177668","v#00587155","m9604","b9257"
"!","v#00587155","v#01612822","b9257","m9604"
"!","v#01612822","v#00587155","m9604","b9257"
"!","v#00587155","v#01178748","b9257","m9604"
"!","v#01178748","v#00587155","m9604","b9257"
"!","v#00587155","v#00741672","b9257","m9604"
"!","v#00741672","v#00587155","m9604","b9257"
"!","v#00587155","v#01720230","b9257","m9604"
"!","v#01720230","v#00587155","m9604","b9257"
"!","v#00587298","v#00007023","b9257","m9604"
"!","v#00007023","v#00587298","m9604","b9257"
"!","v#00587298","v#01785226","b9257","m9604"
"!","v#01785226","v#00587298","m9604","b9257"
"!","v#00587298","v#00027257","b9257","m9604"
"!","v#00027257","v#00587298","m9604","b9257"
"!","v#00587298","v#01721982","b9257","m9604"
"!","v#01721982","v#00587298","m9604","b9257"
"!","v#00587298","v#00008958","b9257","m9604"
"!","v#00008958","v#00587298","m9604","b9257"
"!","v#00587298","v#01850598","b9257","m9604"
"!","v#01850598","v#00587298","m9604","b9257"
"!","v#00587298","v#01746118","b9257","m9604"
"!","v#01746118","v#00587298","m9604","b9257"
"!","v#00587298","v#01130277","b9257","m9604"
"!","v#01130277","v#00587298","m9604","b9257"
"!","v#00587298","v#01747342","b9257","m9604"
"!","v#01747342","v#00587298","m9604","b9257"
"!","v#00587298","v#00069684","b9257","m9604"
"!","v#00069684","v#00587298","m9604","b9257"
"!","v#00587298","v#01113245","b9257","m9604"
"!","v#01113245","v#00587298","m9604","b9257"
"!","v#00587298","v#01751275","b9257","m9604"
"!","v#01751275","v#00587298","m9604","b9257"
"!","v#00587298","v#01173875","b9257","m9604"
"!","v#01173875","v#00587298","m9604","b9257"
"!","v#00587298","v#01713759","b9257","m9604"
