"TYPE","SOURCE","TARGET","W_SOURCE","W_TARGET"
"^","v#01310125","v#01310012","",""
"^","v#01310012","v#01310125","",""
"^","v#01358414","v#01309662","",""
"^","v#01309662","v#01358414","",""
"^","v#01420997","v#01304600","",""
"^","v#01304600","v#01420997","",""
"^","v#01390339","v#01301287","",""
"^","v#01301287","v#01390339","",""
"^","v#01367489","v#01301287","",""
"^","v#01301287","v#01367489","",""
"^","v#01303950","v#01299603","",""
"^","v#01299603","v#01303950","",""
"^","v#01361635","v#01296169","",""
"^","v#01296169","v#01361635","",""
"^","v#01719754","v#01293227","",""
"^","v#01293227","v#01719754","",""
"^","v#01420997","v#01289257","",""
"^","v#01289257","v#01420997","",""
"^","v#01418612","v#01289257","",""
"^","v#01289257","v#01418612","",""
"^","v#01418612","v#01288660","",""
"^","v#01288660","v#01418612","",""
"^","v#01418612","v#01287786","",""
"^","v#01287786","v#01418612","",""
"^","v#01355605","v#01287786","",""
"^","v#01287786","v#01355605","",""
"^","v#01789664","v#01280594","",""
"^","v#01280594","v#01789664","",""
"^","v#01406457","v#01278717","",""
"^","v#01278717","v#01406457","",""
"^","v#01374314","v#01278717","",""
"^","v#01278717","v#01374314","",""
"^","v#01719754","v#01276774","",""
"^","v#01276774","v#01719754","",""
"^","v#01275270","v#01274944","",""
"^","v#01274944","v#01275270","",""
"^","v#01338825","v#01274944","",""
"^","v#01274944","v#01338825","",""
"^","v#01270740","v#01270378","",""
"^","v#01270378","v#01270740","",""
"^","v#01825948","v#01265527","",""
"^","v#01265527","v#01825948","",""
"^","v#01356820","v#01262658","",""
"^","v#01262658","v#01356820","",""
"^","v#01341057","v#01262658","",""
"^","v#01262658","v#01341057","",""
"^","v#01787206","v#01262658","",""
"^","v#01262658","v#01787206","",""
"^","v#01819876","v#01262658","",""
"^","v#01262658","v#01819876","",""
"^","v#01721088","v#01262658","",""
"^","v#01262658","v#01721088","",""
"^","v#01855070","v#01262658","",""
"^","v#01262658","v#01855070","",""
"^","v#01341375","v#01253107","",""
"^","v#01253107","v#01341375","",""
"^","v#01341197","v#01253107","",""
"^","v#01253107","v#01341197","",""
"^","v#01356484","v#01253107","",""
"^","v#01253107","v#01356484","",""
"^","v#01259080","v#01253107","",""
"^","v#01253107","v#01259080","",""
"^","v#01340005","v#01253107","",""
"^","v#01253107","v#01340005","",""
"^","v#01402214","v#01253107","",""
"^","v#01253107","v#01402214","",""
"^","v#01819996","v#01253107","",""
"^","v#01253107","v#01819996","",""
"^","v#01419341","v#01253107","",""
"^","v#01253107","v#01419341","",""
"^","v#01418612","v#01253107","",""
"^","v#01253107","v#01418612","",""
"^","v#01311485","v#01253107","",""
"^","v#01253107","v#01311485","",""
"^","v#01360050","v#01253107","",""
"^","v#01253107","v#01360050","",""
"^","v#01267856","v#01253107","",""
"^","v#01253107","v#01267856","",""
"^","v#01358414","v#01253107","",""
"^","v#01253107","v#01358414","",""
"^","v#01261992","v#01252034","",""
"^","v#01252034","v#01261992","",""
"^","v#01261992","v#01249365","",""
"^","v#01249365","v#01261992","",""
"^","v#01738960","v#01243790","",""
"^","v#01243790","v#01738960","",""
"^","v#01219733","v#01214618","",""
"^","v#01214618","v#01219733","",""
"^","v#01243184","v#01209074","",""
"^","v#01209074","v#01243184","",""
"^","v#01761948","v#01202395","",""
"^","v#01202395","v#01761948","",""
"^","v#01198823","v#01164896","",""
"^","v#01164896","v#01198823","",""
"^","v#01470287","v#01154777","",""
"^","v#01154777","v#01470287","",""
"^","v#01715324","v#01154777","",""
"^","v#01154777","v#01715324","",""
"^","v#01816870","v#01134616","",""
"^","v#01134616","v#01816870","",""
"^","v#01120650","v#01120290","",""
"^","v#01120290","v#01120650","",""
"^","v#01719999","v#01120290","",""
"^","v#01120290","v#01719999","",""
"^","v#01799148","v#01120290","",""
"^","v#01120290","v#01799148","",""
"^","v#01129223","v#01120290","",""
"^","v#01120290","v#01129223","",""
"^","v#01128460","v#01120290","",""
"^","v#01120290","v#01128460","",""
"^","v#01132085","v#01120290","",""
"^","v#01120290","v#01132085","",""
"^","v#01792444","v#01119504","",""
"^","v#01119504","v#01792444","",""
"^","v#01123517","v#01111638","",""
"^","v#01111638","v#01123517","",""
"^","v#01113920","v#01111638","",""
"^","v#01111638","v#01113920","",""
"^","v#01763684","v#01098494","",""
"^","v#01098494","v#01763684","",""
"^","v#01585276","v#01094485","",""
"^","v#01094485","v#01585276","",""
"^","v#01585512","v#01094485","",""
"^","v#01094485","v#01585512","",""
"^","v#01141322","v#01083862","",""
"^","v#01083862","v#01141322","",""
"^","v#01084148","v#01083862","",""
