lɔks],infelox,0
130360,t0999,transfiguratio,n,n-s---fn3-,transfiguration,,,[t̪raːn̪s.fɪ.'gʷra.t̪ɪ̣.jɔ],transfiguratio,0
130361,t1000,transfigurator,n,n-s---mn3-,transfigurator,,,[t̪raːn̪s.'fɪ.gʷra.t̪ɔr],transfigurator,0
130362,t1002,transfingo,v,v1spia--3-,,,,[t̪raːn̪s.'fɪŋ.gɔ],transfingo,0
130364,t1003,transfluminales,n,n-s---mn3i,transfluminal,,,[t̪raːn̪sf.lʊ.'mɪ.n̪a.lɛs],transfluminales,0
130367,t1007,transfluuio,v,v1spia--1-,transfluui transfluuiau transfluuiat,,,[t̪raːn̪sf.lʊ.'jʊj.jɔ],transfluuio,0
130368,t1008,transfluuium,n,n-s---nn2-,transfluui,,,[t̪raːn̪sf.'lʊ.jʊ.jũː],transfluuium,0
130369,t1010,transforatio,n,n-s---fn3-,transforation,,,[t̪raːn̪s.fɔ.'ra.t̪ɪ̣.jɔ],transforatio,0
130372,t1016,transfretatio,n,n-s---fn3-,transfretation,,,[t̪raːn̪sf.rɛ.'t̪a.t̪ɪ̣.jɔ],transfretatio,0
130378,t1026,transgero,v,v1spia--3-,,,,['t̪raːn̪s.gɛ.rɔ],transgero,0
130381,t1030,transgressiuus,a,aps---mn1-,transgressiu transgressiu transgressiu,,,[t̪raːn̪s.'grɛ.ssɪ.wʊs],transgressiuus,0
130386,t1034,transilis,a,aps---cn3i,transil transil transil,,,['t̪raːn̪.sɪ.lɪs],transilis,0
130391,t1036,transitiuus,a,aps---mn1-,transitiu transitiu transitiu,,,[t̪raːn̪.'sɪ.t̪ɪ.wʊs],transitiuus,0
130392,t1037,transito,v,v1spia--1-,transit transitau transitat,,,['t̪raːn̪.sɪ.t̪ɔ],transito,0
130393,t1038,transitor,n,n-s---mn3-,transitor,,,['t̪raːn̪.sɪ.t̪ɔr],transitor,0
130396,t1041,transiungo,v,v1spia--3-,,,,[t̪raːn̪.sɪ̣.'jʊŋ.gɔ],transiungo,0
114121,i1549,infertilis,a,aps---cn3i,infertil infertil infertil,,,[iːn̪.'fɛr.t̪ɪ.lɪs],infertilis,0
130404,130404,translatus,a,aps---mn1-,translat translat translat,,,['t̪raːn̪s.la.t̪ʊs],translatus,0
130409,130409,translucanus,a,aps---mn1-,translucan translucan translucan,,,[t̪raːn̪s.'lʊ.ka.n̪ʊs],translucanus,0
130410,130410,transmarina,n,n-p---nn2-,transmarin,,,[t̪raːn̪s.'ma.rɪ.n̪a],transmarina,0
130412,130412,transmeans,a,aps---an3i,transmeant transmeant transmeant,,,['t̪raːn̪s.mɛ̣.jaːn̪s],transmeans,0
130414,130414,transmeatus,a,aps---mn1-,transmeat transmeat transmeat,,,[t̪raːn̪s.'mɛ̣.ja.t̪ʊs],transmeatus,0
