391
403832,&,193390,193392
403833,&,193390,193393
403834,&,193391,193390
403835,&,193392,193390
403836,&,193393,193390
403837,&,193394,193395
403838,&,193394,193396
403839,&,193395,193394
403840,&,193399,193400
403841,&,193399,193401
403842,&,193399,193402
403843,&,193399,193403
403844,&,193400,193399
403845,&,193401,193399
403846,&,193402,193399
403847,&,193403,193399
403848,&,193404,193405
403849,&,193405,193404
403850,&,193406,193407
403851,&,193406,193408
403852,&,193406,193409
403853,&,193406,193410
403854,&,193407,193406
403855,&,193408,193406
403856,&,193409,193406
403857,&,193410,193406
403858,&,193411,193412
403859,&,193411,193413
403860,&,193411,193415
403861,&,193412,193411
403862,&,193413,193411
403863,&,193414,193411
403864,&,193415,193411
403865,&,193416,193417
403866,&,193416,193418
403867,&,193416,193419
403868,&,193416,193420
403869,=,193416,163602
403870,&,193417,193416
403871,&,193418,193416
403872,&,193419,193416
403873,&,193420,193416
403874,&,193421,193422
403875,&,193421,193423
403876,&,193421,193424
403877,=,193421,163602
403878,&,193422,193421
403879,&,193423,193421
403880,&,193425,193426
403881,&,193425,193427
403882,&,193425,193428
403883,=,193425,136677
403884,&,193426,193425
403885,&,193427,193425
403886,&,193428,193425
403887,=,193429,136677
403888,&,193431,193432
403889,&,193431,193433
403890,&,193431,193434
403891,&,193431,193435
403892,&,193432,193431
403893,&,193433,193431
403894,&,193434,193431
403895,&,193435,193431
403896,&,193436,193437
403897,&,193436,193438
403898,&,193436,193439
403899,&,193436,193440
403900,&,193436,193442
403901,&,193436,193444
403902,&,193436,193445
403903,=,193436,127601
403904,&,193436,193443
403905,&,193437,193436
403906,!,195704,184659
403907,&,193439,193436
403908,&,193440,193436
403909,&,193441,193436
403910,&,193442,193436
403911,&,193443,193436
403912,&,193445,193436
403913,&,193446,193447
403914,&,193446,193448
403915,&,193446,193449
403916,=,193446,127601
403917,&,193447,193446
403918,&,193448,193446
403919,&,193449,193446
403920,&,193450,193451
403921,&,193450,193452
403922,&,193450,193453
403923,&,193450,193454
403924,=,193450,137850
403925,&,193451,193450
403926,&,193452,193450
403927,&,193453,193450
403928,&,193454,193450
403929,&,193455,193456
403930,&,193455,193457
403931,&,193455,193459
403932,&,193455,193461
403933,&,193455,193462
403934,=,193455,137850
403935,&,193455,193458
403936,&,193456,193455
403937,&,193457,193455
403938,&,193458,193455
403939,&,193459,193455
403940,&,193460,193455
403941,&,193461,193455
403942,&,193462,193455
403943,=,193463,165885
403944,&,193464,193465
403945,=,193464,165885
403946,&,193465,193464
403947,&,193467,193468
403948,&,193467,193469
403949,&,193467,193470
403950,&,193468,193467
403951,&,193469,193467
403952,&,193471,193472
403953,&,193471,193473
403954,&,193471,193474
403955,&,193472,193471
403956,&,193473,193471
403957,&,193474,193471
403958,&,193476,193477
403959,&,193476,193478
403960,&,193476,193479
403961,&,193476,193480
403962,&,193476,193481
403963,&,193476,193482
403964,&,193476,193483
403965,=,193476,165384
403966,&,193476,193484
403967,&,193477,193476
403968,&,193478,193476
403969,&,193479,193476
403970,&,193480,193476
403971,&,193481,193476
403972,&,193483,193476
403973,&,193484,193476
403974,&,193485,193486
403975,&,193485,193487
403976,&,193485,193488
403977,&,193485,193489
403978,&,193485,193491
403979,&,193485,193490
403980,&,193485,193492
403981,&,193486,193485
403982,&,193487,193485
403983,&,193488,193485
403984,&,193489,193485
403985,&,193490,193485
403986,&,193491,193485
403987,&,193492,193485
403988,&,193493,193494
403989,&,193494,193493
403990,&,193495,193496
403991,&,193496,193495
403992,&,193497,193499
403993,&,193497,193500
403994,&,193497,193501
403995,&,193497,193503
403996,&,193497,193504
403997,&,193497,193502
403998,!,184659,195704
403999,&,193499,193497
404000,&,193500,193497
404001,&,193501,193497
404002,&,193502,193497
404003,&,193503,193497
404004,&,193505,193506
404005,&,193505,193507
404006,&,193505,193508
404007,&,193505,193510
404008,&,193505,193509
404009,&,193506,193505
404010,&,193507,193505
404011,&,193508,193505
404012,&,193509,193505
404013,&,193510,193505
404014,&,193511,193512
404015,&,193511,193513
404016,&,193512,193511
404017,&,193513,193511
404018,&,193514,193515
404019,&,193515,193514
404020,&,193516,193517
404021,&,193517,193516
404022,&,193518,193519
404023,&,193518,193521
404024,&,193519,193518
404025,&,193520,193518
404026,&,193521,193518
404027,&,193522,193523
404028,&,193522,193524
404029,&,193522,193525
404030,&,193522,193526
404031,&,193522,193527
404032,&,193522,193528
404033,=,193522,125931
404034,&,193523,193522
404035,&,193524,193522
404036,&,193525,193522
404037,&,193526,193522
404038,&,193527,193522
404039,&,193528,193522
404040,&,193529,193530
404041,&,193529,193531
404042,&,193529,193532
404043,&,193529,193533
404044,&,193529,193535
404045,=,193529,125931
404046,&,193530,193529
404047,&,193531,193529
404048,&,193532,193529
404049,&,193533,193529
404050,&,193534,193529
404051,&,193535,193529
404052,&,193536,193537
404053,&,193536,193538
404054,&,193536,193539
404055,&,193536,193540
404056,&,193536,193541
404057,&,193536,193542
404058,&,193536,193543
404059,=,193536,125942
404060,&,193537,193536
404061,&,193538,193536
404062,&,193539,193536
404063,&,193540,193536
404064,&,193542,193536
404065,&,193543,193536
404066,=,193544,125942
404067,&,193545,193546
404068,&,193545,193547
404069,&,193545,193548
404070,&,193545,193549
404071,&,193546,193545
404072,&,193547,193545
404073,&,193548,193545
404074,&,193549,193545
404075,&,193550,193551
404076,&,193551,193550
404077,&,193552,193553
404078,&,193552,193554
404079,&,193552,193555
404080,&,193552,193556
404081,&,193553,193552
404082,&,193554,193552
404083,&,193555,193552
404084,&,193557,193558
404085,&,193557,193559
404086,&,193557,193560
404087,&,193557,193561
404088,&,193558,193557
