,d0826,deportatorius,a,0,aps---mn1-,deportatori deportatori deportatori,deportatorius
48479,48479,electissimus,n,0,n-s---mn2-,electissim,electissimus
48522,48522,electrometrum,n,0,n-s---nn2-,electrometr,electrometrum
48498,48498,expetendus,a,0,aps---mn1-,cibori cibori cibori,expetendus
48507,a3186,assoleo,v,0,v1spia--2-,assol - -,assoleo
48490,48490,impetiginosus,n,0,n-s---mn2-,impetiginos impetiginos impetiginos,impetiginosus
48445,a1984,attagen,n,0,n-s---mn3-,attagen,attagen
48493,48493,impuratus,a,0,aps---mn1-,impurat impurat impurat,impuratus
48481,48481,inreprehensibilis,a,0,aps---cn3-,inreprehensibil inreprehensibil inreprehensibil,inreprehensibilis
48501,48501,inritatrix,n,0,n-s---fn3-,inritatric,inritatrix
48466,48466,limitrophis,a,0,aps---cn3-,limitroph limitroph limitroph,limitrophis
48449,48449,ludifico,v,0,v1spia--1-,ludific - ludificat,ludifico
48440,48440,melisphyllum,n,0,n-s---nn2-,melisphyll,melisphyllum
48520,48520,molinula,n,0,n-s---fn1-,molinul,molinula
48454,48454,nepiagogium,n,0,n-s---nn2-,nepiagogi,nepiagogium
48469,48469,promptarium,n,0,n-s---nn2-,promptari,promptarium
48470,48470,sigillatus,a,0,aps---mn1-,sigillat sigillat sigillat,sigillatus
48485,48485,superpositus,a,0,aps---mn1-,superposit superposit superposit,superpositus
48514,48514,uirdicatus,a,0,aps---mn1-,plate plate plate,uirdicatus
48496,48496,uitriolum,n,0,n-s---nn2-,uitriol,uitriolum
48446,b0017,bacchatim,r,0,rp--------,,bacchatim
48510,c2358,coleus,n,0,n-s---mn2-,cole,coleus
48443,c4178,coryphaeus,n,0,n-s---mn2-,coryphae,coryphaeus
113835,i1235,indesponsatus,a,0,aps---mn1-,indesponsat indesponsat indesponsat,indesponsatus
48487,o0065,obiurgatio,n,0,n-s---fn3-,obiurgation,obiurgatio
48456,o0829,opiniosus,a,0,aps---mn1-,opinios opinios opinios,opiniosus
48480,p0165,paludatus,a,0,aps---mn1-,pal pal pal,paludatus
48513,p2291,platea,n,0,n-s---fn1-,plate,platea
48441,r1469,roboro,v,0,v1spia--1-,robor roborau roborat,roboro
48452,r0921,ruricola,n,0,n-s---mn1-,ruricol,ruricola
48444,u0314,uentosus,a,0,aps---mn1-,uentos uentos uentos,uentosus
48453,u0830,uispillo,n,0,n-s---mn3-,uispillon,uispillo
48489,a0723,adnutrio,v,0,v1spia--4-,adnutr - -,adnutrio
48560,48560,adariarius,a,0,aps---mn1-,adariari adariari adariari,adariarius
48558,48558,adoreus,n,0,n-s---mn2-,adore,adoreus
48530,48530,adtenuatio,n,0,n-s---fn3-,adtenuation,adtenuatio
48556,48556,amicicia,n,0,n-s---fn1-,amicici,amicicia
48543,48543,amoene,r,0,rp--------,amoenius amoenissime,amoene
48576,48576,characterismus,n,0,n-s---mn2-,characterism,characterismus
48570,48570,cohurnus,n,0,n-s---mn2-,cohurn,cohurnus
48571,48571,composito,r,0,rp--------,,composito
131982,u1320,utensilis,a,0,aps---cn3i,utensil utensil utensil,utensilis
35863,35863,uterum,n,0,n-s---nn2-,uter,uterum
48557,48557,condensatus,a,0,aps---mn1-,condensat condensat condensat,condensatus
48554,48554,contrectus,a,0,aps---mn1-,contrect contrect contrect,contrectus
48538,48538,cunctum,n,0,n-s---nn2-,cunct,cunctum
48579,48579,cynomorium,n,0,n-s---nn2-,cynomori,cynomorium
48529,48529,dediticius,n,0,n-s---mn2-,deditici,dediticius
48548,48548,deformiter,r,0,rp--------,,deformiter
48524,a2291,albicerus,a,0,aps---mn1-,albicer albicer albicer,albicerus
48532,48532,derecta,r,0,rp--------,,derecta
48553,48553,disgregatiuus,a,0,aps---mn1-,disgregatiu disgregatiu disgregatiu,disgregatiuus
48568,48568,exquaesitio,n,0,n-s---fn3-,exquaesition,exquaesitio
48534,48534,inconruptio,n,0,n-s---fn3-,inconruption,inconruptio
48564,48564,indiuisibilitas,n,0,n-s---fn3-,indiuisibilitat,indiuisibilitas
48583,48583,necessarium,n,0,n-s---nn2-,necessari,necessarium
48546,48546,pennipes,a,0,aps---an3-,penniped penniped penniped,pennipes
48567,48567,senior,n,0,n-s---mn3-,senior,senior
48577,48577,sterilizatio,n,0,n-s---fn3-,sterilization,sterilizatio
48547,48547,telecopiatrum,n,0,n-s---nn2-,telecopiatr,telecopiatrum
48555,48555,tholicus,a,0,aps---mn1-,tholic tholic tholic,tholicus
48582,f1202,furcilla,n,0,n-s---fn1-,furcill,furcilla
48539,a2006,angustia,n,0,n-s---fn1-,angusti,angustia
48528,a2558,aprinus,a,0,aps---mn1-,aprin aprin aprin,aprinus
48562,a2597,aquator,n,0,n-s---mn3-,aquator,aquator
48589,c0474,canutus,a,0,aps---mn1-,canut canut canut,canutus
48585,c2770,compaedagogita,n,0,n-s---mn1-,compaedagogit,compaedagogita
48533,c3435,coniungo,v,0,v1spia--3-,con - conat,coniungo
48588,c3813,contremisco,v,0,v1spia--3-,contremisc contremu -,contremisco
48569,c4163,coruscus,a,0,aps---mn1-,corusc corusc corusc,coruscus
48541,c4191,cossim,r,0,rp--------,,cossim
48523,c4237,crapulentus,a,0,aps---mn1-,crapulent crapulent crapulent,crapulentus
48559,c4798,cymbalisso,v,0,v1spia--1-,cymbaliss cymbalissau cymbalissat,cymbalisso
48537,f0485,fideicommissarius,n,0,n-s---mn2-,fideicommissari,fideicommissarius
48561,i2031,insimulo,v,0,v1spia--1-,insimul insimulau insimulat,insimulo
48563,i2409,interneciuus,a,0,aps---mn1-,interneciu interneciu interneciu,interneciuus
48584,o0102,obliquo,v,0,v1spia--1-,obliqu obliquau obliquat,obliquo
48544,o0224,obsequentia,n,0,n-s---fn1-,obsequenti,obsequentia
48578,p1372,permolestus,a,0,aps---mn1-,permolest permolest permolest,permolestus
48536,p3046,praeicio,v,0,v1spia--3i,praeici praejec praeject,praeicio
48581,r9018,radiatus,a,0,aps---mn1-,semicincti semicincti semicincti,radiatus
