,lamentatio,n,1,n-s---fn3-,lamentation,lamentatio
24552,l0168,lamia,n,1,n-s---fn1-,lami,lamia
24553,l0169,lamina,n,1,n-s---fn1-,lamin,lamina
24555,l0185,lana,n,1,n-s---fn1-,lan,lana
24503,i3217,Italia,n,1,n-s---fn1-,Itali,Italia
24534,24534,lactens,a,1,aps---an3i,lactent lactent lactent,lactens
24541,24541,laete,r,1,rp--------,laet,laete
24527,l0040,lac,n,1,n-s---nn3-,lact,lac
24528,l0054,lacero,v,1,v1spia--1-,lacer lacerau lacerat,lacero
24530,l0057,lacertus,n,1,n-s---mn2-,lacert,lacertus
24487,i2868,irrideo,v,1,v1spia--2-,irrid irris irris,irrideo
24558,l0199,landica,n,1,n-s---fn1-,landic,landica
120156,120156,paginalis,a,0,aps---cn3i,paginal paginal paginal,paginalis
24561,l0226,laniger,a,1,aps---mn1r,laniger laniger laniger,laniger
24562,l0228,lanio,v,1,v1spia--1-,lani laniau laniat,lanio
24564,l0239,lanius,n,1,n-s---mn2-,lani,lanius
24565,l0242,lanosus,a,1,aps---mn1-,lanos lanos lanos,lanosus
24566,l0243,lanterna,n,1,n-s---fn1-,lantern,lanterna
24567,l0248,lanugo,n,1,n-s---fn3-,lanugin,lanugo
24568,l0250,lanx,n,1,n-s---fn3i,lanc,lanx
24570,l0268,lapillus,n,1,n-s---mn2-,lapill,lapillus
24572,l0285,laqueus,n,1,n-s---mn2-,laque,laqueus
24557,l0189,lancea,n,1,n-s---fn1-,lance,lancea
102791,a2361,apicularius,n,0,n-s---mn2-,apiculari,apicularius
24575,l0295,largitas,n,1,n-s---fn3-,largitat,largitas
24559,24559,languide,r,1,rp--------,languid,languide
102790,102790,apicium,n,0,n-s---nn2-,apici,apicium
24577,l0296,largitio,n,1,n-s---fn3-,largition,largitio
24578,l0298,largitor,n,1,n-s---mn3-,largitor,largitor
24573,24573,lar,n,1,n-s---mn3-,lar,lar
24580,l0309,larua,n,1,n-s---fn1-,laru,larua
24582,l0320,lasciuio,v,1,v1spia--4-,lasciu lasciu lasciuit,lasciuio
24583,l0325,lasciuus,a,1,aps---mn1-,lasciu lasciu lasciu,lasciuus
24584,l0332,lassitudo,n,1,n-s---fn3-,lassitudin,lassitudo
24585,l0333,lasso,v,1,v1spia--1-,lass lassau lassat,lasso
24586,l0335,lassus,a,1,aps---mn1-,lass lass lass,lassus
24587,l0339,latebra,n,1,n-s---fn1-,latebr,latebra
24589,l0962,latex,n,1,n-s---mn3-,latic,latex
24576,24576,largiter,r,1,rp--------,larg,largiter
24579,24579,larix,n,1,n-s---fn3-,laric,larix
24593,l0197,latrina,n,1,n-s---fn1-,latrin,latrina
24594,l0384,latro,n,1,n-s---mn3-,latron,latro
24595,l0387,latrocinium,n,1,n-s---nn2-,latrocini,latrocinium
24596,l0389,latrunculus,n,1,n-s---mn2-,latruncul,latrunculus
24597,l0393,latus,n,1,n-s---nn3-,later,latus
24608,l0396,lauacrum,n,1,n-s---nn2-,lauacr,lauacrum
24609,l0399,lauatio,n,1,n-s---fn3-,lauation,lauatio
24599,l0404,laudabilitas,n,1,n-s---fn3-,laudabilitat,laudabilitas
24600,l0406,laudatio,n,1,n-s---fn3-,laudation,laudatio
24602,l0223,laurea,n,1,n-s---fn1-,laure,laurea
24604,l0432,laus,n,1,n-s---fn3-,laud,laus
24592,24592,Latius,a,1,aps---mn1-,Lati Lati Lati,Latius
24617,24617,Lea,n,1,n-s---fn1-,Le,Lea
24606,l0437,lautitia,n,1,n-s---fn1-,lautiti,lautitia
24605,24605,laute,r,1,rp--------,laut,laute
24607,24607,lautus,a,1,aps---mn1-,laut laut laut,lautus
24614,l0445,laxitas,n,1,n-s---fn3-,laxitat,laxitas
24616,l0447,laxus,a,1,aps---mn1-,lax lax lax,laxus
24612,24612,laxatus,a,1,aps---mn1-,laxat laxat laxat,laxatus
24618,l0449,leaena,n,1,n-s---fn1-,leaen,leaena
24619,l0450,lebes,n,1,n-s---mn3-,lebet,lebes
24620,l0452,lectica,n,1,n-s---fn1-,lectic,lectica
24622,l0464,lector,n,1,n-s---mn3-,lector,lector
24626,l0478,legatio,n,1,n-s---fn3-,legation,legatio
24613,24613,laxe,r,1,rp--------,lax,laxe
24627,l0497,legatus,n,1,n-s---mn2-,legat,legatus
24628,l0486,legio,n,1,n-s---fn3-,legion,legio
24624,24624,lectus,a,1,aps---mn1-,lect lect lect,lectus
24590,24590,Latinus,a,1,aps---mn1-,Latin Latin Latin,Latinus
24556,l0188,lanatus,a,1,aps---mn1-,lanat lanat lanat,lanatus
24659,l0572,lepra,n,1,n-s---fn1-,lepr,lepra
24632,l0500,legumen,n,1,n-s---nn3-,legumin,legumen
24663,l0590,lethargus,n,1,n-s---mn2-,letharg,lethargus
24633,l0508,lemma,n,1,n-s---nn3-,lemmat,lemma
24634,l0510,lemniscus,n,1,n-s---mn2-,lemnisc,lemniscus
24635,l0512,lena,n,1,n-s---fn1-,len,lena
24637,l0515,lenimentum,n,1,n-s---nn2-,leniment,lenimentum
24639,l0517,lenis,a,1,aps---cn3i,len len len,lenis
24640,l0518,lenitas,n,1,n-s---fn3-,lenitat,lenitas
120157,120157,paginatus,a,0,aps---mn1-,paginat paginat paginat,paginatus
24643,l0520,leno,n,1,n-s---mn3-,lenon,leno
24644,l0524,lenocinium,n,1,n-s---nn2-,lenocini,lenocinium
120160,120160,pago,v,0,v1spia--3-,,pago
24645,l0527,lens,n,1,n-s---fn3i,lent,lens
24647,l0531,lenticula,n,1,n-s---fn1-,lenticul,lenticula
24648,l0534,lentigo,n,1,n-s---fn3-,lentigin,lentigo
24649,l0540,lentitudo,n,1,n-s---fn3-,lentitudin,lentitudo
102794,a2363,apinae,n,0,n-p---fn1-,apin,apinae
24650,l0542,lentor,n,1,n-s---mn3-,lentor,lentor
24651,l0549,leo,n,1,n-s---mn3-,leon,leo
24654,l0561,leopardus,n,1,n-s---mn2-,leopard,leopardus
24655,l0562,lepas,n,1,n-s---fn3-,lepad,lepas
24669,l9893,leuigo,v,1,v1spia--1-,leuig leuigau leuigat,lĕuigo
24657,l0565,lepidus,a,1,aps---mn1-,lepid lepid lepid,lepidus
24672,l0643,leuitas,n,1,n-s---fn3-,leuitat,lĕuitas
24660,l0573,leprosus,a,1,aps---mn1-,lepros lepros lepros,leprosus
24661,l0581,lepus,n,1,n-s---cn3-,lepor,lepus
24689,l0695,libido,n,1,n-s---fn3-,libidin,libido
24665,l0596,leuamen,n,1,n-s---nn3-,leuamin,leuamen
24667,l0599,leuatio,n,1,n-s---fn3-,leuation,leuatio
24641,24641,leniter,r,1,rp--------,len,leniter
24675,l0647,leuor,n,1,n-s---mn3-,leuor,leuor
24646,24646,lente,r,1,rp--------,lent,lente
24676,l0648,lex,n,1,n-s---fn3-,leg,lex
102793,102793,apii,n,0,n-p---mn2-,api,apii
24677,l0657,libamentum,n,1,n-s---nn2-,libament,libamentum
24678,l0660,libanotis,n,1,n-s---fn3-,libanotid,libanotis
24679,l0663,libatio,n,1,n-s---fn3-,libation,libatio
24680,l0666,libella,n,1,n-s---fn1-,libell,libella
24681,l0673,libellus,n,1,n-s---mn2-,libell,libellus
24686,l0686,libertas,n,1,n-s---fn3-,libertat,libertas
24687,l0689,libertinus,n,1,n-s---mn2-,libertin,libertinus
24656,24656,lepide,r,1,rp--------,lepid,lepide
24688,l0251,libertus,n,1,n-s---mn2-,libert,libertus
24692,l0699,libra,n,1,n-s---fn1-,libr,libra
24693,l0702,libramentum,n,1,n-s---nn2-,librament,libramentum
24695,l0704,librarius,n,1,n-s---mn2-,librari,librarius
24696,l0711,libro,v,1,v1spia--1-,libr librau librat,libro
24697,l0712,libum,n,1,n-s---nn2-,lib,libum
24700,l0717,lichen,n,1,n-s---mn3-,lichen,lichen
24701,l0728,licium,n,1,n-s---nn2-,lici,licium
24668,24668,leuifico,v,1,v1spia--1-,leuific leuificau leuificat,leuifico
24698,24698,Libya,n,0,n-s---fn1-,Liby,Libya
24671,24671,Leuita,n,1,n-s---mn1-,Leuit,Leuita
24673,24673,leuiter,r,1,rp--------,leu,leuiter
24699,l9883,licentia,n,1,n-s---fn1-,licenti,licentia
24683,24683,libenter,r,1,rp--------,libent,libenter
24629,l9914,legislator,n,1,n-s---mn3-,legislator,legislator
120161,120161,pagrus,n,0,n-s---mn2-,pagr,pagrus
24707,l0750,lignum,n,1,n-s---nn2-,lign,lignum
24708,l0754,ligo,n,1,n-s---mn3-,ligon,ligo
24709,l0753,ligo,v,1,v1spia--1-,lig ligau ligat,ligo
24773,l1067,lubricus,a,1,aps---mn1-,lubric lubric lubric,lubricus
24710,l0756,ligurrio,v,1,v1spia--4-,ligurr ligurriu -,ligurrio
24711,l0760,ligustrum,n,1,n-s---nn2-,ligustr,ligustrum
24712,l0764,lilium,n,1,n-s---nn2-,lili,lilium
24713,l0765,lima,n,1,n-s---fn1-,lim,lima
24716,l0774,limen,n,1,n-s---nn3-,limin,limen
24717,l0776,limes,n,1,n-s---mn3-,limit,limes
24718,l0855,limo,v,1,v1spia--1-,lim limau limat,limo
24736,l0889,liquor,n,1,n-s---mn3-,liquor,liquor
102797,a2367,apiosus,a,0,aps---mn1-,apios apios apios,apiosus
24722,l0821,lingo,v,1,v1spia--3-,ling linx linct,lingo
24723,l0822,lingua,n,1,n-s---fn1-,lingu,lingua
24725,l0841,lino,v,1,v1spia--3-,lin - lit,lino
24726,l0845,linquo,v,1,v1spia--3-,linqu liqu -,linquo
24727,l0854,linter,n,1,n-s---mn3i,lintr,linter
24729,l0858,linum,n,1,n-s---nn2-,lin,linum
24730,l0872,liquamen,n,1,n-s---nn3-,liquamin,liquamen
24733,l0881,liquesco,v,1,v1spia--3-,liquesc - -,liquesco
24734,l0885,liquidus,a,1,aps---mn1-,liquid liquid liquid,liquidus
24735,l0887,liquo,v,1,v1spia--1-,liqu liquau liquat,liquo
24753,l0360,locus,n,0,n-s---mn2-,loc,locus
102795,102795,apinarius,n,0,n-s---mn2-,apinari,apinarius
24739,l0899,litania,n,1,n-s---fn1-,litani,litania
24740,l0922,littera,n,1,n-s---fn1-,litter,littera
24742,l0929,litteratura,n,1,n-s---fn1-,litteratur,litteratura
24743,l0931,litteratus,a,1,aps---mn1-,litterat litterat litterat,litteratus
24744,l9887,litura,n,1,n-s---fn1-,litur,litura
24771,l1063,lotos,n,1,n-s---fn2g,lot,lotos
24747,l0957,locarium,n,1,n-s---nn2-,locari,locarium
24748,l0960,locatio,n,1,n-s---fn3-,location,locatio
24749,l0961,locator,n,1,n-s---mn3-,locator,locator
24750,l0965,loco,v,1,v1spia--1-,loc locau locat,loco
24752,l0971,locuples,a,1,aps---an3-,locuplet locuplet locuplet,locuples
24754,l0977,locusta,n,1,n-s---fn1-,locust,locusta
24705,l9884,ligatura,n,1,n-s---fn1-,ligatur,ligatura
24755,l0979,locutio,n,1,n-s---fn3-,locution,locutio
24756,l0983,lodix,n,1,n-s---fn3-,lodic,lodix
24758,l0988,logicus,a,1,aps---mn1-,logic logic logic,logicus
24761,l1010,longanimitas,n,1,n-s---fn3-,longanimitat,longanimitas
24763,l1016,longinquitas,n,1,n-s---fn3-,longinquitat,longinquitas
24764,l1023,longitudo,n,1,n-s---fn3-,longitudin,longitudo
24765,l1033,longus,a,1,aps---mn1-,long long long,longus
24766,l1036,loquacitas,n,1,n-s---fn3-,loquacitat,loquacitas
24770,l1055,lorum,n,1,n-s---nn2-,lor,lorum
24769,l1048,lorica,n,1,n-s---fn1-,loric,lorica
24774,l1075,luceo,v,1,v1spia--2-,luc - -,luceo
24757,24757,logicum,n,1,n-s---nn2-,logic,logicum
24775,l1076,lucerna,n,1,n-s---fn1-,lucern,lucerna
24762,24762,longanimiter,r,1,rp--------,,longanimiter
24720,l0730,linea,n,1,n-s---fn1-,line,linea
24767,24767,loquella,n,1,n-s---fn1-,loquell,loquella
24738,l0895,lis,n,1,n-s---fn3i,lit,lis
24746,l0946,liuor,n,1,n-s---mn3-,liuor,liuor
24704,l0738,ligamentum,n,1,n-s---nn2-,ligament,ligamentum
24778,l1100,lucius,n,1,n-s---mn2-,luci,lucius
24780,l1113,lucrum,n,1,n-s---nn2-,lucr,lucrum
24781,l1117,luctamen,n,1,n-s---nn3-,luctamin,luctamen
24782,l1119,luctator,n,1,n-s---mn3-,luctator,luctator
24784,l9901,luctus,n,1,n-s---mn4-,luct,luctus
24786,l1144,ludibrium,n,1,n-s---nn2-,ludibri,ludibrium
24787,l1146,ludicrum,n,1,n-s---nn2-,ludicr,ludicrum
24788,l1155,ludio,n,1,n-s---mn3-,ludion,ludio
24789,l1156,ludius,n,1,n-s---mn2-,ludi,ludius
24790,l1157,ludo,v,1,v1spia--3-,lud lus lus,ludo
24791,l1158,ludus,n,1,n-s---mn2-,lud,ludus
24792,l1159,luella,n,1,n-s---fn1-,luell,luella
24794,l1161,lugeo,v,1,v1spia--2-,lug lux luct,lugeo
24795,l1174,lumbus,n,1,n-s---mn2-,lumb,lumbus
24796,l1176,lumen,n,1,n-s---nn3-,lumin,lumen
24797,l1178,lumino,v,1,v1spia--1-,lumin luminau luminat,lumino
24799,l1180,luna,n,1,n-s---fn1-,lun,luna
24801,l1183,luno,v,1,v1spia--1-,lun lunau lunat,luno
24802,l1185,luo,v,1,v1spia--3-,lu lu -,luo
24803,l1186,lupa,n,1,n-s---fn1-,lup,lupa
24804,l1188,lupanar,n,1,n-s---nn3i,lupanar,lupanar
24806,l1208,luror,n,1,n-s---mn3-,luror,luror
24777,l1086,lucidus,a,1,aps---mn1-,lucid lucid lucid,lucidus
24808,l1219,lusito,v,1,v1spia--1-,lusit lusitau lusitat,lusito
24809,l1220,lusor,n,1,n-s---mn3-,lusor,lusor
24811,l8222,lustrum,n,1,n-s---nn2-,lustr,lustrum
24812,l9903,lusus,n,1,n-s---mn4-,lus,lusus
24816,l1250,lux,n,1,n-s---fn3-,luc,lux
24817,l1251,luxatio,n,1,n-s---fn3-,luxation,luxatio
24818,l9889,luxatura,n,1,n-s---fn1-,luxatur,luxatura
24819,l1252,luxo,v,1,v1spia--1-,lux luxau luxat,luxo
24820,l1253,luxuria,n,1,n-s---fn1-,luxuri,luxuria
24822,l1258,luxus,n,1,n-s---mn4-,lux,luxus
24823,l1268,lychnus,n,1,n-s---mn2-,lychn,lychnus
24824,l1276,lympha,n,1,n-s---fn1-,lymph,lympha
24825,l1278,lymphaticus,a,1,aps---mn1-,lymphatic lymphatic lymphatic,lymphaticus
120162,120162,pagur,n,0,n-s---mn3-,pagur,pagur
24828,l1284,lyricus,a,1,aps---mn1-,lyric lyric lyric,lyricus
24805,l1186,lupus,n,1,n-s---mn2-,lup,lupus
102799,a2371,apius,n,0,n-s---mn2-,api,apius
24835,m0017,macero,v,1,v1spia--1-,macer macerau macerat,macero
24837,m0022,machina,n,1,n-s---fn1-,machin,machina
24827,24827,lymphatus,a,1,aps---mn1-,lymphat lymphat lymphat,lymphatus
24826,24826,lymphatus,n,1,n-s---mn2-,lymphat,lymphatus
24839,m0028,machinator,n,1,n-s---mn3-,machinator,machinator
24830,24830,Macedonia,n,1,n-s---fn1-,Macedoni,Macedonia
24831,24831,Macedonicus,a,1,aps---mn1-,Macedonic Macedonic Macedonic,Macedonicus
24832,24832,Macedonius,a,1,aps---mn1-,Macedoni Macedoni Macedoni,Macedonius
24829,24829,Macedo,n,0,n-s---mn3-,Macedon,Macedo
24841,m0034,macies,n,1,n-s---fn5-,maci,macies
24842,m0036,macilentus,a,1,aps---mn1-,macilent macilent macilent,macilentus
24843,m0053,macto,v,1,v1spia--1-,mact mactau mactat,macto
24844,m0055,macula,n,1,n-s---fn1-,macul,macula
24845,m0058,maculo,v,1,v1spia--1-,macul maculau maculat,maculo
24847,m0066,madidus,a,1,aps---mn1-,madid madid madid,madidus
24848,m0200,maenianum,n,1,n-s---nn2-,maenian,maenianum
113096,i0356,immeditatus,a,0,aps---mn1-,immeditat immeditat immeditat,immeditatus
24833,m0010,macer,a,1,aps---mn1r,  ,macer
24853,m0084,maestus,a,1,aps---mn1-,maest maest maest,maestus
24854,m0090,magia,n,1,n-s---fn1-,magi,magia
24913,m0319,mansueto,v,1,v1spia--1-,mansuet mansuetau mansueta,mansueto
24855,m0095,magis,r,1,rp--------,,magis
24856,m0097,magister,n,1,n-s---mn2r,magistr,magister
24857,m0098,magisterium,n,1,n-s---nn2-,magisteri,magisterium
24886,m0182,maleuolus,a,1,aps---mn1-,maleuol maleuol maleuol,maleuolus
102800,102800,aplysiae,n,0,n-p---fn1-,aplysi,aplysiae
24859,m0113,magnanimitas,n,1,n-s---fn3-,magnanimitat,magnanimitas
24861,m0116,magnatus,n,1,n-s---mn2-,magnat,magnatus
120165,120165,palacra,n,0,n-s---fn1-,palacr,palacra
24863,m0120,magnificentia,n,1,n-s---fn1-,magnificenti,magnificentia
24864,m0122,magnifico,v,1,v1spia--1-,magnific magnificau magnificat,magnifico
24866,m0125,magniloquentia,n,1,n-s---fn1-,magniloquenti,magniloquentia
24867,m0130,magnitudo,n,1,n-s---fn3-,magnitudin,magnitudo
120166,120166,palacrana,n,0,n-s---fn1-,palacran,palacrana
120170,120170,palaestricos,r,0,rp--------,,palaestricos
24869,m0132,magnus,a,1,aps---mn1-,magn magn magn,magnus
24870,m0134,magus,n,1,n-s---mn2-,mag,magus
24871,m0149,malacia,n,1,n-s---fn1-,malaci,malacia
24872,m0153,malacus,a,1,aps---mn1-,malac malac malac,malacus
120175,120175,palancarius,n,0,n-s---mn2-,palancari,palancarius
24876,m0163,maledictio,n,1,n-s---fn3-,malediction,maledictio
24877,m0162,maledictum,n,1,n-s---nn2-,maledict,maledictum
24879,m0173,malefica,n,1,n-s---fn1-,malefic,malefica
139140,,Lucius,n,1,n-s---mn2-,Luci,Lucius
102801,a2378,apocarteresis,n,0,n-s---fn3i,apocarteres,apocarteresis
24881,m0169,maleficentia,n,1,n-s---fn1-,maleficenti,maleficentia
24882,m0173,maleficium,n,1,n-s---nn2-,malefici,maleficium
24885,m0181,maleuolentia,n,1,n-s---fn1-,maleuolenti,maleuolentia
24887,m0185,malignitas,n,1,n-s---fn3-,malignitat,malignitas
24862,24862,magnifice,r,1,rp--------,magnificent,magnifice
24889,m0201,malleus,n,1,n-s---mn2-,malle,malleus
24890,m0206,malo,v,1,v1spia--3-,mal malu ,malo
24891,m9602,malogranatum,n,1,n-s---nn2-,malogranat,malogranatum
24895,m0220,mamilla,n,1,n-s---fn1-,mamill,mamilla
24906,24906,manifesto,r,1,rp--------,manifest,manifesto
24896,m0224,mamma,n,1,n-s---fn1-,mamm,mamma
24901,m0269,manduco,v,1,v1spia--1-,manduc manducau manducat,manduco
24915,24915,mantele,n,1,n-s---nn3i,mantel,mantele
24897,m0242,manceps,n,1,n-s---mn3-,mancip,manceps
24898,m0252,mancipo,v,1,v1spia--1-,mancip mancipau mancipat,mancipo
24900,m0261,mando,v,1,v1spia--3-,mand mand mans,mando
24902,m0273,maneo,v,1,v1spia--2-,man mans mans,maneo
24903,m0276,mango,n,1,n-s---mn3-,mangon,mango
24904,m0280,mania,n,1,n-s---fn1-,mani,mania
24907,m0292,manifestus,a,1,aps---mn1-,manifest manifest manifest,manifestus
24908,m0301,manipulus,n,1,n-s---mn2-,manipul,manipulus
24909,m9981,manna,n,1,n-s---fn1-,mann,manna
24910,m0305,mano,v,1,v1spia--1-,man manau manat,mano
24911,m0307,mansio,n,1,n-s---fn3-,mansion,mansio
24912,m0313,mansuefacio,v,1,v1spia--3i,mansuefac mansuefec mansuefact,mansuefacio
24850,m0078,maeror,n,1,n-s---mn3-,maeror,maeror
98828,i0357,immeio,v,0,v1spia--3i,imme - -,immeio
24894,m0216,malus,a,1,aps---mn1-,mal mal mal,malus
24880,24880,malefice,r,1,rp--------,,malefice
24874,24874,male,r,1,rp--------,mal,male
102802,a2379,apocatastasis,n,0,n-s---fn3i,apocatastas,apocatastasis
102804,a2384,apocho,v,0,v1spia--1-,apoch apochau apochat,apocho
24917,m0347,manubrium,n,1,n-s---nn2-,manubri,manubrium
24919,m0361,manupretium,n,1,n-s---nn2-,manupreti,manupretium
24920,m0362,manus,n,1,n-s---fn4-,man,manus
24946,m0461,mathematica,n,1,n-s---fn1-,mathematic,mathematica
24921,24921,marcens,a,1,aps---an3i,marcent marcent marcent,marcens
24932,m0400,marmor,n,1,n-s---nn3-,marmor,marmor
120176,120176,palangae,n,0,n-p---fn1-,palang,palangae
24924,m0381,margarita,n,1,n-s---fn1-,margarit,margarita
24925,m0388,margo,n,1,n-s---cn3-,margin,margo
24927,m0117,marita,n,1,n-s---fn1-,marit,marita
24975,m0547,medico,v,1,v1spia--1-,medic medicau medicat,medico
24929,m0396,marito,v,1,v1spia--1-,marit maritau maritat,marito
24931,m0114,maritus,a,1,aps---mn1-,marit marit marit,maritus
24930,m0126,maritus,n,1,n-s---mn2-,marit,maritus
24933,m0409,marra,n,1,n-s---fn1-,marr,marra
24970,m0549,medica,n,1,n-s---fn1-,medic,mĕdica
24934,50193,Mars,n,1,n-s---mn3-,Mart,Mars
24935,m0412,marsuppium,n,1,n-s---nn2-,marsuppi,marsuppium
24938,m0423,masculus,a,1,aps---mn1-,mascul mascul mascul,masculus
24939,m0425,massa,n,1,n-s---fn1-,mass,massa
24960,24960,Mauors,n,1,n-s---mn3i,Mauort,Mauors
24943,m0448,mater,n,1,n-s---fn3-,matr,mater
24944,m0451,materia,n,1,n-s---fn1-,materi,materia
24948,m0461,mathematicus,a,1,aps---mn1-,mathematic mathematic mathematic,mathematicus
24947,m0461,mathematicus,n,1,n-s---mn2-,mathematic,mathematicus
24949,m0462,mathesis,n,1,n-s---fn3-,mathes,mathesis
24953,m0474,matrix,n,1,n-s---fn3-,matric,matrix
24954,m0475,matrona,n,1,n-s---fn1-,matron,matrona
24956,m0492,maturitas,n,1,n-s---fn3-,maturitat,maturitas
24942,24942,mastigo,v,1,v1spia--1-,mastig mastigau mastigat,mastigo
24957,m0493,maturo,v,1,v1spia--1-,matur maturau maturat,maturo
24958,m0494,maturus,a,1,aps---mn1-,matur matur matur,maturus
24955,24955,mature,r,1,rp--------,,mature
24959,24959,Mausoleum,n,1,n-s---nn2-,Mausole,Mausoleum
24966,24966,Medella,n,1,n-s---fn1-,Medell,Medella
24961,m0499,maxilla,n,1,n-s---fn1-,maxill,maxilla
24964,m9998,meatus,n,1,n-s---mn4-,meat,meatus
24962,24962,maxime,r,1,rp--------,,maxime
24926,m0391,marinus,a,1,aps---mn1-,marin marin marin,marinus
24978,24978,medidies,n,1,n-s---mn5-,medidi,medidies
24972,m0539,medicamen,n,1,n-s---nn3-,medicamin,medicamen
24974,m0545,medicina,n,1,n-s---fn1-,medicin,medicina
24977,m0549,medicus,n,1,n-s---mn2-,medic,mĕdicus
24980,m0558,mediocritas,n,1,n-s---fn3-,mediocritat,mediocritas
24981,m0564,meditamentum,n,1,n-s---nn2-,meditament,meditamentum
24982,m0565,meditatio,n,1,n-s---fn3-,meditation,meditatio
24984,m0574,medium,n,1,n-s---nn2-,medi,medium
24986,m0575,medulla,n,1,n-s---fn1-,medull,medulla
24987,m0577,medullitus,r,1,rp--------,,medullitus
24989,m0589,mel,n,1,n-s---nn3-,mell,mel
24990,m0627,melioro,v,1,v1spia--1-,melior - meliorat,melioro
24991,m0666,melodia,n,1,n-s---fn1-,melodi,melodia
24916,m0324,mantica,n,1,n-s---fn1-,mantic,mantica
24973,m0542,medicamentum,n,1,n-s---nn2-,medicament,medicamentum
24969,m0532,mediator,n,1,n-s---mn3-,mediator,mediator
120177,120177,palangarius,n,0,n-s---mn2-,palangari,palangarius
120178,120178,palango,v,0,v1spia--1-,palang palangau palanga,palango
24999,m0709,menda,n,1,n-s---fn1-,mend,menda
25011,25011,mentha,n,1,n-s---fn1-,menth,mentha
25001,m0713,mendacium,n,1,n-s---nn2-,mendaci,mendacium
25004,m0709,mendum,n,1,n-s---nn2-,mend,mendum
25005,m0733,mens,n,1,n-s---fn3i,ment,mens
25006,m0734,mensa,n,1,n-s---fn1-,mens,mensa
25007,m0739,mensis,n,1,n-s---mn3i,mens,mensis
25009,m9983,mensura,n,1,n-s---fn1-,mensur,mensura
25012,m0759,mentio,n,1,n-s---fn3-,mention,mentio
25014,m0945,mentum,n,1,n-s---nn2-,ment,mentum
25015,m0768,meo,v,1,v1spia--1-,me meau meat,meo
25016,m0777,mercator,n,1,n-s---mn3-,mercator,mercator
25044,m0914,metrum,n,1,n-s---nn2-,metr,metrum
25017,m0818,mercatura,n,1,n-s---fn1-,mercatur,mercatura
25018,m9792,mercatus,n,1,n-s---mn4-,mercat,mercatus
25019,m0785,merces,n,1,n-s---fn3-,merced,merces
25024,m0799,meretrix,n,1,n-s---fn3-,meretric,meretrix
25025,m0803,mergo,v,1,v1spia--3-,merg mers mers,mergo
25056,m1002,miluus,n,1,n-s---mn2-,milu,miluus
25027,m0819,merito,r,1,rp--------,,merito
25028,m0778,meritum,n,1,n-s---nn2-,merit,meritum
24998,m0706,memoro,v,1,v1spia--1-,memor memorau memorat,memoro
25030,m0826,merso,v,1,v1spia--1-,mers mersau mersat,merso
25031,m0828,merula,n,1,n-s---fn1-,merul,merula
25023,m0792,mereo,v,1,v1spia--2-,mer meru merit,mereo
25032,m0832,merum,n,1,n-s---nn2-,mer,merum
25034,m0853,mespilum,n,1,n-s---nn2-,mespil,mespilum
25035,m0857,messis,n,1,n-s---fn3i,mess,messis
25036,m0858,messor,n,1,n-s---mn3-,messor,messor
25037,m0860,meta,n,1,n-s---fn1-,met,meta
25038,m0870,metallum,n,1,n-s---nn2-,metall,metallum
25043,m0909,metricus,a,1,aps---mn1-,metric metric metric,metricus
25046,m0917,metuo,v,1,v1spia--3-,metu metu metut,metuo
25047,m0918,metus,n,1,n-s---mn4-,met,metus
25048,m0951,mica,n,1,n-s---fn1-,mic,mica
25049,m0957,mico,v,1,v1spia--1-,mic micu -,mico
25050,m0970,migma,n,1,n-s---nn3-,migmat,migma
25051,m0971,migratio,n,1,n-s---fn3-,migration,migratio
25052,m0973,migro,v,1,v1spia--1-,migr migrau migrat,migro
25053,m0974,miles,n,1,n-s---mn3-,milit,miles
25054,m0988,militia,n,1,n-s---fn1-,militi,militia
25057,m1005,mimus,n,1,n-s---mn2-,mim,mimus
25061,m1037,ministerium,n,1,n-s---nn2-,ministeri,ministerium
25000,25000,mendaciter,r,1,rp--------,,mendaciter
25065,m1047,minium,n,1,n-s---nn2-,mini,minium
25067,m1051,minoro,v,1,v1spia--1-,minor minorau minorat,minoro
25068,m1057,minuo,v,1,v1spia--3-,minu minu minut,minuo
25059,25059,Minerua,n,1,n-s---fn1-,Mineru,Minerua
25069,m1058,minurrio,v,1,v1spia--3i,minurr - -,minurrio
25070,m1067,minutim,r,1,rp--------,,minutim
25022,25022,Mercurius,n,0,n-s---mn2-,Mercuri,Mercurius
25029,25029,meritus,a,1,aps---mn1-,merit merit merit,meritus
24997,m0704,memoriola,n,1,n-s---fn1-,memoriol,memoriola
25058,25058,minaciter,r,1,rp--------,minac,minaciter
24996,m0702,memoria,n,1,n-s---fn1-,memori,memoria
25063,25063,minito,v,1,v1spia--1-,minit minitau minitat,minito
25071,25071,minutus,a,1,aps---mn1-,minut minut minut,minutus
25026,m0811,meridies,n,1,n-s---cn5-,meridi,meridies
103727,b0468,blasphemabilis,a,0,aps---cn3i,blasphemabil blasphemabil blasphemabil,blasphemabilis
104562,c1131,centenionalis,a,0,aps---cn3i,centenional centenional centenional,centenionalis
25075,m0924,miraculum,n,1,n-s---nn2-,miracul,miraculum
25076,m1084,mirator,n,1,n-s---mn3-,mirator,mirator
25079,m1093,mirus,a,1,aps---mn1-,mir mir mir,mirus
25080,m1097,misceo,v,1,v1spia--2-,misc miscu mixt,misceo
