n1-,pannychi pannychi pannychi,pannychius
120334,p0263,panuuellium,n,0,n-s---nn2-,panuuelli,panuuellium
25710,p0272,papilio,n,1,n-s---mn3-,papilion,papilio
120345,p0279,papulo,v,0,v1spia--1-,papul papulau papulat,papulo
40857,p0281,papyrifer,a,0,aps---mn1r,papyrifer papyrifer papyrifer,papyrifer
120353,p0294,paracenterium,n,0,n-s---nn2-,paracenteri,paracenterium
25716,p0295,paracharactes,n,1,n-s---mn1g,paracharact,paracharactes
120376,p0315,paragoricus,a,0,aps---mn1-,paragoric paragoric paragoric,paragoricus
120383,p0322,parallelogrammus,a,0,aps---mn1-,parallelogramm parallelogramm parallelogramm,parallelogrammus
120395,p0331,parangarius,a,0,aps---mn1-,parangari parangari parangari,parangarius
120401,p0335,parapetasius,a,0,aps---mn1-,parapetasi parapetasi parapetasi,parapetasius
120413,p0344,parasanga,n,0,n-s---mn1-,parasang,parasanga
44467,p0350,parasiticus,a,0,aps---mn1-,parasit parasit parasit,parasiticus
133048,p0351,parasitor,v,0,v1spid--1-,parasit parasitat -,parasitor
120427,p0359,paratarius,a,0,aps---mn1-,paratari paratari paratari,paratarius
31729,p0363,parazonium,n,1,n-s---nn2-,parazoni,parazonium
120446,p0378,paregoricus,a,0,aps---mn1-,paregoric paregoric paregoric,paregoricus
120103,o1194,oxyzomus,a,0,aps---mn1-,oxyzom oxyzom oxyzom,oxyzomus
99817,p0437,parricida,n,0,n-s---mn1-,parricida,parricida
129030,129030,supernumero,v,0,v1spia--1-,supernumer supernumerau supernumerat,supernumero
129067,129067,superscendo,v,0,v1spia--3-,,superscendo
129070,129070,supersellium,n,0,n-s---nn2-,superselli,supersellium
120467,p0398,pariambus,n,0,n-s---mn2-,pariamb,pariambus
25820,p0744,pelagus,n,1,n-s---nn2-,pelag,pelagus
99863,p0725,pedo,v,1,v1spia--3-,ped peped pedit,pedo
120462,p0379,parhelion,n,0,n-s---nn2g,parheli,parhelion
120481,p0406,parietinus,a,0,aps---mn1-,parietin parietin parietin,parietinus
120498,p0427,paronomasia,n,0,n-s---fn1-,paronomasi,paronomasia
99813,p0428,paronychium,n,0,n-s---nn2-,paronychi,paronychium
25738,p0440,parricidium,n,1,n-s---nn2-,parricidi,parricidium
120513,p0443,parsimonium,n,0,n-s---nn2-,parsimoni,parsimonium
120527,p0451,partibilis,a,0,aps---cn3i,partibil partibil partibil,partibilis
25742,p0455,participatio,n,1,n-s---fn3-,participation,participatio
25746,p0466,partim,r,1,rp--------,,partim
120543,p0472,partito,v,0,v1spia--1-,partit partitau partita,partito
25751,p0482,paruitas,n,1,n-s---fn3-,paruitat,paruitas
120564,p0492,pascalis,a,0,aps---cn3i,pascal pascal pascal,pascalis
120576,p0506,passerinus,a,0,aps---mn1-,passerin passerin passerin,passerinus
25759,p4358,passiuus,a,1,aps---mn1-,passiu passiu passiu,passiuus
120592,p0523,pastillico,v,0,v1spia--1-,pastillic pastillicau pastillica,pastillico
99828,p0535,pastoralis,a,0,aps---cn3i,pastoral pastoral pastoral,pastoralis
120605,p0540,patagino,v,0,v1spia--1-,patagin pataginau pataginat,patagino
25766,p0543,patefacio,v,1,v1spia--3i,patefac patefec patefact,patefacio
120621,p0560,patibilis,a,0,aps---cn3i,patibil patibil patibil,patibilis
25778,p0588,patria,n,1,n-s---fn1-,patri,patria
120629,p0573,patriarchicus,a,0,aps---mn1-,patriarchic patriarchic patriarchic,patriarchicus
52650,p0578,patricius,a,0,aps---mn1-,patrici patrici patrici,patricius
41638,p0583,patrimus,a,0,aps---mn1-,patrim patrim patrim,patrimus
132624,p0592,patrocinor,v,0,v1spid--1-,patrocin patrocinat -,patrocinor
120647,p0602,pauciloquium,n,0,n-s---nn2-,pauciloqui,pauciloquium
120655,p0612,pauimentarius,n,0,n-s---mn2-,pauimentari,pauimentarius
120662,p0627,pauonaceus,a,0,aps---mn1-,pauonace pauonace pauonace,pauonaceus
99851,p0628,pauoninus,a,0,aps---mn1-,pauonin pauonin pauonin,pauoninus
58286,p0369,pauperculus,a,1,aps---mn1-,paupercul paupercul paupercul,pauperculus
25788,p0633,pauperies,n,1,n-s---fn5-,pauperi,pauperies
120686,p0435,pauxillulum,n,0,n-s---nn2-,pauxillul,pauxillulum
25798,p0655,peccatio,n,1,n-s---fn3-,peccation,peccatio
120708,p0680,pecuatus,a,0,aps---mn1-,pecuat pecuat pecuat,pecuatus
120715,p0686,peculiarius,a,0,aps---mn1-,peculiari peculiari peculiari,peculiarius
25806,p0693,pecunia,n,1,n-s---fn1-,pecuni,pecunia
120720,p0694,pecunialis,a,0,aps---cn3i,pecunial pecunial pecunial,pecunialis
52611,p0703,pedamentum,n,0,n-s---nn2-,pedament,pedamentum
120734,p8706,pedatus,a,0,aps---mn1-,pedat pedat pedat,pedatus
25812,p0710,pedetemptim,r,1,rp--------,pedetempt,pedetemptim
120747,p9706,pediculosus,a,0,aps---mn1-,pediculos pediculos pediculos,pediculosus
120769,p0743,pelagicus,a,0,aps---mn1-,pelagic pelagic pelagic,pelagicus
25819,p0742,pelagius,a,1,aps---mn1-,pelagi pelagi pelagi,pelagius
33436,p0749,pellacia,n,0,n-s---fn1-,pellaci,pellacia
120783,p0756,pellicator,n,0,n-s---mn3-,pellicator,pellicator
120457,p0389,parenticidium,n,0,n-s---nn2-,parenticidi,parenticidium
120851,p0825,pentadactylus,n,0,n-s---mn2-,pentadactyl,pentadactylus
120805,p0779,peminosus,a,0,aps---mn1-,peminos peminos peminos,peminosus
98959,i1441,ineuitabilis,a,0,aps---cn3i,ineuitabil ineuitabil ineuitabil,ineuitabilis
129190,129190,supputatorius,a,0,aps---mn1-,supputatori supputatori supputatori,supputatorius
99883,p0858,penus,n,1,n-s---cn4-,pen,penus
120912,p0886,peralbus,a,0,aps---mn1-,peralb peralb peralb,peralbus
99874,p0792,penetrabilis,a,0,aps---cn3i,penetrabil penetrabil penetrabil,penetrabilis
25828,p0794,penetratio,n,1,n-s---fn3-,penetration,penetratio
120823,p0798,peniculamentum,n,0,n-s---nn2-,peniculament,peniculamentum
25834,p0807,penniger,a,1,aps---mn1r,penniger penniger penniger,penniger
120844,p0818,pensitator,n,0,n-s---mn3-,pensitator,pensitator
120865,p0835,pentaprotia,n,0,n-s---fn1-,pentaproti,pentaprotia
120873,p0840,pentasphaerus,a,0,aps---mn1-,pentasphaer pentasphaer pentasphaer,pentasphaerus
120884,p0852,pentethronicus,a,0,aps---mn1-,pentethronic pentethronic pentethronic,pentethronicus
43046,p0868,peraccommodatus,a,0,aps---mn1-,peraccommodat peraccommodat peraccommodat,peraccommodatus
120917,p0894,peranceps,a,0,aps---an3-,perancipit perancipit perancipit,peranceps
39022,p0895,perangustus,a,0,aps---mn1-,perangust perangust perangust,perangustus
35706,p0897,perappositus,a,0,aps---mn1-,perapposit perapposit perapposit,perappositus
25844,p0924,perbonus,a,1,aps---mn1-,perbon perbon perbon,perbonus
120932,p0927,percaedo,v,0,v1spia--3-,percaed percecid percaes,percaedo
99892,p0930,percalesco,v,0,v1spia--3-,percalesc percalu -,percalesco
121093,p1109,perferus,a,0,aps---mn1-,perfer perfer perfer,perferus
120964,p0962,percognosco,v,0,v1spia--3-,percognosc percognou percognit,percognosco
120977,p0977,percontumax,a,0,aps---an3i,percontumac percontumac percontumac,percontumax
120988,p0990,percumbo,v,0,v1spia--3-,percumb percubu -,percumbo
51807,p0994,percuro,v,0,v1spia--1-,percur percurau percurat,percuro
99902,p0998,percurso,v,0,v1spia--1-,percurs percursau percursat,percurso
25852,p1000,percussio,n,1,n-s---fn3-,percussion,percussio
121009,p1010,perdensus,a,0,aps---mn1-,perdens perdens perdens,perdensus
121017,p1028,perdiuido,v,0,v1spia--3-,perdiuid perdiuis -,perdiuido
99909,p1049,perdulcis,a,0,aps---cn3i,perdulc perdulc perdulc,perdulcis
25861,p1050,perduro,v,1,v1spia--1-,perdur perdurau perdurat,perduro
121034,p1055,pereger,a,0,aps---mn1r,peregr peregr peregr,pereger
121044,p1065,perelixo,v,0,v1spia--1-,perelix perelixau perelixat,perelixo
121064,p1076,perenniseruus,n,0,n-s---mn2-,perenniseru,perenniseruus
40316,p1094,perfacetus,a,0,aps---mn1-,perfacet perfacet perfacet,perfacetus
121080,p1097,perfacundus,a,0,aps---mn1-,perfacund perfacund perfacund,perfacundus
120787,p0762,pelliculo,v,0,v1spia--1-,pellicul pelliculau pellicula,pelliculo
121094,p1112,perfica,n,0,n-s---fn1-,perfic,perfica
30231,p1113,perfidelis,a,0,aps---cn3i,perfidel perfidel perfidel,perfidelis
121095,p1114,perfidens,a,0,aps---an3i,perfident perfident perfident,perfidens
121105,p1126,perfletus,a,0,aps---mn1-,perflet perflet perflet,perfletus
121117,p1137,performidolosus,a,0,aps---mn1-,performidolos performidolos performidolos,performidolosus
53292,p1149,perfrico,v,0,v1spia--1-,perfric perfricu perfricat,perfrico
25873,p4388,perfrictio,n,1,n-s---fn3-,perfriction,perfrictio
34949,p1151,perfrictiuncula,n,0,n-s---fn1-,perfrictiuncul,perfrictiuncula
121139,p1158,perfriuolus,a,0,aps---mn1-,perfriuol perfriuol perfriuol,perfriuolus
99921,p1173,perfusorius,a,0,aps---mn1-,perfusori perfusori perfusori,perfusorius
121153,p1177,perglisco,v,0,v1spia--3-,perglisc - -,perglisco
129191,129191,supracaelestis,a,0,aps---cn3i,supracaelest supracaelest supracaelest,supracaelestis
129256,129256,surruo,v,0,v1spia--3-,surru surru surrut,surruo
