991,submutatio,n,0,n-s---fn3-,submutation,submutatio
128372,s2995,subnauigo,v,0,v1spia--1-,subnauig subnauigau subnauigat,subnauigo
128374,s3000,subnexio,n,0,n-s---fn3-,subnexion,subnexio
128376,s3011,subocculte,r,0,rp--------,,subocculte
128379,s3018,suboptio,n,0,n-s---mn3-,suboption,suboptio
128381,s3020,subornator,n,0,n-s---mn3-,subornator,subornator
128382,s3021,subornatrix,n,0,n-s---fn3-,subornatric,subornatrix
128383,s3023,subostendo,v,0,v1spia--3-,subostend subostend subostens,subostendo
128385,s3034,subpraefectura,n,0,n-s---fn1-,subpraefectur,subpraefectura
128388,s3040,subquartus,a,0,aps---mn1-,subquart subquart subquart,subquartus
128389,s3041,subradio,v,0,v1spia--1-,subradi subradiau subradia,subradio
128393,s3045,subrectio,n,0,n-s---fn3-,subrection,subrectio
128394,s3047,subrector,n,0,n-s---mn3-,subrector,subrector
128395,s3048,subrectrix,n,0,n-s---fn3-,subrectric,subrectrix
128399,s3051,subrelinquo,v,0,v1spia--3-,,subrelinquo
128400,s3052,subremaneo,v,0,v1spia--2-,subreman subremans -,subremaneo
128401,s3054,subrenalis,a,0,aps---cn3i,subrenal subrenal subrenal,subrenalis
24703,l0737,ligamen,n,1,n-s---nn3-,ligamin,ligamen
99427,m1018,minae,n,0,n-p---fn1-,min,minae
99428,m1022,minax,a,0,aps---an3i,minac minac minac,minax
128407,128407,subreptor,n,0,n-s---mn3-,subreptor,subreptor
128408,128408,subreptum,n,0,n-s---nn2-,subrept,subreptum
128410,128410,subresono,v,0,v1spia--1-,subreson subresonau subresona,subresono
128415,128415,subrobeus,a,0,aps---mn1-,subrobe subrobe subrobe,subrobeus
128417,128417,subrostrani,n,0,n-p---mn2-,subrostran,subrostrani
128423,128423,subrumpo,v,0,v1spia--3-,,subrumpo
128425,128425,subruncator,n,0,n-s---mn3-,subruncator,subruncator
128427,128427,subrustice,r,0,rp--------,,subrustice
128430,128430,subrutus,a,0,aps---mn1-,subrut subrut subrut,subrutus
128433,128433,subsanium,n,0,n-s---nn2-,subsani,subsanium
128436,128436,subsarcino,v,0,v1spia--1-,subsarcin subsarcinau subsarcinat,subsarcino
128441,128441,subscriptus,a,0,aps---mn1-,subscript subscript subscript,subscriptus
128443,128443,subscudo,n,0,n-s---fn3-,subscudin,subscudo
128444,128444,subsectus,a,0,aps---mn1-,subsect subsect subsect,subsectus
128447,128447,subsecutus,a,0,aps---mn1-,subsecut subsecut subsecut,subsecutus
128448,128448,subseliarium,n,0,n-s---nn2-,subseliari,subseliarium
128451,128451,subsequium,n,0,n-s---nn2-,subsequi,subsequium
128454,128454,subsertus,a,0,aps---mn1-,subsert subsert subsert,subsertus
128455,128455,subsesquialter,a,0,aps---mn1r,subsesquialtr subsesquialtr subsesquialtr,subsesquialter
128456,128456,subsesquiquartus,a,0,aps---mn1-,subsesquiquart subsesquiquart subsesquiquart,subsesquiquartus
128457,128457,subsesquiquintus,a,0,aps---mn1-,subsesquiquint subsesquiquint subsesquiquint,subsesquiquintus
128458,128458,subsesquitertius,a,0,aps---mn1-,subsesquiterti subsesquiterti subsesquiterti,subsesquitertius
128462,128462,subsicuus,a,0,aps---mn1-,subsicu subsicu subsicu,subsicuus
128461,128461,Subsiciuum,n,0,n-s---nn2-,Subsiciu,Subsiciuum
128411,s3062,subriguus,a,0,aps---mn1-,subrigu subrigu subrigu,subriguus
128414,s3066,subrisio,n,0,n-s---fn3-,subrision,subrisio
128416,s3068,subrogatio,n,0,n-s---fn3-,subrogation,subrogatio
128418,s3071,subrotatus,a,0,aps---mn1-,subrotat subrotat subrotat,subrotatus
128419,s3072,subrotundus,a,0,aps---mn1-,subrotund subrotund subrotund,subrotundus
128420,s3075,subruber,a,0,aps---mn1r,subrubr subrubr subrubr,subruber
128421,s3073,subrubeus,a,0,aps---mn1-,subrube subrube subrube,subrubeus
128422,s3078,subrumo,v,0,v1spia--1-,subrum subrumau subruma,subrumo
128424,s3079,subrumus,a,0,aps---mn1-,subrum subrum subrum,subrumus
128428,s3083,subrutilo,v,0,v1spia--1-,subrutil subrutilau subrutila,subrutilo
128429,s3084,subrutilus,a,0,aps---mn1-,subrutil subrutil subrutil,subrutilus
128431,s3086,subsalsus,a,0,aps---mn1-,subsals subsals subsals,subsalsus
128432,s3087,subsalto,v,0,v1spia--1-,subsalt subsaltau subsaltat,subsalto
128435,s3091,subsannium,n,0,n-s---nn2-,subsanni,subsannium
128437,s3093,subscalaris,a,0,aps---cn3i,subscalar subscalar subscalar,subscalaris
128438,s3094,subscalpo,v,0,v1spia--3-,,subscalpo
128439,s3095,subscindo,v,0,v1spia--3-,,subscindo
128445,s3103,subsecundarius,a,0,aps---mn1-,subsecundari subsecundari subsecundari,subsecundarius
128446,s3104,subsecutio,n,0,n-s---fn3-,subsecution,subsecutio
128449,s3108,subsentator,n,0,n-s---mn3-,subsentator,subsentator
128450,s3109,subsentio,v,0,v1spia--4-,subsent subsens -,subsentio
128452,s3111,subsequus,a,0,aps---mn1-,subsequ subsequ subsequ,subsequus
128453,s3114,subsero,v,0,v1spia--3-,subser - subsert,subsero
128459,s9944,subsessa,n,0,n-s---fn1-,subsess,subsessa
128460,s3117,subsicco,v,0,v1spia--1-,subsicc subsiccau subsicca,subsicco
40760,l0744,lignator,n,0,n-s---mn3-,lignator,lignator
99494,m0204,multicia,n,0,n-p---nn2-,multici,multicia
128475,128475,subsolanus,n,0,n-s---mn2-,subsolan,subsolanus
128479,128479,subspissus,a,0,aps---mn1-,subspiss subspiss subspiss,subspissus
128480,128480,substamen,n,0,n-s---nn3-,substamin,substamen
128485,128485,substillum,n,0,n-s---nn2-,substill,substillum
128487,128487,substitutus,a,0,aps---mn1-,substitut substitut substitut,substitutus
128488,128488,substomachans,a,0,aps---an3i,substomachant substomachant substomachant,substomachans
128491,128491,substratus,a,0,aps---mn1-,substrat substrat substrat,substratus
128494,128494,substridens,a,0,aps---an3i,substrident substrident substrident,substridens
128496,128496,substructum,n,0,n-s---nn2-,substruct,substructum
128500,128500,subsummo,v,0,v1spia--1-,subsumm subsummau subsummat,subsummo
128506,128506,subtectio,n,0,n-s---fn3-,subtection,subtectio
128509,128509,subtentus,a,0,aps---mn1-,subtent subtent subtent,subtentus
128511,128511,subteractus,a,0,aps---mn1-,subteract subteract subteract,subteractus
128513,128513,subteranhelo,v,0,v1spia--1-,subteranhel subteranhelau subteranhela,subteranhelo
128514,128514,subterannoto,v,0,v1spia--1-,subterannot subterannotau subterannota,subterannoto
128516,128516,subtercurrens,a,0,aps---an3i,subtercurrent subtercurrent subtercurrent,subtercurrens
128518,128518,subtercus,a,0,aps---an3-,subtercut subtercut subtercut,subtercus
128521,128521,subterfugium,n,0,n-s---nn2-,subterfugi,subterfugium
128466,s3124,subsiduus,a,0,aps---mn1-,subsidu subsidu subsidu,subsiduus
128467,s3126,subsignatio,n,0,n-s---fn3-,subsignation,subsignatio
128469,s3131,subsimus,a,0,aps---mn1-,subsim subsim subsim,subsimus
128470,s3132,subsipio,v,0,v1spia--3i,,subsipio
128471,s9926,subsistentia,n,0,n-s---fn1-,subsistenti,subsistentia
128472,s3134,subsitus,a,0,aps---mn1-,subsit subsit subsit,subsitus
128473,s3135,subsolaneus,a,0,aps---mn1-,subsolane subsolane subsolane,subsolaneus
128474,s3136,subsolanus,a,0,aps---mn1-,subsolan subsolan subsolan,subsolanus
128476,s3138,subsoluo,v,0,v1spia--3-,subsolu - subsolut,subsoluo
128477,s3139,subsono,v,0,v1spia--1-,subson subsonau subsona,subsono
128478,s3142,subspargo,v,0,v1spia--3-,,subspargo
128482,s3144,substantialitas,n,0,n-s---fn3-,substantialitat,substantialitas
128483,s3145,substantiola,n,0,n-s---fn1-,substantiol,substantiola
128484,s3146,substantiualis,a,0,aps---cn3i,substantiual substantiual substantiual,substantiualis
128486,s3152,substitutiuus,a,0,aps---mn1-,substitutiu substitutiu substitutiu,substitutiuus
128490,s6155,substramentum,n,0,n-s---nn2-,substrament,substramentum
128492,s9975,substratus,n,0,n-s---mn4-,substrat,substratus
128493,s3156,substrepo,v,0,v1spia--3-,,substrepo
128495,s3157,substrido,v,0,v1spia--3-,,substrido
128498,s3161,subsudo,v,0,v1spia--1-,subsud subsudau subsuda,subsudo
128499,s3162,subsulto,v,0,v1spia--1-,subsult subsultau subsulta,subsulto
128501,s3165,subsurdus,a,0,aps---mn1-,subsurd subsurd subsurd,subsurdus
128502,s9927,subsutura,n,0,n-s---fn1-,subsutur,subsutura
128504,s3167,subtacitus,a,0,aps---mn1-,subtacit subtacit subtacit,subtacitus
128505,s3168,subtalaris,a,0,aps---cn3i,subtalar subtalar subtalar,subtalaris
128507,s3170,subtegulaneus,a,0,aps---mn1-,subtegulane subtegulane subtegulane,subtegulaneus
128508,s3174,subteneo,v,0,v1spia--2-,,subteneo
128510,s3175,subtenuis,a,0,aps---cn3i,subtenu subtenu subtenu,subtenuis
128512,s3177,subteradnexus,a,0,aps---mn1-,subteradnex subteradnex subteradnex,subteradnexus
128517,s3180,subtercurro,v,0,v1spia--3-,,subtercurro
128520,s3183,subterfluo,v,0,v1spia--3-,,subterfluo
24706,l0746,ligneus,a,1,aps---mn1-,ligne ligne ligne,ligneus
99536,n0001,nablia,n,0,n-p---nn2-,nabli,nablia
99605,n0578,nouercalis,a,0,aps---cn3i,nouercal nouercal nouercal,nouercalis
128527,128527,subterior,n,0,n-s---mn3-,subterior,subterior
128528,128528,subterius,r,0,rp--------,,subterius
128533,128533,subtermitto,v,0,v1spia--3-,,subtermitto
128538,128538,subterpendens,a,0,aps---an3i,subterpendent subterpendent subterpendent,subterpendens
128540,128540,subterpositus,a,0,aps---mn1-,subterposit subterposit subterposit,subterpositus
128541,128541,subterraneum,n,0,n-s---nn2-,subterrane,subterraneum
128524,s3188,subteriacio,v,0,v1spia--3i,subteriac - -,subteriacio
128544,128544,subterseco,v,0,v1spia--1-,subtersec subtersecau subterseca,subterseco
128546,128546,subtertenuo,v,0,v1spia--1-,subtertenu subtertenuau subtertenua,subtertenuo
128548,128548,subteruacans,a,0,aps---an3i,subteruacant subteruacant subteruacant,subteruacans
128552,128552,subtextus,a,0,aps---mn1-,subtext subtext subtext,subtextus
128553,128553,subtilia,n,0,n-p---nn3i,subtil,subtilia
128560,128560,subtractus,a,0,aps---mn1-,subtract subtract subtract,subtractus
128561,128561,subtremulus,a,0,aps---mn1-,subtremul subtremul subtremul,subtremulus
128562,128562,subtriplus,a,0,aps---mn1-,subtripl subtripl subtripl,subtriplus
128564,128564,subtritus,a,0,aps---mn1-,subtrit subtrit subtrit,subtritus
128565,128565,subtunicalis,n,0,n-s---fn3i,subtunical,subtunicalis
128569,128569,subuades,n,0,n-s---mn3-,subuad,subuades
128571,128571,sububer,a,0,aps---an3-,sububer sububer sububer,sububer
128573,128573,subuectus,a,0,aps---mn1-,subuect subuect subuect,subuectus
128578,128578,subuentralis,a,0,aps---cn3i,subuentral subuentral subuentral,subuentralis
128830,128830,superascendo,v,0,v1spia--3-,,superascendo
128529,s3191,subterlino,v,0,v1spia--3-,,subterlino
128530,s3192,subterluo,v,0,v1spia--3-,,subterluo
128534,s3195,subtermoueo,v,0,v1spia--2-,,subtermoueo
128537,s3197,subternus,a,0,aps---mn1-,subtern subtern subtern,subternus
128539,s3199,subterpendeo,v,0,v1spia--2-,,subterpendeo
128542,s3201,subterrenus,a,0,aps---mn1-,subterren subterren subterren,subterrenus
128543,s3202,subterreus,a,0,aps---mn1-,subterre subterre subterre,subterreus
128545,s3203,subtersterno,v,0,v1spia--3-,subterstern subterstrau subterstrat,subtersterno
128547,s3204,subtertius,a,0,aps---mn1-,subterti subterti subterti,subtertius
128549,s3205,subteruaco,v,0,v1spia--1-,subteruac subteruacau subteruaca,subteruaco
128551,s3207,subteruoluo,v,0,v1spia--3-,,subteruoluo
128554,s3209,subtililoquentia,n,0,n-s---fn1-,subtililoquenti,subtililoquentia
128555,s3210,subtililoquus,a,0,aps---mn1-,subtililoqu subtililoqu subtililoqu,subtililoquus
128556,s3211,subtilio,v,0,v1spia--1-,subtili subtiliau subtilia,subtilio
128557,s3215,subtinnio,v,0,v1spia--4-,subtinn subtinniu subtinnit,subtinnio
128558,s3216,subtitubo,v,0,v1spia--1-,subtitub subtitubau subtituba,subtitubo
128559,s3217,subtorqueo,v,0,v1spia--2-,subtorqu subtors -,subtorqueo
128566,s3225,subturpis,a,0,aps---cn3i,subturp subturp subturp,subturpis
128568,s3229,subtutus,a,0,aps---mn1-,subtut subtut subtut,subtutus
128570,s3230,subuas,n,0,n-s---mn3-,subuad,subuas
128572,s3234,subuector,n,0,n-s---mn3-,subuector,subuector
128574,s3236,subuello,v,0,v1spia--3-,subuell - subuuls,subuello
128575,s6237,subuelo,v,0,v1spia--1-,subuel subuelau subuelat,subuelo
128576,s6229,subuentio,n,0,n-s---fn3-,subuention,subuentio
128577,s6231,subuentor,n,0,n-s---mn3-,subuentor,subuentor
128579,s6232,subuentrile,n,0,n-s---nn3i,subuentril,subuentrile
116235,l0762,lilietum,n,0,n-s---nn2-,liliet,lilietum
99744,o0931,oratiuncula,n,0,n-s---fn1-,oratiuncul,oratiuncula
128582,128582,subuerso,v,0,v1spia--1-,subuers subuersau subuersa,subuerso
128583,128583,subuersus,a,0,aps---mn1-,subuers subuers subuers,subuersus
128586,128586,subuestio,v,0,v1spia--4-,subuest subuestiu subuestit,subuestio
128588,128588,subuillicus,n,0,n-s---mn2-,subuillic,subuillicus
128589,128589,subuindico,v,0,v1spia--1-,subuindic subuindicau subuindica,subuindico
128592,128592,subumidus,a,0,aps---mn1-,subumid subumid subumid,subumidus
128594,128594,subungo,v,0,v1spia--3-,,subungo
128595,128595,subuolsus,a,0,aps---mn1-,subuols subuols subuols,subuolsus
128597,128597,subuorso,v,0,v1spia--1-,subuors subuorsau subuorsa,subuorso
128601,128601,subustus,a,0,aps---mn1-,subust subust subust,subustus
128602,128602,subuulsus,a,0,aps---mn1-,subuuls subuuls subuuls,subuulsus
128603,128603,subuulturius,a,0,aps---mn1-,subuulturi subuulturi subuulturi,subuulturius
128604,128604,succano,v,0,v1spia--3-,,succano
128606,128606,succarum,n,0,n-s---nn2-,succar,succarum
128607,128607,succedaneus,a,0,aps---mn1-,succedane succedane succedane,succedaneus
128608,128608,succedaneus,n,0,n-s---mn2-,succedane,succedaneus
128610,128610,succensus,a,0,aps---mn1-,succens succens succens,succensus
128616,128616,succesco,v,0,v1spia--3-,,succesco
128617,128617,successiuus,a,0,aps---mn1-,successiu successiu successiu,successiuus
128619,128619,successus,a,0,aps---mn1-,success success success,successus
128620,128620,succidaneus,n,0,n-s---mn2-,succidane,succidaneus
128622,128622,succidus,a,0,aps---mn1-,succid succid succid,succidus
128624,128624,succinacius,a,0,aps---mn1-,succinaci succinaci succinaci,succinacius
128625,128625,succincte,r,0,rp--------,,succincte
128627,128627,succinctio,n,0,n-s---fn3-,succinction,succinctio
128630,128630,succinerarius,a,0,aps---mn1-,succinerari succinerari succinerari,succinerarius
128631,128631,succineus,a,0,aps---mn1-,succine succine succine,succineus
128632,128632,succinus,a,0,aps---mn1-,succin succin succin,succinus
128635,128635,succisus,a,0,aps---mn1-,succis succis succis,succisus
128637,128637,succlausus,a,0,aps---mn1-,succlaus succlaus succlaus,succlausus
128639,128639,succo,n,0,n-s---mn3-,succon,succo
128585,s3239,subuesperus,n,0,n-s---mn2-,subuesper,subuesperus
128587,s3240,subuilicus,n,0,n-s---mn2-,subuilic,subuilicus
128590,s4037,subulo,n,0,n-s---mn3-,subulon,subulo
128593,s3246,subunctio,n,0,n-s---fn3-,subunction,subunctio
128596,s3250,subuolturius,a,0,aps---mn1-,subuolturi subuolturi subuolturi,subuolturius
128599,s3257,suburo,v,0,v1spia--3-,subur - subust,suburo
128600,s3258,subustio,n,0,n-s---fn3-,subustion,subustio
128605,s3259,succanto,v,0,v1spia--1-,succant succantau succanta,succanto
128609,s3837,succensio,n,0,n-s---fn3-,succension,succensio
128611,s3263,succentio,n,0,n-s---fn3-,succention,succentio
128612,s3264,succentiuus,a,0,aps---mn1-,succentiu succentiu succentiu,succentiuus
128613,s3265,succentor,n,0,n-s---mn3-,succentor,succentor
128615,s3268,succentus,n,0,n-s---mn4-,succent,succentus
128618,s3273,successorius,a,0,aps---mn1-,successori successori successori,successorius
128623,s3279,succilus,n,0,n-s---mn2-,succil,succilus
128626,s3280,succinctim,r,0,rp--------,,succinctim
128629,s3282,succinctulus,a,0,aps---mn1-,succinctul succinctul succinctul,succinctulus
128633,s3286,succisio,n,0,n-s---fn3-,succision,succisio
128634,s3287,succisor,n,0,n-s---mn3-,succisor,succisor
128638,s3290,succlino,v,0,v1spia--1-,succlin succlinau succlinat,succlino
128640,s3292,succonditor,n,0,n-s---mn3-,succonditor,succonditor
24715,l0773,limbus,n,1,n-s---mn2-,limb,limbus
99850,p0619,pauito,v,0,v1spia--1-,pauit pauitau pauitat,pauito
128648,128648,succudo,v,0,v1spia--3-,,succudo
128649,128649,succulentus,a,0,aps---mn1-,succulent succulent succulent,succulentus
128652,128652,succursurus,a,0,aps---mn1-,succursur succursur succursur,succursurus
128658,128658,succussura,n,0,n-s---fn1-,succussur,succussura
128660,128660,sucerdae,n,0,n-p---fn1-,sucerd,sucerdae
128661,128661,sucidia,n,0,n-s---fn1-,sucidi,sucidia
128664,128664,sucineus,a,0,aps---mn1-,sucine sucine sucine,sucineus
128665,128665,suco,n,0,n-s---mn3-,sucon,suco
128666,128666,sucophanta,n,0,n-s---mn1-,sucophant,sucophanta
128667,128667,sucophantia,n,0,n-s---fn1-,sucophanti,sucophantia
128668,128668,sucophantiose,r,0,rp--------,,sucophantiose
128678,128678,sudatilis,a,0,aps---cn3i,sudatil sudatil sudatil,sudatilis
128681,128681,sudatus,a,0,aps---mn1-,sudat sudat sudat,sudatus
128682,128682,sudiculum,n,0,n-s---nn2-,sudicul,sudiculum
128687,128687,suera,n,0,n-s---fn1-,suer,suera
128688,128688,suetudo,n,0,n-s---fn3-,suetudin,suetudo
128689,128689,suetum,n,0,n-s---nn2-,suet,suetum
128692,128692,suffectus,n,0,n-s---mn4-,suffect,suffectus
128693,128693,sufferctus,a,0,aps---mn1-,sufferct sufferct sufferct,sufferctus
128694,128694,sufferenter,r,0,rp--------,,sufferenter
128705,128705,suffixus,a,0,aps---mn1-,suffix suffix suffix,suffixus
128662,s3310,sucido,v,0,v1spia--1-,sucid sucidau sucidat,sucido
128646,s3299,succubonea,n,0,n-s---fn1-,succubone,succubonea
128650,s3301,succurricius,a,0,aps---mn1-,succurrici succurrici succurrici,succurricius
128651,s3303,succursor,n,0,n-s---mn3-,succursor,succursor
128653,s3304,succussator,n,0,n-s---mn3-,succussator,succussator
128654,s9928,succussatura,n,0,n-s---fn1-,succussatur,succussatura
128655,s3305,succussio,n,0,n-s---fn3-,succussion,succussio
128657,s3307,succussor,n,0,n-s---mn3-,succussor,succussor
128659,s3309,sucerda,n,0,n-s---fn1-,sucerd,sucerda
128663,s3312,sucinacius,a,0,aps---mn1-,sucinaci sucinaci sucinaci,sucinacius
128670,s3314,sucositas,n,0,n-s---fn3-,sucositat,sucositas
128671,s3315,sucosus,a,0,aps---mn1-,sucos sucos sucos,sucosus
128672,s3441,suctus,n,0,n-s---mn4-,suct,suctus
128673,s3316,suculus,n,0,n-s---mn2-,sucul,suculus
128676,s3322,sudariolum,n,0,n-s---nn2-,sudariol,sudariolum
128677,s3324,sudasco,v,0,v1spia--3-,,sudasco
128679,s3326,sudator,n,0,n-s---mn3-,sudator,sudator
128680,s3328,sudatrix,n,0,n-s---fn3-,sudatric,sudatrix
128683,s3332,sudorifer,a,0,aps---mn1r,sudorifer sudorifer sudorifer,sudorifer
128684,s3333,sudorus,a,0,aps---mn1-,sudor sudor sudor,sudorus
128685,s3334,suduculum,n,0,n-s---nn2-,suducul,suduculum
128686,s3336,suellus,n,0,n-s---mn2-,suell,suellus
128690,s3342,suffectio,n,0,n-s---fn3-,suffection,suffectio
128691,s9929,suffectura,n,0,n-s---fn1-,suffectur,suffectura
128697,s3349,suffessio,n,0,n-s---fn3-,suffession,suffessio
128698,s3350,suffibulum,n,0,n-s---nn2-,suffibul,suffibulum
128699,s9930,sufficientia,n,0,n-s---fn1-,sufficienti,sufficientia
128700,s3354,suffimento,v,0,v1spia--1-,suffiment suffimentau suffimenta,suffimento
128701,s3357,suffiscus,n,0,n-s---mn2-,suffisc,suffiscus
128702,s3358,suffitio,n,0,n-s---fn3-,suffition,suffitio
128703,s3359,suffitor,n,0,n-s---mn3-,suffitor,suffitor
128704,s9977,suffitus,n,0,n-s---mn4-,suffit,suffitus
116248,l0778,limicola,n,0,n-s---mn1-,limicol,limicola
99881,99881,penteres,n,0,n-s---fn3i,penter,penteres
99947,p1408,pernix,a,0,aps---an3i,pernic pernic pernic,pernix
128713,128713,suffraenatio,n,0,n-s---fn3-,suffraenation,suffraenatio
128717,128717,suffrago,v,0,v1spia--1-,suffrag suffragau suffragat,suffrago
128720,128720,suffrigidus,a,0,aps---mn1-,suffrigid suffrigid suffrigid,suffrigidus
128708,s3364,sufflatio,n,0,n-s---fn3-,sufflation,sufflatio
128724,128724,suffultus,a,0,aps---mn1-,suffult suffult suffult,suffultus
128726,128726,suffumigatus,a,0,aps---mn1-,suffumigat suffumigat suffumigat,suffumigatus
128731,128731,sufrico,v,0,v1spia--1-,sufric sufricau sufrica,sufrico
128734,128734,suggillatiuncula,n,0,n-s---fn1-,suggillatiuncul,suggillatiuncula
128735,128735,suggillatus,a,0,aps---mn1-,suggillat suggillat suggillat,suggillatus
128736,128736,suggillatus,n,0,n-s---mn4-,suggillat,suggillatus
128738,128738,suggrandis,a,0,aps---cn3i,suggrand suggrand suggrand,suggrandis
128742,128742,sugillata,n,0,n-p---nn2-,sugillat,sugillata
128744,128744,sugillatus,a,0,aps---mn1-,sugillat sugillat sugillat,sugillatus
128745,128745,sui,n,0,n-p---mn2-,su,sui
128746,128746,suifico,v,0,v1spia--1-,suific suificau suificat,suifico
128748,128748,suilla,n,0,n-s---fn1-,suill,suilla
128754,128754,sulaba,n,0,n-s---fn1-,sulab,sulaba
128758,128758,sulcatoria,n,0,n-s---fn1-,sulcatori,sulcatoria
128760,128760,sulcatus,a,0,aps---mn1-,sulcat sulcat sulcat,sulcatus
128763,128763,sulfurans,a,0,aps---an3i,sulfurant sulfurant sulfurant,sulfurans
128764,128764,sulfuraria,n,0,n-s---fn1-,sulfurari,sulfuraria
128765,128765,sulfurata,n,0,n-p---nn2-,sulfurat,sulfurata
128766,128766,sulfuratio,n,0,n-s---fn3-,sulfuration,sulfuratio
128767,128767,sulfuratum,n,0,n-s---nn2-,sulfurat,sulfuratum
128768,128768,sulfurosus,a,0,aps---mn1-,sulfuros sulfuros sulfuros,sulfurosus
128762,128762,Sulfi,n,0,n-p---mn2-,Sulf,Sulfi
128710,s9978,sufflatus,n,0,n-s---mn4-,sufflat,sufflatus
128712,s3372,suffossor,n,0,n-s---mn3-,suffossor,suffossor
128714,s3376,suffragatrix,n,0,n-s---fn3-,suffragatric,suffragatrix
128716,s3378,suffragiolum,n,0,n-s---nn2-,suffragiol,suffragiolum
128718,s3382,suffrenatio,n,0,n-s---fn3-,suffrenation,suffrenatio
128719,s3383,suffrendens,a,0,aps---an3i,suffrendent suffrendent suffrendent,suffrendens
128721,s3386,suffuco,v,0,v1spia--1-,suffuc suffucau suffuca,suffuco
128722,s3390,suffulgeo,v,0,v1spia--2-,,suffulgeo
128723,s9932,suffultura,n,0,n-s---fn1-,suffultur,suffultura
128725,s3392,suffumigatio,n,0,n-s---fn3-,suffumigation,suffumigatio
128727,s3394,suffumo,v,0,v1spia--1-,suffum suffumau suffuma,suffumo
128730,s3400,suffusorium,n,0,n-s---nn2-,suffusori,suffusorium
128732,s3401,suggera,n,0,n-s---fn1-,sugger,suggera
128733,s3404,suggillatio,n,0,n-s---fn3-,suggillation,suggillatio
128739,s3408,suggrunda,n,0,n-s---fn1-,suggrund,suggrunda
128740,s3409,suggrundarium,n,0,n-s---nn2-,suggrundari,suggrundarium
128743,s3413,sugillatiuncula,n,0,n-s---fn1-,sugillatiuncul,sugillatiuncula
128747,s3415,suile,n,0,n-s---nn3i,suil,suile
128749,s3416,suillinus,a,0,aps---mn1-,suillin suillin suillin,suillinus
128750,s3418,suinus,a,0,aps---mn1-,suin suin suin,suinus
128751,s3419,suipassio,n,0,n-s---fn3-,suipassion,suipassio
128752,s3420,suipassiue,r,0,rp--------,,suipassiue
128753,s3421,suipassus,a,0,aps---mn1-,suipass suipass suipass,suipassus
128756,s3423,sulcamen,n,0,n-s---nn3-,sulcamin,sulcamen
128757,s3424,sulcator,n,0,n-s---mn3-,sulcator,sulcator
128761,s3426,sulcus,a,0,aps---mn1-,sulc sulc sulc,sulcus
116256,l0782,limitaris,a,0,aps---cn3i,limitar limitar limitar,limitaris
100007,p2036,pietaticultrix,n,0,n-s---fn3-,pietaticultric,pietaticultrix
128772,128772,sulphuratus,a,0,aps---mn1-,sulphurat sulphurat sulphurat,sulphuratus
128773,128773,sulphurosus,a,0,aps---mn1-,sulphuros sulphuros sulphuros,sulphurosus
128774,128774,sumbola,n,0,n-s---fn1-,sumbol,sumbola
128777,128777,summaliter,r,0,rp--------,,summaliter
128779,128779,summissa,n,0,n-p---nn2-,summiss,summissa
128780,128780,summiter,r,0,rp--------,,summiter
128782,128782,summo,r,0,rp--------,,summo
128784,128784,summus,n,0,n-s---mn2-,summ,summus
128785,128785,summussus,a,0,aps---mn1-,summuss summuss summuss,summussus
128786,128786,sumpsio,n,0,n-s---fn3-,sumpsion,sumpsio
128787,128787,sumpta,n,0,n-s---fn1-,sumpt,sumpta
128788,128788,sumpticula,n,0,n-s---fn1-,sumpticul,sumpticula
128791,128791,sumptuarius,n,0,n-s---mn2-,sumptuari,sumptuarius
128792,128792,sumptuatus,a,0,aps---mn1-,sumptuat sumptuat sumptuat,sumptuatus
128793,128793,sumptum,n,0,n-s---nn2-,sumpt,sumptum
128795,128795,sumptus,a,0,aps---mn1-,sumpt sumpt sumpt,sumptus
128796,128796,sungraphus,n,0,n-s---mn2-,sungraph,sungraphus
128798,128798,superabnegatiuus,a,0,aps---mn1-,superabnegatiu superabnegatiu superabnegatiu,superabnegatiuus
128799,128799,superabundans,a,0,aps---an3i,superabundant superabundant superabundant,superabundans
128806,128806,superadiicio,v,0,v1spia--3i,superadiic superadiec -,superadiicio
128810,128810,superadornatus,a,0,aps---mn1-,superadornat superadornat superadornat,superadornatus
128811,128811,superadspergo,v,0,v1spia--3-,,superadspergo
128812,128812,superadsto,v,0,v1spia--1-,superadst superadstit -,superadsto
128814,128814,superaduolo,v,0,v1spia--1-,superaduol superaduolau superaduola,superaduolo
128815,128815,superadustio,n,0,n-s---fn3-,superadustion,superadustio
128819,128819,superalluo,v,0,v1spia--3-,,superalluo
128822,128822,superantia,n,0,n-s---fn1-,superanti,superantia
128827,128827,superargumento,v,0,v1spia--1-,superargument superargumentau superargumenta,superargumento
128829,128829,superarius,a,0,aps---mn1-,superari superari superari,superarius
128770,128770,sulphuraria,n,0,n-s---fn1-,sulphurari,sulphuraria
128776,s3440,summalis,a,0,aps---cn3i,summal summal summal,summalis
128778,s3442,summarius,n,0,n-s---mn2-,summari,summarius
128781,s3447,summo,v,0,v1spia--1-,summ summau summat,summo
128783,s3449,summotenus,r,0,rp--------,,summotenus
128790,s3454,sumptito,v,0,v1spia--1-,sumptit sumptitau sumptitat,sumptito
128794,s3456,sumptuositas,n,0,n-s---fn3-,sumptuositat,sumptuositas
128797,s3465,superabluo,v,0,v1spia--3-,,superabluo
128800,s3469,superaccipio,v,0,v1spia--3i,,superaccipio
